# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.208
metadata : {}


# id : NWRW1800000053.208.1.1
법무-행안장관-검경 수장 4人‘1987’ 동반관람

법무-행안장관-검경	법무/NNG+-/SO+행안/NNG+장관/NNG+-/SO+검경/NNG
수장	수장/NNG
4人‘1987’	4/SN+人/SH+‘/SS+1987/SN+’/SS
동반관람	동반/NNG+관람/NNG


# id : NWRW1800000053.208.2.1
文총장 “그 시대 산 우리 이야기” 李청장 “인권 경찰 구현 노력” ‘독재 타도’ 장면서 눈물 쏟기도

文총장	文/SH+총장/NNG
“그	“/SS+그/MMD
시대	시대/NNG
산	사/VV+ㄴ/ETM
우리	우리/NP
이야기”	이야기/NNG+”/SS
李청장	李/SH+청장/NNG
“인권	“/SS+인권/NNG
경찰	경찰/NNG
구현	구현/NNG
노력”	노력/NNG+”/SS
‘독재	‘/SS+독재/NNG
타도’	타도/NNG+’/SS
장면서	장면/NNG+서/JKB
눈물	눈물/NNG
쏟기도	쏟/VV+기/ETN+도/JX


# id : NWRW1800000053.208.3.1
박상기 법무부 장관과 김부겸 행정안전부 장관, 문무일 검찰총장, 이철성 경찰청장이 28일 한자리에 모였다.

박상기	박상기/NNP
법무부	법무부/NNG
장관과	장관/NNG+과/JC
김부겸	김부겸/NNP
행정안전부	행정/NNG+안전부/NNG
장관,	장관/NNG+,/SP
문무일	문무일/NNP
검찰총장,	검찰/NNG+총장/NNG+,/SP
이철성	이철성/NNP
경찰청장이	경찰청장/NNG+이/JKS
28일	28/SN+일/NNB
한자리에	한자리/NNG+에/JKB
모였다.	모이/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.208.3.2
1987년 6월 민주항쟁을 그린 영화 ‘1987’을 보기 위해서다.

1987년	1987/SN+년/NNB
6월	6/SN+월/NNB
민주항쟁을	민주/NNG+항쟁/NNG+을/JKO
그린	그리/VV+ㄴ/ETM
영화	영화/NNG
‘1987’을	‘/SS+1987/SN+’/SS+을/JKO
보기	보/VV+기/ETN
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000053.208.3.3
네 사람이 한꺼번에 만난 것은 처음이다.

네	네/MMN
사람이	사람/NNG+이/JKS
한꺼번에	한꺼번에/MAG
만난	만나/VV+ㄴ/ETM
것은	것/NNB+은/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.208.4.1
오후 6시 서울 강남구 역삼동의 한 영화관에 나란히 앉은 네 사람은 영화가 끝난 오후 8시 10분까지 미동도 하지 않고 영화에 집중했다.

오후	오후/NNG
6시	6/SN+시/NNB
서울	서울/NNP
강남구	강남구/NNP
역삼동의	역삼동/NNP+의/JKG
한	한/MMN
영화관에	영화관/NNG+에/JKB
나란히	나란히/MAG
앉은	앉/VV+은/ETM
네	네/MMN
사람은	사람/NNG+은/JX
영화가	영화/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
8시	8/SN+시/NNB
10분까지	10/SN+분/NNB+까지/JX
미동도	미동/NNG+도/JX
하지	하/VV+지/EC
않고	않/VX+고/EC
영화에	영화/NNG+에/JKB
집중했다.	집중/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.208.4.2
김 장관과 이 청장은 영화 마지막 부분 대학생들이 서울 명동 일대에서 최루탄 가스를 뒤집어쓴 채 ‘호헌철폐 독재타도’를 외치는 장면을 보면서 눈물을 쏟았다.

김	김/NNP
장관과	장관/NNG+과/JC
이	이/NNP
청장은	청장/NNG+은/JX
영화	영화/NNG
마지막	마지막/NNG
부분	부분/NNG
대학생들이	대학/NNG+생/XSN+들/XSN+이/JKS
서울	서울/NNP
명동	명동/NNP
일대에서	일대/NNG+에서/JKB
최루탄	최루탄/NNG
가스를	가스/NNG+를/JKO
뒤집어쓴	뒤집어쓰/VV+ㄴ/ETM
채	채/NNB
‘호헌철폐	‘/SS+호헌/NNG+철폐/NNG
독재타도’를	독재/NNG+타도/NNG+’/SS+를/JKO
외치는	외치/VV+는/ETM
장면을	장면/NNG+을/JKO
보면서	보/VV+면서/EC
눈물을	눈물/NNG+을/JKO
쏟았다.	쏟/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.208.4.3
영화가 끝날 때까지 5분가량 울음을 멈추지 못했다.

영화가	영화/NNG+가/JKS
