# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.265
metadata : {}


# id : NWRW1800000049.265.1.1
[김희균 기자의 교육&공감]법과 소통이 사라진 교육정책

[김희균	[/SS+김희균/NNP
기자의	기자/NNG+의/JKG
교육&공감]법과	교육/NNG+&/SW+공감/NNG+]/SS+법/NNG+과/JC
소통이	소통/NNG+이/JKS
사라진	사라지/VV+ㄴ/ETM
교육정책	교육/NNG+정책/NNG


# id : NWRW1800000049.265.2.1
19대 국회 교육문화체육관광위원회에서 활동한 한 새누리당 의원의 보좌관은 “20대 국회에서도 교문위를 희망하느냐”는 질문에 한숨부터 쉬었다.

19대	19/SN+대/NNB
국회	국회/NNG
교육문화체육관광위원회에서	교육/NNG+문화/NNG+체육/NNG+관광/NNG+위원회/NNG+에서/JKB
활동한	활동/NNG+하/XSV+ㄴ/ETM
한	한/MMN
새누리당	새누리당/NNP
의원의	의원/NNG+의/JKG
보좌관은	보좌관/NNG+은/JX
“20대	“/SS+20/SN+대/NNB
국회에서도	국회/NNG+에서/JKB+도/JX
교문위를	교문위/NNG+를/JKO
희망하느냐”는	희망/NNG+하/XSV+느냐/EF+”/SS+는/JX
질문에	질문/NNG+에/JKB
한숨부터	한/XPN+숨/NNG+부터/JX
쉬었다.	쉬/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.265.2.2
그는 “교문위가 전통적으로 야당 강세이지 않으냐”고 운을 뗀 뒤 “19대에서 당정이 특별법이랑 시행령으로 밀어붙인 일이 워낙 많아서…”라며 말끝을 흐렸다.

그는	그/NP+는/JX
“교문위가	“/SS+교문위/NNG+가/JKS
전통적으로	전통/NNG+적/XSN+으로/JKB
야당	야당/NNG
강세이지	강세/NNG+이/VCP+지/EC
않으냐”고	않/VX+으냐/EF+”/SS+고/JKQ
운을	운/NNG+을/JKO
뗀	떼/VV+ㄴ/ETM
뒤	뒤/NNG
“19대에서	“/SS+19/SN+대/NNB+에서/JKB
당정이	당정/NNG+이/JKS
특별법이랑	특별법/NNG+이랑/JC
시행령으로	시행령/NNG+으로/JKB
밀어붙인	밀어붙이/VV+ㄴ/ETM
일이	일/NNG+이/JKS
워낙	워낙/MAG
많아서…”라며	많/VA+아서/EC+…/SE+”/SS+이/VCP+라며/EC
말끝을	말끝/NNG+을/JKO
흐렸다.	흐리/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.265.3.1
교육 분야에 눈이 밝고 애정이 있다는 평가를 받는 의원조차 20대 교문위를 부담스러워하는 이유는 간단하다.

교육	교육/NNG
분야에	분야/NNG+에/JKB
눈이	눈/NNG+이/JKS
밝고	밝/VA+고/EC
애정이	애정/NNG+이/JKS
있다는	있/VA+다는/ETM
평가를	평가/NNG+를/JKO
받는	받/VV+는/ETM
의원조차	의원/NNG+조차/JX
20대	20/SN+대/NNB
교문위를	교문위/NNG+를/JKO
부담스러워하는	부담/NNG+스럽/XSA+어/EC+하/VX+는/ETM
이유는	이유/NNG+는/JX
간단하다.	간단하/VA+다/EF+./SF


# id : NWRW1800000049.265.3.2
20대 총선에서 여소야대 국면이 형성되자마자 야당이 공세에 나선 ‘논란 정책’ 중 상당수가 교육 분야인 탓이다.

20대	20/SN+대/NNB
총선에서	총선/NNG+에서/JKB
여소야대	여소/NNG+야대/NNG
국면이	국면/NNG+이/JKS
형성되자마자	형성/NNG+되/XSV+자마자/EC
야당이	야당/NNG+이/JKS
공세에	공세/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
‘논란	‘/SS+논란/NNG
정책’	정책/NNG+’/SS
중	중/NNB
상당수가	상당수/NNG+가/JKS
교육	교육/NNG
분야인	분야/NNG+이/VCP+ㄴ/ETM
탓이다.	탓/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.265.4.1
누리과정, 역사 교과서 국정화, 대학구조개혁 관련 정책이 대표적이다.

누리과정,	누리/NNG+과정/NNG+,/SP
역사	역사/NNG
교과서	교과서/NNG
국정화,	국정/NNG+화/XSN+,/SP
대학구조개혁	대학/NNG+구조/NNG+개혁/NNG
관련	관련/NNG
정책이	정책/NNG+이/JKS
대표적이다.	대표/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000049.265.4.2
이들 정책의 공통점은 이해 관계자들 사이에 갈등과 이견이 큰 사안임에도 불구하고 정부가 시행령이나 예산을 동원해 밀어붙였다는 것이다.

이들	이/NP+들/XSN
정책의	정책/NNG+의/JKG
공통점은	공통점/NNG+은/JX
이해	이해/NNG
관계자들	관계자/NNG+들/XSN
사이에	사이/NNG+에/JKB
갈등과	갈등/NNG+과/JC
이견이	이견/NNG+이/JKS
큰	크/VA+ㄴ/ETM
사안임에도	사안/NNG+이/VCP+ㅁ/ETN+에/JKB+도/JX
불구하고	불구하/VV+고/EC
정부가	정부/NNG+가/JKS
시행령이나	시행령/NNG+이나/JC
예산을	예산/NNG+을/JKO
동원해	동원/NNG+하/XSV+아/EC
밀어붙였다는	밀어붙이/VV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.265.5.1
누리과정 예산을 둘러싼 중앙정부와 지방교육청 간 갈등이 해마다 되풀이되자 박근혜 대통령은 1월 “법을 고쳐서라도 누리과정 문제를 근본적으로 해결하라”고 주문했다.

누리과정	누리/NNG+과정/NNG
예산을	예산/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
중앙정부와	중앙/NNG+정부/NNG+와/JC
지방교육청	지방/NNG+교육청/NNG
간	간/NNB
갈등이	갈등/NNG+이/JKS
해마다	해마다/MAG
되풀이되자	되풀이/NNG+되/XSV+자/EC
박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
1월	1/SN+월/NNB
“법을	“/SS+법/NNG+을/JKO
고쳐서라도	고치/VV+어서/EC+라도/JX
문제를	문제/NNG+를/JKO
근본적으로	근본/NNG+적/XSN+으로/JKB
해결하라”고	해결/NNG+하/XSV+라/EF+”/SS+고/JKQ
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


