# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.7
metadata : {}


# id : NWRW1800000036.7.1.1
은행연·금투협에도 낙하산

은행연·금투협에도	은행연/NNP+·/SP+금투협/NNP+에/JKB+도/JX
낙하산	낙하산/NNG


# id : NWRW1800000036.7.2.1
[한겨레] 금감원·재정부 출신들 논란

[한겨레]	[/SS+한겨레/NNP+]/SS
금감원·재정부	금감원/NNG+·/SP+재정부/NNG
출신들	출신/NNG+들/XSN
논란	논란/NNG


# id : NWRW1800000036.7.3.1
노조 ‘삭발식’ 등 반대 운동

노조	노조/NNG
‘삭발식’	‘/SS+삭발식/NNG+’/SS
등	등/NNB
반대	반대/NNG
운동	운동/NNG


# id : NWRW1800000036.7.4.1
은행연합회와 금융투자협회 등 민간 금융협회에서 감독당국 출신들의 ‘낙하산 인사’ 논란이 불거지고 있다.

은행연합회와	은행연합회/NNP+와/JC
금융투자협회	금융투자협회/NNP
등	등/NNB
민간	민간/NNG
금융협회에서	금융/NNG+협회/NNG+에서/JKB
감독당국	감독/NNG+당국/NNG
출신들의	출신/NNG+들/XSN+의/JKG
‘낙하산	‘/SS+낙하산/NNG
인사’	인사/NNG+’/SS
논란이	논란/NNG+이/JKS
불거지고	불거지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.7.5.1
정용실 전국은행연합회 노조위원장은 12일 “은행연합회 부회장 자리에 금융감독원 인사가 물망에 오르고 있다”며 “금감원이 낙하산 인사를 강행할 경우 결사 저지하겠다”고 밝혔다.

정용실	정용실/NNP
전국은행연합회	전국은행연합회/NNP
노조위원장은	노조/NNG+위원장/NNG+은/JX
12일	12/SN+일/NNB
“은행연합회	“/SS+은행연합회/NNP
부회장	부회장/NNG
자리에	자리/NNG+에/JKB
금융감독원	금융/NNG+감독원/NNG
인사가	인사/NNG+가/JKS
물망에	물망/NNG+에/JKB
오르고	오르/VV+고/EC
