# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.415
metadata : {}


# id : NWRW1800000036.415.1.1
최필립, 박근혜 미워하는 부산일보가 밉다?

최필립,	최필립/NNP+,/SP
박근혜	박근혜/NNP
미워하는	미워하/VV+는/ETM
부산일보가	부산일보/NNP+가/JKS
밉다?	밉/VA+다/EF+?/SF


# id : NWRW1800000036.415.2.1
[한겨레] [토요판] 커버스토리/ 부산일보를 가다

[한겨레]	[/SS+한겨레/NNP+]/SS
[토요판]	[/SS+토요판/NNG+]/SS
커버스토리/	커버스토리/NNG+//SP
부산일보를	부산일보/NNP+를/JKO
가다	가/VV+다/EF


# id : NWRW1800000036.415.3.1
“똥하고 언론하고는 피해야 해.”

“똥하고	“/SS+똥/NNG+하고/JC
언론하고는	언론/NNG+하고/JC+는/JX
피해야	피하/VV+아야/EC
해.”	하/VX+아/EF+./SF+”/SS


# id : NWRW1800000036.415.4.1
최필립 정수장학회 이사장이 지난 8일 이진숙 <문화방송>(MBC) 기획홍보본부장 등에게 한 말이다.

최필립	최필립/NNP
정수장학회	정수장학회/NNP
이사장이	이사장/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
8일	8/SN+일/NNB
이진숙	이진숙/NNP
<문화방송>(MBC)	</SS+문화방송/NNP+>/SS+(/SS+MBC/SL+)/SS
기획홍보본부장	기획/NNG+홍보/NNG+본부장/NNG
등에게	등/NNB+에게/JKB
한	하/VV+ㄴ/ETM
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.415.4.2
언론을 ‘똥’과 동격으로 취급하는 최 이사장의 언론관은 <부산일보>에 대한 증오에서 싹트기 시작했다.

언론을	언론/NNG+을/JKO
‘똥’과	‘/SS+똥/NNG+’/SS+과/JKB
동격으로	동격/NNG+으로/JKB
취급하는	취급/NNG+하/XSV+는/ETM
최	최/NNP
이사장의	이사장/NNG+의/JKG
언론관은	언론관/NNG+은/JX
<부산일보>에	</SS+부산일보/NNP+>/SS+에/JKB
대한	대하/VV+ㄴ/ETM
증오에서	증오/NNG+에서/JKB
싹트기	싹트/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.415.4.3
정수장학회는 문화방송 지분 30%와 부산일보 지분 100%를 갖고 있다.

정수장학회는	정수장학회/NNP+는/JX
문화방송	문화방송/NNP
지분	지분/NNG
30%와	30/SN+%/SW+와/JC
부산일보	부산일보/NNP
100%를	100/SN+%/SW+를/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.415.5.1
최 이사장이 박근혜 새누리당 대선 후보의 뒤를 이어 정수장학회를 맡은 건 2005년이다.

최	최/NNP
이사장이	이사장/NNG+이/JKS
박근혜	박근혜/NNP
새누리당	새누리당/NNP
대선	대선/NNG
후보의	후보/NNG+의/JKG
뒤를	뒤/NNG+를/JKO
이어	잇/VV+어/EC
정수장학회를	정수장학회/NNP+를/JKO
맡은	맡/VV+은/ETM
건	거/NNB+ㄴ/JX
2005년이다.	2005/SN+년/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.415.5.2
그리고 4년 뒤인 2009년 2월24일 부산일보는 지령 2만호 발행일을 맞았고, 각계 인사 300여명을 초청한 가운데 신문사 대강당에서 기념식을 열었다.

그리고	그리고/MAJ
4년	4/SN+년/NNB
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
2009년	2009/SN+년/NNB
2월24일	2/SN+월/NNB+24/SN+일/NNB
부산일보는	부산일보/NNP+는/JX
지령	지령/NNG
2만호	2/SN+만/NR+호/NNB
발행일을	발행일/NNG+을/JKO
맞았고,	맞/VV+았/EP+고/EC+,/SP
각계	각계/NNG
인사	인사/NNG
300여명을	300/SN+여/XSN+명/NNB+을/JKO
초청한	초청/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
신문사	신문사/NNG
대강당에서	대/XPN+강당/NNG+에서/JKB
기념식을	기념식/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.415.5.3
박 후보도 이 자리에 모습을 드러냈다.

박	박/NNP
후보도	후보/NNG+도/JX
이	이/MMD
자리에	자리/NNG+에/JKB
모습을	모습/NNG+을/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.415.5.4
최 이사장은 그때 박 후보에 대한 부산일보 노동조합의 태도를 또렷이 기억하고 있었다.

최	최/NNP
이사장은	이사장/NNG+은/JX
그때	그때/NNG
박	박/NNP
후보에	후보/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
부산일보	부산일보/NNP
노동조합의	노동조합/NNG+의/JKG
태도를	태도/NNG+를/JKO
또렷이	또렷이/MAG
기억하고	기억/NNG+하/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000036.415.6.1
“그때 부산일보 사장으로부터 박 후보를 좀 초청하고 싶다는 연락이 왔어.

“그때	“/SS+그때/NNG
부산일보	부산일보/NNP
사장으로부터	사장/NNG+으로부터/JKB
박	박/NNP
후보를	후보/NNG+를/JKO
좀	좀/MAG
초청하고	초청/NNG+하/XSV+고/EC
싶다는	싶/VX+다는/ETM
연락이	연락/NNG+이/JKS
왔어.	오/VV+았/EP+어/EF+./SF


# id : NWRW1800000036.415.6.2
박 후보에게 가서 말을 했더니 ‘내가 가면 또 부산일보와 직접 관련돼 있다고 할 거 아닙니까’ 그러기에, ‘부산일보 실·국장 회의에서 박 후보가 와야 한다고 결정했답니다’ 그랬거든.

박	박/NNP
후보에게	후보/NNG+에게/JKB
가서	가/VV+아서/EC
말을	말/NNG+을/JKO
했더니	하/VV+았/EP+더니/EC
‘내가	‘/SS+내/NP+가/JKS
가면	가/VV+면/EC
또	또/MAG
부산일보와	부산일보/NNP+와/JKB
직접	직접/MAG
관련돼	관련/NNG+되/XSV+어/EC
있다고	있/VX+다고/EC
할	하/VV+ㄹ/ETM
거	거/NNB
아닙니까’	아니/VCN+ㅂ니까/EF+’/SS
그러기에,	그러/VV+기에/EC+,/SP
‘부산일보	‘/SS+부산일보/NNP
실·국장	실·국장/NNG
회의에서	회의/NNG+에서/JKB
후보가	후보/NNG+가/JKS
와야	오/VV+아야/EC
한다고	하/VX+ㄴ다고/EC
결정했답니다’	결정/NNG+하/XSV+았/EP+답니다/EF+’/SS
그랬거든.	그러/VV+었/EP+거든/EF+./SF


# id : NWRW1800000036.415.6.3
그렇게 해서 내려갔는데, 노조에서 그걸 못 들어온다고 난리를 피워.

그렇게	그렇/VA+게/EC
해서	하/VV+아서/EC
내려갔는데,	내려가/VV+았/EP+는데/EC+,/SP
노조에서	노조/NNG+에서/JKB
그걸	그거/NP+ㄹ/JKO
못	못/MAG
