# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.366
metadata : {}


# id : NWRW1800000041.366.1.1
[단독]“朴경정, 靑서 문건 100여건 출력해가”

[단독]“朴경정,	[/SS+단독/NNG+]/SS+“/SS+朴/SH+경정/NNG+,/SP
靑서	靑/SH+서/JKB
문건	문건/NNG
100여건	100/SN+여/XSN+건/NNB
출력해가”	출력/NNG+하/XSV+아/EC+가/VX+아/EF+”/SS


# id : NWRW1800000041.366.2.1
檢 “정윤회-대통령 친인척 관련 문건… 경찰복귀 1주일전 한꺼번에 프린트” 朴경정 4일 소환… 출력 경위 조사

檢	檢/SH
“정윤회-대통령	“/SS+정윤회/NNP+-/SO+대통령/NNG
친인척	친인척/NNG
관련	관련/NNG
문건…	문건/NNG+…/SE
경찰복귀	경찰/NNG+복귀/NNG
1주일전	1/SN+주일/NNB+전/NNG
한꺼번에	한꺼번에/MAG
프린트”	프린트/NNG+”/SS
朴경정	朴/SH+경정/NNG
4일	4/SN+일/NNB
소환…	소환/NNG+…/SE
출력	출력/NNG
경위	경위/NNG
조사	조사/NNG


# id : NWRW1800000041.366.3.1
‘정윤회 동향’ 문건을 작성한 박모 경정(48·전 대통령공직기강비서관실 행정관)이 청와대를 떠나 경찰로 복귀하기 일주일 전쯤 자신이 작성한 주요 보고서 100여 건을 종이로 출력해 간 정황을 검찰이 포착한 것으로 3일 확인됐다.

‘정윤회	‘/SS+정윤회/NNP
동향’	동향/NNG+’/SS
문건을	문건/NNG+을/JKO
작성한	작성/NNG+하/XSV+ㄴ/ETM
박모	박/NNP+모/NP
경정(48·전	경정/NNG+(/SS+48/SN+·/SP+전/MMD
대통령공직기강비서관실	대통령/NNG+공직/NNG+기강/NNG+비서관실/NNG
행정관)이	행정관/NNG+)/SS+이/JKS
청와대를	청와대/NNP+를/JKO
떠나	떠나/VV+아/EC
경찰로	경찰/NNG+로/JKB
복귀하기	복귀/NNG+하/XSV+기/ETN
일주일	일주일/NNG
전쯤	전/NNG+쯤/XSN
자신이	자신/NNG+이/JKS
주요	주요/NNG
보고서	보고서/NNG
100여	100/SN+여/XSN
건을	건/NNB+을/JKO
종이로	종이/NNG+로/JKB
출력해	출력/NNG+하/XSV+아/EC
간	가/VV+ㄴ/ETM
정황을	정황/NNG+을/JKO
검찰이	검찰/NNG+이/JKS
포착한	포착/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
3일	3/SN+일/NNB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.366.3.2
특히 박 경정이 한꺼번에 출력한 문서들은 ‘비선 실세’로 지목된 정윤회 씨(59) 동향 보고서를 포함해 대통령 측근과 친인척 관련 문건들이었던 것으로 알려졌다.

특히	특히/MAG
박	박/NNP
경정이	경정/NNG+이/JKS
한꺼번에	한꺼번에/MAG
출력한	출력/NNG+하/XSV+ㄴ/ETM
문서들은	문서/NNG+들/XSN+은/JX
‘비선	‘/SS+비선/NNG
실세’로	실세/NNG+’/SS+로/JKB
지목된	지목/NNG+되/XSV+ㄴ/ETM
정윤회	정윤회/NNP
씨(59)	씨/NNB+(/SS+59/SN+)/SS
동향	동향/NNG
보고서를	보고서/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
대통령	대통령/NNG
측근과	측근/NNG+과/JC
친인척	친인척/NNG
관련	관련/NNG
문건들이었던	문건/NNG+들/XSN+이/VCP+었/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.366.4.1
서울중앙지검 형사1부(부장 정수봉)와 특별수사2부(부장 임관혁)는 문건 작성자인 박 경정의 서울 노원구 하계동 자택과 그가 근무하는 서울 도봉경찰서 및 서울지방경찰청 정보1분실에 검사와 수사관 30여 명을 보내 압수수색을 벌였다.

서울중앙지검	서울중앙지검/NNP
형사1부(부장	형사/NNG+1/SN+부/NNG+(/SS+부장/NNG
정수봉)와	정수봉/NNP+)/SS+와/JC
특별수사2부(부장	특별/NNG+수사/NNG+2/SN+부/NNG+(/SS+부장/NNG
임관혁)는	임관혁/NNP+)/SS+는/JX
문건	문건/NNG
작성자인	작성자/NNG+이/VCP+ㄴ/ETM
박	박/NNP
경정의	경정/NNG+의/JKG
서울	서울/NNP
노원구	노원구/NNP
하계동	하계동/NNP
자택과	자택/NNG+과/JC
그가	그/NP+가/JKS
근무하는	근무/NNG+하/XSV+는/ETM
도봉경찰서	도봉경찰서/NNP
및	및/MAG
서울지방경찰청	서울지방경찰청/NNP
정보1분실에	정보/NNG+1/SN+분실/NNG+에/JKB
검사와	검사/NNG+와/JC
수사관	수사관/NNG
30여	30/SN+여/XSN
명을	명/NNB+을/JKO
보내	보내/VV+어/EC
압수수색을	압수/NNG+수색/NNG+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.366.4.2
검찰은 또 박 경정이 2월 청와대에서 복귀하는 과정에서 문건 유출에 관여한 것으로 보이는 서울경찰청 정보1분실 직원 한모, 최모 경위 등 3명의 자택을 압수수색하고 이들을 임의동행 형식으로 데려와 조사했다.

검찰은	검찰/NNG+은/JX
또	또/MAG
박	박/NNP
경정이	경정/NNG+이/JKS
2월	2/SN+월/NNB
청와대에서	청와대/NNP+에서/JKB
복귀하는	복귀/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
문건	문건/NNG
유출에	유출/NNG+에/JKB
관여한	관여/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보이는	보이/VV+는/ETM
서울경찰청	서울경찰청/NNP
정보1분실	정보/NNG+1/SN+분실/NNG
직원	직원/NNG
한모,	한/NNP+모/NP+,/SP
최모	최/NNP+모/NP
경위	경위/NNG
등	등/NNB
3명의	3/SN+명/NNB+의/JKG
자택을	자택/NNG+을/JKO
압수수색하고	압수/NNG+수색/NNG+하/XSV+고/EC
이들을	이/NP+들/XSN+을/JKO
임의동행	임의/NNG+동행/NNG
형식으로	형식/NNG+으로/JKB
데려와	데려오/VV+아/EC
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.366.5.1
청와대에서 문서를 인쇄·출력할 경우 신분증 등으로 인증을 받아야 하기 때문에 언제 누가 인쇄했는지 기록이 남는다.

청와대에서	청와대/NNP+에서/JKB
문서를	문서/NNG+를/JKO
인쇄·출력할	인쇄/NNG+·/SP+출력/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
신분증	신분증/NNG
등으로	등/NNB+으로/JKB
인증을	인증/NNG+을/JKO
받아야	받/VV+아야/EC
하기	하/VX+기/ETN
때문에	때문/NNB+에/JKB
언제	언제/MAG
누가	누구/NP+가/JKS
인쇄했는지	인쇄/NNG+하/XSV+았/EP+는지/EC
기록이	기록/NNG+이/JKS
남는다.	남/VV+는다/EF+./SF


# id : NWRW1800000041.366.5.2
검찰은 청와대 측에서 의심하고 있는 문건 유출 경로(박 경정→서울경찰청 정보 경찰→일부 언론)가 사실일 가능성이 높다고 보고 4일 오전 박 경정을 소환 조사한다.

검찰은	검찰/NNG+은/JX
청와대	청와대/NNP
측에서	측/NNB+에서/JKB
의심하고	의심/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
문건	문건/NNG
유출	유출/NNG
경로(박	경로/NNG+(/SS+박/NNP
경정→서울경찰청	경정/NNG+→/SW+서울경찰청/NNP
정보	정보/NNG
경찰→일부	경찰/NNG+→/SW+일부/NNG
언론)가	언론/NNG+)/SS+가/JKS
사실일	사실/NNG+이/VCP+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다고	높/VA+다고/EC
보고	보/VV+고/EC
4일	4/SN+일/NNB
오전	오전/NNG
박	박/NNP
경정을	경정/NNG+을/JKO
소환	소환/NNG
조사한다.	조사/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.366.5.3
검찰은 박 경정을 상대로 문건 내용의 신빙성 여부와 갑자기 다량으로 문건을 출력한 경위 등을 조사하는 한편, 그가 주장하는 ‘제3자 유출설’에 대해서도 진술을 받을 계획이다.

검찰은	검찰/NNG+은/JX
박	박/NNP
경정을	경정/NNG+을/JKO
상대로	상대/NNG+로/JKB
문건	문건/NNG
내용의	내용/NNG+의/JKG
신빙성	신빙/NNG+성/XSN
여부와	여부/NNG+와/JKB
갑자기	갑자기/MAG
다량으로	다량/NNG+으로/JKB
문건을	문건/NNG+을/JKO
출력한	출력/NNG+하/XSV+ㄴ/ETM
경위	경위/NNG
등을	등/NNB+을/JKO
조사하는	조사/NNG+하/XSV+는/ETM
한편,	한편/NNG+,/SP
그가	그/NP+가/JKS
주장하는	주장/NNG+하/XSV+는/ETM
‘제3자	‘/SS+제3자/NNG
유출설’에	유출설/NNG+’/SS+에/JKB
대해서도	대하/VV+아서/EC+도/JX
진술을	진술/NNG+을/JKO
받을	받/VV+을/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.366.6.1
정 씨는 3일 “허위사실을 담은 문건을 그대로 보도해 명예가 훼손됐다”면서 세계일보 기자 3명을 명예훼손 혐의로 고소했다.

정	정/NNP
씨는	씨/NNB+는/JX
3일	3/SN+일/NNB
“허위사실을	“/SS+허위/NNG+사실/NNG+을/JKO
담은	담/VV+은/ETM
문건을	문건/NNG+을/JKO
그대로	그대로/MAG
보도해	보도/NNG+하/XSV+아/EC
명예가	명예/NNG+가/JKS
훼손됐다”면서	훼손/NNG+되/XSV+었/EP+다/EF+”/SS+면서/EC
세계일보	세계일보/NNP
기자	기자/NNG
3명을	3/SN+명/NNB+을/JKO
명예훼손	명예/NNG+훼손/NNG
혐의로	혐의/NNG+로/JKB
고소했다.	고소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.366.6.2
검찰은 이재만 대통령총무비서관 등 청와대 관계자들의 고소 및 수사의뢰 사건과 함께 이 사건을 수사할 예정이다.

검찰은	검찰/NNG+은/JX
이재만	이재만/NNP
대통령총무비서관	대통령/NNG+총무/NNG+비서관/NNG
등	등/NNB
청와대	청와대/NNP
관계자들의	관계자/NNG+들/XSN+의/JKG
고소	고소/NNG
및	및/MAG
수사의뢰	수사/NNG+의뢰/NNG
사건과	사건/NNG+과/JKB
함께	함께/MAG
이	이/MMD
사건을	사건/NNG+을/JKO
수사할	수사/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


