# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.104
metadata : {}


# id : NWRW1800000048.104.1.1
예멘에 ‘사우디-이란 대리전’ 먹구름

예멘에	예멘/NNP+에/JKB
‘사우디-이란	‘/SS+사우디/NNP+-/SO+이란/NNP
대리전’	대리전/NNG+’/SS
먹구름	먹구름/NNG


# id : NWRW1800000048.104.2.1
사우디 외무장관, 내전 지원 시사

사우디	사우디/NNP
외무장관,	외무/NNG+장관/NNG+,/SP
내전	내전/NNG
지원	지원/NNG
시사	시사/NNG


# id : NWRW1800000048.104.3.1
걸프협력회의, 하디 대통령 지지

걸프협력회의,	걸프협력회의/NNP+,/SP
하디	하디/NNP
대통령	대통령/NNG
지지	지지/NNG


# id : NWRW1800000048.104.4.1
예멘 “이란 비난…군사 개입 요청”

예멘	예멘/NNP
“이란	“/SS+이란/NNP
비난…군사	비난/NNG+…/SE+군사/NNG
개입	개입/NNG
요청”	요청/NNG+”/SS


# id : NWRW1800000048.104.5.1
예멘 내전의 불씨가 중동지역의 숙적 사우디아라비아와 이란의 대리전으로 번질 기세다.

예멘	예멘/NNP
내전의	내전/NNG+의/JKG
불씨가	불씨/NNG+가/JKS
중동지역의	중동/NNP+지역/NNG+의/JKG
숙적	숙적/NNG
사우디아라비아와	사우디아라비아/NNP+와/JC
이란의	이란/NNP+의/JKG
대리전으로	대리전/NNG+으로/JKB
번질	번지/VV+ㄹ/ETM
기세다.	기세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.104.5.2
50여년 전 예멘 땅을 뒤덮었던 인근 강대국들간 대리전의 먹구름이 다시 몰려들기 시작했다.

50여년	50/SN+여/XSN+년/NNB
전	전/NNG
예멘	예멘/NNP
땅을	땅/NNG+을/JKO
뒤덮었던	뒤덮/VV+었/EP+던/ETM
인근	인근/NNG
강대국들간	강대국/NNG+들/XSN+간/NNB
대리전의	대리전/NNG+의/JKG
먹구름이	먹구름/NNG+이/JKS
다시	다시/MAG
몰려들기	몰려들/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.104.6.1
사우디의 외무장관인 사우드 파이잘 왕자는 23일 예멘 ‘내전’에 개입할 수 있다고 시사했다.

사우디의	사우디/NNP+의/JKG
외무장관인	외무/NNG+장관/NNG+이/VCP+ㄴ/ETM
사우드	사우드/NNP
파이잘	파이잘/NNP
왕자는	왕자/NNG+는/JX
23일	23/SN+일/NNB
예멘	예멘/NNP
‘내전’에	‘/SS+내전/NNG+’/SS+에/JKB
개입할	개입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
시사했다.	시사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.104.6.2
그는 “이란의 예멘 개입에 반대한다”며 “그것은 사실상 공격행위”라고 말했다고 <알자지라>가 전했다.

그는	그/NP+는/JX
“이란의	“/SS+이란/NNP+의/JKG
예멘	예멘/NNP
개입에	개입/NNG+에/JKB
반대한다”며	반대/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“그것은	“/SS+그것/NP+은/JX
사실상	사실/NNG+상/XSN
공격행위”라고	공격/NNG+행위/NNG+”/SS+라고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
<알자지라>가	</SS+알자지라/NNP+>/SS+가/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.104.6.3
파이잘 왕자는 이어 “우리는 사태가 평화롭게 해결되길 바라지만 예멘의 (하디) 대통령을 지원할 수 있다면 어떤 요구에도 부응할 준비가 돼있다”라고 말했다.

파이잘	파이잘/NNP
왕자는	왕자/NNG+는/JX
이어	이어/MAG
“우리는	“/SS+우리/NP+는/JX
사태가	사태/NNG+가/JKS
평화롭게	평화/NNG+롭/XSA+게/EC
해결되길	해결/NNG+되/XSV+기/ETN+ㄹ/JKO
바라지만	바라/VV+지만/EC
예멘의	예멘/NNP+의/JKG
(하디)	(/SS+하디/NNP+)/SS
대통령을	대통령/NNG+을/JKO
지원할	지원/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다면	있/VA+다면/EC
어떤	어떤/MMD
요구에도	요구/NNG+에/JKB+도/JX
부응할	부응/NNG+하/XSV+ㄹ/ETM
준비가	준비/NNG+가/JKC
돼있다”라고	되/VV+어/EC+있/VX+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.104.7.1
지난 1월 압드라부 만수르 하디 예멘 대통령은 수도 사나를 장악한 시아파 후티 반군에 밀려 정권을 넘기고 쫓겨났다.

지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
