# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.363
metadata : {}


# id : NWRW1800000049.363.1.1
“軍면제자에 세금 물려 병역갈등 풀어야”… 병역세 공론화

“軍면제자에	“/SS+軍/SH+면제자/NNG+에/JKB
세금	세금/NNG
물려	물리/VV+어/EC
병역갈등	병역/NNG+갈등/NNG
풀어야”…	풀/VV+어야/EC+”/SS+…/SE
병역세	병역/NNG+세/NNG
공론화	공론/NNG+화/XSN


# id : NWRW1800000049.363.2.1
[국정감사 막바지]김영우 국방위원장이 도입 제안

[국정감사	[/SS+국정/NNG+감사/NNG
막바지]김영우	막바지/NNG+]/SS+김영우/NNP
국방위원장이	국방/NNG+위원장/NNG+이/JKS
도입	도입/NNG
제안	제안/NNG


# id : NWRW1800000049.363.3.1
14일 국회에서 열린 국방위원회 국정감사에서는 병역 면제자들이 세금을 내는 것으로 국방의 의무를 대신하게 하는 병역세 도입 문제가 새로운 이슈로 떠올랐다.

14일	14/SN+일/NNB
국회에서	국회/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
국방위원회	국방/NNG+위원회/NNG
국정감사에서는	국정/NNG+감사/NNG+에서/JKB+는/JX
병역	병역/NNG
면제자들이	면제자/NNG+들/XSN+이/JKS
세금을	세금/NNG+을/JKO
내는	내/VV+는/ETM
것으로	것/NNB+으로/JKB
국방의	국방/NNG+의/JKG
의무를	의무/NNG+를/JKO
대신하게	대신/NNG+하/XSV+게/EC
하는	하/VX+는/ETM
병역세	병역/NNG+세/NNG
도입	도입/NNG
문제가	문제/NNG+가/JKS
새로운	새롭/VA+ㄴ/ETM
이슈로	이슈/NNG+로/JKB
떠올랐다.	떠오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.363.3.2
국방위원장인 새누리당 김영우 의원이 현역 국회의원으로는 처음으로 이 문제를 공식 거론한 것이어서 파문이 예상된다.

국방위원장인	국방/NNG+위원장/NNG+이/VCP+ㄴ/ETM
새누리당	새누리당/NNP
김영우	김영우/NNP
의원이	의원/NNG+이/JKS
현역	현역/NNG
