# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.229
metadata : {}


# id : NWRW1800000030.229.1.1
배트 대신 망치, 드럼통에 군불… 김성근 야구 시동

배트	배트/NNG
대신	대신/NNG
망치,	망치/NNG+,/SP
드럼통에	드럼통/NNG+에/JKB
군불…	군불/NNG+…/SE
김성근	김성근/NNP
야구	야구/NNG
시동	시동/NNG


# id : NWRW1800000030.229.2.1
•고양 원더스 감독으로 첫 공식훈련

•고양	•/SW+고양/NNP
원더스	원더스/NNP
감독으로	감독/NNG+으로/JKB
첫	첫/MMN
공식훈련	공식/NNG+훈련/NNG


# id : NWRW1800000030.229.3.1
독립리그 팀인 고양 원더스 초대 사령탑을 맡은 '야신(野神)' 김성근(69) 감독이 다시 그라운드에 섰다.

독립리그	독립/NNG+리그/NNG
팀인	팀/NNG+이/VCP+ㄴ/ETM
고양	고양/NNP
원더스	원더스/NNP
초대	초대/NNG
사령탑을	사령탑/NNG+을/JKO
맡은	맡/VV+은/ETM
'야신(野神)'	'/SS+야신/NNG+(/SS+野神/SH+)/SS+'/SS
김성근(69)	김성근/NNP+(/SS+69/SN+)/SS
감독이	감독/NNG+이/JKS
다시	다시/MAG
그라운드에	그라운드/NNG+에/JKB
섰다.	서/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.229.4.1
수은주가 영하로 뚝 떨어진 14일 전주야구장.

수은주가	수은주/NNG+가/JKS
영하로	영하/NNG+로/JKB
뚝	뚝/MAG
떨어진	떨어지/VV+ㄴ/ETM
14일	14/SN+일/NNB
전주야구장.	전주야구장/NNP+./SF


# id : NWRW1800000030.229.4.2
오전 7시 30분쯤 두꺼운 점퍼를 입은 김 감독이 야구장에 들어왔다.

오전	오전/NNG
7시	7/SN+시/NNB
30분쯤	30/SN+분/NNB+쯤/XSN
두꺼운	두껍/VA+ㄴ/ETM
점퍼를	점퍼/NNG+를/JKO
입은	입/VV+은/ETM
김	김/NNP
감독이	감독/NNG+이/JKS
야구장에	야구장/NNG+에/JKB
들어왔다.	들어오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.229.4.3
이날은 김 감독이 새로 만난 제자들과 처음 공식 훈련을 같이 하는 날이었다.

이날은	이날/NNG+은/JX
김	김/NNP
감독이	감독/NNG+이/JKS
새로	새로/MAG
만난	만나/VV+ㄴ/ETM
제자들과	제자/NNG+들/XSN+과/JKB
처음	처음/NNG
공식	공식/NNG
훈련을	훈련/NNG+을/JKO
같이	같이/MAG
하는	하/VV+는/ETM
날이었다.	날/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.229.4.4
당초 14일 오전 전주로 내려오려던 김 감독은 일정을 당겨 13일 밤에 도착했다.

당초	당초/NNG
14일	14/SN+일/NNB
오전	오전/NNG
전주로	전주/NNP+로/JKB
내려오려던	내려오/VV+려던/ETM
김	김/NNP
감독은	감독/NNG+은/JX
일정을	일정/NNG+을/JKO
당겨	당기/VV+어/EC
13일	13/SN+일/NNB
밤에	밤/NNG+에/JKB
도착했다.	도착/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.229.5.1
"선수들이 훈련하고 있다는 생각을 하니 좀이 쑤셔서 가만있을 수 없었지."

"선수들이	"/SS+선수/NNG+들/XSN+이/JKS
훈련하고	훈련/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
생각을	생각/NNG+을/JKO
하니	하/VV+니/EC
좀이	좀/NNG+이/JKS
쑤셔서	쑤시/VV+어서/EC
가만있을	가만있/VV+을/ETM
수	수/NNB
없었지."	없/VA+었/EP+지/EF+./SF+"/SS


# id : NWRW1800000030.229.6.1
김 감독은 13일 밤 선수들과 첫 미팅 자리를 "죽기 살기로 하자"는 말로 시작했다고 한다.

김	김/NNP
감독은	감독/NNG+은/JX
13일	13/SN+일/NNB
밤	밤/NNG
선수들과	선수/NNG+들/XSN+과/JKB
첫	첫/MMN
미팅	미팅/NNG
자리를	자리/NNG+를/JKO
"죽기	"/SS+죽/VV+기/ETN
살기로	살/VV+기/ETN+로/JKB
하자"는	하/VV+자/EF+"/SS+는/ETM
말로	말/NNG+로/JKB
시작했다고	시작/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.229.6.2
그는 선수들에게 "이미 당신들은 야구 인생에서 한 번 실패했다. 그 실패를 되풀이하지 않으려면 생각을 바꾸고, 행동도 바꿔야 한다"며 "안 된다는 것은 없다는 생각으로 최선을 다하라"고 당부했다.

그는	그/NP+는/JX
선수들에게	선수/NNG+들/XSN+에게/JKB
"이미	"/SS+이미/MAG
당신들은	당신/NP+들/XSN+은/JX
야구	야구/NNG
인생에서	인생/NNG+에서/JKB
한	한/MMN
번	번/NNB
실패했다.	실패/NNG+하/XSV+았/EP+다/EF+./SF
그	그/MMD
실패를	실패/NNG+를/JKO
되풀이하지	되풀이/NNG+하/XSV+지/EC
않으려면	않/VX+으려면/EC
생각을	생각/NNG+을/JKO
바꾸고,	바꾸/VV+고/EC+,/SP
행동도	행동/NNG+도/JX
바꿔야	바꾸/VV+어야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"안	"/SS+안/MAG
된다는	되/VV+ㄴ다는/ETM
것은	것/NNB+은/JX
없다는	없/VA+다는/ETM
생각으로	생각/NNG+으로/JKB
최선을	최선/NNG+을/JKO
다하라"고	다/MAG+하/XSV+라/EF+"/SS+고/JKQ
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.229.7.1
"전날 치과 치료를 받은 게 욱신거려 새벽에 잠을 깼다"는 김 감독은 14일 선수들 훈련에 앞서 꼼꼼하게 야구장 운동장 상태와 실내연습장을 둘러봤다.

"전날	"/SS+전날/NNG
치과	치과/NNG
치료를	치료/NNG+를/JKO
받은	받/VV+은/ETM
게	거/NNB+이/JKS
욱신거려	욱신거리/VV+어/EC
새벽에	새벽/NNG+에/JKB
잠을	잠/NNG+을/JKO
깼다"는	깨/VV+었/EP+다/EF+"/SS+는/ETM
김	김/NNP
감독은	감독/NNG+은/JX
14일	14/SN+일/NNB
선수들	선수/NNG+들/XSN
훈련에	훈련/NNG+에/JKB
앞서	앞서/VV+어/EC
꼼꼼하게	꼼꼼/MAG+하/XSA+게/EC
야구장	야구장/NNG
운동장	운동장/NNG
상태와	상태/NNG+와/JC
실내연습장을	실내/NNG+연습장/NNG+을/JKO
둘러봤다.	둘러보/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.229.7.2
김 감독과 전주야구장은 인연이 깊다.

김	김/NNP
감독과	감독/NNG+과/JC
전주야구장은	전주야구장/NNP+은/JX
인연이	인연/NNG+이/JKS
깊다.	깊/VA+다/EF+./SF


# id : NWRW1800000030.229.7.3
그는 1996년부터 4년 동안 전주를 연고지로 한 쌍방울 레이더스를 지휘했다.

그는	그/NP+는/JX
1996년부터	1996/SN+년/NNB+부터/JX
4년	4/SN+년/NNB
동안	동안/NNG
전주를	전주/NNP+를/JKO
연고지로	연고지/NNG+로/JKB
한	하/VV+ㄴ/ETM
쌍방울	쌍방울/NNP
레이더스를	레이더스/NNP+를/JKO
지휘했다.	지휘/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.229.7.4
그의 혹독한 조련을 받은 쌍방울은 1996년 만년 하위팀이라는 꼬리표를 떼고 포스트시즌에 올랐다.

그의	그/NP+의/JKG
혹독한	혹독하/VA+ㄴ/ETM
조련을	조련/NNG+을/JKO
받은	받/VV+은/ETM
쌍방울은	쌍방울/NNP+은/JX
1996년	1996/SN+년/NNB
만년	만년/NNG
하위팀이라는	하위/NNG+팀/NNG+이/VCP+라는/ETM
꼬리표를	꼬리표/NNG+를/JKO
떼고	떼/VV+고/EC
포스트시즌에	포스트시즌/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.229.7.5
