# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.263
metadata : {}


# id : NWRW1800000022.263.1.1
軍, 공격용 헬기부대 전력 보강 美, 駐韓아파치부대 곧 철수

軍,	軍/SH+,/SP
공격용	공격/NNG+용/XSN
헬기부대	헬기/NNG+부대/NNG
전력	전력/NNG
보강	보강/NNG
美,	美/SH+,/SP
駐韓아파치부대	駐韓/SH+아파치부대/NNP
곧	곧/MAG
철수	철수/NNG


# id : NWRW1800000022.263.2.1
주한 미군이 1개 대대만 남은 아파치 헬기 부대를 완전 철수하는 것으로 알려졌다.

주한	주한/NNG
미군이	미군/NNG+이/JKS
1개	1/SN+개/NNB
대대만	대대/NNG+만/JX
남은	남/VV+은/ETM
아파치	아파치/NNP
헬기	헬기/NNG
부대를	부대/NNG+를/JKO
완전	완전/NNG
철수하는	철수/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.263.2.2
우리 군(軍)도 이에 따른 전력 공백을 메우기 위해 기존 공격형 헬기 부대 전력을 대폭 보강하는 방안을 다각도로 검토 중이다.

우리	우리/NP
군(軍)도	군/NNG+(/SS+軍/SH+)/SS+도/JX
이에	이/NP+에/JKB
따른	따르/VV+ㄴ/ETM
전력	전력/NNG
공백을	공백/NNG+을/JKO
메우기	메우/VV+기/ETN
위해	위하/VV+아/EC
기존	기존/NNG
공격형	공격/NNG+형/XSN
헬기	헬기/NNG
부대	부대/NNG
전력을	전력/NNG+을/JKO
대폭	대폭/MAG
보강하는	보강/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
다각도로	다각도/NNG+로/JKB
검토	검토/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.263.3.1
2일 국방부 관계자에 따르면 전시작전통제권(전작권) 전환 이후 현재 1개 대대(24대)만 남은 미군 아파치 헬기 부대가 떠나는 것으로 전해져 이 공백을 메우기 위해 코브라 헬기·500MD가 주종인 육군 내 공격형 헬기를 중고 아파치 헬기를 들여오거나 한국형 공격 헬기(KAH) 개발로 보강하겠다는 것.

2일	2/SN+일/NNB
국방부	국방부/NNG
관계자에	관계자/NNG+에/JKB
따르면	따르/VV+면/EC
전시작전통제권(전작권)	전시/NNG+작전/NNG+통제/NNG+권/XSN+(/SS+전작권/NNG+)/SS
전환	전환/NNG
이후	이후/NNG
현재	현재/MAG
1개	1/SN+개/NNB
