# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.83
metadata : {}


# id : NWRW1800000053.83.1.1
[aT 창립 50주년]여인홍 aT사장 “수요-공급 한 눈에 파악 정보시스템 구축할 터”

[aT	[/SS+aT/SL
창립	창립/NNG
50주년]여인홍	50/SN+주년/NNB+]/SS+여인홍/NNP
aT사장	aT/SL+사장/NNG
“수요-공급	“/SS+수요/NNG+-/SO+공급/NNG
한	한/MMN
눈에	눈/NNG+에/JKB
파악	파악/NNG
정보시스템	정보/NNG+시스템/NNG
구축할	구축/NNG+하/XSV+ㄹ/ETM
터”	터/NNB+”/SS


# id : NWRW1800000053.83.2.1
인터뷰 여인홍 aT사장

인터뷰	인터뷰/NNG
여인홍	여인홍/NNP
aT사장	aT/SL+사장/NNG


# id : NWRW1800000053.83.3.1
“농업이 지속가능하려면 수급 조절이 중요합니다.

“농업이	“/SS+농업/NNG+이/JKS
지속가능하려면	지속/NNG+가능/NNG+하/XSA+려면/EC
수급	수급/NNG
조절이	조절/NNG+이/JKS
중요합니다.	중요/NNG+하/XSA+ㅂ니다/EF+./SF


# id : NWRW1800000053.83.3.2
농민들은 생산을 유지하고 소비자는 안정적으로 구입할 수 있는 시스템을 만드는 게 한국농수산식품유통공사(aT)의 일입니다”

농민들은	농민/NNG+들/XSN+은/JX
생산을	생산/NNG+을/JKO
유지하고	유지/NNG+하/XSV+고/EC
소비자는	소비자/NNG+는/JX
안정적으로	안정/NNG+적/XSN+으로/JKB
구입할	구입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
시스템을	시스템/NNG+을/JKO
만드는	만들/VV+는/ETM
게	거/NNB+이/JKS
한국농수산식품유통공사(aT)의	한국농수산식품유통공사/NNP+(/SS+aT/SL+)/SS+의/JKG
일입니다”	일/NNG+이/VCP+ㅂ니다/EF+”/SS


# id : NWRW1800000053.83.4.1
16일 서울 서초구 aT센터에서 만난 여인홍 aT사장(사진)은 공사의 역할을 이렇게 정의했다.

16일	16/SN+일/NNB
서울	서울/NNP
서초구	서초구/NNP
aT센터에서	aT센터/NNP+에서/JKB
만난	만나/VV+ㄴ/ETM
여인홍	여인홍/NNP
aT사장(사진)은	aT/SL+사장/NNG+(/SS+사진/NNG+)/SS+은/JX
공사의	공사/NNG+의/JKG
역할을	역할/NNG+을/JKO
이렇게	이렇/VA+게/EC
정의했다.	정의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.83.4.2
aT는 1967년 12월 1일 설립돼 올해 출범 50년을 맞는다.

aT는	aT/SL+는/JX
1967년	1967/SN+년/NNB
12월	12/SN+월/NNB
1일	1/SN+일/NNB
설립돼	설립/NNG+되/XSV+어/EC
올해	올해/NNG
출범	출범/NNG
50년을	50/SN+년/NNB+을/JKO
맞는다.	맞/VV+는다/EF+./SF


# id : NWRW1800000053.83.4.3
여 사장은 “농업이 지난 50년 간 기계화와 과학화 등으로 엄청나게 변했지만 판로확보가 여전히 힘든 측면이 있다”면서 “aT는 안정적으로 농산물 가격을 형성하고 위생적으로 유통될 수 있게 책임지는 역할”이라고 말했다.

여	여/NNP
사장은	사장/NNG+은/JX
“농업이	“/SS+농업/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
50년	50/SN+년/NNB
간	간/XSN
기계화와	기계/NNG+화/XSN+와/JC
과학화	과학/NNG+화/XSN
등으로	등/NNB+으로/JKB
엄청나게	엄청나/VA+게/EC
변했지만	변하/VV+았/EP+지만/EC
판로확보가	판로/NNG+확보/NNG+가/JKS
여전히	여전히/MAG
힘든	힘들/VA+ㄴ/ETM
측면이	측면/NNG+이/JKS
있다”면서	있/VA+다/EF+”/SS+면서/EC
“aT는	“/SS+aT/SL+는/JX
안정적으로	안정/NNG+적/XSN+으로/JKB
농산물	농산물/NNG
가격을	가격/NNG+을/JKO
형성하고	형성/NNG+하/XSV+고/EC
위생적으로	위생/NNG+적/XSN+으로/JKB
유통될	유통/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
책임지는	책임지/VV+는/ETM
역할”이라고	역할/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.83.5.1
aT는 1967년 농어촌개발공사로 출범해 주로 농수산업 가공산업 육성에 주력하다 1978년 고추파동 이후 농수산물의 가격 안정을 위한 수매·비축사업을 맡았다.

aT는	aT/SL+는/JX
1967년	1967/SN+년/NNB
농어촌개발공사로	농어촌개발공사/NNP+로/JKB
출범해	출범/NNG+하/XSV+아/EC
주로	주로/MAG
농수산업	농수산업/NNG
가공산업	가공/NNG+산업/NNG
육성에	육성/NNG+에/JKB
주력하다	주력/NNG+하/XSV+다/EC
1978년	1978/SN+년/NNB
고추파동	고추/NNG+파동/NNG
이후	이후/NNG
농수산물의	농수산물/NNG+의/JKG
가격	가격/NNG
안정을	안정/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
수매·비축사업을	수매/NNG+·/SP+비축/NNG+사업/NNG+을/JKO
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.83.5.2
1986년 농수산물유통공사로 이름을 바꾸면서 유통구조 선진화를 위한 인프라 구축에 힘썼다.

1986년	1986/SN+년/NNB
농수산물유통공사로	농수산물유통공사/NNP+로/JKB
이름을	이름/NNG+을/JKO
바꾸면서	바꾸/VV+면서/EC
유통구조	유통/NNG+구조/NNG
선진화를	선진/NNG+화/XSN+를/JKO
위한	위하/VV+ㄴ/ETM
인프라	인프라/NNG
구축에	구축/NNG+에/JKB
힘썼다.	힘쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.83.5.3
2012년에는 식품기능을 강화해 현재의 한국농수산식품유통공사로 이름을 변경했다.

2012년에는	2012/SN+년/NNB+에/JKB+는/JX
식품기능을	식품/NNG+기능/NNG+을/JKO
강화해	강화/NNG+하/XSV+아/EC
현재의	현재/NNG+의/JKG
한국농수산식품유통공사로	한국농수산식품유통공사/NNP+로/JKB
이름을	이름/NNG+을/JKO
변경했다.	변경/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.83.6.1
지난해 10월 취임해 1년 넘게 aT를 이끌고 있는 여 사장은 “많은 농업인이 어떤 작물을 얼마나 재배하고 어디로 출하할지에 대해서 모두 개인이 의사결정을 한다”면서 “생산이 어느 정도 조직화돼서 생산량과 수요량을 짐작할 수 있어야 하는데 농업인 모두가 완전 경쟁시장에 내쳐진 것”이라고 안타까움을 표시했다.

지난해	지난해/NNG
10월	10/SN+월/NNB
취임해	취임/NNG+하/XSV+아/EC
1년	1/SN+년/NNB
넘게	넘/VV+게/EC
aT를	aT/SL+를/JKO
이끌고	이끌/VV+고/EC
있는	있/VX+는/ETM
여	여/NNP
사장은	사장/NNG+은/JX
“많은	“/SS+많/VA+은/ETM
농업인이	농업인/NNG+이/JKS
어떤	어떤/MMD
작물을	작물/NNG+을/JKO
얼마나	얼마나/MAG
재배하고	재배/NNG+하/XSV+고/EC
어디로	어디/NP+로/JKB
출하할지에	출하/NNG+하/XSV+ㄹ지/EF+에/JKB
대해서	대하/VV+아서/EC
모두	모두/MAG
개인이	개인/NNG+이/JKS
의사결정을	의사/NNG+결정/NNG+을/JKO
한다”면서	하/VV+ㄴ다/EF+”/SS+면서/EC
“생산이	“/SS+생산/NNG+이/JKS
어느	어느/MMD
정도	정도/NNG
조직화돼서	조직/NNG+화/XSN+되/XSV+어서/EC
생산량과	생산량/NNG+과/JC
수요량을	수요량/NNG+을/JKO
짐작할	짐작/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있어야	있/VA+어야/EC
하는데	하/VX+는데/EC
농업인	농업인/NNG
모두가	모두/NNG+가/JKS
완전	완전/NNG
경쟁시장에	경쟁/NNG+시장/NNG+에/JKB
내쳐진	내치/VV+어/EC+지/VX+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
안타까움을	안타깝/VA+ㅁ/ETN+을/JKO
표시했다.	표시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.83.7.1
여 사장은 “최근 중국 쇼핑행사인 광군제에서 전자상거래업체인 알리바바가 하루만에 28조 원어치를 파는 것을 보면서 유통경로의 중요성을 다시 한번 절감했다”면서 “내년 상반기까지 농축수산물의 수요량과 공급량을 한 눈에 볼 수 있는 수급유통종합정보시스템을 구축할 것”이라고 말했다.

여	여/NNP
사장은	사장/NNG+은/JX
“최근	“/SS+최근/NNG
중국	중국/NNP
쇼핑행사인	쇼핑/NNG+행사/NNG+이/VCP+ㄴ/ETM
광군제에서	광군제/NNG+에서/JKB
전자상거래업체인	전자/NNG+상거래/NNG+업체/NNG+이/VCP+ㄴ/ETM
알리바바가	알리바바/NNP+가/JKS
하루만에	하루/NNG+만/NNB+에/JKB
28조	28/SN+조/NNB
원어치를	원/NNB+어치/XSN+를/JKO
파는	팔/VV+는/ETM
것을	것/NNB+을/JKO
보면서	보/VV+면서/EC
유통경로의	유통/NNG+경로/NNG+의/JKG
중요성을	중요/NNG+성/XSN+을/JKO
다시	다시/MAG
한번	한번/MAG
절감했다”면서	절감/NNG+하/XSV+았/EP+다/EF+”/SS+면서/EC
“내년	“/SS+내년/NNG
상반기까지	상반기/NNG+까지/JX
농축수산물의	농축수산물/NNG+의/JKG
수요량과	수요량/NNG+과/JC
공급량을	공급량/NNG+을/JKO
한	한/MMN
눈에	눈/NNG+에/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
수급유통종합정보시스템을	수급/NNG+유통/NNG+종합/NNG+정보/NNG+시스템/NNG+을/JKO
구축할	구축/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.83.7.2
어느 시장에서 어떤 물건이 얼마나 팔렸는지, 어느 식당에서 식재료를 얼마나 소비했고 뭐가 부족한지 소비자와 생산자가 쉽게 파악하게 할 계획이다.

어느	어느/MMD
시장에서	시장/NNG+에서/JKB
어떤	어떤/MMD
물건이	물건/NNG+이/JKS
얼마나	얼마나/MAG
팔렸는지,	팔리/VV+었/EP+는지/EC+,/SP
식당에서	식당/NNG+에서/JKB
식재료를	식재료/NNG+를/JKO
소비했고	소비/NNG+하/XSV+았/EP+고/EC
뭐가	뭐/NP+가/JKS
부족한지	부족/NNG+하/XSA+ㄴ지/EC
소비자와	소비자/NNG+와/JC
생산자가	생산자/NNG+가/JKS
쉽게	쉽/VA+게/EC
파악하게	파악/NNG+하/XSV+게/EC
할	하/VX+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.83.8.1
aT는 국내 수급안정뿐만 아니라 국내서 생산된 농산물의 수출 통로 마련도 돕는다.

aT는	aT/SL+는/JX
국내	국내/NNG
수급안정뿐만	수급/NNG+안정/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
국내서	국내/NNG+서/JKB
생산된	생산/NNG+되/XSV+ㄴ/ETM
농산물의	농산물/NNG+의/JKG
수출	수출/NNG
통로	통로/NNG
마련도	마련/NNG+도/JX
돕는다.	돕/VV+는다/EF+./SF


# id : NWRW1800000053.83.8.2
특히 미국과 일본, 중국 같은 기존 시장 외에 새로운 시장도 개척하고 있다.

특히	특히/MAG
미국과	미국/NNP+과/JC
일본,	일본/NNP+,/SP
중국	중국/NNP
같은	같/VA+은/ETM
기존	기존/NNG
시장	시장/NNG
외에	외/NNB+에/JKB
새로운	새롭/VA+ㄴ/ETM
시장도	시장/NNG+도/JX
개척하고	개척/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.83.8.3
브라질과 인도, 남아프리카공화국 등이 대표적인 예다.

브라질과	브라질/NNP+과/JC
인도,	인도/NNP+,/SP
남아프리카공화국	남아프리카공화국/NNP
등이	등/NNB+이/JKS
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
예다.	예/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.83.8.4
