# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.423
metadata : {}


# id : NWRW1800000030.423.1.1
[수도권I] [위크엔드] 남양주 다산 유적지와 홍릉·유릉

[수도권I]	[/SS+수도/NNG+권/XSN+I/SL+]/SS
[위크엔드]	[/SS+위크엔드/NNG+]/SS
남양주	남양주/NNP
다산	다산/NNP
유적지와	유적지/NNG+와/JC
홍릉·유릉	홍릉/NNP+·/SP+유릉/NNP


# id : NWRW1800000030.423.2.1
•조선 후기로 역사여행 떠나볼까

•조선	•/SW+조선/NNP
후기로	후기/NNG+로/JKB
역사여행	역사/NNG+여행/NNG
떠나볼까	떠나/VV+아/EC+보/VX+ㄹ까/EF


# id : NWRW1800000030.423.3.1
경기도 남양주시에는 조선 후기의 역사를 간직하고 있는 현장이 있다.

경기도	경기도/NNP
남양주시에는	남양주시/NNP+에/JKB+는/JX
조선	조선/NNP
후기의	후기/NNG+의/JKG
역사를	역사/NNG+를/JKO
간직하고	간직/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
현장이	현장/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.423.3.2
팔당호반 조안면 능내리에는 대표적인 실학자인 다산(茶山) 정약용(丁若鏞) 선생이 살았던 '다산 유적지'가 자리잡고 있다.

팔당호반	팔당호반/NNP
조안면	조안면/NNP
능내리에는	능내리/NNP+에/JKB+는/JX
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
실학자인	실학자/NNG+이/VCP+ㄴ/ETM
다산(茶山)	다산/NNP+(/SS+茶山/SH+)/SS
정약용(丁若鏞)	정약용/NNP+(/SS+丁若鏞/SH+)/SS
선생이	선생/NNG+이/JKS
살았던	살/VV+았/EP+던/ETM
'다산	'/SS+다산/NNP
유적지'가	유적지/NNG+'/SS+가/JKS
자리잡고	자리/NNG+잡/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.423.3.3
또 금곡동에 있는 홍릉·유릉은 조선의 마지막 임금들인 고종(高宗)과 순종(純宗)이 잠들어 있는 왕릉이다.

또	또/MAG
금곡동에	금곡동/NNP+에/JKB
있는	있/VX+는/ETM
홍릉·유릉은	홍릉/NNP+·/SP+유릉/NNP+은/JX
조선의	조선/NNP+의/JKG
마지막	마지막/NNG
임금들인	임금/NNG+들/XSN+이/VCP+ㄴ/ETM
고종(高宗)과	고종/NNP+(/SS+高宗/SH+)/SS+과/JC
순종(純宗)이	순종/NNP+(/SS+純宗/SH+)/SS+이/JKS
잠들어	잠들/VV+어/EC
왕릉이다.	왕릉/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.423.3.4
조선왕조가 흔들리던 시절 개혁을 꿈꿨던 학자와 망국의 비운을 맞아야 했던 시대를 되돌아볼 수 있는 곳으로 역사탐방을 떠나보자.

조선왕조가	조선/NNP+왕조/NNG+가/JKS
흔들리던	흔들리/VV+던/ETM
시절	시절/NNG
개혁을	개혁/NNG+을/JKO
꿈꿨던	꿈꾸/VV+었/EP+던/ETM
학자와	학자/NNG+와/JC
망국의	망국/NNG+의/JKG
비운을	비운/NNG+을/JKO
맞아야	맞/VV+아야/EC
했던	하/VX+았/EP+던/ETM
시대를	시대/NNG+를/JKO
되돌아볼	되돌아보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
곳으로	곳/NNG+으로/JKB
역사탐방을	역사/NNG+탐방/NNG+을/JKO
떠나보자.	떠나/VV+아/EC+보/VX+자/EF+./SF


# id : NWRW1800000030.423.4.1
◇다산 유적지

◇다산	◇/SW+다산/NNP
유적지	유적지/NNG


# id : NWRW1800000030.423.5.1
다산 정약용(1762~1836)은 '마재'로 불리던 이곳에서 태어나 벼슬길에 오르기 전까지 젊은 시절을 보냈다.

다산	다산/NNP
정약용(1762~1836)은	정약용/NNP+(/SS+1762/SN+~/SO+1836/SN+)/SS+은/JX
'마재'로	'/SS+마재/NNP+'/SS+로/JKB
불리던	불리/VV+던/ETM
이곳에서	이곳/NP+에서/JKB
태어나	태어나/VV+아/EC
벼슬길에	벼슬길/NNG+에/JKB
오르기	오르/VV+기/ETN
전까지	전/NNG+까지/JX
젊은	젊/VA+은/ETM
시절을	시절/NNG+을/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.423.5.2
그러나 다시 고향으로 돌아오기까지 18년이라는 긴 유배 생활을 겪어야 했다.

그러나	그러나/MAJ
다시	다시/MAG
고향으로	고향/NNG+으로/JKB
돌아오기까지	돌아오/VV+기/ETN+까지/JX
18년이라는	18/SN+년/NNB+이/VCP+라는/ETM
긴	길/VA+ㄴ/ETM
유배	유배/NNG
생활을	생활/NNG+을/JKO
겪어야	겪/VV+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.423.5.3
나이 쉰을 넘긴 1818년에야 귀향해 병마에 시달리며 만년을 지냈고, 마을 뒷산에 묻혔다.

나이	나이/NNG
쉰을	쉰/NR+을/JKO
넘긴	넘기/VV+ㄴ/ETM
1818년에야	1818/SN+년/NNB+에/JKB+야/JX
귀향해	귀향/NNG+하/XSV+아/EC
병마에	병마/NNG+에/JKB
시달리며	시달리/VV+며/EC
만년을	만년/NNG+을/JKO
지냈고,	지내/VV+었/EP+고/EC+,/SP
마을	마을/NNG
뒷산에	뒷산/NNG+에/JKB
묻혔다.	묻히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.423.5.4
다산의 생가였던 여유당은 1925년 대홍수로 떠내려갔고, 팔당댐이 생기면서 옛 마을은 모습을 잃었다.

다산의	다산/NNP+의/JKG
생가였던	생가/NNG+이/VCP+었/EP+던/ETM
여유당은	여유당/NNP+은/JX
1925년	1925/SN+년/NNB
대홍수로	대/XPN+홍수/NNG+로/JKB
떠내려갔고,	떠내려가/VV+았/EP+고/EC+,/SP
팔당댐이	팔당댐/NNP+이/JKS
생기면서	생기/VV+면서/EC
옛	옛/MMA
마을은	마을/NNG+은/JX
모습을	모습/NNG+을/JKO
잃었다.	잃/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.423.5.5
그러나 1975년에 복원하면서 유적지로 다시 태어났다.

그러나	그러나/MAJ
1975년에	1975/SN+년/NNB+에/JKB
복원하면서	복원/NNG+하/XSV+면서/EC
유적지로	유적지/NNG+로/JKB
다시	다시/MAG
태어났다.	태어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.423.6.1
다산 유적지에는 여유당과 함께 묘소, 다산기념관, 다산문화관, 사당(문도사) 등이 들어서 있다.

다산	다산/NNP
유적지에는	유적지/NNG+에/JKB+는/JX
여유당과	여유당/NNP+과/JKB
함께	함께/MAG
묘소,	묘소/NNG+,/SP
다산기념관,	다산기념관/NNP+,/SP
다산문화관,	다산문화관/NNP+,/SP
사당(문도사)	사당/NNG+(/SS+문도사/NNP+)/SS
등이	등/NNB+이/JKS
들어서	들어서/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.423.6.2
주차장에서 다산 유적지로 들어서는 길목에는 다산의 저서를 본뜬 조각과 거중기 모형, 목민심서 등을 새긴 동판이 눈길을 끈다.

주차장에서	주차장/NNG+에서/JKB
다산	다산/NNP
유적지로	유적지/NNG+로/JKB
들어서는	들어서/VV+는/ETM
길목에는	길목/NNG+에/JKB+는/JX
다산의	다산/NNP+의/JKG
저서를	저서/NNG+를/JKO
본뜬	본뜨/VV+ㄴ/ETM
조각과	조각/NNG+과/JC
거중기	거중기/NNG
모형,	모형/NNG+,/SP
목민심서	목민심서/NNP
등을	등/NNB+을/JKO
새긴	새기/VV+ㄴ/ETM
동판이	동판/NNG+이/JKS
눈길을	눈길/NNG+을/JKO
끈다.	끌/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.423.6.3
또 여유당의 오른편을 돌아 뒷동산에 올라서면 다산 선생 내외의 묘소가 소박하게 자리잡고 있다.

또	또/MAG
여유당의	여유당/NNP+의/JKG
오른편을	오른편/NNG+을/JKO
돌아	돌/VV+아/EC
뒷동산에	뒷동산/NNG+에/JKB
올라서면	올라서/VV+면/EC
다산	다산/NNP
선생	선생/NNG
내외의	내외/NNG+의/JKG
묘소가	묘소/NNG+가/JKS
소박하게	소박하/VA+게/EC
자리잡고	자리/NNG+잡/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.423.7.1
다산 기념관에는 다산의 친필 편지, 산수도 등과 목민심서, 경세유표, 흠흠신서 사본이 전시돼 있다.

다산	다산/NNP
기념관에는	기념관/NNG+에/JKB+는/JX
다산의	다산/NNP+의/JKG
친필	친필/NNG
편지,	편지/NNG+,/SP
산수도	산수도/NNG
등과	등/NNB+과/JKB
목민심서,	목민심서/NNP+,/SP
경세유표,	경세유표/NNP+,/SP
흠흠신서	흠흠신서/NNP
사본이	사본/NNG+이/JKS
전시돼	전시/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.423.7.2
거중기와 녹로의 축소 모형도 눈길을 끈다.

거중기와	거중기/NNG+와/JC
녹로의	녹로/NNG+의/JKG
축소	축소/NNG
모형도	모형/NNG+도/JX
눈길을	눈길/NNG+을/JKO
끈다.	끌/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.423.7.3
수원 화성을 쌓을 당시 도르래의 원리를 이용해 다산이 설계한 기계로 알려져 있다.

수원	수원/NNP
화성을	화성/NNP+을/JKO
쌓을	쌓/VV+을/ETM
당시	당시/NNG
도르래의	도르래/NNG+의/JKG
원리를	원리/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
다산이	다산/NNP+이/JKS
설계한	설계/NNG+하/XSV+ㄴ/ETM
기계로	기계/NNG+로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.423.7.4
다산 문화관에는 500여권에 이르는 방대한 저술을 분야별로 기록해 놓았다.

다산	다산/NNP
문화관에는	문화관/NNG+에/JKB+는/JX
500여권에	500/SN+여/XSN+권/NNB+에/JKB
이르는	이르/VV+는/ETM
방대한	방대하/VA+ㄴ/ETM
저술을	저술/NNG+을/JKO
분야별로	분야/NNG+별/XSN+로/JKB
기록해	기록/NNG+하/XSV+아/EC
놓았다.	놓/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.423.7.5
다산 유적지 관리사무소 (031)590-2481

다산	다산/NNP
유적지	유적지/NNG
관리사무소	관리/NNG+사무소/NNG
(031)590-2481	(/SS+031/SN+)/SS+590/SN+-/SO+2481/SN


# id : NWRW1800000030.423.8.1
◇실학 박물관

◇실학	◇/SW+실학/NNG
박물관	박물관/NNG


# id : NWRW1800000030.423.9.1
다산 유적지 바로 앞에는 실학 박물관이 들어서 있다.

다산	다산/NNP
유적지	유적지/NNG
바로	바로/MAG
앞에는	앞/NNG+에/JKB+는/JX
실학	실학/NNG
박물관이	박물관/NNG+이/JKS
들어서	들어서/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.423.9.2
유물 전시는 물론 교육 기능을 강조하고 있다.

유물	유물/NNG
전시는	전시/NNG+는/JX
물론	물론/MAG
교육	교육/NNG
기능을	기능/NNG+을/JKO
강조하고	강조/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.423.9.3
상설전시실에서는 각각 '실학의 형성''실학의 전개' '천문과 지리'를 주제로 실학사상 전반을 소개하고 있다.

상설전시실에서는	상설/NNG+전시실/NNG+에서/JKB+는/JX
각각	각각/MAG
'실학의	'/SS+실학/NNG+의/JKG
형성''실학의	형성/NNG+'/SS+'/SS+실학/NNG+의/JKG
전개'	전개/NNG+'/SS
'천문과	'/SS+천문/NNG+과/JC
지리'를	지리/NNG+'/SS+를/JKO
주제로	주제/NNG+로/JKB
실학사상	실학사상/NNG
전반을	전반/NNG+을/JKO
소개하고	소개/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.423.9.4
서양문물의 전래와 조선 사회의 변화로 실학이 탄생하는 과정, 실학이 어떻게 발전해 근대로 넘어갔는지를 쉽게 알 수 있다.

서양문물의	서양/NNG+문물/NNG+의/JKG
전래와	전래/NNG+와/JC
조선	조선/NNP
사회의	사회/NNG+의/JKG
변화로	변화/NNG+로/JKB
실학이	실학/NNG+이/JKS
탄생하는	탄생/NNG+하/XSV+는/ETM
과정,	과정/NNG+,/SP
어떻게	어떻/VA+게/EC
발전해	발전/NNG+하/XSV+아/EC
근대로	근대/NNG+로/JKB
넘어갔는지를	넘어가/VV+았/EP+는지/EC+를/JKO
쉽게	쉽/VA+게/EC
알	알/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.423.9.5
고대의 우주관을 벗어나 새로운 시각으로 하늘과 땅을 바라본 과정도 배울 수 있게 해 준다.

고대의	고대/NNG+의/JKG
우주관을	우주관/NNG+을/JKO
벗어나	벗어나/VV+아/EC
새로운	새롭/VA+ㄴ/ETM
시각으로	시각/NNG+으로/JKB
하늘과	하늘/NNG+과/JC
땅을	땅/NNG+을/JKO
바라본	바라보/VV+ㄴ/ETM
과정도	과정/NNG+도/JX
배울	배우/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
해	하/VX+아/EC
준다.	주/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.423.10.1
실학 박물관은 특별전시회도 마련하고 있다.

실학	실학/NNG
박물관은	박물관/NNG+은/JX
특별전시회도	특별/NNG+전시회/NNG+도/JX
마련하고	마련/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.423.10.2
지금은 '곤여만국전도, 세계와 우주를 그리다' 전이 열리고 있다.

지금은	지금/NNG+은/JX
'곤여만국전도,	'/SS+곤여만국전도/NNP+,/SP
세계와	세계/NNG+와/JC
우주를	우주/NNG+를/JKO
그리다'	그리/VV+다/EF+'/SS
전이	전/NA+이/JKS
열리고	열리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.423.10.3
17세기 초에 전래된 곤여만국전도를 중심으로 조선 후기에 그려진 세계 지도를 통해 실학자들의 세계관과 우주관을 살펴볼 수 있다.

17세기	17/SN+세기/NNG
초에	초/NNB+에/JKB
전래된	전래/NNG+되/XSV+ㄴ/ETM
곤여만국전도를	곤여만국전도/NNP+를/JKO
중심으로	중심/NNG+으로/JKB
조선	조선/NNP
후기에	후기/NNG+에/JKB
그려진	그리/VV+어/EC+지/VX+ㄴ/ETM
세계	세계/NNG
지도를	지도/NNG+를/JKO
통해	통하/VV+아/EC
실학자들의	실학자/NNG+들/XSN+의/JKG
세계관과	세계관/NNG+과/JC
우주관을	우주관/NNG+을/JKO
살펴볼	살펴보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.423.10.4
실학 박물관은 매일 오전 9시부터 오후 6시까지 개관하며 관람료는 없다.

실학	실학/NNG
박물관은	박물관/NNG+은/JX
매일	매일/MAG
오전	오전/NNG
9시부터	9/SN+시/NNB+부터/JX
오후	오후/NNG
6시까지	6/SN+시/NNB+까지/JX
개관하며	개관/NNG+하/XSV+며/EC
관람료는	관람료/NNG+는/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000030.423.10.5
홈페이지(www.silhak museum.or.kr) 사전 접수를 통해 교육체험 프로그램도 운영한다.

홈페이지(www.silhak	홈페이지/NNG+(/SS+www/SL+./SP+silhak/SL
museum.or.kr)	museum/SL+./SP+or/SL+./SP+kr/SL+)/SS
사전	사전/NNG
접수를	접수/NNG+를/JKO
