# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.235
metadata : {}


# id : NWRW1800000021.235.1.1
“흥행대박, 2분만에 결정돼요”

“흥행대박,	“/SS+흥행/NNG+대/XPN+박/NNG+,/SP
2분만에	2/SN+분/NNB+만/NNB+에/JKB
결정돼요”	결정/NNG+되/XSV+어요/EF+”/SS


# id : NWRW1800000021.235.2.1
‘미녀는 괴로워’ ‘타짜’ ‘좋은 놈, 나쁜 놈, 이상한 놈’ ‘쌍화점’ ‘마더’ ‘박쥐’까지….

‘미녀는	‘/SS+미녀/NNG+는/JX
괴로워’	괴롭/VA+어/EC+’/SS
‘타짜’	‘/SS+타짜/NNG+’/SS
‘좋은	‘/SS+좋/VA+은/ETM
놈,	놈/NNB+,/SP
나쁜	나쁘/VA+ㄴ/ETM
이상한	이상/NNG+하/XSA+ㄴ/ETM
놈’	놈/NNB+’/SS
‘쌍화점’	‘/SS+쌍화점/NNG+’/SS
‘마더’	‘/SS+마더/NNG+’/SS
‘박쥐’까지….	‘/SS+박쥐/NNP+’/SS+까지/JX+…/SE+./SF


# id : NWRW1800000021.235.3.1
최근 5년간 흥행했던 위의 영화 중에는 한 가지 공통점이 있다.

최근	최근/NNG
5년간	5/SN+년/NNB+간/XSN
흥행했던	흥행/NNG+하/XSV+았/EP+던/ETM
위의	위/NNG+의/JKG
영화	영화/NNG
중에는	중/NNB+에/JKB+는/JX
한	한/MMN
가지	가지/NNB
공통점이	공통점/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.235.3.2
영화 예고편이 모두 같은 회사에서 만들어졌다는 것이다.

영화	영화/NNG
예고편이	예고편/NNG+이/JKS
모두	모두/MAG
같은	같/VA+은/ETM
회사에서	회사/NNG+에서/JKB
만들어졌다는	만들/VV+어/EC+지/VX+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.235.3.3
예고편 전문 제작사인 ‘하하하필름프로덕션’의 작품이다.

예고편	예고편/NNG
전문	전문/NNG
제작사인	제작사/NNG+이/VCP+ㄴ/ETM
‘하하하필름프로덕션’의	‘/SS+하하하필름프로덕션/NNP+’/SS+의/JKG
작품이다.	작품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.235.3.4
이 회사는 2005년 대학에서 영화연출을 전공한 최승원 대표(32)를 비롯해 시각디자인을 전공한 김기훈(32) 신의철 씨(29) 등 세 명이 의기투합해 세웠다.

이	이/MMD
회사는	회사/NNG+는/JX
2005년	2005/SN+년/NNB
대학에서	대학/NNG+에서/JKB
영화연출을	영화/NNG+연출/NNG+을/JKO
전공한	전공/NNG+하/XSV+ㄴ/ETM
최승원	최승원/NNP
대표(32)를	대표/NNG+(/SS+32/SN+)/SS+를/JKO
비롯해	비롯하/VV+아/EC
시각디자인을	시각/NNG+디자인/NNG+을/JKO
김기훈(32)	김기훈/NNP+(/SS+32/SN+)/SS
신의철	신의철/NNP
씨(29)	씨/NNB+(/SS+29/SN+)/SS
등	등/NNB
세	세/MMN
명이	명/NNB+이/JKS
의기투합해	의기투합/NNG+하/XSV+아/EC
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.235.4.1
이들이 말하는 영화 예고편은 ‘2분짜리 선택의 미학’이다.

이들이	이/NP+들/XSN+이/JKS
말하는	말/NNG+하/XSV+는/ETM
영화	영화/NNG
예고편은	예고편/NNG+은/JX
‘2분짜리	‘/SS+2/SN+분/NNB+짜리/XSN
선택의	선택/NNG+의/JKG
미학’이다.	미학/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000021.235.4.2
영화의 무수한 장면 중에서 눈길을 사로잡을 단 몇 장면만 꼽아야 하기 때문이다.

영화의	영화/NNG+의/JKG
무수한	무수/NNG+하/XSA+ㄴ/ETM
장면	장면/NNG
중에서	중/NNB+에서/JKB
눈길을	눈길/NNG+을/JKO
사로잡을	사로잡/VV+을/ETM
단	단/MMA
몇	몇/NR
장면만	장면/NNG+만/JX
꼽아야	꼽/VV+아야/EC
하기	하/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.235.4.3
최 대표의 표현처럼 “영화를 보고 싶게 만들면서 영화를 다 봤다고 느끼게 하면 안 되는” 순간들의 조합이 예고편이다.

최	최/NNP
대표의	대표/NNG+의/JKG
표현처럼	표현/NNG+처럼/JKB
“영화를	“/SS+영화/NNG+를/JKO
보고	보/VV+고/EC
싶게	싶/VX+게/EC
만들면서	만들/VV+면서/EC
영화를	영화/NNG+를/JKO
다	다/MAG
봤다고	보/VV+았/EP+다고/EC
느끼게	느끼/VV+게/EC
하면	하/VX+면/EC
안	안/MAG
되는”	되/VV+는/ETM+”/SS
순간들의	순간/NNG+들/XSN+의/JKG
조합이	조합/NNG+이/JKS
예고편이다.	예고편/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.235.4.4
그래서 제작사는 예고편에 들어갈 장면을 추리기 위해 일부 관객들에게 가(假)편집본을 보여주고 설문조사를 하기도 한다.

그래서	그래서/MAJ
제작사는	제작사/NNG+는/JX
예고편에	예고편/NNG+에/JKB
들어갈	들어가/VV+ㄹ/ETM
장면을	장면/NNG+을/JKO
추리기	추리/VV+기/ETN
위해	위하/VV+아/EC
일부	일부/NNG
관객들에게	관객/NNG+들/XSN+에게/JKB
가(假)편집본을	가/XPN+(/SS+假/SL+)/SS+편집본/NNG+을/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
설문조사를	설문/NNG+조사/NNG+를/JKO
하기도	하/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.235.4.5
그만큼 예고편은 치밀한 전략과 계산의 결과물이다.

그만큼	그만큼/MAG
예고편은	예고편/NNG+은/JX
치밀한	치밀하/VA+ㄴ/ETM
전략과	전략/NNG+과/JC
계산의	계산/NNG+의/JKG
결과물이다.	결과물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.235.5.1
2분짜리 예고편에도 금기사항은 있다.

2분짜리	2/SN+분/NNB+짜리/XSN
예고편에도	예고편/NNG+에/JKB+도/JX
금기사항은	금기/NNG+사항/NNG+은/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.235.5.2
스포일러가 될 수 있는 영화의 하이라이트를 보여주지 않는 것은 기본.

스포일러가	스포일러/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
영화의	영화/NNG+의/JKG
하이라이트를	하이라이트/NNG+를/JKO
보여주지	보이/VV+어/EC+주/VX+지/EC
않는	않/VX+는/ETM
것은	것/NNB+은/JX
기본.	기본/NNG+./SF


# id : NWRW1800000021.235.5.3
초반 몇 장면만으로 영화의 장르와 분위기를 유추할 수 있도록 해야 한다.

초반	초반/NNG
몇	몇/NR
장면만으로	장면/NNG+만/JX+으로/JKB
영화의	영화/NNG+의/JKG
장르와	장르/NNG+와/JC
분위기를	분위기/NNG+를/JKO
유추할	유추/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
해야	하/VX+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.235.5.4
영화 ‘마더’의 예고편은 그래서 난도가 높았던 작업이었다.

영화	영화/NNG
‘마더’의	‘/SS+마더/NNG+’/SS+의/JKG
예고편은	예고편/NNG+은/JX
그래서	그래서/MAJ
난도가	난도/NNG+가/JKS
높았던	높/VA+았/EP+던/ETM
작업이었다.	작업/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.235.6.1
“톱스타 원빈을 노출해야 예고편이 눈길을 끄는데, 그러지 못해 아쉬웠어요. 원빈을 많이 드러냈다가 원빈을 범인이라 생각하게 되면 영화를 다 보여주는 거니까요. 그렇다고 적게 노출하면 흥미를 못 끌고… 딜레마였죠.”(최 대표)

“톱스타	“/SS+톱스타/NNG
원빈을	원빈/NNP+을/JKO
노출해야	노출/NNG+하/XSV+아야/EC
예고편이	예고편/NNG+이/JKS
눈길을	눈길/NNG+을/JKO
끄는데,	끌/VV+는데/EC+,/SP
그러지	그러/VV+지/EC
못해	못하/VX+아/EC
아쉬웠어요.	아쉽/VA+었/EP+어요/EF+./SF
많이	많이/MAG
드러냈다가	드러내/VV+었/EP+다가/EC
범인이라	범인/NNG+이/VCP+라/EC
생각하게	생각/NNG+하/XSV+게/EC
되면	되/VV+면/EC
영화를	영화/NNG+를/JKO
다	다/MAG
보여주는	보이/VV+어/EC+주/VX+는/ETM
거니까요.	거/NNB+이/VCP+니까/EC+요/JX+./SF
그렇다고	그렇/VA+다고/EC
적게	적/VA+게/EC
노출하면	노출/NNG+하/XSV+면/EC
흥미를	흥미/NNG+를/JKO
못	못/MAG
끌고…	끌/VV+고/EC+…/SE
딜레마였죠.”(최	딜레마/NNG+이/VCP+었/EP+죠/EF+./SF+”/SS+(/SS+최/NNP
대표)	대표/NNG+)/SS


# id : NWRW1800000021.235.7.1
제작은 대개 개봉 석 달 전부터 들어간다.

제작은	제작/NNG+은/JX
대개	대개/MAG
개봉	개봉/NNG
석	석/MMN
달	달/NNG
전부터	전/NNG+부터/JX
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.235.7.2
제작비는 건당 최소 4000만 원.

제작비는	제작비/NNG+는/JX
건당	건당/NNG
최소	최소/NNG
4000만	4000/SN+만/NR
원.	원/NNB+./SF


# id : NWRW1800000021.235.7.3
보통 영화 한 편에 예고편 한 개가 만들어지지만 히트작일 경우 티저 예고편이 따로 제작되기도 한다.

보통	보통/MAG
영화	영화/NNG
한	한/MMN
편에	편/NNB+에/JKB
예고편	예고편/NNG
개가	개/NNB+가/JKS
만들어지지만	만들/VV+어/EC+지/VX+지만/EC
히트작일	히트작/NNG+이/VCP+ㄹ/ETM
경우	경우/NNG
티저	티저/NNG
예고편이	예고편/NNG+이/JKS
따로	따로/MAG
제작되기도	제작/NNG+되/XSV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.235.7.4
봉준호 감독의 ‘마더’는 예고편만 3편이었다.

봉준호	봉준호/NNP
감독의	감독/NNG+의/JKG
‘마더’는	‘/SS+마더/NNG+’/SS+는/JX
예고편만	예고편/NNG+만/JX
3편이었다.	3/SN+편/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.235.8.1
한국 영화가 쏟아지던 해에는 예고편에도 경쟁이 붙으며 영화의 본질과 다른 ‘낚시용’ 예고편이 속출했다.

한국	한국/NNP
영화가	영화/NNG+가/JKS
쏟아지던	쏟아지/VV+던/ETM
해에는	해/NNG+에/JKB+는/JX
예고편에도	예고편/NNG+에/JKB+도/JX
경쟁이	경쟁/NNG+이/JKS
붙으며	붙/VV+으며/EC
영화의	영화/NNG+의/JKG
본질과	본질/NNG+과/JKB
다른	다르/VA+ㄴ/ETM
‘낚시용’	‘/SS+낚시/NNG+용/XSN+’/SS
예고편이	예고편/NNG+이/JKS
속출했다.	속출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.235.8.2
더 돋보이기 위해 ‘하하하…’는 예고편을 자체 제작 했을 정도.

더	더/MAG
돋보이기	돋보이/VV+기/ETN
위해	위하/VV+아/EC
‘하하하…’는	‘/SS+하하하/NNP+…/SE+’/SS+는/JX
예고편을	예고편/NNG+을/JKO
자체	자체/NNG
제작	제작/NNG
했을	하/VV+았/EP+을/ETM
정도.	정도/NNG+./SF


# id : NWRW1800000021.235.8.3
‘다찌마와 리-악인이여 지옥행 급행열차를 타라’ ‘앤티크’ ‘미녀는 괴로워’ 등은 영화 속 장면을 편집하지 않고 예고편을 위한 장면을 따로 찍었다.

‘다찌마와	‘/SS+다찌마와/NNP
리-악인이여	리/NNP+-/SO+악인/NNG+이여/JKV
지옥행	지옥행/NNG
급행열차를	급행열차/NNG+를/JKO
타라’	타/VV+라/EF+’/SS
‘앤티크’	‘/SS+앤티크/NNG+’/SS
‘미녀는	‘/SS+미녀/NNG+는/JX
괴로워’	괴롭/VA+어/EC+’/SS
등은	등/NNB+은/JX
영화	영화/NNG
속	속/NNG
장면을	장면/NNG+을/JKO
편집하지	편집/NNG+하/XSV+지/EC
않고	않/VX+고/EC
예고편을	예고편/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
따로	따로/MAG
찍었다.	찍/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.235.9.1
한 편의 예고편 제작을 위해 편집 전 상태의 영화를 3번 정도 정독하듯 본다는 이들은 직업병도 별나다.

한	한/MMN
편의	편/NNB+의/JKG
예고편	예고편/NNG
제작을	제작/NNG+을/JKO
위해	위하/VV+아/EC
편집	편집/NNG
전	전/NNG
상태의	상태/NNG+의/JKG
영화를	영화/NNG+를/JKO
3번	3/SN+번/NNB
정도	정도/NNG
정독하듯	정독/NNG+하/XSV+듯/EC
본다는	보/VV+ㄴ다는/ETM
이들은	이/NP+들/XSN+은/JX
직업병도	직업병/NNG+도/JX
별나다.	별나/VA+다/EF+./SF


# id : NWRW1800000021.235.9.2
극장에서 개봉 영화는 웬만하면 보지 않는다.

극장에서	극장/NNG+에서/JKB
개봉	개봉/NNG
영화는	영화/NNG+는/JX
웬만하면	웬만하/VA+면/EC
보지	보/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000021.235.9.3
“저 장면 왜 안 썼지 한숨만 나오니까요.

“저	“/SS+저/MMD
장면	장면/NNG
왜	왜/MAG
안	안/MAG
썼지	쓰/VV+었/EP+지/EF
한숨만	한/XPN+숨/NNG+만/JX
나오니까요.	나오/VV+니까/EC+요/JX+./SF


# id : NWRW1800000021.235.9.4
