# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.357
metadata : {}


# id : NWRW1800000049.357.1.1
靑 “최순실 의혹, 근거없는 정치공세”

靑	靑/SH
“최순실	“/SS+최순실/NNP
의혹,	의혹/NNG+,/SP
근거없는	근거/NNG+없/VA+는/ETM
정치공세”	정치/NNG+공세/NNG+”/SS


# id : NWRW1800000049.357.2.1
野 “권력형 비리… 국정조사-특검 검토” 더민주, 미르-K스포츠재단 관련 안종범 수석 국감 증인채택 추진

野	野/SH
“권력형	“/SS+권력/NNG+형/XSN
비리…	비리/NNG+…/SE
국정조사-특검	국정/NNG+조사/NNG+-/SO+특검/NNG
검토”	검토/NNG+”/SS
더민주,	더민주/NNP+,/SP
미르-K스포츠재단	미르/NNP+-/SO+K스포츠재단/NNP
관련	관련/NNG
안종범	안종범/NNP
수석	수석/NNG
국감	국감/NNG
증인채택	증인/NNG+채택/NNG
추진	추진/NNG


# id : NWRW1800000049.357.3.1
청와대가 더불어민주당 조응천 의원을 두고 부글부글하고 있다.

청와대가	청와대/NNP+가/JKS
더불어민주당	더불어민주당/NNP
조응천	조응천/NNP
의원을	의원/NNG+을/JKO
두고	두/VV+고/EC
부글부글하고	부글부글/MAG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.357.3.2
현 정부에서 대통령공직기강비서관을 지낸 조 의원이 전날 국회 대정부질문에서 박근혜 대통령과 인연이 있는 최순실(최서원으로 개명) 씨 관련 의혹을 직접 제기하고 나섰기 때문이다.

현	현/MMD
정부에서	정부/NNG+에서/JKB
대통령공직기강비서관을	대통령/NNG+공직/NNG+기강/NNG+비서관/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
조	조/NNP
의원이	의원/NNG+이/JKS
전날	전날/NNG
국회	국회/NNG
대정부질문에서	대정부/NNG+질문/NNG+에서/JKB
박근혜	박근혜/NNP
대통령과	대통령/NNG+과/JKB
인연이	인연/NNG+이/JKS
있는	있/VA+는/ETM
최순실(최서원으로	최순실/NNP+(/SS+최서원/NNP+으로/JKB
개명)	개명/NNG+)/SS
씨	씨/NNB
관련	관련/NNG
의혹을	의혹/NNG+을/JKO
직접	직접/MAG
제기하고	제기/NNG+하/XSV+고/EC
나섰기	나서/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.357.4.1
청와대 관계자는 21일 “조 의원이 치졸한 정치 공세를 펴고 있다”며 “엉뚱한 사람에게 성 추행범 누명까지 씌웠던 버릇을 못 고친 것 같다”고 비판했다.

청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
21일	21/SN+일/NNB
“조	“/SS+조/NNP
의원이	의원/NNG+이/JKS
치졸한	치졸/NNG+하/XSA+ㄴ/ETM
정치	정치/NNG
공세를	공세/NNG+를/JKO
펴고	펴/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“엉뚱한	“/SS+엉뚱하/VA+ㄴ/ETM
사람에게	사람/NNG+에게/JKB
성	성/NNG
추행범	추행범/NNG
누명까지	누명/NNG+까지/JX
씌웠던	씌우/VV+었/EP+던/ETM
버릇을	버릇/NNG+을/JKO
못	못/MAG
고친	고치/VV+ㄴ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.357.4.2
조 의원이 6월 대법원 양형위원으로 위촉된 MBC 간부를 성추행 전력자로 잘못 폭로했던 전력을 지적한 것이다.

조	조/NNP
의원이	의원/NNG+이/JKS
6월	6/SN+월/NNB
대법원	대/XPN+법원/NNG
양형위원으로	양형/NNG+위원/NNG+으로/JKB
위촉된	위촉/NNG+되/XSV+ㄴ/ETM
MBC	MBC/SL
간부를	간부/NNG+를/JKO
성추행	성추행/NNG
전력자로	전력자/NNG+로/JKB
잘못	잘못/MAG
폭로했던	폭로/NNG+하/XSV+았/EP+던/ETM
전력을	전력/NNG+을/JKO
지적한	지적/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.357.4.3
조 의원은 대정부질문에서 최 씨가 우병우 대통령민정수석비서관, 윤전추 청와대 행정관 인사에 개입했으며 액세서리를 구입해 박 대통령에게 전달했다고 주장했다.

조	조/NNP
의원은	의원/NNG+은/JX
대정부질문에서	대정부/NNG+질문/NNG+에서/JKB
최	최/NNP
씨가	씨/NNB+가/JKS
우병우	우병우/NNP
대통령민정수석비서관,	대통령/NNG+민정/NNG+수석/NNG+비서관/NNG+,/SP
윤전추	윤전추/NNP
청와대	청와대/NNP
행정관	행정관/NNG
인사에	인사/NNG+에/JKB
개입했으며	개입/NNG+하/XSV+았/EP+으며/EC
액세서리를	액세서리/NNG+를/JKO
구입해	구입/NNG+하/XSV+아/EC
박	박/NNP
대통령에게	대통령/NNG+에게/JKB
전달했다고	전달/NNG+하/XSV+았/EP+다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.357.4.4
이에 대해 정연국 청와대 대변인은 “언급할 만한 가치가 없다”고 잘라 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
정연국	정연국/NNP
청와대	청와대/NNP
대변인은	대변인/NNG+은/JX
“언급할	“/SS+언급/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
가치가	가치/NNG+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
잘라	자르/VV+아/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.357.4.5
‘전혀 사실이 아니라는 것이냐’는 질문에 “그렇다”고 답했다.

‘전혀	‘/SS+전혀/MAG
사실이	사실/NNG+이/JKC
아니라는	아니/VCN+라는/ETM
것이냐’는	것/NNB+이/VCP+냐/EF+’/SS+는/ETM
질문에	질문/NNG+에/JKB
“그렇다”고	“/SS+그렇/VA+다/EF+”/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.357.5.1
그러나 야권은 이날도 최 씨와 미르·K스포츠 재단 관련 의혹을 ‘권력형 비리’로 규정하고 공세 수위를 높였다.

그러나	그러나/MAJ
야권은	야권/NNG+은/JX
이날도	이날/NNG+도/JX
최	최/NNP
씨와	씨/NNB+와/JC
미르·K스포츠	미르/NNP+·/SP+K스포츠/NNP
재단	재단/NNG
관련	관련/NNG
의혹을	의혹/NNG+을/JKO
‘권력형	‘/SS+권력/NNG+형/XSN
비리’로	비리/NNG+’/SS+로/JKB
규정하고	규정/NNG+하/XSV+고/EC
공세	공세/NNG
수위를	수위/NNG+를/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.357.5.2
