# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.437
metadata : {}


# id : NWRW1800000028.437.1.1
부산은행, 금융지주사 예비인가

부산은행,	부산은행/NNP+,/SP
금융지주사	금융/NNG+지주사/NNG
예비인가	예비/NNG+인가/NNG


# id : NWRW1800000028.437.2.1
부산은행이 지방은행 가운데 처음으로 금융지주회사 설립을 위한 예비인가를 받아냈다.

부산은행이	부산은행/NNP+이/JKS
지방은행	지방/NNG+은행/NNG
가운데	가운데/NNG
처음으로	처음/NNG+으로/JKB
금융지주회사	금융/NNG+지주/NNG+회사/NNG
설립을	설립/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
예비인가를	예비/NNG+인가/NNG+를/JKO
받아냈다.	받/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.437.3.1
이 은행은 15일 오후 서울 여의도에서 열린 금융위원회 정례회의에서 금융지주사 설립 예비인가를 받았다고 밝혔다.

이	이/MMD
은행은	은행/NNG+은/JX
15일	15/SN+일/NNB
오후	오후/NNG
서울	서울/NNP
여의도에서	여의도/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
금융위원회	금융/NNG+위원회/NNG
정례회의에서	정례/NNG+회의/NNG+에서/JKB
금융지주사	금융/NNG+지주사/NNG
설립	설립/NNG
예비인가를	예비/NNG+인가/NNG+를/JKO
받았다고	받/VV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.437.3.2
이 은행의 금융지주사인 비에스(BS)금융지주(가칭)는 주식의 포괄적 이전을 통해 설립되며, 부산은행과 BS투자증권, BS캐피탈, 부산신용정보 등 4개의 자회사를 거느리게 된다.

이	이/MMD
은행의	은행/NNG+의/JKG
금융지주사인	금융/NNG+지주사/NNG+이/VCP+ㄴ/ETM
비에스(BS)금융지주(가칭)는	비에스/NNP+(/SS+BS/SL+)/SS+금융/NNG+지주/NNG+(/SS+가칭/NNG+)/SS+는/JX
주식의	주식/NNG+의/JKG
포괄적	포괄/NNG+적/XSN
이전을	이전/NNG+을/JKO
통해	통하/VV+아/EC
설립되며,	설립/NNG+되/XSV+며/EC+,/SP
부산은행과	부산은행/NNP+과/JC
BS투자증권,	BS투자증권/NNP+,/SP
BS캐피탈,	BS캐피탈/NNP+,/SP
부산신용정보	부산신용정보/NNP
등	등/NNB
4개의	4/SN+개/NNB+의/JKG
자회사를	자회사/NNG+를/JKO
거느리게	거느리/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.437.4.1
내년 1월 열리는 주주총회에서 지주회사 설립을 위한 주식 이전 계획을 승인하면 내년 3월께 금융위원회로부터 본인가를 받아 금융지주회사로 공식 출범하게 된다.

내년	내년/NNG
1월	1/SN+월/NNB
열리는	열리/VV+는/ETM
주주총회에서	주주/NNG+총회/NNG+에서/JKB
지주회사	지주/NNG+회사/NNG
설립을	설립/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
주식	주식/NNG
이전	이전/NNG
계획을	계획/NNG+을/JKO
승인하면	승인/NNG+하/XSV+면/EC
3월께	3/SN+월/NNB+께/XSN
금융위원회로부터	금융/NNG+위원회/NNG+로부터/JKB
본인가를	본인가/NNG+를/JKO
받아	받/VV+아/EC
금융지주회사로	금융/NNG+지주/NNG+회사/NNG+로/JKB
공식	공식/NNG
출범하게	출범/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.437.4.2
BS금융지주는 출범 뒤 아이티 관련 자회사와 자산운용사 등도 추가로 설립해 자회사로 편입할 계획이다.

BS금융지주는	BS금융지주/NNP+는/JX
출범	출범/NNG
뒤	뒤/NNG
아이티	아이티/NNG
관련	관련/NNG
자회사와	자회사/NNG+와/JC
자산운용사	자산/NNG+운용사/NNG
등도	등/NNB+도/JX
추가로	추가/NNG+로/JKB
설립해	설립/NNG+하/XSV+아/EC
자회사로	자회사/NNG+로/JKB
편입할	편입/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


