# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.298
metadata : {}


# id : NWRW1800000054.298.1.1
[萬物相] 歷史까지 '예능' 된 세상

[萬物相]	[/SS+萬物相/SH+]/SS
歷史까지	歷史/SH+까지/JX
'예능'	'/SS+예능/NNG+'/SS
된	되/VV+ㄴ/ETM
세상	세상/NNG


# id : NWRW1800000054.298.2.1
아이가 고3이었을 때 인터넷 수능 강좌를 엿듣다가 깜짝 놀란 일이 있다.

아이가	아이/NNG+가/JKS
고3이었을	고/NNG+3/SN+이/VCP+었/EP+을/ETM
때	때/NNG
인터넷	인터넷/NNG
수능	수능/NNG
강좌를	강좌/NNG+를/JKO
엿듣다가	엿듣/VV+다가/EC
깜짝	깜짝/MAG
놀란	놀라/VV+ㄴ/ETM
일이	일/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.298.2.2
수십만 수험생을 향해 강사가 이승만을 '새끼', 김구·여운형을 '선생'이라 부르는 거였다.

수십만	수십만/NR
수험생을	수험/NNG+생/XSN+을/JKO
향해	향하/VV+아/EC
강사가	강사/NNG+가/JKS
이승만을	이승만/NNP+을/JKO
'새끼',	'/SS+새끼/NNP+'/SS+,/SP
김구·여운형을	김구/NNP+·/SP+여운형/NNP+을/JKO
'선생'이라	'/SS+선생/NNG+'/SS+이/VCP+라/EC
부르는	부르/VV+는/ETM
거였다.	거/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.298.2.3
이런 식이었다.

이런	이런/MMD
식이었다.	식/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.298.2.4
"이승만은 임시정부의 노선 갈등에 기름을 부은 새끼" "해방 후 임시정부 요인들과 함께 귀국하신 김구 선생" "여운형 선생 등 중도파는 좌우 합작에 나서고…."

"이승만은	"/SS+이승만/NNP+은/JX
임시정부의	임시/NNG+정부/NNG+의/JKG
노선	노선/NNG
갈등에	갈등/NNG+에/JKB
기름을	기름/NNG+을/JKO
부은	붓/VV+은/ETM
새끼"	새끼/NNG+"/SS
"해방	"/SS+해방/NNG
후	후/NNG
임시정부	임시/NNG+정부/NNG
요인들과	요인/NNG+들/XSN+과/JKB
함께	함께/MAG
귀국하신	귀국/NNG+하/XSV+시/EP+ㄴ/ETM
김구	김구/NNP
선생"	선생/NNG+"/SS
"여운형	"/SS+여운형/NNP
선생	선생/NNG
등	등/NNB
중도파는	중도파/NNG+는/JX
좌우	좌우/NNG
합작에	합작/NNG+에/JKB
나서고…."	나서/VV+고/EC+…/SE+./SF+"/SS


# id : NWRW1800000054.298.3.1
▶알고 봤더니 이 정도는 약과였다.

▶알고	▶/SW+알/VV+고/EC
봤더니	보/VX+았/EP+더니/EC
이	이/MMD
정도는	정도/NNG+는/JX
약과였다.	약과/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.298.3.2
인터넷 수능 강좌와 인터넷 방송에 막말, 부정확한 지식, 편향적 선동들이 넘쳐났다.

인터넷	인터넷/NNG
수능	수능/NNG
강좌와	강좌/NNG+와/JC
방송에	방송/NNG+에/JKB
막말,	막말/NNG+,/SP
부정확한	부/XPN+정확/NNG+하/XSA+ㄴ/ETM
지식,	지식/NNG+,/SP
편향적	편향/NNG+적/XSN
선동들이	선동/NNG+들/XSN+이/JKS
넘쳐났다.	넘치/VV+어/EC+나/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.298.3.3
어느 스타 강사는 "남학생들은 씨×, 딱 까놓고 J대까지야. 그 아래 가면 인생 고달파진다. 여학생들은 재수할 돈으로 쌍꺼풀 수술해"라고 했다.

어느	어느/MMD
스타	스타/NNG
강사는	강사/NNG+는/JX
"남학생들은	"/SS+남학생/NNG+들/XSN+은/JX
씨×,	씨×/NA+,/SP
딱	딱/MAG
까놓고	까놓/VV+고/EC
J대까지야.	J/SL+대/NNG+까지/JX+야/JX+./SF
그	그/MMD
아래	아래/NNG
가면	가/VV+면/EC
인생	인생/NNG
고달파진다.	고달프/VA+아/EC+지/VX+ㄴ다/EF+./SF
여학생들은	여학생/NNG+들/XSN+은/JX
재수할	재수/NNG+하/XSV+ㄹ/ETM
돈으로	돈/NNG+으로/JKB
쌍꺼풀	쌍꺼풀/NNG
수술해"라고	수술/NNG+하/XSV+아/EF+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.298.3.4
다른 강사는 "많은 국민이 박정희를 존경한대. 썩어도 이렇게 썩은 나라가 있을까. 장준하가 암살당한 순간, 이 나라 정의는 없는 거야"라고 했다.

다른	다른/MMD
강사는	강사/NNG+는/JX
"많은	"/SS+많/VA+은/ETM
국민이	국민/NNG+이/JKS
박정희를	박정희/NNP+를/JKO
존경한대.	존경/NNG+하/XSV+ㄴ대/EF+./SF
썩어도	썩/VV+어도/EC
이렇게	이렇/VA+게/EC
썩은	썩/VV+은/ETM
나라가	나라/NNG+가/JKS
있을까.	있/VA+을까/EF+./SF
장준하가	장준하/NNP+가/JKS
암살당한	암살/NNG+당하/XSV+ㄴ/ETM
순간,	순간/NNG+,/SP
이	이/MMD
나라	나라/NNG
정의는	정의/NNG+는/JX
없는	없/VA+는/ETM
거야"라고	거/NNB+이/VCP+야/EF+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.298.4.1
▶이런 소리를 듣고 자란 어린 학생들이 사회를 어떻게 보고 있을까.

▶이런	▶/SW+이런/MMD
소리를	소리/NNG+를/JKO
듣고	듣/VV+고/EC
자란	자라/VV+ㄴ/ETM
어린	어리/VA+ㄴ/ETM
학생들이	학생/NNG+들/XSN+이/JKS
사회를	사회/NNG+를/JKO
어떻게	어떻/VA+게/EC
보고	보/VV+고/EC
있을까.	있/VX+을까/EF+./SF


# id : NWRW1800000054.298.4.2
얼마 전 경북 문명고 신입생들이 새 역사 교과서 연구학교 지정에 항의하며 입학식을 거부하는 일이 벌어졌다.

얼마	얼마/NNG
전	전/NNG
경북	경북/NNP
문명고	문명고/NNP
신입생들이	신입/NNG+생/XSN+들/XSN+이/JKS
새	새/MMA
역사	역사/NNG
교과서	교과서/NNG
연구학교	연구/NNG+학교/NNG
지정에	지정/NNG+에/JKB
항의하며	항의/NNG+하/XSV+며/EC
입학식을	입학식/NNG+을/JKO
거부하는	거부/NNG+하/XSV+는/ETM
일이	일/NNG+이/JKS
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.298.4.3
그들이 기존의 좌편향 교과서와 새 교과서를 비교한 끝에 이런 행동을 했을 리 없다.

그들이	그/NP+들/XSN+이/JKS
기존의	기존/NNG+의/JKG
좌편향	좌편향/NNG
교과서와	교과서/NNG+와/JC
새	새/MMA
교과서를	교과서/NNG+를/JKO
비교한	비교/NNG+하/XSV+ㄴ/ETM
끝에	끝/NNG+에/JKB
이런	이런/MMD
행동을	행동/NNG+을/JKO
했을	하/VV+았/EP+을/ETM
리	리/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000054.298.4.4
한 학생은 "인터넷에서 새 교과서는 엉터리라고 해서…"라고 말했다.

한	한/MMN
학생은	학생/NNG+은/JX
"인터넷에서	"/SS+인터넷/NNG+에서/JKB
새	새/MMA
교과서는	교과서/NNG+는/JX
엉터리라고	엉터리/NNG+이/VCP+라고/EC
해서…"라고	하/VV+아서/EC+…/SE+"/SS+라고/JKQ
