# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.153
metadata : {}


# id : NWRW1800000052.153.1.1
김중업이 빚은 한국 현대건축 최고 걸작 다시 태어난다

김중업이	김중업/NNP+이/JKS
빚은	빚/VV+은/ETM
한국	한국/NNP
현대건축	현대/NNG+건축/NNG
최고	최고/NNG
걸작	걸작/NNG
다시	다시/MAG
태어난다	태어나/VV+ㄴ다/EF


# id : NWRW1800000052.153.2.1
거장 김중업 대표작 주한프랑스대사관

거장	거장/NNG
김중업	김중업/NNP
대표작	대표작/NNG
주한프랑스대사관	주한프랑스대사관/NNP


# id : NWRW1800000052.153.3.1
2018년 대대적 신축 리모델링

2018년	2018/SN+년/NNB
대대적	대대적/MMA
신축	신축/NNG
리모델링	리모델링/NNG


# id : NWRW1800000052.153.4.1
조민석 건축가의 매스스터디스, 프랑스 사티가 맡아

조민석	조민석/NNP
건축가의	건축가/NNG+의/JKG
매스스터디스,	매스스터디스/NNP+,/SP
프랑스	프랑스/NNP
사티가	사티/NNP+가/JKS
맡아	맡/VV+아/EF


# id : NWRW1800000052.153.5.1
원형 처마선 복원, 신축 갤러리 일반에 개방

원형	원형/NNG
처마선	처마/NNG+선/NNG
복원,	복원/NNG+,/SP
신축	신축/NNG
갤러리	갤러리/NNG
일반에	일반/NNG+에/JKB
개방	개방/NNG


# id : NWRW1800000052.153.6.1
건축거장 김중업(1922~1988)의 대표작으로, 한국 현대건축 최고의 걸작으로 손꼽히는 서울 충정로 주한프랑스대사관이 건립 57주년을 맞는 2018년 대대적인 신축 리모델링 공사에 들어간다.

건축거장	건축/NNG+거장/NNG
김중업(1922~1988)의	김중업/NNP+(/SS+1922/SN+~/SO+1988/SN+)/SS+의/JKG
대표작으로,	대표작/NNG+으로/JKB+,/SP
한국	한국/NNP
현대건축	현대/NNG+건축/NNG
최고의	최고/NNG+의/JKG
걸작으로	걸작/NNG+으로/JKB
손꼽히는	손꼽히/VV+는/ETM
서울	서울/NNP
충정로	충정로/NNP
주한프랑스대사관이	주한프랑스대사관/NNP+이/JKS
건립	건립/NNG
57주년을	57/SN+주년/NNB+을/JKO
맞는	맞/VV+는/ETM
2018년	2018/SN+년/NNB
대대적인	대대적/NNG+이/VCP+ㄴ/ETM
신축	신축/NNG
리모델링	리모델링/NNG
공사에	공사/NNG+에/JKB
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.153.6.2
특히 지어진 뒤 변형됐던 사무동의 부드러운 처마선이 원형대로 복원되고, 일반 시민들에게도 개방되는 대형 갤러리동도 들어설 예정이어서 충정로 일대의 문화 경관이 크게 바뀔 것으로 보인다.

특히	특히/MAG
지어진	짓/VV+어/EC+지/VX+ㄴ/ETM
뒤	뒤/NNG
변형됐던	변형/NNG+되/XSV+었/EP+던/ETM
사무동의	사무/NNG+동/NNG+의/JKG
부드러운	부드럽/VA+ㄴ/ETM
처마선이	처마/NNG+선/NNG+이/JKS
원형대로	원형/NNG+대로/JX
복원되고,	복원/NNG+되/XSV+고/EC+,/SP
일반	일반/NNG
시민들에게도	시민/NNG+들/XSN+에게/JKB+도/JX
개방되는	개방/NNG+되/XSV+는/ETM
대형	대형/NNG
갤러리동도	갤러리/NNG+동/NNG+도/JX
