# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.113
metadata : {}


# id : NWRW1800000021.113.1.1
中企 가동률 1년만에 반등

中企	中企/SH
가동률	가동/NNG+률/XSN
1년만에	1/SN+년/NNB+만/NNB+에/JKB
반등	반등/NNG


# id : NWRW1800000021.113.2.1
계속 내림세를 보이던 중소기업 설비 가동률이 1년 만에 반등했다.

계속	계속/MAG
내림세를	내림세/NNG+를/JKO
보이던	보이/VV+던/ETM
중소기업	중소기업/NNG
설비	설비/NNG
가동률이	가동/NNG+률/XSN+이/JKS
1년	1/SN+년/NNB
만에	만/NNB+에/JKB
반등했다.	반등/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.113.2.2
31일 중소기업중앙회에 따르면 올해 2월 중소기업 1415개의 평균 설비 가동률은 63.9%로 1월에 비해 1.3%포인트 상승했다.

31일	31/SN+일/NNB
중소기업중앙회에	중소기업/NNG+중앙회/NNG+에/JKB
따르면	따르/VV+면/EC
올해	올해/NNG
2월	2/SN+월/NNB
중소기업	중소기업/NNG
1415개의	1415/SN+개/NNB+의/JKG
평균	평균/NNG
설비	설비/NNG
가동률은	가동/NNG+률/XSN+은/JX
63.9%로	63/SN+./SP+9/SN+%/SW+로/JKB
1월에	1/SN+월/NNB+에/JKB
비해	비/NNG+하/XSV+아/EC
1.3%포인트	1/SN+./SP+3/SN+%포인트/NNG
상승했다.	상승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.113.2.3
이는 지난해 4월(71.1%) 이후 11개월 만에 오름세로 돌아선 것이다.

이는	이/NP+는/JX
지난해	지난해/NNG
4월(71.1%)	4/SN+월/NNB+(/SS+71/SN+./SP+1/SN+%/SW+)/SS
이후	이후/NNG
11개월	11/SN+개월/NNB
만에	만/NNB+에/JKB
오름세로	오름세/NNG+로/JKB
돌아선	돌아서/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.113.2.4
중기중앙회 측은 “설 연휴 축소에 따른 조업일수 증가와 환율상승 효과, 일부 해외시장 수요 증가가 복합적으로 작용한 데 따른 것”으로 분석했다.

중기중앙회	중기중앙회/NNP
측은	측/NNB+은/JX
“설	“/SS+설/NNG
연휴	연휴/NNG
축소에	축소/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
조업일수	조업/NNG+일수/NNG
증가와	증가/NNG+와/JC
환율상승	환율/NNG+상승/NNG
효과,	효과/NNG+,/SP
일부	일부/NNG
해외시장	해외/NNG+시장/NNG
수요	수요/NNG
증가가	증가/NNG+가/JKS
복합적으로	복합/NNG+적/XSN+으로/JKB
작용한	작용/NNG+하/XSV+ㄴ/ETM
데	데/NNB
것”으로	것/NNB+”/SS+으로/JKB
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.113.2.5
하지만 월별 가동률은 지난해 6월(69.8%) 70% 아래로 내려앉은 뒤 9개월 연속 60%대에 머물고 있다.

하지만	하지만/MAJ
월별	월/NNG+별/XSN
가동률은	가동/NNG+률/XSN+은/JX
지난해	지난해/NNG
6월(69.8%)	6/SN+월/NNB+(/SS+69/SN+./SP+8/SN+%/SW+)/SS
70%	70/SN+%/SW
아래로	아래/NNG+로/JKB
내려앉은	내려앉/VV+은/ETM
뒤	뒤/NNG
9개월	9/SN+개월/NNB
연속	연속/NNG
60%대에	60/SN+%/SW+대/XSN+에/JKB
머물고	머물/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.113.2.6
업종별 설비 가동률 상승폭은 섬유가 1월보다 4.5%포인트 올라 가장 높았다.

업종별	업종/NNG+별/XSN
설비	설비/NNG
가동률	가동/NNG+률/XSN
상승폭은	상승/NNG+폭/NNG+은/JX
섬유가	섬유/NNG+가/JKS
1월보다	1/SN+월/NNB+보다/JKB
4.5%포인트	4/SN+./SP+5/SN+%포인트/NNG
올라	오르/VV+아/EC
가장	가장/MAG
높았다.	높/VA+았/EP+다/EF+./SF


