# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.88
metadata : {}


# id : NWRW1800000033.88.1.1
지구촌 인쇄매체 ‘종이 접기’ 가속

지구촌	지구촌/NNG
인쇄매체	인쇄/NNG+매체/NNG
‘종이	‘/SS+종이/NNG
접기’	접/VV+기/ETN+’/SS
가속	가속/NNG


# id : NWRW1800000033.88.2.1
스마트폰 시대-불황 여파… 잇달아 온라인 전환-폐간

스마트폰	스마트폰/NNG
시대-불황	시대/NNG+-/SO+불황/NNG
여파…	여파/NNG+…/SE
잇달아	잇달/VV+아/EC
온라인	온라인/NNG
전환-폐간	전환/NNG+-/SO+폐간/NNG


# id : NWRW1800000033.88.3.1
올 한 해 미국 프랑스 독일 일본 등 주요 선진국에서 화려한 명성을 자랑했던 신문과 잡지들이 줄줄이 문을 닫거나 온라인판만 운영하는 식으로 전략을 바꿨다.

올	올/NNG
한	한/MMN
해	해/NNB
미국	미국/NNP
프랑스	프랑스/NNP
독일	독일/NNP
일본	일본/NNP
등	등/NNB
주요	주요/NNG
선진국에서	선진국/NNG+에서/JKB
화려한	화려하/VA+ㄴ/ETM
명성을	명성/NNG+을/JKO
자랑했던	자랑/NNG+하/XSV+았/EP+던/ETM
신문과	신문/NNG+과/JC
잡지들이	잡지/NNG+들/XSN+이/JKS
줄줄이	줄줄이/MAG
문을	문/NNG+을/JKO
닫거나	닫/VV+거나/EC
온라인판만	온라인판/NNG+만/JX
운영하는	운영/NNG+하/XSV+는/ETM
식으로	식/NNB+으로/JKB
전략을	전략/NNG+을/JKO
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.88.3.2
정보기술(IT) 매체와 스마트폰 확산, 무가지 출현, 경기 불황이 겹쳐 독자와 광고 수입이 줄어든 게 가장 큰 원인이다.

정보기술(IT)	정보/NNG+기술/NNG+(/SS+IT/SL+)/SS
매체와	매체/NNG+와/JC
스마트폰	스마트폰/NNG
확산,	확산/NNG+,/SP
무가지	무가지/NNG
출현,	출현/NNG+,/SP
경기	경기/NNG
불황이	불황/NNG+이/JKS
겹쳐	겹치/VV+어/EC
독자와	독자/NNG+와/JKB
광고	광고/NNG
수입이	수입/NNG+이/JKS
줄어든	줄어들/VV+ㄴ/ETM
게	거/NNB+이/JKS
가장	가장/MAG
큰	크/VA+ㄴ/ETM
원인이다.	원인/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.88.4.1
타임과 함께 미국을 대표해 온 79년 역사의 시사주간지 뉴스위크가 12월 31일자를 마지막 종이판으로 24일부터 배포됐다.

타임과	타임/NNP+과/JKB
함께	함께/MAG
미국을	미국/NNP+을/JKO
대표해	대표/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
79년	79/SN+년/NNB
역사의	역사/NNG+의/JKG
시사주간지	시사/NNG+주간지/NNG
뉴스위크가	뉴스위크/NNP+가/JKS
12월	12/SN+월/NNB
31일자를	31/SN+일/NNB+자/NNG+를/JKO
마지막	마지막/NNG
종이판으로	종이판/NNG+으로/JKB
24일부터	24/SN+일/NNB+부터/JX
배포됐다.	배포/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.88.4.2
부진한 인쇄광고 매출과 인쇄와 배포에 연간 4000만 달러(약 430억 원)가 들어가는 고비용 구조가 더는 버틸 수 없도록 했다.

부진한	부진/NNG+하/XSA+ㄴ/ETM
인쇄광고	인쇄/NNG+광고/NNG
매출과	매출/NNG+과/JC
인쇄와	인쇄/NNG+와/JC
배포에	배포/NNG+에/JKB
연간	연간/NNG
4000만	4000/SN+만/NR
달러(약	달러/NNB+(/SS+약/MMA
430억	430/SN+억/NR
원)가	원/NNB+)/SS+가/JKS
들어가는	들어가/VV+는/ETM
고비용	고/XPN+비용/NNG
구조가	구조/NNG+가/JKS
더는	더/MAG+는/JX
버틸	버티/VV+ㄹ/ETM
수	수/NNB
없도록	없/VA+도록/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.88.4.3
지난해 잡지 광고매출은 1억4100만 달러(약 1513억 원)로 2007년에 비해 70%가량 줄었다.

지난해	지난해/NNG
잡지	잡지/NNG
광고매출은	광고/NNG+매출/NNG+은/JX
1억4100만	1/SN+억/NR+4100/SN+만/NR
달러(약	달러/NNB+(/SS+약/MMA
1513억	1513/SN+억/NR
원)로	원/NNB+)/SS+로/JKB
2007년에	2007/SN+년/NNB+에/JKB
비해	비/NNG+하/XSV+아/EC
70%가량	70/SN+%/SW+가량/XSN
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.88.5.1
미국의 3대 시사주간지 중 하나였던 유에스뉴스앤드월드리포트는 이미 2008년 인쇄판을 중단했으며 일간지 크리스천사이언스모니터는 2009년에 온라인 전환을 발표했다.

미국의	미국/NNP+의/JKG
3대	3/SN+대/NNG
시사주간지	시사/NNG+주간지/NNG
중	중/NNB
하나였던	하나/NR+이/VCP+었/EP+던/ETM
유에스뉴스앤드월드리포트는	유에스뉴스앤드월드리포트/NNP+는/JX
이미	이미/MAG
2008년	2008/SN+년/NNB
인쇄판을	인쇄판/NNG+을/JKO
중단했으며	중단/NNG+하/XSV+았/EP+으며/EC
일간지	일간지/NNG
크리스천사이언스모니터는	크리스천사이언스모니터/NNP+는/JX
2009년에	2009/SN+년/NNB+에/JKB
온라인	온라인/NNG
전환을	전환/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.88.6.1
재정 위기로 대륙 전체가 휘청거렸던 유럽에서 인쇄 매체에 대한 찬바람이 거셌다.

재정	재정/NNG
위기로	위기/NNG+로/JKB
대륙	대륙/NNG
전체가	전체/NNG+가/JKS
휘청거렸던	휘청거리/VV+었/EP+던/ETM
유럽에서	유럽/NNP+에서/JKB
인쇄	인쇄/NNG
매체에	매체/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
찬바람이	찬바람/NNG+이/JKS
거셌다.	거세/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.88.6.2
파이낸셜타임스(FT)의 독일어판이 12월 7일을 마지막으로 폐간됐다.

파이낸셜타임스(FT)의	파이낸셜타임스/NNP+(/SS+FT/SL+)/SS+의/JKG
독일어판이	독일어판/NNG+이/JKS
12월	12/SN+월/NNB
7일을	7/SN+일/NNB+을/JKO
마지막으로	마지막/NNG+으로/JKB
폐간됐다.	폐간/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.88.6.3
2000년 선보인 이 신문은 단 한 차례도 수익을 내지 못했고 누적 적자만 2억5000만 유로(약 3546억 원)에 달하는 것으로 나타났다.

2000년	2000/SN+년/NNB
선보인	선보이/VV+ㄴ/ETM
이	이/MMD
신문은	신문/NNG+은/JX
단	단/MMA
한	한/MMN
차례도	차례/NNG+도/JX
수익을	수익/NNG+을/JKO
내지	내/VV+지/EC
못했고	못하/VX+았/EP+고/EC
누적	누적/NNG
적자만	적자/NNG+만/JX
2억5000만	2/SN+억/NR+5000/SN+만/NR
유로(약	유로/NNB+(/SS+약/MMA
3546억	3546/SN+억/NR
원)에	원/NNB+)/SS+에/JKB
달하는	달하/VV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.88.6.4
독일 10대 일간지에 속하는 룬트샤우(FR)도 지난주 파산 신청을 했다.

독일	독일/NNP
10대	10/SN+대/NNG
일간지에	일간지/NNG+에/JKB
속하는	속하/VV+는/ETM
룬트샤우(FR)도	룬트샤우/NNP+(/SS+FR/SL+)/SS+도/JX
지난주	지난주/NNG
파산	파산/NNG
신청을	신청/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.88.7.1
레제코와 함께 프랑스의 양대 경제지였던 라트리뷘은 경영 위기를 못 버티고 1월 30일로 1985년부터 발행해 온 신문 발행을 중단했다.

레제코와	레제코/NNP+와/JKB
함께	함께/MAG
프랑스의	프랑스/NNP+의/JKG
양대	양대/MMA
경제지였던	경제지/NNG+이/VCP+었/EP+던/ETM
라트리뷘은	라트리뷘/NNP+은/JX
경영	경영/NNG
위기를	위기/NNG+를/JKO
못	못/MAG
버티고	버티/VV+고/EC
1월	1/SN+월/NNB
30일로	30/SN+일/NNB+로/JKB
1985년부터	1985/SN+년/NNB+부터/JX
발행해	발행/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
신문	신문/NNG
발행을	발행/NNG+을/JKO
중단했다.	중단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.88.7.2
이후 온라인으로만 기사를 내고 있다.

이후	이후/NNG
온라인으로만	온라인/NNG+으로/JKB+만/JX
기사를	기사/NNG+를/JKO
내고	내/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.88.7.3
지난해 12월 13일엔 1941년 레지스탕스들에 의해 창간돼 한때 최대 석간신문의 지위를 자랑했던 프랑스수아르가 역시 종이판을 끝내고 온라인판만 내고 있다.

지난해	지난해/NNG
12월	12/SN+월/NNB
13일엔	13/SN+일/NNB+에/JKB+ㄴ/JX
1941년	1941/SN+년/NNB
레지스탕스들에	레지스탕스/NNG+들/XSN+에/JKB
의해	의하/VV+아/EC
창간돼	창간/NNG+되/XSV+어/EC
한때	한때/MAG
최대	최대/NNG
석간신문의	석간신문/NNG+의/JKG
지위를	지위/NNG+를/JKO
자랑했던	자랑/NNG+하/XSV+았/EP+던/ETM
프랑스수아르가	프랑스수아르/NNP+가/JKS
역시	역시/MAG
종이판을	종이판/NNG+을/JKO
끝내고	끝내/VV+고/EC
온라인판만	온라인판/NNG+만/JX
내고	내/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.88.8.1
일본은 ‘잡지 왕국’으로까지 불리고 있지만 정보 잡지 ‘피어’, 여성지 ‘PS’ 등 무려 158종의 잡지가 지난해 휴·폐간됐다.

일본은	일본/NNP+은/JX
‘잡지	‘/SS+잡지/NNG
왕국’으로까지	왕국/NNG+’/SS+으로/JKB+까지/JX
불리고	불리/VV+고/EC
있지만	있/VX+지만/EC
정보	정보/NNG
잡지	잡지/NNG
‘피어’,	‘/SS+피어/NNP+’/SS+,/SP
여성지	여성지/NNG
‘PS’	‘/SS+PS/SL+’/SS
등	등/NNB
무려	무려/MAG
158종의	158/SN+종/NNG+의/JKG
잡지가	잡지/NNG+가/JKS
지난해	지난해/NNG
휴·폐간됐다.	휴·폐간/NNG+되/XSV+었/EP+다/EF+./SF


