# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.96
metadata : {}


# id : NWRW1800000033.96.1.1
[LH 3주년]친환경 설계·주민 공간 마련… 지역과 하나됨을 꿈꾸다

[LH	[/SS+LH/SL
3주년]친환경	3/SN+주년/NNB+]/SS+친/XPN+환경/NNG
설계·주민	설계/NNG+·/SP+주민/NNG
공간	공간/NNG
마련…	마련/NNG+…/SE
지역과	지역/NNG+과/JKB
하나됨을	하나/NR+되/VV+ㅁ/ETN+을/JKO
꿈꾸다	꿈꾸/VV+다/EF


# id : NWRW1800000033.96.2.1
‘LH 경남혁신도시’ 시대를 열어갈 한국토지주택공사(LH) 진주 사옥이 10월 말 착공된다.

‘LH	‘/SS+LH/SL
경남혁신도시’	경남/NNP+혁신/NNG+도시/NNG+’/SS
시대를	시대/NNG+를/JKO
열어갈	열/VV+어/EC+가/VX+ㄹ/ETM
한국토지주택공사(LH)	한국토지주택공사/NNP+(/SS+LH/SL+)/SS
진주	진주/NNP
사옥이	사옥/NNG+이/JKS
10월	10/SN+월/NNB
말	말/NNB
착공된다.	착공/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.96.2.2
진주 사옥의 모티브는 ‘천년나무’로, 지역사회에 든든한 뿌리를 두고 지역과 상생 번영한다는 의미를 담고 있다.

진주	진주/NNP
사옥의	사옥/NNG+의/JKG
모티브는	모티브/NNG+는/JX
‘천년나무’로,	‘/SS+천년/NNG+나무/NNG+’/SS+로/JKB+,/SP
지역사회에	지역/NNG+사회/NNG+에/JKB
든든한	든든하/VA+ㄴ/ETM
뿌리를	뿌리/NNG+를/JKO
두고	두/VV+고/EC
지역과	지역/NNG+과/JKB
상생	상생/NNG
번영한다는	번영/NNG+하/XSV+ㄴ다는/ETM
의미를	의미/NNG+를/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.96.2.3
대지면적 9만7125m², 연면적 13만9295m² 토대로 지상 20층, 지하 2층 구조로 설계되는 이 건물은 최고높이 92.65m로, 지역의 랜드마크가 될 것으로 기대를 모은다.

대지면적	대지/NNG+면적/NNG
9만7125m²,	9/SN+만/NR+7125/SN+m²/SW+,/SP
연면적	연면적/NNG
13만9295m²	13/SN+만/NR+9295/SN+m²/SW
토대로	토대/NNG+로/JKB
지상	지상/NNG
20층,	20/SN+층/NNG+,/SP
지하	지하/NNG
2층	2/SN+층/NNG
구조로	구조/NNG+로/JKB
설계되는	설계/NNG+되/XSV+는/ETM
이	이/MMD
건물은	건물/NNG+은/JX
최고높이	최고/NNG+높이/NNG
92.65m로,	92/SN+./SP+65/SN+m/SW+로/JKB+,/SP
지역의	지역/NNG+의/JKG
랜드마크가	랜드마크/NNG+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대를	기대/NNG+를/JKO
모은다.	모으/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.96.2.4
공사비 약 3500억 원을 들여 2014년 말 준공하는 것이 목표다.

공사비	공사비/NNG
약	약/MMA
3500억	3500/SN+억/NR
원을	원/NNB+을/JKO
들여	들이/VV+어/EC
2014년	2014/SN+년/NNB
말	말/NNB
준공하는	준공/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
목표다.	목표/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.96.3.1
○ 에너지 소비 연 11억 원 절감

○	○/SW
에너지	에너지/NNG
소비	소비/NNG
연	연/NNG
11억	11/SN+억/NR
원	원/NNB
절감	절감/NNG


# id : NWRW1800000033.96.4.1
이 건물은 에너지 절약형 건물이라는 점이 가장 큰 특징이다.

이	이/MMD
건물은	건물/NNG+은/JX
에너지	에너지/NNG
절약형	절약/NNG+형/XSN
건물이라는	건물/NNG+이/VCP+라는/ETM
점이	점/NNG+이/JKS
가장	가장/MAG
큰	크/VA+ㄴ/ETM
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.96.4.2
고효율 에너지 건축 자재와 신재생 에너지 설비 등을 통해 연간 11억 원의 비용을 아낄 수 있도록 설계됐다.

고효율	고/XPN+효율/NNG
에너지	에너지/NNG
건축	건축/NNG
자재와	자재/NNG+와/JC
신재생	신/XPN+재생/NNG
설비	설비/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
연간	연간/NNG
11억	11/SN+억/NR
원의	원/NNB+의/JKG
비용을	비용/NNG+을/JKO
아낄	아끼/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
설계됐다.	설계/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.96.5.1
이를 위해 업무시설은 100% 남향 배치했고 에너지절약 설계기준보다 강화된 215mm 단열재를 지붕과 외벽, 바닥에 사용할 계획이다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
업무시설은	업무/NNG+시설/NNG+은/JX
100%	100/SN+%/SW
남향	남향/NNG
배치했고	배치/NNG+하/XSV+았/EP+고/EC
에너지절약	에너지/NNG+절약/NNG
설계기준보다	설계/NNG+기준/NNG+보다/JKB
강화된	강화/NNG+되/XSV+ㄴ/ETM
215mm	215/SN+mm/SW
단열재를	단열재/NNG+를/JKO
지붕과	지붕/NNG+과/JC
외벽,	외벽/NNG+,/SP
바닥에	바닥/NNG+에/JKB
사용할	사용/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.96.5.2
일조량을 줄이기 위해 일반 건축물에 통상 적용되는 2중 유리보다 일사 투과량이 훨씬 적은 멀티코팅 3중 유리를 이용하기로 했다.

일조량을	일조량/NNG+을/JKO
줄이기	줄이/VV+기/ETN
위해	위하/VV+아/EC
일반	일반/NNG
건축물에	건축물/NNG+에/JKB
통상	통상/NNG
적용되는	적용/NNG+되/XSV+는/ETM
2중	2중/NNG
유리보다	유리/NNG+보다/JKB
일사	일사/NNG
투과량이	투과량/NNG+이/JKS
훨씬	훨씬/MAG
적은	적/VA+은/ETM
멀티코팅	멀티코팅/NNG
3중	3중/NNG
유리를	유리/NNG+를/JKO
이용하기로	이용/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.96.5.3
또 태양광 발전설비와 지열 발전설비도 갖춰 ‘공공기관 건축물 신축 시 예상 에너지 사용량의 10% 이상을 신재생 에너지로 조달해야 한다’는 규정도 철저히 따르고 있다.

또	또/MAG
태양광	태양광/NNG
발전설비와	발전/NNG+설비/NNG+와/JC
지열	지열/NNG
발전설비도	발전/NNG+설비/NNG+도/JX
갖춰	갖추/VV+어/EC
‘공공기관	‘/SS+공공/NNG+기관/NNG
건축물	건축물/NNG
신축	신축/NNG
시	시/NNB
예상	예상/NNG
에너지	에너지/NNG
사용량의	사용량/NNG+의/JKG
10%	10/SN+%/SW
이상을	이상/NNG+을/JKO
신재생	신/XPN+재생/NNG
에너지로	에너지/NNG+로/JKB
조달해야	조달/NNG+하/XSV+아야/EC
한다’는	하/VX+ㄴ다/EF+’/SS+는/ETM
규정도	규정/NNG+도/JX
철저히	철저히/MAG
따르고	따르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.96.6.1
준공한 뒤 에너지 효율을 높이기 위한 다양한 관리 방안도 도입된다.

준공한	준공/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
에너지	에너지/NNG
효율을	효율/NNG+을/JKO
높이기	높이/VV+기/ETN
위한	위하/VV+ㄴ/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
관리	관리/NNG
방안도	방안/NNG+도/JX
도입된다.	도입/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.96.6.2
우선 빌딩에너지관리시스템인 ‘BEMS(Building Energy Management System)’를 적용하기로 했다.

우선	우선/MAG
빌딩에너지관리시스템인	빌딩/NNG+에너지/NNG+관리/NNG+시스템/NNG+이/VCP+ㄴ/ETM
‘BEMS(Building	‘/SS+BEMS/SL+(/SS+Building/SL
Energy	Energy/SL
Management	Management/SL
System)’를	System/SL+)/SS+’/SS+를/JKO
적용하기로	적용/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.96.6.3
회사 측은 “BEMS를 이용해 지속적으로 에너지를 모니터링함으로써 에너지 소비량을 최소화 할 수 있다”고 설명했다.

회사	회사/NNG
측은	측/NNB+은/JX
“BEMS를	“/SS+BEMS/SL+를/JKO
이용해	이용/NNG+하/XSV+아/EC
지속적으로	지속/NNG+적/XSN+으로/JKB
에너지를	에너지/NNG+를/JKO
모니터링함으로써	모니터링/NNG+하/XSV+ㅁ/ETN+으로써/JKB
에너지	에너지/NNG
소비량을	소비량/NNG+을/JKO
최소화	최소/NNG+화/XSN
할	하/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.96.7.1
LH는 이런 여러 가지 장치 덕에 연간 6000t의 온실가스 감축, 200만 그루의 소나무 식재효과를 낼 수 있을 것으로 기대했다.

LH는	LH/SL+는/JX
이런	이런/MMD
여러	여러/MMN
가지	가지/NNB
장치	장치/NNG
덕에	덕/NNG+에/JKB
연간	연간/NNG
