# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.258
metadata : {}


# id : NWRW1800000033.258.1.1
“10구단 창단 미적대면 시상식-WBC 불참”

“10구단	“/SS+10/SN+구단/NNG
창단	창단/NNG
미적대면	미적대/VV+면/EC
시상식-WBC	시상식/NNG+-/SO+WBC/SL
불참”	불참/NNG+”/SS


# id : NWRW1800000033.258.2.1
선수협, KBO이사회 개최 촉구

선수협,	선수협/NNG+,/SP
KBO이사회	KBO/SL+이사회/NNG
개최	개최/NNG
촉구	촉구/NNG


# id : NWRW1800000033.258.3.1
프로야구선수협회가 제10구단 창단을 서두르라며 목소리를 높이기 시작했다.

프로야구선수협회가	프로야구선수협회/NNP+가/JKS
제10구단	제/XPN+10/SN+구단/NNG
창단을	창단/NNG+을/JKO
서두르라며	서두르/VV+라며/EC
목소리를	목소리/NNG+를/JKO
높이기	높이/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.258.3.2
선수협은 28일 “한국야구위원회(KBO)가 내달 11일 골든글러브 시상식 전까지 10구단 창단을 위한 이사회를 열지 않으면 KBO의 모든 행사에 불참하겠다”고 밝혔다.

선수협은	선수협/NNG+은/JX
28일	28/SN+일/NNB
“한국야구위원회(KBO)가	“/SS+한국야구위원회/NNP+(/SS+KBO/SL+)/SS+가/JKS
내달	내달/NNG
11일	11/SN+일/NNB
골든글러브	골든글러브/NNG
시상식	시상식/NNG
전까지	전/NNG+까지/JX
10구단	10/SN+구단/NNG
창단을	창단/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
이사회를	이사회/NNG+를/JKO
열지	열/VV+지/EC
않으면	않/VX+으면/EC
KBO의	KBO/SL+의/JKG
모든	모든/MMN
행사에	행사/NNG+에/JKB
불참하겠다”고	불참/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.258.3.3
골든글러브 시상식은 물론 각 구단의 전지훈련과 내년 3월 열리는 제3회 월드베이스볼클래식(WBC)까지 불참하겠다는 것이다.

골든글러브	골든글러브/NNG
시상식은	시상식/NNG+은/JX
물론	물론/MAG
각	각/MMD
구단의	구단/NNG+의/JKG
전지훈련과	전지훈련/NNG+과/JC
내년	내년/NNG
3월	3/SN+월/NNB
열리는	열리/VV+는/ETM
제3회	제/XPN+3/SN+회/NNB
월드베이스볼클래식(WBC)까지	월드베이스볼클래식/NNG+(/SS+WBC/SL+)/SS+까지/JX
불참하겠다는	불참/NNG+하/XSV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.258.4.1
선수협 박충식 사무총장은 “KT와 수원시가 10구단 창단 의사를 밝혔는데 KBO는 이사회 일정조차 못 잡고 있다.

선수협	선수협/NNG
박충식	박충식/NNP
사무총장은	사무총장/NNG+은/JX
“KT와	“/SS+KT/SL+와/JC
수원시가	수원시/NNP+가/JKS
10구단	10/SN+구단/NNG
창단	창단/NNG
의사를	의사/NNG+를/JKO
밝혔는데	밝히/VV+었/EP+는데/EC
KBO는	KBO/SL+는/JX
이사회	이사회/NNG
일정조차	일정/NNG+조차/JX
못	못/MAG
잡고	잡/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.258.4.2
KBO가 이러는 건 10구단을 안 하겠다는 뜻이나 마찬가지”라고 비판했다.

KBO가	KBO/SL+가/JKS
이러는	이러/VV+는/ETM
건	거/NNB+ㄴ/JX
10구단을	10/SN+구단/NNG+을/JKO
안	안/MAG
하겠다는	하/VV+겠/EP+다는/ETM
뜻이나	뜻/NNG+이나/JX
마찬가지”라고	마찬가지/NNG+”/SS+라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.258.5.1
선수협의 보이콧 선언은 이번이 두 번째다.

선수협의	선수협/NNG+의/JKG
보이콧	보이콧/NNG
선언은	선언/NNG+은/JX
이번이	이번/NNG+이/JKS
두	두/MMN
번째다.	번/NNB+째/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000033.258.5.2
선수협은 7월에 10구단 창단 이사회를 열지 않으면 올스타전을 보이콧하겠다고 선언했다.

선수협은	선수협/NNG+은/JX
7월에	7/SN+월/NNB+에/JKB
10구단	10/SN+구단/NNG
창단	창단/NNG
이사회를	이사회/NNG+를/JKO
열지	열/VV+지/EC
않으면	않/VX+으면/EC
올스타전을	올스타전/NNG+을/JKO
보이콧하겠다고	보이콧/NNG+하/XSV+겠/EP+다고/EC
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.258.5.3
그러나 KBO가 연말까지 이사회를 열 것을 약속한 뒤 이를 잠정 철회했다.

그러나	그러나/MAJ
KBO가	KBO/SL+가/JKS
연말까지	연말/NNG+까지/JX
이사회를	이사회/NNG+를/JKO
열	열/VV+ㄹ/ETM
것을	것/NNB+을/JKO
약속한	약속/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
이를	이/NP+를/JKO
잠정	잠정/NNG
철회했다.	철회/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.258.5.4
선수협 김선웅 사무국장은 “우리는 두 번 속지 않는다.

선수협	선수협/NNG
김선웅	김선웅/NNP
사무국장은	사무국장/NNG+은/JX
“우리는	“/SS+우리/NP+는/JX
두	두/MMN
번	번/NNB
속지	속/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000033.258.5.5
이젠 더이상 물러설 수 없다.

이젠	이제/NNG+ㄴ/JX
더이상	더/MAG+이상/NNG
물러설	물러서/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000033.258.5.6
할 수 있는 모든 단체행동을 할 것”이라고 말했다.

할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
모든	모든/MMN
단체행동을	단체/NNG+행동/NNG+을/JKO
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.258.6.1
KBO는 선수협이 성급하게 단체행동에 돌입해선 안 된다는 입장을 보였다.

KBO는	KBO/SL+는/JX
선수협이	선수협/NNG+이/JKS
성급하게	성급하/VA+게/EC
단체행동에	단체/NNG+행동/NNG+에/JKB
돌입해선	돌입/NNG+하/XSV+아서/EC+ㄴ/JX
안	안/MAG
