# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.442
metadata : {}


# id : NWRW1800000024.442.1.1
2년만에 더 커진 ‘도곡동 땅’ 의혹

2년만에	2/SN+년/NNB+만/NNB+에/JKB
더	더/MAG
커진	커지/VV+ㄴ/ETM
‘도곡동	‘/SS+도곡동/NNP
땅’	땅/NNG+’/SS
의혹	의혹/NNG


# id : NWRW1800000024.442.2.1
“2007~2008년 포스코건설 세무조사 과정에서 도곡동 땅의 소유주가 이명박 대통령이란 자료를 봤다”는 안원구 국세청 국장의 주장이 공개되면서 도곡동 땅이 2년 만에 다시 정국의 뇌관으로 떠올랐다.

“2007~2008년	“/SS+2007/SN+~/SO+2008/SN+년/NNB
포스코건설	포스코건설/NNP
세무조사	세무/NNG+조사/NNG
과정에서	과정/NNG+에서/JKB
도곡동	도곡동/NNP
땅의	땅/NNG+의/JKG
소유주가	소유주/NNG+가/JKS
이명박	이명박/NNP
대통령이란	대통령/NNG+이/VCP+란/ETM
자료를	자료/NNG+를/JKO
봤다”는	보/VV+았/EP+다/EF+”/SS+는/ETM
안원구	안원구/NNP
국세청	국세청/NNG
국장의	국장/NNG+의/JKG
주장이	주장/NNG+이/JKS
공개되면서	공개/NNG+되/XSV+면서/EC
땅이	땅/NNG+이/JKS
2년	2/SN+년/NNB
만에	만/NNB+에/JKB
다시	다시/MAG
정국의	정국/NNG+의/JKG
뇌관으로	뇌관/NNG+으로/JKB
떠올랐다.	떠오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.442.2.2
국세청은 일단 문건의 존재 자체를 부인했지만, 일종의 내부 관련자의 폭로성 주장인데다가 그동안 검찰과 특검 수사에도 불구하고 도곡동 땅 실소유주에 대한 의혹이 말끔히 가시지 않았다는 점에서 파장은 쉽게 가라앉지 않을 것으로 보인다.

국세청은	국세청/NNG+은/JX
일단	일단/MAG
문건의	문건/NNG+의/JKG
존재	존재/NNG
자체를	자체/NNG+를/JKO
부인했지만,	부인/NNG+하/XSV+았/EP+지만/EC+,/SP
일종의	일종/NNG+의/JKG
내부	내부/NNG
관련자의	관련자/NNG+의/JKG
폭로성	폭로/NNG+성/XSN
주장인데다가	주장/NNG+이/VCP+ㄴ데다가/EC
그동안	그동안/NNG
검찰과	검찰/NNG+과/JC
특검	특검/NNG
수사에도	수사/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
도곡동	도곡동/NNP
땅	땅/NNG
실소유주에	실소유주/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의혹이	의혹/NNG+이/JKS
말끔히	말끔히/MAG
가시지	가시/VV+지/EC
않았다는	않/VX+았/EP+다는/ETM
점에서	점/NNG+에서/JKB
파장은	파장/NNG+은/JX
쉽게	쉽/VA+게/EC
가라앉지	가라앉/VV+지/EC
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.442.3.1
민주당은 27일 “범야권이 연대해 특별검사제 도입과 국정조사를 하자”고 요구했다.

