# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.295
metadata : {}


# id : NWRW1800000048.295.1.1
‘멸종위기종’ 풍란 등 복원 성공…“생물다양성 보전에 밑거름”

‘멸종위기종’	‘/SS+멸종/NNG+위기종/NNG+’/SS
풍란	풍란/NNG
등	등/NNB
복원	복원/NNG
성공…“생물다양성	성공/NNG+…/SE+“/SS+생물/NNG+다양/NNG+성/XSN
보전에	보전/NNG+에/JKB
밑거름”	밑거름/NNG+”/SS


# id : NWRW1800000048.295.2.1
‘멸종위기 야생생물 2급’ 석곡·날개하늘나리도 복원

‘멸종위기	‘/SS+멸종/NNG+위기/NNG
야생생물	야생/NNG+생물/NNG
2급’	2/SN+급/NNG+’/SS
석곡·날개하늘나리도	석곡/NNG+·/SP+날개하늘나리/NNG+도/JX
복원	복원/NNG


# id : NWRW1800000048.295.3.1
“칠보치마 등 위기종 식물 복원도 차례차례 해나갈 것”

“칠보치마	“/SS+칠보치마/NNG
등	등/NNB
위기종	위기종/NNG
식물	식물/NNG
복원도	복원/NNG+도/JX
차례차례	차례차례/MAG
해나갈	하/VV+아/EC+나가/VX+ㄹ/ETM
것”	것/NNB+”/SS


# id : NWRW1800000048.295.4.1
멸종위기종인 ‘풍란’과 ‘석곡’ 등이 성공적으로 복원됐다.

멸종위기종인	멸종/NNG+위기종/NNG+이/VCP+ㄴ/ETM
‘풍란’과	‘/SS+풍란/NNG+’/SS+과/JC
‘석곡’	‘/SS+석곡/NNG+’/SS
등이	등/NNB+이/JKS
성공적으로	성공/NNG+적/XSN+으로/JKB
복원됐다.	복원/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.295.5.1
환경부 국립공원관리공단은 29일 “멸종위기 야생생물 1급인 풍란, 2급인 석곡과 날개하늘나리를 6월부터 9월까지 한려해상, 월출산, 오대산 등 3개 국립공원의 자생지에서 복원하는 데 성공했다”고 밝혔다.

환경부	환경부/NNG
국립공원관리공단은	국립공원관리공단/NNP+은/JX
29일	29/SN+일/NNB
“멸종위기	“/SS+멸종/NNG+위기/NNG
야생생물	야생/NNG+생물/NNG
1급인	1/SN+급/NNG+이/VCP+ㄴ/ETM
풍란,	풍란/NNG+,/SP
2급인	2/SN+급/NNG+이/VCP+ㄴ/ETM
석곡과	석곡/NNG+과/JC
날개하늘나리를	날개하늘나리/NNG+를/JKO
6월부터	6/SN+월/NNB+부터/JX
9월까지	9/SN+월/NNB+까지/JX
한려해상,	한려해상/NNP+,/SP
월출산,	월출산/NNP+,/SP
오대산	오대산/NNP
등	등/NNB
3개	3/SN+개/NNB
국립공원의	국립/NNG+공원/NNG+의/JKG
자생지에서	자생지/NNG+에서/JKB
복원하는	복원/NNG+하/XSV+는/ETM
데	데/NNB
성공했다”고	성공/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.295.6.1
풍란은 한려해상국립공원에서 2012년 처음 발견됐을 정도로 희귀한 식물종이다.

풍란은	풍란/NNG+은/JX
한려해상국립공원에서	한려해상국립공원/NNP+에서/JKB
2012년	2012/SN+년/NNB
처음	처음/NNG
발견됐을	발견/NNG+되/XSV+었/EP+을/ETM
정도로	정도/NNG+로/JKB
희귀한	희귀/NNG+하/XSA+ㄴ/ETM
식물종이다.	식물종/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.295.6.2
풍란은 바위나 나무에 뿌리를 내리고 살며 여름에 하얀꽃을 피운다.

풍란은	풍란/NNG+은/JX
바위나	바위/NNG+나/JC
나무에	나무/NNG+에/JKB
뿌리를	뿌리/NNG+를/JKO
내리고	내리/VV+고/EC
살며	살/VV+며/EC
여름에	여름/NNG+에/JKB
하얀꽃을	하얗/VA+ㄴ/ETM+꽃/NNG+을/JKO
피운다.	피우/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.295.6.3
지금까지 풍란이 산다고 보고된 곳은 19군데이지만 실물이 확인된 곳은 제주도 성산 일출봉, 전남 진도와 고흥 등 세곳뿐이다.

지금까지	지금/NNG+까지/JX
풍란이	풍란/NNG+이/JKS
산다고	살/VV+ㄴ다고/EC
보고된	보고/NNG+되/XSV+ㄴ/ETM
곳은	곳/NNG+은/JX
19군데이지만	19/SN+군데/NNB+이/VCP+지만/EC
실물이	실물/NNG+이/JKS
확인된	확인/NNG+되/XSV+ㄴ/ETM
제주도	제주도/NNP
성산	성산/NNP
일출봉,	일출봉/NNP+,/SP
전남	전남/NNP
진도와	진도/NNP+와/JC
고흥	고흥/NNP
등	등/NNB
세곳뿐이다.	세/MMN+곳/NNG+뿐/JX+이/VCP+다/EF+./SF


# id : NWRW1800000048.295.6.4
