# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.369
metadata : {}


# id : NWRW1800000022.369.1.1
[제15회 韓·日 국제환경상] 한일 국제환경상의 위상과 역사;공정한 심사로 권위 더해… 국경 초월한 수상자 속속 배출

[제15회	[/SS+제/XPN+15/SN+회/NNB
韓·日	韓/SH+·/SP+日/SH
국제환경상]	국제/NNG+환경상/NNG+]/SS
한일	한일/NNP
국제환경상의	국제/NNG+환경상/NNG+의/JKG
위상과	위상/NNG+과/JC
역사;공정한	역사/NNG+;/SW+공정/NNG+하/XSA+ㄴ/ETM
심사로	심사/NNG+로/JKB
권위	권위/NNG
더해…	더/MAG+하/XSV+아/EF+…/SE
국경	국경/NNG
초월한	초월/NNG+하/XSV+ㄴ/ETM
수상자	수상자/NNG
속속	속속/MAG
배출	배출/NNG


# id : NWRW1800000022.369.2.1
한일 국제환경상(The Asian Environmental Awards)은 동북아 지역 환경을 살리고자 노력해온 선구자들에게 주어지는 환경상으로, 공정한 심사와 우수한 개인·단체 수상자들로 해마다 그 권위를 더해가고 있다.

한일	한일/NNP
국제환경상(The	국제/NNG+환경상/NNG+(/SS+The/SL
Asian	Asian/SL
Environmental	Environmental/SL
Awards)은	Awards/SL+)/SS+은/JX
동북아	동북아/NNP
지역	지역/NNG
환경을	환경/NNG+을/JKO
살리고자	살리/VV+고자/EC
노력해온	노력/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
선구자들에게	선구자/NNG+들/XSN+에게/JKB
주어지는	주어지/VV+는/ETM
환경상으로,	환경상/NNG+으로/JKB+,/SP
공정한	공정/NNG+하/XSA+ㄴ/ETM
심사와	심사/NNG+와/JC
우수한	우수/NNG+하/XSA+ㄴ/ETM
개인·단체	개인/NNG+·/SP+단체/NNG
수상자들로	수상자/NNG+들/XSN+로/JKB
해마다	해마다/MAG
그	그/MMD
권위를	권위/NNG+를/JKO
더해가고	더/MAG+하/XSV+아/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.369.3.1
한일 국제환경상은 지난 1995년 조선일보사와 일본 마이니치신문사(每日新聞社)가 제정했다.

한일	한일/NNP
국제환경상은	국제/NNG+환경상/NNG+은/JX
지난	지나/VV+ㄴ/ETM
1995년	1995/SN+년/NNB
조선일보사와	조선일보사/NNP+와/JC
일본	일본/NNP
마이니치신문사(每日新聞社)가	마이니치신문사/NNP+(/SS+每日新聞社/SH+)/SS+가/JKS
제정했다.	제정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.369.3.2
동북아 지역 경제 발전의 이면(裏面)에서 급속히 악화되는 환경 문제에 대한 범국가적 대처와 협력이 시급하다는 두 신문사의 공감대 때문이었다.

동북아	동북아/NNP
지역	지역/NNG
경제	경제/NNG
발전의	발전/NNG+의/JKG
이면(裏面)에서	이면/NNG+(/SS+裏面/SH+)/SS+에서/JKB
급속히	급속히/MAG
악화되는	악화/NNG+되/XSV+는/ETM
환경	환경/NNG
문제에	문제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
범국가적	범/XPN+국가/NNG+적/XSN
대처와	대처/NNG+와/JC
협력이	협력/NNG+이/JKS
시급하다는	시급하/VA+다는/ETM
두	두/MMN
신문사의	신문사/NNG+의/JKG
공감대	공감대/NNG
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.369.3.3
특히 중국 대륙에서 불어오는 황사 문제나 서해의 심각한 오염 문제는 한 나라의 노력만이 아닌 국가간 공동 노력이 절박하다는 데 두 신문사는 의견을 같이했다.

특히	특히/MAG
중국	중국/NNP
대륙에서	대륙/NNG+에서/JKB
불어오는	불어오/VV+는/ETM
황사	황사/NNG
문제나	문제/NNG+나/JC
서해의	서해/NNP+의/JKG
심각한	심각하/VA+ㄴ/ETM
오염	오염/NNG
문제는	문제/NNG+는/JX
한	한/MMN
나라의	나라/NNG+의/JKG
노력만이	노력/NNG+만/JX+이/JKC
아닌	아니/VCN+ㄴ/ETM
국가간	국가/NNG+간/NNB
공동	공동/NNG
노력이	노력/NNG+이/JKS
절박하다는	절박하/VA+다는/ETM
데	데/NNB
두	두/MMN
신문사는	신문사/NNG+는/JX
의견을	의견/NNG+을/JKO
같이했다.	같이/MAG+하/XSV+았/EP+다/EF+./SF


