# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.355
metadata : {}


# id : NWRW1800000033.355.1.1
中핵잠함, 동중국해 美항모 감시

中핵잠함,	中/SH+핵/NNG+잠함/NNG+,/SP
동중국해	동중국해/NNP
美항모	美/SH+항모/NNG
감시	감시/NNG


# id : NWRW1800000033.355.2.1
남해함대 긴급 전쟁준비 훈련… 中감시선 또 센카쿠 영해 진입 中, 도쿄 IMF-世銀총회 불참… IMF총재 “中日분쟁 부적절”

남해함대	남해/NNP+함대/NNG
긴급	긴급/NNG
전쟁준비	전쟁/NNG+준비/NNG
훈련…	훈련/NNG+…/SE
中감시선	中/SH+감시선/NNG
또	또/MAG
센카쿠	센카쿠/NNP
영해	영해/NNG
진입	진입/NNG
中,	中/SH+,/SP
도쿄	도쿄/NNP
IMF-世銀총회	IMF/SL+-/SO+世銀/SH+총회/NNG
불참…	불참/NNG+…/SE
IMF총재	IMF/SL+총재/NNG
“中日분쟁	“/SS+中日/SL+분쟁/NNG
부적절”	부적절/XR+”/SS


# id : NWRW1800000033.355.3.1
중국 해군 소속 핵잠수함이 센카쿠(尖閣) 열도(중국명 댜오위다오·釣魚島) 인근 해역에 접근한 미국 항공모함 감시에 나서 긴장이 고조되고 있다.

중국	중국/NNP
해군	해군/NNG
소속	소속/NNG
핵잠수함이	핵/NNG+잠수함/NNG+이/JKS
센카쿠(尖閣)	센카쿠/NNP+(/SS+尖閣/SH+)/SS
열도(중국명	열도/NNG+(/SS+중국/NNP+명/NNG
댜오위다오·釣魚島)	댜오위다오/NNP+·/SP+釣魚島/SH+)/SS
인근	인근/NNG
해역에	해역/NNG+에/JKB
접근한	접근/NNG+하/XSV+ㄴ/ETM
미국	미국/NNP
항공모함	항공/NNG+모함/NNG
감시에	감시/NNG+에/JKB
나서	나서/VV+어/EC
긴장이	긴장/NNG+이/JKS
고조되고	고조/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.355.3.2
또 중국 해양감시선은 3일 센카쿠 열도 인근 해역에 진입하는 등 영토분쟁을 둘러싼 충돌 우려가 지속되고 있다.

또	또/MAG
중국	중국/NNP
해양감시선은	해양/NNG+감시선/NNG+은/JX
3일	3/SN+일/NNB
센카쿠	센카쿠/NNP
열도	열도/NNG
인근	인근/NNG
해역에	해역/NNG+에/JKB
진입하는	진입/NNG+하/XSV+는/ETM
등	등/NNB
영토분쟁을	영토/NNG+분쟁/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
충돌	충돌/NNG
우려가	우려/NNG+가/JKS
지속되고	지속/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.355.3.3
이런 가운데 중국 금융계 주요 인사들이 다음 주 일본 도쿄(東京)에서 열리는 국제통화기금(IMF)·세계은행(IBRD) 연차총회 참석을 무더기로 취소했다.

이런	이런/MMD
가운데	가운데/NNG
중국	중국/NNP
금융계	금융/NNG+계/XSN
주요	주요/NNG
인사들이	인사/NNG+들/XSN+이/JKS
다음	다음/NNG
주	주/NNG
일본	일본/NNP
도쿄(東京)에서	도쿄/NNP+(/SS+東京/SH+)/SS+에서/JKB
열리는	열리/VV+는/ETM
국제통화기금(IMF)·세계은행(IBRD)	국제통화기금/NNP+(/SS+IMF/SL+)/SS+·/SP+세계은행/NNP+(/SS+IBRD/SL+)/SS
연차총회	연차/NNG+총회/NNG
참석을	참석/NNG+을/JKO
무더기로	무더기/NNG+로/JKB
취소했다.	취소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.355.3.4
글로벌 정책 공조가 필요한 시점에 영토분쟁을 이유로 국제회의까지 불참하기로 한 데 대해 곱지 않은 시각이 많다.

글로벌	글로벌/NNG
정책	정책/NNG
공조가	공조/NNG+가/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
시점에	시점/NNG+에/JKB
영토분쟁을	영토/NNG+분쟁/NNG+을/JKO
이유로	이유/NNG+로/JKB
국제회의까지	국제회의/NNG+까지/JX
불참하기로	불참/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
곱지	곱/VA+지/EC
않은	않/VX+은/ETM
시각이	시각/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000033.355.4.1
중국 인터넷 매체인 차이쉰(財迅)은 이날 중국 핵잠수함들이 센카쿠 열도 인근에 접근한 미 항모 전단을 추적 감시했다고 밝혔다.

중국	중국/NNP
인터넷	인터넷/NNG
매체인	매체/NNG+이/VCP+ㄴ/ETM
차이쉰(財迅)은	차이쉰/NNP+(/SS+財迅/SH+)/SS+은/JX
이날	이날/NNG
핵잠수함들이	핵/NNG+잠수함/NNG+들/XSN+이/JKS
센카쿠	센카쿠/NNP
열도	열도/NNG
인근에	인근/NNG+에/JKB
접근한	접근/NNG+하/XSV+ㄴ/ETM
미	미/NNP
항모	항모/NNG
전단을	전단/NNG+을/JKO
추적	추적/NNG
감시했다고	감시/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.355.4.2
차이쉰은 “1996년 황해(서해)로 들어온 미 항모 키티호크를 아무도 모르게 감시하던 상황과 비슷하다”고 했다.

차이쉰은	차이쉰/NNP+은/JX
“1996년	“/SS+1996/SN+년/NNB
황해(서해)로	황해/NNP+(/SS+서해/NNP+)/SS+로/JKB
들어온	들어오/VV+ㄴ/ETM
미	미/NNP
항모	항모/NNG
키티호크를	키티호크/NNG+를/JKO
아무도	아무/NP+도/JX
모르게	모르/VV+게/EC
감시하던	감시/NNG+하/XSV+던/ETM
상황과	상황/NNG+과/JKB
비슷하다”고	비슷하/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.355.4.3
이 매체는 중국의 핵잠수함이 미 항모전단에 대한 반격 준비를 완료함과 동시에 전략미사일 부대인 제2포병대도 미국 41개 주에 대한 공격 태세를 마쳤을 것이라고 보도했다.

이	이/MMD
매체는	매체/NNG+는/JX
중국의	중국/NNP+의/JKG
핵잠수함이	핵/NNG+잠수함/NNG+이/JKS
미	미/NNP
항모전단에	항모/NNG+전단/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
반격	반격/NNG
준비를	준비/NNG+를/JKO
완료함과	완료/NNG+하/XSV+ㅁ/ETN+과/JKB
동시에	동시/NNG+에/JKB
전략미사일	전략/NNG+미사일/NNG
부대인	부대/NNG+이/VCP+ㄴ/ETM
제2포병대도	제/XPN+2/SN+포병대/NNG+도/JX
미국	미국/NNP
41개	41/SN+개/NNB
주에	주/NNG+에/JKB
공격	공격/NNG
태세를	태세/NNG+를/JKO
마쳤을	마치/VV+었/EP+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.355.4.4
그러나 핵잠수함이 미 항공모함을 조준하고 있는 것은 아니라고 덧붙였다.

그러나	그러나/MAJ
핵잠수함이	핵/NNG+잠수함/NNG+이/JKS
미	미/NNP
항공모함을	항공/NNG+모함/NNG+을/JKO
조준하고	조준/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것은	것/NNB+은/JX
아니라고	아니/VCN+라고/EC
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.355.5.1
또 인민해방군 기관지인 제팡(解放)군보는 중국 남해함대가 국경절 연휴가 시작된 지난달 30일부터 남중국해 시사(西沙)군도 일대에서 긴급 전쟁준비 훈련을 벌였다고 전했다.

또	또/MAG
인민해방군	인민/NNG+해방군/NNG
기관지인	기관지/NNG+이/VCP+ㄴ/ETM
제팡(解放)군보는	제팡/NNP+(/SS+解放/SH+)/SS+군보/NNG+는/JX
중국	중국/NNP
남해함대가	남해/NNP+함대/NNG+가/JKS
국경절	국경절/NNG
연휴가	연휴/NNG+가/JKS
시작된	시작/NNG+되/XSV+ㄴ/ETM
지난달	지난달/NNG
30일부터	30/SN+일/NNB+부터/JX
남중국해	남중국해/NNP
시사(西沙)군도	시사/NNG+(/SS+西沙/SH+)/SS+군도/NNG
일대에서	일대/NNG+에서/JKB
긴급	긴급/NNG
전쟁준비	전쟁/NNG+준비/NNG
훈련을	훈련/NNG+을/JKO
벌였다고	벌이/VV+었/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.355.6.1
중국 해감선 3척은 전날에 이어 3일 낮 12시 반경 일본이 주장하는 센카쿠 열도의 영해(영해기선에서 12해리·약 22.2km)에 진입했다.

중국	중국/NNP
해감선	해감선/NNG
3척은	3/SN+척/NNB+은/JX
전날에	전날/NNG+에/JKB
이어	잇/VV+어/EC
3일	3/SN+일/NNB
낮	낮/NNG
12시	12/SN+시/NNB
반경	반/NNG+경/XSN
일본이	일본/NNP+이/JKS
주장하는	주장/NNG+하/XSV+는/ETM
센카쿠	센카쿠/NNP
열도의	열도/NNG+의/JKG
영해(영해기선에서	영해/NNG+(/SS+영해/NNG+기선/NNG+에서/JKB
12해리·약	12/SN+해리/NNB+·/SP+약/MMA
22.2km)에	22/SN+./SP+2/SN+km/SW+)/SS+에/JKB
진입했다.	진입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.355.6.2
해감선은 2시간 정도 머물다 물러났다.

해감선은	해감선/NNG+은/JX
2시간	2/SN+시간/NNB
정도	정도/NNG
머물다	머물/VV+다/EC
물러났다.	물러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.355.7.1
이날 중국 언론에 따르면 4대 국유은행인 공상(工商), 농업(農業), 중국(中國), 건설(建設)은행 지도부는 당초 IMF·IBRD 총회 행사에 참석할 예정이었다.

이날	이날/NNG
중국	중국/NNP
언론에	언론/NNG+에/JKB
따르면	따르/VV+면/EC
4대	4/SN+대/NNG
국유은행인	국유/NNG+은행/NNG+이/VCP+ㄴ/ETM
공상(工商),	공상/NNP+(/SS+工商/SH+)/SS+,/SP
농업(農業),	농업/NNG+(/SS+農業/SH+)/SS+,/SP
중국(中國),	중국/NNP+(/SS+中國/SH+)/SS+,/SP
건설(建設)은행	건설/NNP+(/SS+建設/SH+)/SS+은행/NNG
지도부는	지도부/NNG+는/JX
당초	당초/NNG
IMF·IBRD	IMF/SL+·/SP+IBRD/SL
총회	총회/NNG
행사에	행사/NNG+에/JKB
참석할	참석/NNG+하/XSV+ㄹ/ETM
예정이었다.	예정/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.355.7.2
하지만 최근 불참을 통보하거나 도쿄 지점에서 대신 참석하는 방안을 검토하고 있다.

하지만	하지만/MAJ
최근	최근/MAG
불참을	불참/NNG+을/JKO
통보하거나	통보/NNG+하/XSV+거나/EC
도쿄	도쿄/NNP
지점에서	지점/NNG+에서/JKB
대신	대신/NNG
참석하는	참석/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토하고	검토/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.355.7.3
건설은행 측은 “본국 간부들의 방일 계획은 취소됐다.

건설은행	건설은행/NNP
측은	측/NNB+은/JX
“본국	“/SS+본국/NNG
간부들의	간부/NNG+들/XSN+의/JKG
방일	방일/NNG
계획은	계획/NNG+은/JX
취소됐다.	취소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.355.7.4
그 대신 도쿄 지점의 인력이 관련 행사에 참가할 것 같다”고 말했다.

그	그/MMD
대신	대신/NNG
도쿄	도쿄/NNP
지점의	지점/NNG+의/JKG
인력이	인력/NNG+이/JKS
관련	관련/NNG
행사에	행사/NNG+에/JKB
참가할	참가/NNG+하/XSV+ㄹ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.355.8.1
중국 국부 펀드 중 한 곳인 중국투자공사(CIC) 가오시칭(高西慶) 총경리도 당초 이번 총회 기간에 영국 BBC 주관 토론회에 참석하기로 했지만 없던 일이 됐다.

중국	중국/NNP
국부	국부/NNG
펀드	펀드/NNG
중	중/NNB
한	한/MMN
곳인	곳/NNG+이/VCP+ㄴ/ETM
중국투자공사(CIC)	중국투자공사/NNP+(/SS+CIC/SL+)/SS
가오시칭(高西慶)	가오시칭/NNP+(/SS+高西慶/SH+)/SS
총경리도	총경리/NNG+도/JX
당초	당초/NNG
이번	이번/NNG
총회	총회/NNG
기간에	기간/NNG+에/JKB
영국	영국/NNP
BBC	BBC/SL
주관	주관/NNG
토론회에	토론회/NNG+에/JKB
참석하기로	참석/NNG+하/XSV+기/ETN+로/JKB
했지만	하/VV+았/EP+지만/EC
없던	없/VA+던/ETM
일이	일/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.355.8.2
중국 은행들은 이달 말 일본 오사카(大阪)에서 열리는 국제금융거래표준화네트워킹(Swift) 관련 회의에도 참석하지 않기로 했다.

중국	중국/NNP
은행들은	은행/NNG+들/XSN+은/JX
이달	이달/NNG
말	말/NNB
일본	일본/NNP
오사카(大阪)에서	오사카/NNP+(/SS+大阪/SH+)/SS+에서/JKB
열리는	열리/VV+는/ETM
국제금융거래표준화네트워킹(Swift)	국제/NNG+금융/NNG+거래/NNG+표준/NNG+화/XSN+네트워킹/NNG+(/SS+Swift/SL+)/SS
관련	관련/NNG
회의에도	회의/NNG+에/JKB+도/JX
참석하지	참석/NNG+하/XSV+지/EC
않기로	않/VX+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.355.8.3
농업은행 관계자는 경제전문지 차이화(財華)사에 “중-일 관계가 긴장 상태이기 때문”이라고 불참 이유를 밝혔다.

농업은행	농업은행/NNP
관계자는	관계자/NNG+는/JX
경제전문지	경제/NNG+전문지/NNG
차이화(財華)사에	차이화/NNP+(/SS+財華/SH+)/SS+사/NNG+에/JKB
“중-일	“/SS+중/NNP+-/SO+일/NNP
관계가	관계/NNG+가/JKS
긴장	긴장/NNG
상태이기	상태/NNG+이/VCP+기/ETN
때문”이라고	때문/NNB+”/SS+이라고/JKQ
불참	불참/NNG
이유를	이유/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.355.9.1
크리스틴 라가르드 IMF 총재는 교도통신과의 인터뷰에서 “일본과 중국은 세계 경제를 견인하고 있는 만큼 영토 문제로 분열하는 것은 바람직하지 않다”고 말했다.

크리스틴	크리스틴/NNP
라가르드	라가르드/NNP
IMF	IMF/SL
총재는	총재/NNG+는/JX
교도통신과의	교도통신/NNP+과/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
“일본과	“/SS+일본/NNP+과/JC
중국은	중국/NNP+은/JX
세계	세계/NNG
경제를	경제/NNG+를/JKO
견인하고	견인/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
만큼	만큼/NNB
영토	영토/NNG
문제로	문제/NNG+로/JKB
분열하는	분열/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
바람직하지	바람직하/VA+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


