# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.328
metadata : {}


# id : NWRW1800000041.328.1.1
軍 “7월까지 全부대 정밀진단”

軍	軍/SH
“7월까지	“/SS+7/SN+월/NNB+까지/JX
全부대	全/SH+부대/NNG
정밀진단”	정밀/NNG+진단/NNG+”/SS


# id : NWRW1800000041.328.2.1
[GOP 총기난사 병장 검거] 22사단 경계선, 다른 사단의 6배… 北위협 가중되며 근무강도 악화 “무인경계시스템 등 확대” 지적도

[GOP	[/SS+GOP/SL
총기난사	총기/NNG+난사/NNG
병장	병장/NNG
검거]	검거/NNG+]/SS
22사단	22/SN+사단/NNG
경계선,	경계선/NNG+,/SP
다른	다른/MMD
사단의	사단/NNG+의/JKG
6배…	6/SN+배/NNG+…/SE
北위협	北/SH+위협/NNG
가중되며	가중/NNG+되/XSV+며/EC
근무강도	근무/NNG+강도/NNG
악화	악화/NNG
“무인경계시스템	“/SS+무인/NNG+경계/NNG+시스템/NNG
등	등/NNB
확대”	확대/NNG+”/SS
지적도	지적/NNG+도/JX


# id : NWRW1800000041.328.3.1
백승주 국방부 차관은 23일 동부전선 일반전방소초(GOP)에서 발생한 총기 난사 사건과 관련해 “7월을 기한으로 전군에 대한 부대 정밀진단을 실시하겠다”고 밝혔다.

백승주	백승주/NNP
국방부	국방부/NNG
차관은	차관/NNG+은/JX
23일	23/SN+일/NNB
동부전선	동부/NNG+전선/NNG
일반전방소초(GOP)에서	일반/NNG+전방/NNG+소초/NNG+(/SS+GOP/SL+)/SS+에서/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
총기	총기/NNG
난사	난사/NNG
사건과	사건/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
“7월을	“/SS+7/SN+월/NNB+을/JKO
기한으로	기한/NNG+으로/JKB
전군에	전군/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
부대	부대/NNG
정밀진단을	정밀/NNG+진단/NNG+을/JKO
실시하겠다”고	실시/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.328.3.2
백 차관은 이날 국회에서 이완구 비대위원장 겸 원내대표 등 새누리당 지도부를 만나 사고 상황을 보고하면서 이같이 말했다.

백	백/NNP
차관은	차관/NNG+은/JX
이날	이날/NNG
국회에서	국회/NNG+에서/JKB
이완구	이완구/NNP
비대위원장	비대위원장/NNG
겸	겸/NNB
원내대표	원내/NNG+대표/NNG
등	등/NNB
새누리당	새누리당/NNP
지도부를	지도부/NNG+를/JKO
만나	만나/VV+아/EC
사고	사고/NNG
상황을	상황/NNG+을/JKO
보고하면서	보고/NNG+하/XSV+면서/EC
이같이	이/NP+같이/JKB
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.328.4.1
백 차관은 “총기 사건이 발생한 데 무거운 책임감을 느낀다”며 “총기 난사 원인과 관련해서는 사고자와 (동료) 병사 등을 정밀하게 조사하겠다”고 강조했다.

백	백/NNP
차관은	차관/NNG+은/JX
“총기	“/SS+총기/NNG
사건이	사건/NNG+이/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
데	데/NNB
무거운	무겁/VA+ㄴ/ETM
책임감을	책임감/NNG+을/JKO
느낀다”며	느끼/VV+ㄴ다/EF+”/SS+며/EC
난사	난사/NNG
원인과	원인/NNG+과/JKB
관련해서는	관련/NNG+하/XSV+아서/EC+는/JX
사고자와	사고자/NNG+와/JC
(동료)	(/SS+동료/NNG+)/SS
병사	병사/NNG
등을	등/NNB+을/JKO
정밀하게	정밀/NNG+하/XSA+게/EC
조사하겠다”고	조사/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.328.4.2
국방부는 2011년 해병대 총기 난사 사건 직후 전군에 내놓은 ‘병영생활 행동강령’을 보완해 관심병사 문제에 관한 추가적인 대책을 내놓을 예정이다.

국방부는	국방부/NNG+는/JX
2011년	2011/SN+년/NNB
해병대	해병대/NNG
총기	총기/NNG
난사	난사/NNG
사건	사건/NNG
직후	직후/NNG
전군에	전군/NNG+에/JKB
내놓은	내놓/VV+은/ETM
‘병영생활	‘/SS+병영/NNG+생활/NNG
행동강령’을	행동/NNG+강령/NNG+’/SS+을/JKO
보완해	보완/NNG+하/XSV+아/EC
관심병사	관심/NNG+병사/NNG
문제에	문제/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
추가적인	추가/NNG+적/XSN+이/VCP+ㄴ/ETM
대책을	대책/NNG+을/JKO
내놓을	내놓/VV+을/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.328.5.1
하지만 군 당국이 의례적인 대책을 발표하기보다는 GOP 근무 형태를 바꾸는 등 근본적인 대책을 고민해야 한다는 지적이 나온다.

하지만	하지만/MAJ
군	군/NNG
당국이	당국/NNG+이/JKS
의례적인	의례/NNG+적/XSN+이/VCP+ㄴ/ETM
대책을	대책/NNG+을/JKO
발표하기보다는	발표/NNG+하/XSV+기/ETN+보다/JKB+는/JX
GOP	GOP/SL
근무	근무/NNG
형태를	형태/NNG+를/JKO
바꾸는	바꾸/VV+는/ETM
등	등/NNB
근본적인	근본/NNG+적/XSN+이/VCP+ㄴ/ETM
