# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.23
metadata : {}


# id : NWRW1800000036.23.1.1
불공정 하도급 조사 받는데 삼성전자·현대차 ‘우수’ 평가

불공정	불/XPN+공정/NNG
하도급	하도급/NNG
조사	조사/NNG
받는데	받/VV+는데/EC
삼성전자·현대차	삼성전자/NNP+·/SP+현대차/NNP
‘우수’	‘/SS+우수/NNG+’/SS
평가	평가/NNG


# id : NWRW1800000036.23.2.1
[한겨레] 기업 동반성장지수 첫 발표

[한겨레]	[/SS+한겨레/NNP+]/SS
기업	기업/NNG
동반성장지수	동반/NNG+성장/NNG+지수/NNG
첫	첫/MMN
발표	발표/NNG


# id : NWRW1800000036.23.3.1
56곳중 49곳 ‘보통’ 이상…12.5%만 ‘개선’ 대상

56곳중	56/SN+곳/NNG+중/NNB
49곳	49/SN+곳/NNG
‘보통’	‘/SS+보통/NNG+’/SS
이상…12.5%만	이상/NNG+…/SE+12/SN+./SP+5/SN+%/SW+만/JX
‘개선’	‘/SS+개선/NNG+’/SS
대상	대상/NNG


# id : NWRW1800000036.23.4.1
등급제·평가방식 등 사실상 대기업 주장 수용

등급제·평가방식	등급/NNG+제/XSN+·/SP+평가/NNG+방식/NNG
등	등/NNB
사실상	사실/NNG+상/XSN
대기업	대/XPN+기업/NNG
주장	주장/NNG
수용	수용/NNG


# id : NWRW1800000036.23.5.1
10일 동반성장위원회의 동반성장지수 발표는 유장희 위원장이 취임하면서 출범한 제2기 동반성장위의 첫 작품이라는 점에서 주목받았다.

10일	10/SN+일/NNB
동반성장위원회의	동반/NNG+성장/NNG+위원회/NNG+의/JKG
동반성장지수	동반/NNG+성장/NNG+지수/NNG
발표는	발표/NNG+는/JX
유장희	유장희/NNP
위원장이	위원장/NNG+이/JKS
취임하면서	취임/NNG+하/XSV+면서/EC
출범한	출범/NNG+하/XSV+ㄴ/ETM
제2기	제/XPN+2/SN+기/NNG
동반성장위의	동반/NNG+성장위/NNG+의/JKG
첫	첫/MMN
작품이라는	작품/NNG+이/VCP+라는/ETM
점에서	점/NNG+에서/JKB
주목받았다.	주목/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.23.5.2
하지만 이번 동반성장지수는 객관성·공정성이 떨어져 대기업들의 동반성장 실적을 평가한다는 애초 취지를 제대로 살리지 못하고 ‘면죄부’만 줬다는 지적이 적지 않다.

하지만	하지만/MAJ
이번	이번/NNG
동반성장지수는	동반/NNG+성장/NNG+지수/NNG+는/JX
객관성·공정성이	객관/NNG+성/XSN+·/SP+공정/NNG+성/XSN+이/JKS
떨어져	떨어지/VV+어/EC
대기업들의	대/XPN+기업/NNG+들/XSN+의/JKG
동반성장	동반/NNG+성장/NNG
실적을	실적/NNG+을/JKO
평가한다는	평가/NNG+하/XSV+ㄴ다는/ETM
애초	애초/NNG
취지를	취지/NNG+를/JKO
제대로	제대로/MAG
살리지	살리/VV+지/EC
못하고	못하/VX+고/EC
‘면죄부’만	‘/SS+면죄부/NNG+’/SS+만/JX
줬다는	주/VV+었/EP+다는/ETM
지적이	지적/NNG+이/JKS
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000036.23.6.1
동반성장위는 전체 평가대상 대기업 56곳을 ‘우수-양호-보통-개선’의 네 등급으로 평가했다.

동반성장위는	동반/NNG+성장위/NNG+는/JX
전체	전체/NNG
평가대상	평가/NNG+대상/NNG
대기업	대/XPN+기업/NNG
56곳을	56/SN+곳/NNG+을/JKO
‘우수-양호-보통-개선’의	‘/SS+우수/NNG+-/SO+양호/NNG+-/SO+보통/NNG+-/SO+개선/NNG+’/SS+의/JKG
네	네/MMN
등급으로	등급/NNG+으로/JKB
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.23.6.2
이 중 최하등급인 ‘개선’은 7곳으로, 전체 평가 대상의 12.5%에 불과하다.

이	이/MMD
중	중/NNB
최하등급인	최하/NNG+등급/NNG+이/VCP+ㄴ/ETM
‘개선’은	‘/SS+개선/NNG+’/SS+은/JX
7곳으로,	7/SN+곳/NNG+으로/JKB+,/SP
전체	전체/NNG
평가	평가/NNG
대상의	대상/NNG+의/JKG
12.5%에	12/SN+./SP+5/SN+%/SW+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000036.23.6.3
발표대로라면 대다수 대기업은 동반성장 노력을 열심히 하고 있는 셈이다.

발표대로라면	발표/NNG+대로/JX+이/VCP+라면/EC
대다수	대/XPN+다수/NNG
대기업은	대/XPN+기업/NNG+은/JX
동반성장	동반/NNG+성장/NNG
노력을	노력/NNG+을/JKO
열심히	열심히/MAG
