# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.116
metadata : {}


# id : NWRW1800000048.116.1.1
“흑인교회 총격 용의자는 백인 우월주의자”

“흑인교회	“/SS+흑인/NNG+교회/NNG
총격	총격/NNG
용의자는	용의자/NNG+는/JX
백인	백인/NNG
우월주의자”	우월주의자/NNG+”/SS


# id : NWRW1800000048.116.2.1
고교 1년 중퇴한 20대 청년 루프

고교	고교/NNG
1년	1/SN+년/NNB
중퇴한	중퇴/NNG+하/XSV+ㄴ/ETM
20대	20/SN+대/NNB
청년	청년/NNG
루프	루프/NNP


# id : NWRW1800000048.116.3.1
“우리 여성들을 성폭행했다” 주장

“우리	“/SS+우리/NP
여성들을	여성/NNG+들/XSN+을/JKO
성폭행했다”	성폭행/NNG+하/XSV+았/EP+다/EF+”/SS
주장	주장/NNG


# id : NWRW1800000048.116.4.1
마약 의존증 치료제 소지 전력도

마약	마약/NNG
의존증	의존증/NNG
치료제	치료제/NNG
소지	소지/NNG
전력도	전력/NNG+도/JX


# id : NWRW1800000048.116.5.1
미국 사우스캐롤라이나주 찰스턴의 유서깊은 흑인교회에서 총격을 가해 9명을 숨지게 한 딜란 루프(21)가 백인 우월주의자라는 정황이 곳곳에서 드러나고 있다.

미국	미국/NNP
사우스캐롤라이나주	사우스캐롤라이나주/NNP
찰스턴의	찰스턴/NNP+의/JKG
유서깊은	유서/NNG+깊/VA+은/ETM
흑인교회에서	흑인/NNG+교회/NNG+에서/JKB
총격을	총격/NNG+을/JKO
가해	가하/VV+아/EC
9명을	9/SN+명/NNB+을/JKO
숨지게	숨지/VV+게/EC
한	하/VX+ㄴ/ETM
딜란	딜란/NNP
루프(21)가	루프/NNP+(/SS+21/SN+)/SS+가/JKS
백인	백인/NNG
우월주의자라는	우월주의자/NNG+이/VCP+라는/ETM
정황이	정황/NNG+이/JKS
곳곳에서	곳곳/NNG+에서/JKB
드러나고	드러나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.116.6.1
미국 언론들은 경찰과 목격자들의 말을 인용해 총격 상황을 이렇게 전했다.

미국	미국/NNP
언론들은	언론/NNG+들/XSN+은/JX
경찰과	경찰/NNG+과/JC
목격자들의	목격자/NNG+들/XSN+의/JKG
말을	말/NNG+을/JKO
인용해	인용/NNG+하/XSV+아/EC
총격	총격/NNG
상황을	상황/NNG+을/JKO
이렇게	이렇/VA+게/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.116.6.2
루프는 17일 저녁 8시께 ‘이매뉴얼 아프리카 감리교회’에 도착해 성경 공부를 하던 신자들 옆에 앉았다.

루프는	루프/NNP+는/JX
17일	17/SN+일/NNB
저녁	저녁/NNG
8시께	8/SN+시/NNB+께/XSN
‘이매뉴얼	‘/SS+이매뉴얼/NNP
아프리카	아프리카/NNP
감리교회’에	감리교회/NNG+’/SS+에/JKB
도착해	도착/NNG+하/XSV+아/EC
성경	성경/NNG
공부를	공부/NNG+를/JKO
하던	하/VV+던/ETM
신자들	신자/NNG+들/XSN
옆에	옆/NNG+에/JKB
앉았다.	앉/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.116.6.3
1시간가량 조용히 있다가 갑자기 일어나 총을 꺼내 들었다.

1시간가량	1/SN+시간/NNB+가량/XSN
조용히	조용히/MAG
있다가	있/VV+다가/EC
갑자기	갑자기/MAG
일어나	일어나/VV+아/EC
총을	총/NNG+을/JKO
꺼내	꺼내/VV+어/EC
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.116.6.4
한 신자가 그를 제지하자, 그는 “당신들은 우리 여성들을 성폭행했다. 우리나라를 차지했다. 당신들은 이 나라에서 떠나야 한다”고 말했다.

한	한/MMN
신자가	신자/NNG+가/JKS
그를	그/NP+를/JKO
제지하자,	제지/NNG+하/XSV+자/EC+,/SP
그는	그/NP+는/JX
“당신들은	“/SS+당신/NP+들/XSN+은/JX
우리	우리/NP
여성들을	여성/NNG+들/XSN+을/JKO
성폭행했다.	성폭행/NNG+하/XSV+았/EP+다/EF+./SF
우리나라를	우리나라/NNG+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF
당신들은	당신/NP+들/XSN+은/JX
이	이/MMD
나라에서	나라/NNG+에서/JKB
떠나야	떠나/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.116.7.1
하이디 베이리치 미국 남부빈곤 법센터 국장은 “흑인 때문에 심각한 피해를 보는데도 아무도 신경을 써주지 않는다는 생각에 사로잡힌 백인들이 이런 말을 한다”며 전형적인 백인 우월주의자들의 말이라고 설명했다.

하이디	하이디/NNP
베이리치	베이리치/NNP
미국	미국/NNP
남부빈곤	남부/NNG+빈곤/NNG
법센터	법/NNG+센터/NNG
국장은	국장/NNG+은/JX
“흑인	“/SS+흑인/NNG
때문에	때문/NNB+에/JKB
심각한	심각하/VA+ㄴ/ETM
피해를	피해/NNG+를/JKO
보는데도	보/VV+는데/EC+도/JX
아무도	아무/NP+도/JX
신경을	신경/NNG+을/JKO
써주지	쓰/VV+어/EC+주/VX+지/EC
않는다는	않/VX+는다는/ETM
생각에	생각/NNG+에/JKB
사로잡힌	사로잡히/VV+ㄴ/ETM
백인들이	백인/NNG+들/XSN+이/JKS
이런	이런/MMD
말을	말/NNG+을/JKO
한다”며	하/VV+ㄴ다/EF+”/SS+며/EC
전형적인	전형/NNG+적/XSN+이/VCP+ㄴ/ETM
백인	백인/NNG
우월주의자들의	우월주의자/NNG+들/XSN+의/JKG
말이라고	말/NNG+이/VCP+라고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.116.7.2
루프의 현주소는 사우스캐롤라이나주의 작은 마을로 주민 거의 전부가 흑인들이다.

루프의	루프/NNP+의/JKG
현주소는	현주소/NNG+는/JX
사우스캐롤라이나주의	사우스캐롤라이나주/NNP+의/JKG
작은	작/VA+은/ETM
마을로	마을/NNG+로/JKB
주민	주민/NNG
거의	거의/MAG
전부가	전부/NNG+가/JKS
흑인들이다.	흑인/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000048.116.8.1
루프는 페이스북에 백인 우월주의자임을 보이는 문양의 점퍼를 입고 찍은 사진을 올렸다.

루프는	루프/NNP+는/JX
페이스북에	페이스북/NNP+에/JKB
백인	백인/NNG
우월주의자임을	우월주의자/NNG+이/VCP+ㅁ/ETN+을/JKO
보이는	보이/VV+는/ETM
문양의	문양/NNG+의/JKG
점퍼를	점퍼/NNG+를/JKO
입고	입/VV+고/EC
찍은	찍/VV+은/ETM
사진을	사진/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.116.8.2
이 점퍼 오른쪽 가슴 부분에는 과거 극단적 인종차별 제도인 아파르트헤이트를 시행한 남아공과 로디지아(현 짐바브웨)의 국기가 새겨져 있었다.

이	이/MMD
점퍼	점퍼/NNG
오른쪽	오른쪽/NNG
가슴	가슴/NNG
부분에는	부분/NNG+에/JKB+는/JX
과거	과거/NNG
극단적	극단/NNG+적/XSN
인종차별	인종/NNG+차별/NNG
제도인	제도/NNG+이/VCP+ㄴ/ETM
아파르트헤이트를	아파르트헤이트/NNG+를/JKO
시행한	시행/NNG+하/XSV+ㄴ/ETM
남아공과	남아공/NNP+과/JC
로디지아(현	로디지아/NNP+(/SS+현/MMD
짐바브웨)의	짐바브웨/NNP+)/SS+의/JKG
국기가	국기/NNG+가/JKS
새겨져	새기/VV+어/EC+지/VX+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000048.116.9.1
루프는 고교 1학년 때 중퇴를 해 친구들이 별로 없고 극도로 내성적인 성격인 것으로 전해졌다.

루프는	루프/NNP+는/JX
고교	고교/NNG
1학년	1/SN+학년/NNG
때	때/NNG
중퇴를	중퇴/NNG+를/JKO
해	하/VV+아/EC
친구들이	친구/NNG+들/XSN+이/JKS
별로	별로/MAG
없고	없/VA+고/EC
극도로	극도/NNG+로/JKB
내성적인	내성/NNG+적/XSN+이/VCP+ㄴ/ETM
성격인	성격/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000048.116.9.2
인종차별주의적 발언들을 자주 내뱉었다고 몇몇 친구들은 전했다.

인종차별주의적	인종/NNG+차별주의/NNG+적/XSN
발언들을	발언/NNG+들/XSN+을/JKO
자주	자주/MAG
내뱉었다고	내뱉/VV+었/EP+다고/EC
몇몇	몇몇/NR
친구들은	친구/NNG+들/XSN+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.116.9.3
올해 루프가 페이스북 친구를 요청해 다시 만나게 됐다는 조지프 미크는 <뉴욕타임스>에 “그는 인종들이 어떻게 분리돼야 하는지에 대해 많은 얘기를 했다”며 “미친 짓을 할 계획을 하고 있다는 말도 했다”고 전했다.

올해	올해/NNG
루프가	루프/NNP+가/JKS
페이스북	페이스북/NNP
친구를	친구/NNG+를/JKO
