# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.251
metadata : {}


# id : NWRW1800000037.251.1.1
수비농구 재미없다고?… “이기는 게 먼저”

수비농구	수비/NNG+농구/NNG
재미없다고?…	재미없/VA+다고/EF+?/SF+…/SE
“이기는	“/SS+이기/VV+는/ETM
게	거/NNB+이/JKS
먼저”	먼저/MAG+”/SS


# id : NWRW1800000037.251.2.1
■ 美전훈 모비스 유재학 감독 지난 시즌 우승전력 고스란히 남아… 실수 줄여 전술 완성도 높이기 주력

■	■/SW
美전훈	美/SH+전훈/NNG
모비스	모비스/NNP
유재학	유재학/NNP
감독	감독/NNG
지난	지나/VV+ㄴ/ETM
시즌	시즌/NNG
우승전력	우승/NNG+전력/NNG
고스란히	고스란히/MAG
남아…	남/VV+아/EC+…/SE
실수	실수/NNG
줄여	줄이/VV+어/EC
전술	전술/NNG
완성도	완성도/NNG
높이기	높이/VV+기/ETN
주력	주력/NNG


# id : NWRW1800000037.251.3.1
유재학 모비스 감독(사진)은 지난달 11일 끝난 아시아 남자 농구선수권 국가대표팀 사령탑을 맡느라 소속 팀을 70일가량 떠나 있었다.

유재학	유재학/NNP
모비스	모비스/NNP
감독(사진)은	감독/NNG+(/SS+사진/NNG+)/SS+은/JX
지난달	지난달/NNG
11일	11/SN+일/NNB
끝난	끝나/VV+ㄴ/ETM
아시아	아시아/NNP
남자	남자/NNG
농구선수권	농구/NNG+선수/NNG+권/XSN
국가대표팀	국가/NNG+대표/NNG+팀/NNG
사령탑을	사령탑/NNG+을/JKO
맡느라	맡/VV+느라/EC
소속	소속/NNG
팀을	팀/NNG+을/JKO
70일가량	70/SN+일/NNB+가량/XSN
떠나	떠나/VV+아/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.251.3.2
2013∼2014시즌 프로농구 개막(10월 12일)을 두 달 앞두고 팀에 복귀해 미국 캘리포니아 주 토런스에서 전지훈련을 지휘하고 있는 유 감독을 7일 만났다.

2013∼2014시즌	2013/SN+∼/SO+2014/SN+시즌/NNG
프로농구	프로/NNG+농구/NNG
개막(10월	개막/NNG+(/SS+10/SN+월/NNB
12일)을	12/SN+일/NNB+)/SS+을/JKO
두	두/MMN
달	달/NNB
앞두고	앞두/VV+고/EC
팀에	팀/NNG+에/JKB
복귀해	복귀/NNG+하/XSV+아/EC
미국	미국/NNP
캘리포니아	캘리포니아/NNP
주	주/NNG
토런스에서	토런스/NNP+에서/JKB
전지훈련을	전지훈련/NNG+을/JKO
지휘하고	지휘/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
유	유/NNP
감독을	감독/NNG+을/JKO
7일	7/SN+일/NNB
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.251.4.1
팀을 오래 비웠는데 돌아와 보니 어떤지부터 물었다.

팀을	팀/NNG+을/JKO
오래	오래/MAG
비웠는데	비우/VV+었/EP+는데/EC
돌아와	돌아오/VV+아/EC
보니	보/VX+니/EC
어떤지부터	어떻/VA+ㄴ지/EF+부터/JX
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.251.4.2
그는 “광저우 아시아경기(2010년) 대표팀 감독 때는 5개월이나 나가 있었다.

그는	그/NP+는/JX
“광저우	“/SS+광저우/NNP
아시아경기(2010년)	아시아/NNP+경기/NNG+(/SS+2010/SN+년/NNB+)/SS
대표팀	대표/NNG+팀/NNG
감독	감독/NNG
