# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.195
metadata : {}


# id : NWRW1800000045.195.1.1
[어떻게 생각하십니까]메르스 속 13만명 시험치른다는데…

[어떻게	[/SS+어떻/VA+게/EC
생각하십니까]메르스	생각/NNG+하/XSV+시/EP+ㅂ니까/EF+]/SS+메르스/NNG
속	속/NNG
13만명	13/SN+만/NR+명/NNB
시험치른다는데…	시험/NNG+치르/VV+ㄴ다는데/EC+…/SE


# id : NWRW1800000045.195.2.1
서울시, 예정대로 13일 ‘공무원 공채필기’ 서울시내 중고교 121곳서 실시… 자가격리대상은 응시 불허한다지만 전국서 모인 수험생 감염 노출될수도

서울시,	서울시/NNP+,/SP
예정대로	예정/NNG+대로/JX
13일	13/SN+일/NNB
‘공무원	‘/SS+공무원/NNG
공채필기’	공채/NNG+필기/NNG+’/SS
서울시내	서울/NNP+시내/NNG
중고교	중고교/NNG
121곳서	121/SN+곳/NNG+서/JKB
실시…	실시/NNG+…/SE
자가격리대상은	자가/NNG+격리/NNG+대상/NNG+은/JX
응시	응시/NNG
불허한다지만	불허/NNG+하/XSV+ㄴ다지만/EC
전국서	전국/NNG+서/JKB
모인	모이/VV+ㄴ/ETM
수험생	수험/NNG+생/XSN
감염	감염/NNG
노출될수도	노출/NNG+되/XSV+ㄹ/ETM+수/NNB+도/JX


# id : NWRW1800000045.195.3.1
서울시가 메르스(MERS·중동호흡기증후군) 확산에도 불구하고 13일 ‘2015 서울시 공무원 임용 필기시험’을 예정대로 실시하기로 했다.

서울시가	서울시/NNP+가/JKS
메르스(MERS·중동호흡기증후군)	메르스/NNG+(/SS+MERS/SL+·/SP+중동/NNP+호흡기/NNG+증후군/NNG+)/SS
확산에도	확산/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
13일	13/SN+일/NNB
‘2015	‘/SS+2015/SN
서울시	서울시/NNP
공무원	공무원/NNG
임용	임용/NNG
필기시험’을	필기시험/NNG+’/SS+을/JKO
예정대로	예정/NNG+대로/JX
실시하기로	실시/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.195.3.2
그 대신 수험생 가운데 메르스 자가 격리 대상자는 시험을 볼 수 없게 했다.

그	그/MMD
대신	대신/NNG
수험생	수험/NNG+생/XSN
가운데	가운데/NNG
메르스	메르스/NNG
자가	자가/NNG
격리	격리/NNG
대상자는	대상자/NNG+는/JX
시험을	시험/NNG+을/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.195.3.3
“일정이 변경되면 응시생에게 피해가 갈 수 있다”며 시험 강행을 결정했지만 메르스 확산이 이어지고 있어 응시생 13만 명이 참여하는 시험을 미루지 않고 치러야 하냐는 우려도 나온다.

“일정이	“/SS+일정/NNG+이/JKS
변경되면	변경/NNG+되/XSV+면/EC
응시생에게	응시/NNG+생/XSN+에게/JKB
피해가	피해/NNG+가/JKS
갈	가/VV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
시험	시험/NNG
강행을	강행/NNG+을/JKO
결정했지만	결정/NNG+하/XSV+았/EP+지만/EC
메르스	메르스/NNG
확산이	확산/NNG+이/JKS
이어지고	이어지/VV+고/EC
있어	있/VX+어/EC
응시생	응시/NNG+생/XSN
13만	13/SN+만/NR
명이	명/NNB+이/JKS
참여하는	참여/NNG+하/XSV+는/ETM
시험을	시험/NNG+을/JKO
미루지	미루/VV+지/EC
않고	않/VX+고/EC
치러야	치르/VV+어야/EC
하냐는	하/VX+냐는/ETM
우려도	우려/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.195.4.1
서울시는 “시험을 미루면 (응시생) 다수가 계획했던 다른 시험 일정에도 차질을 가져올 것이고, 나아가 사회적 불안까지 높아지지 않을까 하는 고민 끝에 예정대로 치르기로 결정했다”고 8일 밝혔다.

서울시는	서울시/NNP+는/JX
“시험을	“/SS+시험/NNG+을/JKO
미루면	미루/VV+면/EC
(응시생)	(/SS+응시/NNG+생/XSN+)/SS
다수가	다수/NNG+가/JKS
계획했던	계획/NNG+하/XSV+았/EP+던/ETM
다른	다른/MMD
시험	시험/NNG
일정에도	일정/NNG+에/JKB+도/JX
차질을	차질/NNG+을/JKO
가져올	가져오/VV+ㄹ/ETM
것이고,	것/NNB+이/VCP+고/EC+,/SP
나아가	나아가/VV+아/EC
사회적	사회/NNG+적/XSN
불안까지	불안/NNG+까지/JX
높아지지	높아지/VV+지/EC
않을까	않/VX+을까/EF
하는	하/VV+는/ETM
고민	고민/NNG
끝에	끝/NNG+에/JKB
예정대로	예정/NNG+대로/JX
치르기로	치르/VV+기/ETN+로/JKB
결정했다”고	결정/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
8일	8/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.195.5.1
서울시는 응시생 가운데 자가 격리 대상자가 시험을 치르지 못하도록 당일 오전 7∼10시에 유선 및 방문 모니터링을 실시하도록 전국 시도에 협조 공문을 보냈다.

서울시는	서울시/NNP+는/JX
응시생	응시/NNG+생/XSN
가운데	가운데/NNG
자가	자가/NNG
격리	격리/NNG
대상자가	대상자/NNG+가/JKS
시험을	시험/NNG+을/JKO
치르지	치르/VV+지/EC
못하도록	못하/VX+도록/EC
당일	당일/NNG
오전	오전/NNG
7∼10시에	7/SN+∼/SO+10/SN+시/NNB+에/JKB
유선	유선/NNG
및	및/MAG
방문	방문/NNG
모니터링을	모니터링/NNG+을/JKO
실시하도록	실시/NNG+하/XSV+도록/EC
전국	전국/NNG
시도에	시도/NNG+에/JKB
협조	협조/NNG
공문을	공문/NNG+을/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.195.5.2
서울시는 대상자의 소재가 파악되지 않으면 경찰의 협조를 받기로 했다.

서울시는	서울시/NNP+는/JX
대상자의	대상자/NNG+의/JKG
소재가	소재/NNG+가/JKS
파악되지	파악/NNG+되/XSV+지/EC
않으면	않/VX+으면/EC
경찰의	경찰/NNG+의/JKG
협조를	협조/NNG+를/JKO
받기로	받/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.195.5.3
자가 격리 대상자는 아니지만 시험 당일 발열 등 이상 증세가 있는 응시생은 별도로 마련된 예비시험실에서 시험을 치르게 할 계획이다.

자가	자가/NNG
격리	격리/NNG
대상자는	대상자/NNG+는/JX
아니지만	아니/VCN+지만/EC
시험	시험/NNG
당일	당일/NNG
발열	발열/NNG
등	등/NNB
이상	이상/NNG
증세가	증세/NNG+가/JKS
있는	있/VA+는/ETM
응시생은	응시/NNG+생/XSN+은/JX
별도로	별도/NNG+로/JKB
마련된	마련/NNG+되/XSV+ㄴ/ETM
예비시험실에서	예비/NNG+시험실/NNG+에서/JKB
시험을	시험/NNG+을/JKO
치르게	치르/VV+게/EC
할	하/VX+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.195.5.4
또 응시생의 마스크 착용을 허용했고, 희망하면 현장에서도 지급할 예정이다.

또	또/MAG
응시생의	응시/NNG+생/XSN+의/JKG
마스크	마스크/NNG
착용을	착용/NNG+을/JKO
허용했고,	허용/NNG+하/XSV+았/EP+고/EC+,/SP
희망하면	희망/NNG+하/XSV+면/EC
현장에서도	현장/NNG+에서/JKB+도/JX
지급할	지급/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.195.5.5
시험장 출입구에는 손 소독제를 비치해 의무적으로 사용하게 한 뒤 입실시킬 계획이다.

시험장	시험장/NNG
출입구에는	출입구/NNG+에/JKB+는/JX
손	손/NNG
소독제를	소독제/NNG+를/JKO
비치해	비치/NNG+하/XSV+아/EC
의무적으로	의무/NNG+적/XSN+으로/JKB
사용하게	사용/NNG+하/XSV+게/EC
한	하/VX+ㄴ/ETM
뒤	뒤/NNG
입실시킬	입실/NNG+시키/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.195.6.1
