# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.315
metadata : {}


# id : NWRW1800000036.315.1.1
국제배구연맹 “김연경은 흥국생명 소속”

국제배구연맹	국제배구연맹/NNP
“김연경은	“/SS+김연경/NNP+은/JX
흥국생명	흥국생명/NNP
소속”	소속/NNG+”/SS


# id : NWRW1800000036.315.2.1
[한겨레] 터키팀과 새로운 임대계약 필요

[한겨레]	[/SS+한겨레/NNP+]/SS
터키팀과	터키/NNP+팀/NNG+과/JKB
새로운	새롭/VA+ㄴ/ETM
임대계약	임대/NNG+계약/NNG
필요	필요/NNG


# id : NWRW1800000036.315.3.1
‘김연경(24)은 흥국생명 소속’이라는 유권해석이 내려졌다.

‘김연경(24)은	‘/SS+김연경/NNP+(/SS+24/SN+)/SS+은/JX
흥국생명	흥국생명/NNP
소속’이라는	소속/NNG+’/SS+이/VCP+라는/ETM
유권해석이	유권/NNG+해석/NNG+이/JKS
내려졌다.	내려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.315.4.1
국제배구연맹(FIVB)은 10일 대한배구협회에 아리 그라사 신임 회장 명의로 공문을 보내 “김연경의 현 소속 구단은 흥국생명이라고 결론을 내렸다.

국제배구연맹(FIVB)은	국제배구연맹/NNP+(/SS+FIVB/SL+)/SS+은/JX
10일	10/SN+일/NNB
대한배구협회에	대한배구협회/NNP+에/JKB
아리	아리/NNP
그라사	그라사/NNP
신임	신임/NNG
회장	회장/NNG
명의로	명의/NNG+로/JKB
공문을	공문/NNG+을/JKO
보내	보내/VV+어/EC
“김연경의	“/SS+김연경/NNP+의/JKG
현	현/MMD
소속	소속/NNG
구단은	구단/NNG+은/JX
흥국생명이라고	흥국생명/NNP+이/VCP+라고/EC
결론을	결론/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.315.4.2
터키협회와 김연경은 이적에 대해 대한배구협회, 흥국생명과 협상해야 한다”고 공식 통보했다.

터키협회와	터키/NNP+협회/NNG+와/JC
김연경은	김연경/NNP+은/JX
이적에	이적/NNG+에/JKB
대해	대하/VV+아/EC
대한배구협회,	대한배구협회/NNP+,/SP
흥국생명과	흥국생명/NNP+과/JKB
협상해야	협상/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
공식	공식/NNG
통보했다.	통보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.315.4.3
그동안 김연경과 흥국생명은 터키 페네르바흐체 이적을 놓고 넉달 가까이 갈등을 빚어왔다.

그동안	그동안/NNG
김연경과	김연경/NNP+과/JC
흥국생명은	흥국생명/NNP+은/JX
터키	터키/NNP
페네르바흐체	페네르바흐체/NNP
이적을	이적/NNG+을/JKO
놓고	놓/VV+고/EC
넉달	넉/MMN+달/NNB
가까이	가까이/MAG
갈등을	갈등/NNG+을/JKO
빚어왔다.	빚/VV+어/EC+오/VX+았/EP+다/EF+./SF


