# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.141
metadata : {}


# id : NWRW1800000052.141.1.1
시대와 일상 건드리는 색다른 신작들…이용백·잭슨홍 개인전

시대와	시대/NNG+와/JC
일상	일상/NNG
건드리는	건드리/VV+는/ETM
색다른	색다르/VA+ㄴ/ETM
신작들…이용백·잭슨홍	신작/NNG+들/XSN+…/SE+이용백/NNP+·/SP+잭슨홍/NNP
개인전	개인전/NNG


# id : NWRW1800000052.141.2.1
[한겨레]

[한겨레]	[/SS+한겨레/NNP+]/SS


# id : NWRW1800000052.141.3.1
올해 미술판의 9월은 잇따른 대형비엔날레와 외국인 컬렉터, 기획자들을 겨냥한 화랑, 미술관의 전시회들로 빼곡하다.

올해	올해/NNG
미술판의	미술/NNG+판/NNG+의/JKG
9월은	9/SN+월/NNB+은/JX
잇따른	잇따르/VV+ㄴ/ETM
대형비엔날레와	대형/NNG+비엔날레/NNG+와/JC
외국인	외국인/NNG
컬렉터,	컬렉터/NNG+,/SP
기획자들을	기획자/NNG+들/XSN+을/JKO
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
화랑,	화랑/NNG+,/SP
미술관의	미술관/NNG+의/JKG
전시회들로	전시회/NNG+들/XSN+로/JKB
빼곡하다.	빼곡/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000052.141.3.2
덩치와 난해한 이미지만 주로 내세운 비엔날레의 진부한 틀거지가 식상하거나 회고전, 구작 짜깁기로 구색을 맞춘 화랑, 미술관 전시가 성에 차지 않는다면 개성파 소장작가들의 신작전에 눈길을 돌려볼 만하다.

덩치와	덩치/NNG+와/JKB
난해한	난해하/VA+ㄴ/ETM
이미지만	이미지/NNG+만/JX
주로	주로/MAG
내세운	내세우/VV+ㄴ/ETM
비엔날레의	비엔날레/NNG+의/JKG
진부한	진부하/VA+ㄴ/ETM
틀거지가	틀거지/NNG+가/JKS
식상하거나	식상/NNG+하/XSA+거나/EC
회고전,	회고전/NNG+,/SP
구작	구작/NNG
짜깁기로	짜깁기/NNG+로/JKB
구색을	구색/NNG+을/JKO
맞춘	맞추/VV+ㄴ/ETM
화랑,	화랑/NNG+,/SP
미술관	미술관/NNG
전시가	전시/NNG+가/JKS
성에	성/NNG+에/JKB
차지	차/VV+지/EC
않는다면	않/VX+는다면/EC
개성파	개성파/NNG
소장작가들의	소장/NNG+작가/NNG+들/XSN+의/JKG
신작전에	신작전/NNG+에/JKB
눈길을	눈길/NNG+을/JKO
