# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.43
metadata : {}


# id : NWRW1800000032.43.1.1
계열사끼리 후순위채 교차판매 불법 논란

계열사끼리	계열사/NNG+끼리/XSN
후순위채	후순위채/NNG
교차판매	교차/NNG+판매/NNG
불법	불법/NNG
논란	논란/NNG


# id : NWRW1800000032.43.2.1
토마토 채권, 토마토2가 판매

토마토	토마토/NNP
채권,	채권/NNG+,/SP
토마토2가	토마토2/NNP+가/JKS
판매	판매/NNG


# id : NWRW1800000032.43.3.1
투자자들 “원리금 보장해야”

투자자들	투자자/NNG+들/XSN
“원리금	“/SS+원리금/NNG
보장해야”	보장/NNG+하/XSV+아야/EC+”/SS


# id : NWRW1800000032.43.4.1
영업이 분리된 저축은행 계열사들이 다른 계열사가 발행한 후순위채를 함께 판 것으로 드러나 불법 판매 논란이 일고 있다.

영업이	영업/NNG+이/JKS
분리된	분리/NNG+되/XSV+ㄴ/ETM
저축은행	저축/NNG+은행/NNG
계열사들이	계열사/NNG+들/XSN+이/JKS
다른	다른/MMD
계열사가	계열사/NNG+가/JKS
발행한	발행/NNG+하/XSV+ㄴ/ETM
후순위채를	후순위채/NNG+를/JKO
함께	함께/MAG
판	팔/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러나	드러나/VV+아/EC
불법	불법/NNG
판매	판매/NNG
논란이	논란/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.43.4.2
토마토2저축은행은 모회사 토마토저축은행의 후순위채를, 제일저축은행은 자회사인 제일2저축은행의 후순위채를 판매한 것으로 드러났다.

토마토2저축은행은	토마토2저축은행/NNP+은/JX
모회사	모회사/NNG
토마토저축은행의	토마토저축은행/NNP+의/JKG
후순위채를,	후순위채/NNG+를/JKO+,/SP
제일저축은행은	제일저축은행/NNP+은/JX
자회사인	자회사/NNG+이/VCP+ㄴ/ETM
제일2저축은행의	제일2저축은행/NNP+의/JKG
후순위채를	후순위채/NNG+를/JKO
판매한	판매/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.43.5.1
토마토2저축은행이 판매한 토마토저축은행의 후순위채권은 약 120억원으로 잠정 파악됐다.

토마토2저축은행이	토마토2저축은행/NNP+이/JKS
판매한	판매/NNG+하/XSV+ㄴ/ETM
토마토저축은행의	토마토저축은행/NNP+의/JKG
후순위채권은	후순위/NNG+채권/NNG+은/JX
약	약/MMA
120억원으로	120/SN+억/NR+원/NNB+으로/JKB
잠정	잠정/NNG
파악됐다.	파악/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.43.5.2
금융감독원은 토마토저축은행이 2006~2010년 발행한 후순위채 1100억원 가운데 자본시장법 위반 소지가 있는 후순위채권은 116억원(약 10%)인 것으로 집계됐다고 21일 밝혔다.

금융감독원은	금융/NNG+감독원/NNG+은/JX
토마토저축은행이	토마토저축은행/NNP+이/JKS
2006~2010년	2006/SN+~/SO+2010/SN+년/NNB
발행한	발행/NNG+하/XSV+ㄴ/ETM
후순위채	후순위채/NNG
1100억원	1100/SN+억/NR+원/NNB
가운데	가운데/NNG
자본시장법	자본/NNG+시장법/NNG
위반	위반/NNG
소지가	소지/NNG+가/JKS
있는	있/VA+는/ETM
후순위채권은	후순위/NNG+채권/NNG+은/JX
116억원(약	116/SN+억/NR+원/NNB+(/SS+약/MMA
10%)인	10/SN+%/SW+)/SS+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
집계됐다고	집계/NNG+되/XSV+었/EP+다고/EC
21일	21/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.43.5.3
