# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.1
metadata : {}


# id : NWRW1800000054.1.1.1
국내 유통 '팸퍼스 기저귀' 4종 모두 조사

국내	국내/NNG
유통	유통/NNG
'팸퍼스	'/SS+팸퍼스/NNP
기저귀'	기저귀/NNG+'/SS
4종	4/SN+종/NNG
모두	모두/MAG
조사	조사/NNG


# id : NWRW1800000054.1.2.1
정부 독성 물질 논란 규명 나서… 대형마트들은 판매 전면 중단, 한국P&G "리콜·환불 미정"

정부	정부/NNG
독성	독성/NNG
물질	물질/NNG
논란	논란/NNG
규명	규명/NNG
나서…	나서/VV+어/EF+…/SE
대형마트들은	대형/NNG+마트/NNG+들/XSN+은/JX
판매	판매/NNG
전면	전면/NNG
중단,	중단/NNG+,/SP
한국P&G	한국P&G/NNP
"리콜·환불	"/SS+리콜/NNG+·/SP+환불/NNG
미정"	미정/NNG+"/SS


# id : NWRW1800000054.1.3.1
정부가 살충제·다이옥신 등 독성 물질이 발견돼 논란이 된 피앤지(P&G) 기저귀에 대해 조사에 나섰다〈본지 2017년 2월 3일 자 A1면〉.

정부가	정부/NNG+가/JKS
살충제·다이옥신	살충제/NNG+·/SP+다이옥신/NNG
등	등/NNB
독성	독성/NNG
물질이	물질/NNG+이/JKS
발견돼	발견/NNG+되/XSV+어/EC
논란이	논란/NNG+이/JKC
된	되/VV+ㄴ/ETM
피앤지(P&G)	피앤지/NNP+(/SS+P/SL+&/SW+G/SL+)/SS
기저귀에	기저귀/NNG+에/JKB
대해	대하/VV+아/EC
조사에	조사/NNG+에/JKB
나섰다〈본지	나서/VV+었/EP+다/EF+〈/SS+본지/NNG
2017년	2017/SN+년/NNB
2월	2/SN+월/NNB
3일	3/SN+일/NNB
자	자/NNG
A1면〉.	A/SL+1/SN+면/NNG+〉/SS+./SF


# id : NWRW1800000054.1.4.1
산업통상자원부 국가기술표준원은 3일 논란이 된 '팸퍼스 베이비 드라이' 제품뿐 아니라 한국P&G가 국내에 정식 수입하는 팸퍼스 크루저·액티브핏, 팸퍼스 뉴베이비센서티브·스와들러 센서티브 등 4개 제품에 대해 조사를 실시하겠다고 밝혔다.

산업통상자원부	산업/NNG+통상/NNG+자원부/NNG
국가기술표준원은	국가기술표준원/NNP+은/JX
3일	3/SN+일/NNB
논란이	논란/NNG+이/JKC
된	되/VV+ㄴ/ETM
'팸퍼스	'/SS+팸퍼스/NNP
베이비	베이비/NNP
드라이'	드라이/NNP+'/SS
제품뿐	제품/NNG+뿐/JX
아니라	아니/VCN+라/EC
한국P&G가	한국P&G/NNP+가/JKS
국내에	국내/NNG+에/JKB
정식	정식/NNG
수입하는	수입/NNG+하/XSV+는/ETM
팸퍼스	팸퍼스/NNP
크루저·액티브핏,	크루저/NNP+·/SP+액티브핏/NNP+,/SP
뉴베이비센서티브·스와들러	뉴베이비센서티브/NNP+·/SP+스와들러/NNP
센서티브	센서티브/NNP
등	등/NNB
4개	4/SN+개/NNB
제품에	제품/NNG+에/JKB
대해	대하/VV+아/EC
조사를	조사/NNG+를/JKO
실시하겠다고	실시/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.1.4.2
정동원 국가기술표준원 원장은 "처음엔 논란이 된 제품만 조사를 하려고 했으나 기저귀에서 나온 유독 물질의 양을 일반인의 섭취량과 동일한 기준으로 적용해 해명하는 한국P&G 측의 논리가 부족하다고 판단해 수입되는 전 제품에 대해 조사를 실시하기로 했다"고 밝혔다.

정동원	정동원/NNP
국가기술표준원	국가기술표준원/NNP
원장은	원장/NNG+은/JX
"처음엔	"/SS+처음/NNG+에/JKB+ㄴ/JX
논란이	논란/NNG+이/JKC
된	되/VV+ㄴ/ETM
제품만	제품/NNG+만/JX
조사를	조사/NNG+를/JKO
하려고	하/VV+려고/EC
했으나	하/VX+았/EP+으나/EC
기저귀에서	기저귀/NNG+에서/JKB
나온	나오/VV+ㄴ/ETM
유독	유독/NNG
물질의	물질/NNG+의/JKG
양을	양/NNG+을/JKO
일반인의	일반인/NNG+의/JKG
섭취량과	섭취량/NNG+과/JKB
동일한	동일/NNG+하/XSA+ㄴ/ETM
기준으로	기준/NNG+으로/JKB
적용해	적용/NNG+하/XSV+아/EC
해명하는	해명/NNG+하/XSV+는/ETM
한국P&G	한국P&G/NNP
측의	측/NNB+의/JKG
논리가	논리/NNG+가/JKS
부족하다고	부족/NNG+하/XSA+다고/EC
판단해	판단/NNG+하/XSV+아/EC
수입되는	수입/NNG+되/XSV+는/ETM
전	전/MMN
제품에	제품/NNG+에/JKB
대해	대하/VV+아/EC
실시하기로	실시/NNG+하/XSV+기/ETN+로/JKB
했다"고	하/VV+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.1.5.1
이번 논란은 프랑스 잡지 '6000만 소비자들' 최신호가 프랑스에 유통 중인 12개 기저귀를 조사한 결과, 8개 제품에서는 휘발성 유기화합물이, P&G의 '팸퍼스 베이비 드라이'에서는 살충제와 다이옥신이, '카르푸 베이비 에코 플래닛'에서는 글리포세이트(살충제)와 휘발성 유기화합물, 다환방향족탄화수소가 검출됐다고 고발하면서 불거졌다.

이번	이번/NNG
논란은	논란/NNG+은/JX
프랑스	프랑스/NNP
잡지	잡지/NNG
'6000만	'/SS+6000/SN+만/NR
소비자들'	소비자/NNG+들/XSN+'/SS
최신호가	최신/NNG+호/NNB+가/JKS
프랑스에	프랑스/NNP+에/JKB
유통	유통/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
12개	12/SN+개/NNB
기저귀를	기저귀/NNG+를/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
8개	8/SN+개/NNB
제품에서는	제품/NNG+에서/JKB+는/JX
휘발성	휘발/NNG+성/XSN
