# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.3
metadata : {}


# id : NWRW1800000040.3.1.1
‘현금 서비스’도 울고 갈 ‘할부 수수료’의 고금리

‘현금	‘/SS+현금/NNG
서비스’도	서비스/NNG+’/SS+도/JX
울고	울/VV+고/EC
갈	가/VX+ㄹ/ETM
‘할부	‘/SS+할부/NNG
수수료’의	수수료/NNG+’/SS+의/JKG
고금리	고/XPN+금리/NNG


# id : NWRW1800000040.3.2.1
지난해 할부 60~70%가 연리 18% 이상 물어

지난해	지난해/NNG
할부	할부/NNG
60~70%가	60/SN+~/SO+70/SN+%/SW+가/JKS
연리	연리/NNG
18%	18/SN+%/SW
이상	이상/NNG
물어	물/VV+어/EC


# id : NWRW1800000040.3.3.1
신용 좋으면 현금서비스 이자가 더 싼 모순도

신용	신용/NNG
좋으면	좋/VA+으면/EC
현금서비스	현금/NNG+서비스/NNG
이자가	이자/NNG+가/JKS
더	더/MAG
싼	싸/VA+ㄴ/ETM
모순도	모순/NNG+도/JX


# id : NWRW1800000040.3.4.1
불합리하고 과도한 할부수수료 체계 손봐야

불합리하고	불/XPN+합리/NNG+하/XSA+고/EC
과도한	과도/NNG+하/XSA+ㄴ/ETM
할부수수료	할부/NNG+수수료/NNG
체계	체계/NNG
손봐야	손보/VV+아야/EC


# id : NWRW1800000040.3.5.1
대형마트·병원 등 대형 가맹점들이 무이자할부 서비스를 중단해 논란을 빚고 있는 가운데, 할부 고객에게 적용되는 할부수수료율이 턱없이 높다는 지적이 많다.

대형마트·병원	대형/NNG+마트/NNG+·/SP+병원/NNG
등	등/NNB
대형	대형/NNG
가맹점들이	가맹점/NNG+들/XSN+이/JKS
무이자할부	무/XPN+이자/NNG+할부/NNG
서비스를	서비스/NNG+를/JKO
중단해	중단/NNG+하/XSV+아/EC
논란을	논란/NNG+을/JKO
빚고	빚/VV+고/EC
있는	있/VX+는/ETM
가운데,	가운데/NNG+,/SP
할부	할부/NNG
고객에게	고객/NNG+에게/JKB
적용되는	적용/NNG+되/XSV+는/ETM
할부수수료율이	할부/NNG+수수료/NNG+율/XSN+이/JKS
턱없이	턱없이/MAG
높다는	높/VA+다는/ETM
지적이	지적/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000040.3.5.2
특히 신용등급이 높은 경우엔 할부수수료율이 되레 현금서비스 수수료율보다 높아, 할부수수료율 체계 개선이 필요하다는 목소리가 나온다.

특히	특히/MAG
신용등급이	신용/NNG+등급/NNG+이/JKS
높은	높/VA+은/ETM
경우엔	경우/NNG+에/JKB+ㄴ/JX
할부수수료율이	할부/NNG+수수료/NNG+율/XSN+이/JKS
되레	되레/MAG
현금서비스	현금/NNG+서비스/NNG
수수료율보다	수수료/NNG+율/XSN+보다/JKB
높아,	높/VA+아/EC+,/SP
할부수수료율	할부/NNG+수수료/NNG+율/XSN
체계	체계/NNG
개선이	개선/NNG+이/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
목소리가	목소리/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.3.6.1
■ 현금서비스 버금가는 고금리 9일 여신금융협회 자료를 보면, 주요 카드사들의 할부수수료율은 연 5%~22.9%까지로, 이용자의 신용등급이 낮고 할부기간이 길수록 수수료율도 올라간다.

■	■/SW
현금서비스	현금/NNG+서비스/NNG
버금가는	버금가/VV+는/ETM
고금리	고/XPN+금리/NNG
9일	9/SN+일/NNB
여신금융협회	여신금융협회/NNP
자료를	자료/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
주요	주요/NNG
카드사들의	카드사/NNG+들/XSN+의/JKG
할부수수료율은	할부/NNG+수수료/NNG+율/XSN+은/JX
연	연/NNG
5%~22.9%까지로,	5/SN+%/SW+~/SO+22/SN+./SP+9/SN+%/SW+까지/JX+로/JKB+,/SP
이용자의	이용자/NNG+의/JKG
신용등급이	신용/NNG+등급/NNG+이/JKS
낮고	낮/VA+고/EC
할부기간이	할부/NNG+기간/NNG+이/JKS
길수록	길/VA+ㄹ수록/EC
수수료율도	수수료/NNG+율/XSN+도/JX
올라간다.	올라가/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.3.7.1
카드사 중 가장 많은 고객을 확보하고 있는 신한카드의 경우, 지난해 할부이자를 문 할부구매 이용객 중 34.3%가 연 16~18%의 이자율을 적용받았다.

카드사	카드사/NNG
중	중/NNB
가장	가장/MAG
많은	많/VA+은/ETM
고객을	고객/NNG+을/JKO
확보하고	확보/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
신한카드의	신한카드/NNP+의/JKG
경우,	경우/NNG+,/SP
지난해	지난해/NNG
할부이자를	할부/NNG+이자/NNG+를/JKO
문	물/VV+ㄴ/ETM
할부구매	할부/NNG+구매/NNG
이용객	이용객/NNG
34.3%가	34/SN+./SP+3/SN+%/SW+가/JKS
연	연/NNG
16~18%의	16/SN+~/SO+18/SN+%/SW+의/JKG
이자율을	이자/NNG+율/XSN+을/JKO
적용받았다.	적용/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.3.7.2
연 18%를 웃도는 수수료를 낸 고객 비중도 35.6%나 됐다.

연	연/NNG
18%를	18/SN+%/SW+를/JKO
웃도는	웃돌/VV+는/ETM
