# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.341
metadata : {}


# id : NWRW1800000037.341.1.1
시진핑 “신발 맞는지 안맞는지는 신은 사람만 알아”

시진핑	시진핑/NNP
“신발	“/SS+신발/NNG
맞는지	맞/VV+는지/EC
안맞는지는	안/MAG+맞/VV+는지/EF+는/JX
신은	신/VV+은/ETM
사람만	사람/NNG+만/JX
알아”	알/VV+아/EF+”/SS


# id : NWRW1800000037.341.2.1
서방 내정간섭에 경고

서방	서방/NNG
내정간섭에	내정/NNG+간섭/NNG+에/JKB
경고	경고/NNG


# id : NWRW1800000037.341.3.1
시진핑(習近平) 중국 국가주석은 23일 러시아 모스크바의 국립국제관계대에서 “신발이 발에 맞는지 안 맞는지는 신어 본 사람만이 알 수 있다”고 말했다.

시진핑(習近平)	시진핑/NNP+(/SS+習近平/SH+)/SS
중국	중국/NNP
국가주석은	국가주석/NNG+은/JX
23일	23/SN+일/NNB
러시아	러시아/NNP
모스크바의	모스크바/NNP+의/JKG
국립국제관계대에서	국립국제관계대/NNP+에서/JKB
“신발이	“/SS+신발/NNG+이/JKS
발에	발/NNG+에/JKB
맞는지	맞/VV+는지/EC
안	안/MAG
맞는지는	맞/VV+는지/EF+는/JX
신어	신/VV+어/EC
본	보/VX+ㄴ/ETM
사람만이	사람/NNG+만/JX+이/JKS
알	알/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.341.3.2
중국 내정에 서방 국가들이 감 놔라 배 놔라 하지 말라는 메시지를 던진 것.

중국	중국/NNP
내정에	내정/NNG+에/JKB
서방	서방/NNG
국가들이	국가/NNG+들/XSN+이/JKS
감	감/NNG
놔라	놓/VV+아라/EF
배	배/NNG
하지	하/VV+지/EC
말라는	말/VX+라는/ETM
메시지를	메시지/NNG+를/JKO
던진	던지/VV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000037.341.4.1
시 주석은 이날 강연에서 “한 국가의 발전 방향이 적절한지 아닌지는 그 나라와 그 인민들이 가장 잘 아는 것”이라며 이같이 말했다.

시	시/NNP
주석은	주석/NNG+은/JX
이날	이날/NNG
강연에서	강연/NNG+에서/JKB
“한	“/SS+한/MMN
국가의	국가/NNG+의/JKG
발전	발전/NNG
방향이	방향/NNG+이/JKS
적절한지	적절하/VA+ㄴ지/EF
아닌지는	아니/VCN+ㄴ지/EF+는/JX
그	그/MMD
나라와	나라/NNG+와/JC
인민들이	인민/NNG+들/XSN+이/JKS
가장	가장/MAG
잘	잘/MAG
아는	알/VV+는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
이같이	이같이/MAG
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.341.4.2
그러면서 “다른 나라가 특정국 내정에 간섭해서는 안 된다”고 강조했다.

그러면서	그러/VV+면서/EC
“다른	“/SS+다른/MMD
나라가	나라/NNG+가/JKS
특정국	특정국/NNG
내정에	내정/NNG+에/JKB
간섭해서는	간섭/NNG+하/XSV+아서/EC+는/JX
안	안/MAG
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.341.5.1
시 주석의 발언은 표면적으로는 해당 학교가 러시아 고급 외교관 양성 기관이라는 점에서 중국이 1954년 저우언라이(周恩來) 당시 총리가 천명한 이래 계속 견지해 온 ‘평화공존 5원칙’을 재차 확인한 것으로 보인다.

시	시/NNP
주석의	주석/NNG+의/JKG
발언은	발언/NNG+은/JX
표면적으로는	표면/NNG+적/XSN+으로/JKB+는/JX
해당	해당/NNG
학교가	학교/NNG+가/JKS
러시아	러시아/NNP
고급	고급/NNG
외교관	외교관/NNG
양성	양성/NNG
기관이라는	기관/NNG+이/VCP+라는/ETM
점에서	점/NNG+에서/JKB
중국이	중국/NNP+이/JKS
1954년	1954/SN+년/NNB
저우언라이(周恩來)	저우언라이/NNP+(/SS+周恩來/SH+)/SS
당시	당시/NNG
총리가	총리/NNG+가/JKS
천명한	천명/NNG+하/XSV+ㄴ/ETM
이래	이래/NNB
계속	계속/MAG
견지해	견지/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
‘평화공존	‘/SS+평화/NNG+공존/NNG
5원칙’을	5/SN+원칙/NNG+’/SS+을/JKO
재차	재차/MAG
확인한	확인/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.341.5.2
평화공존 5원칙은 영토의 보존, 상호 주권 존중과 불가침, 내정 불간섭, 호혜평등, 평화공존을 의미한다.

평화공존	평화/NNG+공존/NNG
5원칙은	5/SN+원칙/NNG+은/JX
영토의	영토/NNG+의/JKG
보존,	보존/NNG+,/SP
상호	상호/NNG
주권	주권/NNG
존중과	존중/NNG+과/JC
불가침,	불가침/NNG+,/SP
내정	내정/NNG
불간섭,	불/XPN+간섭/NNG+,/SP
호혜평등,	호혜/NNG+평등/NNG+,/SP
평화공존을	평화/NNG+공존/NNG+을/JKO
의미한다.	의미/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.341.6.1
하지만 대만 롄허(聯合)보 등은 인종 문제나 인권 문제, 소수민족 정책, 영토 분쟁 등에 대해 미국 등 서방 국가들이 간섭하지 말 것을 ‘신발론’으로 강력히 촉구한 것으로 해석했다.

하지만	하지만/MAJ
대만	대만/NNP
롄허(聯合)보	롄허/NNP+(/SS+聯合/SH+)/SS+보/NNG
등은	등/NNB+은/JX
인종	인종/NNG
문제나	문제/NNG+나/JC
인권	인권/NNG
문제,	문제/NNG+,/SP
소수민족	소수/NNG+민족/NNG
정책,	정책/NNG+,/SP
영토	영토/NNG
분쟁	분쟁/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
미국	미국/NNP
등	등/NNB
서방	서방/NNG
국가들이	국가/NNG+들/XSN+이/JKS
간섭하지	간섭/NNG+하/XSV+지/EC
말	말/VX+ㄹ/ETM
것을	것/NNB+을/JKO
‘신발론’으로	‘/SS+신발/NNG+론/XSN+’/SS+으로/JKB
강력히	강력히/MAG
촉구한	촉구/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
해석했다.	해석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.341.6.2
시 주석의 외교가 주변 강대국과의 대립보다는 협력을 추구하지만 내정간섭은 용인하지 않겠다는 점을 분명히 한 것이다.

시	시/NNP
주석의	주석/NNG+의/JKG
외교가	외교/NNG+가/JKS
주변	주변/NNG
강대국과의	강대국/NNG+과/JKB+의/JKG
대립보다는	대립/NNG+보다/JKB+는/JX
협력을	협력/NNG+을/JKO
추구하지만	추구/NNG+하/XSV+지만/EC
내정간섭은	내정/NNG+간섭/NNG+은/JX
용인하지	용인/NNG+하/XSV+지/EC
않겠다는	않/VX+겠/EP+다는/ETM
점을	점/NNG+을/JKO
분명히	분명히/MAG
한	하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.341.7.1
시 주석은 중-러 관계에 대해 “국제사회의 가장 중요한 양자관계 가운데 하나”라며 “이는 양국관계뿐 아니라 세계의 균형을 보장하는 것”이라고 역설했다.

시	시/NNP
주석은	주석/NNG+은/JX
중-러	중/NNP+-/SO+러/NNP
관계에	관계/NNG+에/JKB
대해	대하/VV+아/EC
“국제사회의	“/SS+국제/NNG+사회/NNG+의/JKG
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
양자관계	양자/NNG+관계/NNG
가운데	가운데/NNG
하나”라며	하나/NR+”/SS+이/VCP+라며/EC
“이는	“/SS+이/NP+는/JX
양국관계뿐	양국/NNG+관계/NNG+뿐/JX
아니라	아니/VCN+라/EC
세계의	세계/NNG+의/JKG
균형을	균형/NNG+을/JKO
보장하는	보장/NNG+하/XSV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
역설했다.	역설/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.341.7.2
22일 러시아에 도착한 시 주석은 24일 다음 행선지인 아프리카 탄자니아로 향했다.

22일	22/SN+일/NNB
러시아에	러시아/NNP+에/JKB
도착한	도착/NNG+하/XSV+ㄴ/ETM
시	시/NNP
주석은	주석/NNG+은/JX
24일	24/SN+일/NNB
다음	다음/NNG
행선지인	행선지/NNG+이/VCP+ㄴ/ETM
아프리카	아프리카/NNP
탄자니아로	탄자니아/NNP+로/JKB
향했다.	향하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.341.7.3
광저우(廣州)에서 발행되는 21세기경제보도는 시 주석의 방문 기간에 중국이 탄자니아에서 100억 달러(약 11조 원) 규모의 항구 개발 공사를 수주할 것이라고 보도했다.

광저우(廣州)에서	광저우/NNP+(/SS+廣州/SH+)/SS+에서/JKB
발행되는	발행/NNG+되/XSV+는/ETM
21세기경제보도는	21세기경제보도/NNP+는/JX
시	시/NNP
주석의	주석/NNG+의/JKG
방문	방문/NNG
기간에	기간/NNG+에/JKB
중국이	중국/NNP+이/JKS
탄자니아에서	탄자니아/NNP+에서/JKB
100억	100/SN+억/NR
달러(약	달러/NNB+(/SS+약/MMA
11조	11/SN+조/NR
원)	원/NNB+)/SS
규모의	규모/NNG+의/JKG
항구	항구/NNG
개발	개발/NNG
공사를	공사/NNG+를/JKO
수주할	수주/NNG+하/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


