# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.236
metadata : {}


# id : NWRW1800000052.236.1.1
[뉴스룸 토크] 멘탈갑 우병우의 미래

[뉴스룸	[/SS+뉴스룸/NNG
토크]	토크/NNG+]/SS
멘탈갑	멘탈/NNG+갑/NNG
우병우의	우병우/NNP+의/JKG
미래	미래/NNG


# id : NWRW1800000052.236.2.1
[한겨레] 우병우 청와대 민정수석은 언제 물러날까요?

[한겨레]	[/SS+한겨레/NNP+]/SS
우병우	우병우/NNP
청와대	청와대/NNP
민정수석은	민정/NNG+수석/NNG+은/JX
언제	언제/MAG
물러날까요?	물러나/VV+ㄹ까/EF+요/JX+?/SF


# id : NWRW1800000052.236.2.2
… 쉽게 안 물러날걸요… ‘멘탈갑’처럼 보여요… 그게 다 재산 때문이죠… 네?… 우병우의 힘은 처가 재산입니다… 골프 접대나 스폰서 받을 일도 없고… 검사 시절 윗선에도 소신있게 발언했다죠… 뼛속 깊이 엘리트의식이 박혀 있고 안하무인이라는 평이 많대요.

…	…/SE
쉽게	쉽/VA+게/EC
안	안/MAG
물러날걸요…	물러나/VV+ㄹ걸/EF+요/JX+…/SE
‘멘탈갑’처럼	‘/SS+멘탈/NNG+갑/NNG+’/SS+처럼/JKB
보여요…	보이/VV+어요/EF+…/SE
그게	그거/NP+이/JKS
다	다/MAG
재산	재산/NNG
때문이죠…	때문/NNB+이/VCP+죠/EF+…/SE
네?…	네/IC+?/SF+…/SE
우병우의	우병우/NNP+의/JKG
힘은	힘/NNG+은/JX
처가	처가/NNG
재산입니다…	재산/NNG+이/VCP+ㅂ니다/EF+…/SE
골프	골프/NNG
접대나	접대/NNG+나/JC
스폰서	스폰서/NNG
받을	받/VV+을/ETM
일도	일/NNG+도/JX
없고…	없/VA+고/EC+…/SE
검사	검사/NNG
시절	시절/NNG
윗선에도	윗선/NNG+에/JKB+도/JX
소신있게	소신/NNG+있/VA+게/EC
발언했다죠…	발언/NNG+하/XSV+았/EP+다죠/EF+…/SE
뼛속	뼛속/NNG
깊이	깊이/MAG
엘리트의식이	엘리트/NNG+의식/NNG+이/JKS
박혀	박히/VV+어/EC
있고	있/VX+고/EC
안하무인이라는	안하무인/NNG+이/VCP+라는/ETM
평이	평/NNG+이/JKS
많대요.	많/VA+대/EF+요/JX+./SF


# id : NWRW1800000052.236.2.3
자신에게 주어진 권한이 100이면 120을 사용하는 스타일이라죠.

자신에게	자신/NNG+에게/JKB
주어진	주어지/VV+ㄴ/ETM
권한이	권한/NNG+이/JKS
100이면	100/SN+이/VCP+면/EC
120을	120/SN+을/JKO
사용하는	사용/NNG+하/XSV+는/ETM
스타일이라죠.	스타일/NNG+이/VCP+라죠/EF+./SF


# id : NWRW1800000052.236.3.1
