# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.322
metadata : {}


# id : NWRW1800000028.322.1.1
룸살롱 2차 장부에 목포가 ‘덜덜’

룸살롱	룸살롱/NNG
2차	2/SN+차/NNB
장부에	장부/NNG+에/JKB
목포가	목포/NNP+가/JKS
‘덜덜’	‘/SS+덜덜/MAG+’/SS


# id : NWRW1800000028.322.2.1
‘마담의 비밀장부에 전화번호가 적힌 사람들이 떨고 있다.’

‘마담의	‘/SS+마담/NNG+의/JKG
비밀장부에	비밀/NNG+장부/NNG+에/JKB
전화번호가	전화번호/NNG+가/JKS
적힌	적히/VV+ㄴ/ETM
사람들이	사람/NNG+들/XSN+이/JKS
떨고	떨/VV+고/EC
있다.’	있/VX+다/EF+./SF+’/SS


# id : NWRW1800000028.322.3.1
전남 목포경찰서는 지난 2월, 목포의 한 모텔에서 성매수를 하던 남성이 상대 여성을 폭행한 사건을 신고받고 수사를 시작했다.

전남	전남/NNP
목포경찰서는	목포경찰서/NNP+는/JX
지난	지나/VV+ㄴ/ETM
2월,	2/SN+월/NNB+,/SP
목포의	목포/NNP+의/JKG
한	한/MMN
모텔에서	모텔/NNG+에서/JKB
성매수를	성/NNG+매수/NNG+를/JKO
하던	하/VV+던/ETM
남성이	남성/NNG+이/JKS
상대	상대/NNG
여성을	여성/NNG+을/JKO
폭행한	폭행/NNG+하/XSV+ㄴ/ETM
사건을	사건/NNG+을/JKO
신고받고	신고/NNG+받/XSV+고/EC
수사를	수사/NNG+를/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.322.3.2
경찰은 성매매 여부를 가리기 위해 이 여성이 일하던 목포의 한 유흥주점을 압수수색하던 중 마담 ㅇ(33)씨의 장부 1권을 발견했다.

경찰은	경찰/NNG+은/JX
성매매	성매매/NNG
여부를	여부/NNG+를/JKO
가리기	가리/VV+기/ETN
위해	위하/VV+아/EC
이	이/MMD
여성이	여성/NNG+이/JKS
일하던	일/NNG+하/XSV+던/ETM
목포의	목포/NNP+의/JKG
한	한/MMN
유흥주점을	유흥/NNG+주점/NNG+을/JKO
압수수색하던	압수/NNG+수색/NNG+하/XSV+던/ETM
중	중/NNB
마담	마담/NNG
ㅇ(33)씨의	ㅇ/NNG+(/SS+33/SN+)/SS+씨/NNB+의/JKG
장부	장부/NNG
1권을	1/SN+권/NNB+을/JKO
발견했다.	발견/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.322.3.3
장부에는 이 유흥주점에 들른 400여명의 휴대전화 번호가 꼼꼼하게 기록돼 있었다.

장부에는	장부/NNG+에/JKB+는/JX
이	이/MMD
유흥주점에	유흥/NNG+주점/NNG+에/JKB
들른	들르/VV+ㄴ/ETM
400여명의	400/SN+여/XSN+명/NNB+의/JKG
휴대전화	휴대/NNG+전화/NNG
번호가	번호/NNG+가/JKS
꼼꼼하게	꼼꼼/MAG+하/XSA+게/EC
기록돼	기록/NNG+되/XSV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.322.3.4
경찰 관계자는 “장부의 휴대전화 번호 앞에는 2차 성매매를 뜻하는 동그라미 표시가 돼 있었다”고 말했다.

경찰	경찰/NNG
관계자는	관계자/NNG+는/JX
“장부의	“/SS+장부/NNG+의/JKG
휴대전화	휴대/NNG+전화/NNG
번호	번호/NNG
앞에는	앞/NNG+에/JKB+는/JX
2차	2/SN+차/NNB
성매매를	성매매/NNG+를/JKO
뜻하는	뜻/NNG+하/XSV+는/ETM
동그라미	동그라미/NNG
표시가	표시/NNG+가/JKS
돼	되/VV+어/EC
있었다”고	있/VX+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.322.4.1
목포서는 장부에 적힌 성매매 용의자들을 차례로 불러 지금까지 200여명을 조사했다고 14일 밝혔다.

목포서는	목포서/NNP+는/JX
장부에	장부/NNG+에/JKB
적힌	적히/VV+ㄴ/ETM
성매매	성매매/NNG
용의자들을	용의자/NNG+들/XSN+을/JKO
차례로	차례/NNG+로/JKB
불러	부르/VV+어/EC
지금까지	지금/NNG+까지/JX
200여명을	200/SN+여/XSN+명/NNB+을/JKO
조사했다고	조사/NNG+하/XSV+았/EP+다고/EC
14일	14/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.322.4.2
대부분은 성매매 혐의를 잡아뗐지만, 40여명은 장부를 들이대자 시인했다.

대부분은	대/XPN+부분/NNG+은/JX
성매매	성매매/NNG
혐의를	혐의/NNG+를/JKO
잡아뗐지만,	잡아떼/VV+었/EP+지만/EC+,/SP
40여명은	40/SN+여/XSN+명/NNB+은/JX
장부를	장부/NNG+를/JKO
들이대자	들이대/VV+자/EC
시인했다.	시인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.322.4.3
