# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.323
metadata : {}


# id : NWRW1800000021.323.1.1
[강원]출연료-관람료 NO… 나눔의 무대

[강원]출연료-관람료	[/SS+강원/NNP+]/SS+출연료/NNG+-/SO+관람료/NNG
NO…	NO/SL+…/SE
나눔의	나누/VV+ㅁ/ETN+의/JKG
무대	무대/NNG


# id : NWRW1800000021.323.2.1
강원도내 저명인사들이 대거 출연하는 자선음악회가 열려 관심을 모으고 있다.

강원도내	강원도/NNP+내/NNB
저명인사들이	저명인사/NNG+들/XSN+이/JKS
대거	대거/MAG
출연하는	출연/NNG+하/XSV+는/ETM
자선음악회가	자선/NNG+음악회/NNG+가/JKS
열려	열리/VV+어/EC
관심을	관심/NNG+을/JKO
모으고	모으/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.323.2.2
9일 오후 7시 춘천문화예술회관에서 열리는 ‘사랑과 희망의 특별 자선음악회’에는 김진선 강원도지사를 비롯해 이광준 춘천시장, 이택수 변호사, 유영호 치과원장, 임정근 내과원장, 양인태 강원대 교수(토목공학과), 김영관 강원대 국제교류본부장 등이 무대에 선다.

9일	9/SN+일/NNB
오후	오후/NNG
7시	7/SN+시/NNB
춘천문화예술회관에서	춘천문화예술회관/NNP+에서/JKB
열리는	열리/VV+는/ETM
‘사랑과	‘/SS+사랑/NNG+과/JC
희망의	희망/NNG+의/JKG
특별	특별/NNG
자선음악회’에는	자선/NNG+음악회/NNG+’/SS+에/JKB+는/JX
김진선	김진선/NNP
강원도지사를	강원/NNP+도지사/NNG+를/JKO
비롯해	비롯하/VV+아/EC
이광준	이광준/NNP
춘천시장,	춘천시장/NNG+,/SP
이택수	이택수/NNP
변호사,	변호사/NNG+,/SP
유영호	유영호/NNP
치과원장,	치과/NNG+원장/NNG+,/SP
임정근	임정근/NNP
내과원장,	내과/NNG+원장/NNG+,/SP
양인태	양인태/NNP
강원대	강원대/NNP
교수(토목공학과),	교수/NNG+(/SS+토목/NNG+공학과/NNG+)/SS+,/SP
김영관	김영관/NNP
국제교류본부장	국제/NNG+교류/NNG+본부장/NNG
등이	등/NNB+이/JKS
무대에	무대/NNG+에/JKB
선다.	서/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.323.3.1
연극인인 최지순 강원도예총회장의 사회로 진행되는 이날 음악회는 이한돈 강원대 교수의 지휘로 강원필하모니오케스트라가 서막을 열며 양 교수가 ‘선구자’, ‘별은 빛난다’를 노래한다.

연극인인	연극인/NNG+이/VCP+ㄴ/ETM
최지순	최지순/NNP
강원도예총회장의	강원도예총회장/NNG+의/JKG
사회로	사회/NNG+로/JKB
진행되는	진행/NNG+되/XSV+는/ETM
이날	이날/NNG
음악회는	음악회/NNG+는/JX
이한돈	이한돈/NNP
강원대	강원대/NNP
교수의	교수/NNG+의/JKG
지휘로	지휘/NNG+로/JKB
강원필하모니오케스트라가	강원필하모니오케스트라/NNP+가/JKS
서막을	서막/NNG+을/JKO
열며	열/VV+며/EC
양	양/NNP
교수가	교수/NNG+가/JKS
‘선구자’,	‘/SS+선구자/NNG+’/SS+,/SP
‘별은	‘/SS+별/NNG+은/JX
빛난다’를	빛나/VV+ㄴ다/EF+’/SS+를/JKO
노래한다.	노래/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.323.3.2
이 변호사는 색소폰으로 케니 지의 ‘러빙 유’와 ‘가을을 남기고 간 사랑’을 연주한다.

이	이/NNP
변호사는	변호사/NNG+는/JX
색소폰으로	색소폰/NNG+으로/JKB
케니	케니/NNP
지의	지/NNP+의/JKG
‘러빙	‘/SS+러빙/NNP
유’와	유/NNP+’/SS+와/JC
‘가을을	‘/SS+가을/NNG+을/JKO
남기고	남기/VV+고/EC
간	가/VV+ㄴ/ETM
사랑’을	사랑/NNG+’/SS+을/JKO
연주한다.	연주/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.323.3.3
유 원장은 ‘마이웨이’와 ‘오 솔레미오’를 테너 음색으로 들려준다.

유	유/NNP
원장은	원장/NNG+은/JX
‘마이웨이’와	‘/SS+마이웨이/NNP+’/SS+와/JC
‘오	‘/SS+오/NNP
솔레미오’를	솔레미오/NNP+’/SS+를/JKO
테너	테너/NNG
음색으로	음색/NNG+으로/JKB
들려준다.	들려주/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.323.4.1
김 지사는 김아영 강원대 음악학과 4학년생의 반주를 배경으로 자작시를 낭송하고, 임 원장은 ‘보리밭’, ‘임이 오시는지’를 노래한다.

김	김/NNP
지사는	지사/NNG+는/JX
김아영	김아영/NNP
강원대	강원대/NNP
음악학과	음악학과/NNG
4학년생의	4/SN+학년/NNG+생/XSN+의/JKG
반주를	반주/NNG+를/JKO
배경으로	배경/NNG+으로/JKB
자작시를	자작시/NNG+를/JKO
낭송하고,	낭송/NNG+하/XSV+고/EC+,/SP
임	임/NNP
원장은	원장/NNG+은/JX
‘보리밭’,	‘/SS+보리밭/NNP+’/SS+,/SP
‘임이	‘/SS+임/NNG+이/JKS
오시는지’를	오/VV+시/EP+는지/EF+’/SS+를/JKO
노래한다.	노래/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.323.4.2
이 시장은 고교 시절부터 갈고 닦은 색소폰 실력을 발휘한다.

이	이/NNP
시장은	시장/NNG+은/JX
고교	고교/NNG
시절부터	시절/NNG+부터/JX
갈고	갈/VV+고/EC
닦은	닦/VV+은/ETM
색소폰	색소폰/NNG
실력을	실력/NNG+을/JKO
발휘한다.	발휘/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.323.4.3
이 시장은 김 본부장, 이 변호사와 색소폰 3중주로 가요 ‘사랑으로’와 ‘오버 더 레인보’ 등도 연주할 예정이다.

이	이/NNP
시장은	시장/NNG+은/JX
김	김/NNP
본부장,	본부장/NNG+,/SP
변호사와	변호사/NNG+와/JKB
색소폰	색소폰/NNG
3중주로	3/SN+중주/NNG+로/JKB
가요	가요/NNG
‘사랑으로’와	‘/SS+사랑으로/NNP+’/SS+와/JC
‘오버	‘/SS+오버/NNP
더	더/NNP
레인보’	레인보/NNP+’/SS
등도	등/NNB+도/JX
연주할	연주/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.323.5.1
강원일보어린이합창단도 출연해 ‘학창시절’과 ‘연가’ 등을 아름다운 하모니로 들려준다.

강원일보어린이합창단도	강원일보어린이합창단/NNG+도/JX
출연해	출연/NNG+하/XSV+아/EC
‘학창시절’과	‘/SS+학창시절/NNP+’/SS+과/JC
‘연가’	‘/SS+연가/NNP+’/SS
등을	등/NNB+을/JKO
아름다운	아름답/VA+ㄴ/ETM
하모니로	하모니/NNG+로/JKB
들려준다.	들려주/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.323.5.2
전국장애학생 음악경연대회에서 성악 부분 최우수상을 받은 김민지 양(명진학교3)이 특별 출연한다.

전국장애학생	전국/NNG+장애/NNG+학생/NNG
음악경연대회에서	음악/NNG+경연/NNG+대회/NNG+에서/JKB
성악	성악/NNG
부분	부분/NNG
최우수상을	최우수상/NNG+을/JKO
받은	받/VV+은/ETM
김민지	김민지/NNP
양(명진학교3)이	양/NNB+(/SS+명진학교/NNP+3/SN+)/SS+이/JKS
특별	특별/NNG
출연한다.	출연/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.323.6.1
강원일보사 주최로 열리는 이번 음악회는 소외 계층을 위해 마련된 행사로 출연자들은 노개런티로 무대에 선다.

강원일보사	강원일보사/NNP
주최로	주최/NNG+로/JKB
열리는	열리/VV+는/ETM
이번	이번/NNG
