# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.228
metadata : {}


# id : NWRW1800000046.228.1.1
이승엽 홈런 2방… 삼성, 한화 꺾고 선두 질주

이승엽	이승엽/NNP
홈런	홈런/NNG
2방…	2/SN+방/NNB+…/SE
삼성,	삼성/NNP+,/SP
한화	한화/NNP
꺾고	꺾/VV+고/EC
선두	선두/NNG
질주	질주/NNG


# id : NWRW1800000046.228.2.1
두산, NC 꺾고 2위 복귀

두산,	두산/NNP+,/SP
NC	NC/SL
꺾고	꺾/VV+고/EC
2위	2/SN+위/NNB
복귀	복귀/NNG


# id : NWRW1800000046.228.3.1
'국민 타자' 이승엽(39)이 올 시즌 두 번째 멀티(2개 이상) 홈런을 기록했다.

'국민	'/SS+국민/NNG
타자'	타자/NNG+'/SS
이승엽(39)이	이승엽/NNP+(/SS+39/SN+)/SS+이/JKS
올	올/NNG
시즌	시즌/NNG
두	두/MMN
번째	번/NNB+째/XSN
멀티(2개	멀티/NNG+(/SS+2/SN+개/NNB
이상)	이상/NNG+)/SS
홈런을	홈런/NNG+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.228.3.2
이승엽은 26일 프로야구 한화와의 대전 원정경기에서 상대 선발 미치 탈보트를 상대로 2회와 7회 홈런을 때리며 팀의 8대2 승리에 앞장섰다.

이승엽은	이승엽/NNP+은/JX
26일	26/SN+일/NNB
프로야구	프로/NNG+야구/NNG
한화와의	한화/NNP+와/JKB+의/JKG
대전	대전/NNP
원정경기에서	원정/NNG+경기/NNG+에서/JKB
상대	상대/NNG
선발	선발/NNG
미치	미치/NNP
탈보트를	탈보트/NNP+를/JKO
상대로	상대/NNG+로/JKB
2회와	2/SN+회/NNB+와/JC
7회	7/SN+회/NNB
홈런을	홈런/NNG+을/JKO
때리며	때리/VV+며/EC
팀의	팀/NNG+의/JKG
8대2	8/SN+대/NNB+2/SN
승리에	승리/NNG+에/JKB
앞장섰다.	앞장서/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.228.3.3
지난 1일 목동 넥센전 이후 홈런을 추가하지 못하던 이승엽은 0―0이던 2회 탈보트를 상대로 16경기 만에 시즌 16호 홈런을 터뜨렸다.

지난	지나/VV+ㄴ/ETM
1일	1/SN+일/NNB
목동	목동/NNP
넥센전	넥센전/NNG
이후	이후/NNG
홈런을	홈런/NNG+을/JKO
추가하지	추가/NNG+하/XSV+지/EC
못하던	못하/VX+던/ETM
이승엽은	이승엽/NNP+은/JX
0―0이던	0/SN+―/SS+0/SN+이/VCP+던/ETM
2회	2/SN+회/NNB
탈보트를	탈보트/NNP+를/JKO
상대로	상대/NNG+로/JKB
16경기	16/SN+경기/NNG
만에	만/NNB+에/JKB
시즌	시즌/NNG
16호	16/SN+호/NNB
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.228.3.4
2―0으로 앞선 7회에는 다시 탈보트를 상대로 오른쪽 장외로 향하는 비거리 130m의 시즌 17호 홈런을 때렸다.

2―0으로	2/SN+―/SS+0/SN+으로/JKB
앞선	앞서/VV+ㄴ/ETM
7회에는	7/SN+회/NNB+에/JKB+는/JX
다시	다시/MAG
탈보트를	탈보트/NNP+를/JKO
상대로	상대/NNG+로/JKB
오른쪽	오른쪽/NNG
장외로	장외/NNG+로/JKB
향하는	향하/VV+는/ETM
비거리	비거리/NNG
130m의	130/SN+m/SW+의/JKG
시즌	시즌/NNG
17호	17/SN+호/NNB
홈런을	홈런/NNG+을/JKO
때렸다.	때리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.228.3.5
이승엽이 한 경기 두 개 이상 홈런을 때린 것은 지난달 13일 광주 KIA전에 이어 올 시즌 두 번째다.

이승엽이	이승엽/NNP+이/JKS
한	한/MMN
경기	경기/NNG
두	두/MMN
개	개/NNB
이상	이상/NNG
홈런을	홈런/NNG+을/JKO
때린	때리/VV+ㄴ/ETM
것은	것/NNB+은/JX
지난달	지난달/NNG
13일	13/SN+일/NNB
광주	광주/NNP
KIA전에	KIA전/NNG+에/JKB
이어	잇/VV+어/EC
올	올/NNG
시즌	시즌/NNG
번째다.	번/NNB+째/XSN+이/VCP+다/EF+./SF


