# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.403
metadata : {}


# id : NWRW1800000049.403.1.1
수원 경기상상캠퍼스 숲속 장터 27일 열려

수원	수원/NNP
경기상상캠퍼스	경기상상캠퍼스/NNP
숲속	숲속/NNG
장터	장터/NNG
27일	27/SN+일/NNB
열려	열리/VV+어/EF


# id : NWRW1800000049.403.2.1
문화예술 창작활동 젊은이들… 아트 제품-수제커피 등 선보여

문화예술	문화/NNG+예술/NNG
창작활동	창작/NNG+활동/NNG
젊은이들…	젊은이/NNG+들/XSN+…/SE
아트	아트/NNG
제품-수제커피	제품/NNG+-/SO+수제/NNG+커피/NNG
등	등/NNB
선보여	선보이/VV+어/EF


# id : NWRW1800000049.403.3.1
경기상상캠퍼스에서 청년들이 마련한 숲속 장터가 열린다.

경기상상캠퍼스에서	경기상상캠퍼스/NNP+에서/JKB
청년들이	청년/NNG+들/XSN+이/JKS
마련한	마련/NNG+하/XSV+ㄴ/ETM
숲속	숲속/NNG
장터가	장터/NNG+가/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.403.3.2
경기상상캠퍼스는 경기도가 수원시 권선구 옛 서울대 농생대(15만2000m²)를 리모델링해 만든 청년문화예술 복합공간으로 올 6월 문을 열었다.

경기상상캠퍼스는	경기상상캠퍼스/NNP+는/JX
경기도가	경기도/NNP+가/JKS
수원시	수원시/NNP
권선구	권선구/NNP
옛	옛/MMA
서울대	서울대/NNP
농생대(15만2000m²)를	농생대/NNG+(/SS+15/SN+만/NR+2000/SN+m²/SW+)/SS+를/JKO
리모델링해	리모델링/NNG+하/XSV+아/EC
만든	만들/VV+ㄴ/ETM
청년문화예술	청년/NNG+문화/NNG+예술/NNG
복합공간으로	복합공간/NNG+으로/JKB
올	올/NNG
6월	6/SN+월/NNB
문을	문/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.403.3.3
현재 건물 22개 중 농원예학관과 농공학관이 각각 청년문화창작소, 생생공화국으로 탈바꿈해 청년문화단체 8개와 생활공방팀 5개가 입주했다.

현재	현재/MAG
건물	건물/NNG
22개	22/SN+개/NNB
중	중/NNB
농원예학관과	농원예학관/NNG+과/JC
농공학관이	농공학관/NNG+이/JKS
각각	각각/MAG
