# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.70
metadata : {}


# id : NWRW1800000049.70.1.1
[2016 한국 시니어산업 대상]100세 시대 준비하는 청박병원의 건강관리

[2016	[/SS+2016/SN
한국	한국/NNP
시니어산업	시니어/NNG+산업/NNG
대상]100세	대상/NNG+]/SS+100/SN+세/NNB
시대	시대/NNG
준비하는	준비/NNG+하/XSV+는/ETM
청박병원의	청박병원/NNP+의/JKG
건강관리	건강/NNG+관리/NNG


# id : NWRW1800000049.70.2.1
웰에이징 클리닉 부문 웰에이징센터

웰에이징	웰에이징/NNG
클리닉	클리닉/NNG
부문	부문/NNG
웰에이징센터	웰에이징센터/NNP


# id : NWRW1800000049.70.3.1
웰에이징센터(원장 유박영)가 ‘2016 한국 시니어산업 대상’의 웰에이징 클리닉 부문 대상을 수상했다.

웰에이징센터(원장	웰에이징센터/NNP+(/SS+원장/NNG
유박영)가	유박영/NNP+)/SS+가/JKS
‘2016	‘/SS+2016/SN
한국	한국/NNP
시니어산업	시니어/NNG+산업/NNG
대상’의	대상/NNG+’/SS+의/JKG
웰에이징	웰에이징/NNG
클리닉	클리닉/NNG
부문	부문/NNG
대상을	대상/NNG+을/JKO
수상했다.	수상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.70.3.2
웰에이징센터는 청박병원 진료의 연장으로 100세 시대를 대비하는 ‘Inner Health, Outer Beauty, Secret Touch 진료’를 추구하고 있다.

웰에이징센터는	웰에이징센터/NNP+는/JX
청박병원	청박병원/NNP
진료의	진료/NNG+의/JKG
연장으로	연장/NNG+으로/JKB
100세	100/SN+세/NNB
시대를	시대/NNG+를/JKO
대비하는	대비/NNG+하/XSV+는/ETM
‘Inner	‘/SS+Inner/SL
Health,	Health/SL+,/SP
Outer	Outer/SL
Beauty,	Beauty/SL+,/SP
Secret	Secret/SL
Touch	Touch/SL
진료’를	진료/NNG+’/SS+를/JKO
추구하고	추구/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.70.3.3
이 함축된 세 가지 진료를 ‘코미모 진료’라 명명하고 집중 진료를 하고 있다.

이	이/MMD
함축된	함축/NNG+되/XSV+ㄴ/ETM
세	세/MMN
가지	가지/NNB
진료를	진료/NNG+를/JKO
‘코미모	‘/SS+코미모/NNG
진료’라	진료/NNG+’/SS+라/EC
명명하고	명명/NNG+하/XSV+고/EC
집중	집중/NNG
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.70.4.1
코미모란 ‘코끼리 터치, 미(美) 터치, 모나리자 터치’의 약자로 그 내용은 100세 시대에 청장년기부터 건강한 시니어가 되기 위한 준비에 꼭 필요한 진료로 구성된 신개념 시니어 웰에이징 건강관리 프로그램이다.

코미모란	코미모/NNG+란/JX
‘코끼리	‘/SS+코끼리/NNG
터치,	터치/NNG+,/SP
미(美)	미/NNG+(/SS+美/SH+)/SS
모나리자	모나리자/NNP
터치’의	터치/NNG+’/SS+의/JKG
약자로	약자/NNG+로/JKB
그	그/MMD
내용은	내용/NNG+은/JX
100세	100/SN+세/NNB
시대에	시대/NNG+에/JKB
청장년기부터	청장년기/NNG+부터/JX
건강한	건강/NNG+하/XSA+ㄴ/ETM
시니어가	시니어/NNG+가/JKC
되기	되/VV+기/ETN
위한	위하/VV+ㄴ/ETM
준비에	준비/NNG+에/JKB
꼭	꼭/MAG
필요한	필요/NNG+하/XSA+ㄴ/ETM
진료로	진료/NNG+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
신개념	신/XPN+개념/NNG
시니어	시니어/NNG
웰에이징	웰에이징/NNG
건강관리	건강/NNG+관리/NNG
프로그램이다.	프로그램/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.70.4.2
