# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.179
metadata : {}


# id : NWRW1800000053.179.1.1
‘여중생 집단 성폭행’ 항소심 재판부 “사람이 할 짓인가” 1심보다 형량 높여

‘여중생	‘/SS+여중/NNG+생/XSN
집단	집단/NNG
성폭행’	성폭행/NNG+’/SS
항소심	항소심/NNG
재판부	재판부/NNG
“사람이	“/SS+사람/NNG+이/JKS
할	하/VV+ㄹ/ETM
짓인가”	짓/NNG+이/VCP+ㄴ가/EF+”/SS
1심보다	1심/NNG+보다/JKB
형량	형량/NNG
높여	높이/VV+어/EF


# id : NWRW1800000053.179.2.1
“(사건) 기록을 읽어보면 분노가 치밀어서 이게 과연 사람이 할 수 있는 일인가 하는 생각이 든다.”

“(사건)	“/SS+(/SS+사건/NNG+)/SS
기록을	기록/NNG+을/JKO
읽어보면	읽/VV+어/EC+보/VX+면/EC
분노가	분노/NNG+가/JKS
치밀어서	치밀/VV+어서/EC
이게	이거/NP+이/JKS
과연	과연/MAG
사람이	사람/NNG+이/JKS
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
일인가	일/NNG+이/VCP+ㄴ가/EF
하는	하/VV+는/ETM
생각이	생각/NNG+이/JKS
든다.”	들/VV+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000053.179.3.1
22일 오후 서울고법 404호 법정.

22일	22/SN+일/NNB
오후	오후/NNG
서울고법	서울고법/NNP
404호	404/SN+호/NNB
법정.	법정/NNG+./SF


# id : NWRW1800000053.179.3.2
서울고법 형사9부 함상훈 부장판사는 깊은 탄식과 함께 성폭력 범죄의 처벌 등에 관한 특례법 위반(특수강간) 혐의로 기소된 한모 씨(22) 등 11명에 대한 판결을 읽어내려 갔다.

서울고법	서울고법/NNP
형사9부	형사/NNG+9/SN+부/NNG
함상훈	함상훈/NNP
부장판사는	부장/NNG+판사/NNG+는/JX
깊은	깊/VA+은/ETM
탄식과	탄식/NNG+과/JKB
함께	함께/MAG
성폭력	성폭력/NNG
범죄의	범죄/NNG+의/JKG
처벌	처벌/NNG
등에	등/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
특례법	특례법/NNG
위반(특수강간)	위반/NNG+(/SS+특수/NNG+강간/NNG+)/SS
혐의로	혐의/NNG+로/JKB
기소된	기소/NNG+되/XSV+ㄴ/ETM
한모	한/NNP+모/NP
씨(22)	씨/NNB+(/SS+22/SN+)/SS
등	등/NNB
11명에	11/SN+명/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
판결을	판결/NNG+을/JKO
읽어내려	읽/VV+어/EC+내리/VV+어/EC
갔다.	가/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.179.3.3
함 부장판사는 “당시 열일곱 살 철없는 소년들이었다지만 어린 여중생을 밤에 산으로 끌고 가 술 담배를 하며 성폭행한 행동은 도무지 이해할 수가 없다”며 “피고인들이 줄을 서서 피해자들을 성폭행하려 기다렸다는 내용을 보고 ‘위안부’ 사건이 생각났다”고 질타했다.

함	함/NNP
부장판사는	부장/NNG+판사/NNG+는/JX
“당시	“/SS+당시/NNG
열일곱	열일곱/NR
살	살/NNB
철없는	철없/VA+는/ETM
소년들이었다지만	소년/NNG+들/XSN+이/VCP+었/EP+다지만/EC
어린	어리/VA+ㄴ/ETM
여중생을	여중/NNG+생/XSN+을/JKO
밤에	밤/NNG+에/JKB
산으로	산/NNG+으로/JKB
끌고	끌/VV+고/EC
가	가/VV+아/EC
술	술/NNG
담배를	담배/NNG+를/JKO
하며	하/VV+며/EC
성폭행한	성폭행/NNG+하/XSV+ㄴ/ETM
행동은	행동/NNG+은/JX
도무지	도무지/MAG
이해할	이해/NNG+하/XSV+ㄹ/ETM
수가	수/NNB+가/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
“피고인들이	“/SS+피고인/NNG+들/XSN+이/JKS
줄을	줄/NNG+을/JKO
서서	서/VV+어서/EC
피해자들을	피해자/NNG+들/XSN+을/JKO
성폭행하려	성폭행/NNG+하/XSV+려/EC
기다렸다는	기다리/VV+었/EP+다는/ETM
내용을	내용/NNG+을/JKO
보고	보/VV+고/EC
‘위안부’	‘/SS+위안부/NNG+’/SS
사건이	사건/NNG+이/JKS
생각났다”고	생각나/VV+았/EP+다/EF+”/SS+고/JKQ
질타했다.	질타/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.179.4.1
한 씨 등은 고등학생이던 2011년 9월 서울 도봉구의 한 산에서 두 번에 걸쳐 여중생 2명에게 술을 마신 뒤 집단 성폭행한 혐의로 기소됐다.

한	한/MMN
씨	씨/NNB
등은	등/NNB+은/JX
고등학생이던	고등학생/NNG+이/VCP+던/ETM
2011년	2011/SN+년/NNB
9월	9/SN+월/NNB
서울	서울/NNP
도봉구의	도봉구/NNP+의/JKG
산에서	산/NNG+에서/JKB
두	두/MMN
번에	번/NNB+에/JKB
걸쳐	걸치/VV+어/EC
여중생	여중/NNG+생/XSN
2명에게	2/SN+명/NNB+에게/JKB
술을	술/NNG+을/JKO
마신	마시/VV+ㄴ/ETM
뒤	뒤/NNG
집단	집단/NNG
성폭행한	성폭행/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
기소됐다.	기소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.179.4.2
경찰은 2012년 8월 다른 성범죄 사건을 수사하다가 이 사건에 대한 첩보를 입수해 수사에 착수했다.

경찰은	경찰/NNG+은/JX
2012년	2012/SN+년/NNB
8월	8/SN+월/NNB
다른	다른/MMD
성범죄	성범죄/NNG
사건을	사건/NNG+을/JKO
수사하다가	수사/NNG+하/XSV+다가/EC
이	이/MMD
사건에	사건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
첩보를	첩보/NNG+를/JKO
입수해	입수/NNG+하/XSV+아/EC
수사에	수사/NNG+에/JKB
착수했다.	착수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.179.4.3
피해자들은 지난해 3월 뒤늦게 고소장을 제출했다.

피해자들은	피해자/NNG+들/XSN+은/JX
지난해	지난해/NNG
3월	3/SN+월/NNB
뒤늦게	뒤늦/VA+게/EC
고소장을	고소장/NNG+을/JKO
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.179.5.1
이날 재판부는 한 씨와 정모 씨(21)에게 징역 7년을, 김모 씨(22)와 박모 씨(21)에게 징역 6년을 각각 선고했다.

이날	이날/NNG
재판부는	재판부/NNG+는/JX
한	한/NNP
씨와	씨/NNB+와/JC
정모	정/NNP+모/NP
씨(21)에게	씨/NNB+(/SS+21/SN+)/SS+에게/JKB
징역	징역/NNG
