# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.238
metadata : {}


# id : NWRW1800000044.238.1.1
한겨레, 7회 연속 ‘기자들이 뽑은 신뢰도 1위 언론’

한겨레,	한겨레/NNP+,/SP
7회	7/SN+회/NNB
연속	연속/NNG
‘기자들이	‘/SS+기자/NNG+들/XSN+이/JKS
뽑은	뽑/VV+은/ETM
신뢰도	신뢰도/NNG
1위	1/SN+위/NNB
언론’	언론/NNG+’/SS


# id : NWRW1800000044.238.2.1
[한겨레] 한국기자협회 창립 50돌 설문조사

[한겨레]	[/SS+한겨레/NNP+]/SS
한국기자협회	한국기자협회/NNP
창립	창립/NNG
50돌	50/SN+돌/NNB
설문조사	설문/NNG+조사/NNG


# id : NWRW1800000044.238.3.1
현직 기자 55% “세월호 참사 책임은 박근혜 정부”…유병언은 14%

현직	현직/NNG
기자	기자/NNG
55%	55/SN+%/SW
“세월호	“/SS+세월호/NNP
참사	참사/NNG
책임은	책임/NNG+은/JX
박근혜	박근혜/NNP
정부”…유병언은	정부/NNG+”/SS+…/SE+유병언/NNP+은/JX
14%	14/SN+%/SW


# id : NWRW1800000044.238.4.1
현재 국내서 활동중인 기자 2명 가운데 1명은 ‘박근혜 정부가 세월호 참사의 책임이 있다’고 보고 있었다.

현재	현재/MAG
국내서	국내/NNG+서/JKB
활동중인	활동/NNG+중/NNB+이/VCP+ㄴ/ETM
기자	기자/NNG
2명	2/SN+명/NNB
가운데	가운데/NNG
1명은	1/SN+명/NNB+은/JX
‘박근혜	‘/SS+박근혜/NNP
정부가	정부/NNG+가/JKS
세월호	세월호/NNP
참사의	참사/NNG+의/JKG
책임이	책임/NNG+이/JKS
있다’고	있/VA+다/EF+’/SS+고/JKQ
보고	보/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000044.238.4.2
한국기자협회가 창립 50돌을 맞아 전국 기자 303명을 대상으로 실시한 설문조사 결과다.

한국기자협회가	한국기자협회/NNP+가/JKS
창립	창립/NNG
50돌을	50/SN+돌/NNB+을/JKO
맞아	맞/VV+아/EC
전국	전국/NNG
기자	기자/NNG
303명을	303/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
실시한	실시/NNG+하/XSV+ㄴ/ETM
설문조사	설문/NNG+조사/NNG
결과다.	결과/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.238.4.3
같은 조사서 기자들은 <한겨레>를 ‘가장 신뢰하는 언론’으로 꼽았다.

같은	같/VA+은/ETM
조사서	조사/NNG+서/JKB
기자들은	기자/NNG+들/XSN+은/JX
<한겨레>를	</SS+한겨레/NNP+>/SS+를/JKO
‘가장	‘/SS+가장/MAG
신뢰하는	신뢰/NNG+하/XSV+는/ETM
언론’으로	언론/NNG+’/SS+으로/JKB
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.238.4.4
<한겨레>는 2006년부터 시작된 기자협회의 언론사 신뢰도 설문조사에서 7년 연속 1위를 차지했다.

<한겨레>는	</SS+한겨레/NNP+>/SS+는/JX
2006년부터	2006/SN+년/NNB+부터/JX
시작된	시작/NNG+되/XSV+ㄴ/ETM
기자협회의	기자협회/NNP+의/JKG
언론사	언론사/NNG
신뢰도	신뢰도/NNG
설문조사에서	설문/NNG+조사/NNG+에서/JKB
7년	7/SN+년/NNB
연속	연속/NNG
1위를	1/SN+위/NNB+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.238.4.5
(그래프 참조)

(그래프	(/SS+그래프/NNG
참조)	참조/NNG+)/SS


# id : NWRW1800000044.238.5.1
13일 한국기자협회가 발표한 설문조사 결과를 보면, 전체 응답 기자의 54.6%는 ”세월호 참사의 책임은 박근혜 정부에 있다”고 답했다.

13일	13/SN+일/NNB
한국기자협회가	한국기자협회/NNP+가/JKS
발표한	발표/NNG+하/XSV+ㄴ/ETM
설문조사	설문/NNG+조사/NNG
결과를	결과/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
전체	전체/NNG
응답	응답/NNG
기자의	기자/NNG+의/JKG
54.6%는	54/SN+./SP+6/SN+%/SW+는/JX
”세월호	”/SS+세월호/NNP
참사의	참사/NNG+의/JKG
책임은	책임/NNG+은/JX
박근혜	박근혜/NNP
정부에	정부/NNG+에/JKB
있다”고	있/VA+다/EF+”/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.238.5.2
‘유병언 전 세모그룹 회장’이라고 답한 비율은 13.7%에 그쳤다.

‘유병언	‘/SS+유병언/NNP
전	전/MMD
세모그룹	세모그룹/NNP
회장’이라고	회장/NNG+’/SS+이라고/JKQ
답한	답/NNG+하/XSV+ㄴ/ETM
비율은	비율/NNG+은/JX
13.7%에	13/SN+./SP+7/SN+%/SW+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.238.5.3
그 뒤를 해양수산부와 마피아를 합친 ‘해피아’(11.5%)와 해경(6.2%)이 이었다.

그	그/MMD
뒤를	뒤/NNG+를/JKO
해양수산부와	해양/NNG+수산부/NNG+와/JC
마피아를	마피아/NNG+를/JKO
합친	합치/VV+ㄴ/ETM
‘해피아’(11.5%)와	‘/SS+해피아/NNP+’/SS+(/SS+11/SN+./SP+5/SN+%/SW+)/SS+와/JC
해경(6.2%)이	해경/NNG+(/SS+6/SN+./SP+2/SN+%/SW+)/SS+이/JKS
이었다.	잇/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.238.5.4
기자들의 다수는 세월호 참사가 유병언 전 회장이나, 해수부처럼 특정 개인이나 집단이 아닌 정부의 총체적 잘못에서 비롯됐다고 본 것이다.

기자들의	기자/NNG+들/XSN+의/JKG
다수는	다수/NNG+는/JX
세월호	세월호/NNP
참사가	참사/NNG+가/JKS
유병언	유병언/NNP
전	전/MMD
회장이나,	회장/NNG+이나/JC+,/SP
해수부처럼	해수부/NNG+처럼/JKB
특정	특정/NNG
개인이나	개인/NNG+이나/JC
집단이	집단/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
정부의	정부/NNG+의/JKG
총체적	총체/NNG+적/XSN
잘못에서	잘못/NNG+에서/JKB
비롯됐다고	비롯되/VV+었/EP+다고/EC
본	보/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.238.6.1
또 기자들은 세월호 참사를 보도한 언론의 책임도 통감하고 있었다.

또	또/MAG
기자들은	기자/NNG+들/XSN+은/JX
세월호	세월호/NNP
참사를	참사/NNG+를/JKO
보도한	보도/NNG+하/XSV+ㄴ/ETM
언론의	언론/NNG+의/JKG
책임도	책임/NNG+도/JX
통감하고	통감/NNG+하/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000044.238.6.2
‘전원 구조 오보 등 언론보도도 사고 책임에서 자유롭지 못하다’는 질문에 90.5%가 ‘동의한다’고 대답했다.

‘전원	‘/SS+전원/NNG
구조	구조/NNG
오보	오보/NNG
등	등/NNB
언론보도도	언론/NNG+보도/NNG+도/JX
사고	사고/NNG
책임에서	책임/NNG+에서/JKB
자유롭지	자유/NNG+롭/XSA+지/EC
못하다’는	못하/VX+다/EF+’/SS+는/ETM
질문에	질문/NNG+에/JKB
90.5%가	90/SN+./SP+5/SN+%/SW+가/JKS
‘동의한다’고	‘/SS+동의/NNG+하/XSV+ㄴ다/EF+’/SS+고/JKQ
대답했다.	대답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.238.6.3
(적극 동의 56.8%, 조금 동의 33.7%) 기자와 쓰레기가 합쳐진 ‘기레기’라는 신조어에 대해서도 68.7%가 “맞는 말이다”라고 답했다.

(적극	(/SS+적극/NNG
동의	동의/NNG
56.8%,	56/SN+./SP+8/SN+%/SW+,/SP
조금	조금/MAG
33.7%)	33/SN+./SP+7/SN+%/SW+)/SS
기자와	기자/NNG+와/JC
쓰레기가	쓰레기/NNG+가/JKS
합쳐진	합치/VV+어/EC+지/VX+ㄴ/ETM
‘기레기’라는	‘/SS+기레기/NNG+’/SS+이/VCP+라는/ETM
신조어에	신조어/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
68.7%가	68/SN+./SP+7/SN+%/SW+가/JKS
“맞는	“/SS+맞/VV+는/ETM
말이다”라고	말/NNG+이/VCP+다/EF+”/SS+라고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.238.6.4
‘맞지 않다’고 응답한 기자는 29.5%였다.

‘맞지	‘/SS+맞/VV+지/EC
않다’고	않/VX+다/EF+’/SS+고/JKQ
응답한	응답/NNG+하/XSV+ㄴ/ETM
기자는	기자/NNG+는/JX
29.5%였다.	29/SN+./SP+5/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000044.238.6.5
세월호 사건을 거치며 기자 사회 안에서도 자성의 목소리가 널리 퍼져있음을 보여주는 대목이다.

세월호	세월호/NNP
사건을	사건/NNG+을/JKO
거치며	거치/VV+며/EC
기자	기자/NNG
사회	사회/NNG
안에서도	안/NNG+에서/JKB+도/JX
자성의	자성/NNG+의/JKG
목소리가	목소리/NNG+가/JKS
널리	널리/MAG
