# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.375
metadata : {}


# id : NWRW1800000021.375.1.1
Mnet 가요시상식 亞 10개국 생중계

Mnet	Mnet/SL
가요시상식	가요/NNG+시상식/NNG
亞	亞/SH
10개국	10/SN+개국/NNB
생중계	생/XPN+중계/NNG


# id : NWRW1800000021.375.2.1
케이블 채널 Mnet의 연말 가요 시상식인 ‘MAMA’(Mnet Asian Music Awards)가 21일 오후 5시부터 6시간 동안 서울 잠실 실내체육관에서 열린다.

케이블	케이블/NNG
채널	채널/NNG
Mnet의	Mnet/SL+의/JKG
연말	연말/NNG
가요	가요/NNG
시상식인	시상식/NNG+이/VCP+ㄴ/ETM
‘MAMA’(Mnet	‘/SS+MAMA/SL+’/SS+(/SS+Mnet/SL
Asian	Asian/SL
Music	Music/SL
Awards)가	Awards/SL+)/SS+가/JKS
21일	21/SN+일/NNB
오후	오후/NNG
5시부터	5/SN+시/NNB+부터/JX
6시간	6/SN+시간/NNB
동안	동안/NNG
서울	서울/NNP
잠실	잠실/NNP
실내체육관에서	실내/NNG+체육관/NNG+에서/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.375.2.2
이번 행사는 일본 중국 태국 홍콩 대만 싱가포르 말레이시아 인도네시아 마카오 필리핀 등 아시아 10개국에 생방송한다.

이번	이번/NNG
행사는	행사/NNG+는/JX
일본	일본/NNP
중국	중국/NNP
태국	태국/NNP
홍콩	홍콩/NNP
대만	대만/NNP
싱가포르	싱가포르/NNP
말레이시아	말레이시아/NNP
인도네시아	인도네시아/NNP
마카오	마카오/NNP
필리핀	필리핀/NNP
등	등/NNB
아시아	아시아/NNP
10개국에	10/SN+개국/NNB+에/JKB
생방송한다.	생/XPN+방송/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.375.2.3
아시아 인기 가수들을 대상으로 한 시상 부문은 없으나 일부 해외 가수들이 시상식 무대에 출연한다.

아시아	아시아/NNP
인기	인기/NNG
가수들을	가수/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
시상	시상/NNG
부문은	부문/NNG+은/JX
없으나	없/VA+으나/EC
일부	일부/NNG
해외	해외/NNG
가수들이	가수/NNG+들/XSN+이/JKS
시상식	시상식/NNG
무대에	무대/NNG+에/JKB
출연한다.	출연/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.375.3.1
연말 가요 시상식은 KBS MBC 등 지상파들이 한해 가요계를 정리하는 큰 축제였지만 인기 가수들의 섭외를 위해 상을 나눠주거나 기획사들이 출연을 전제로 상을 요구하면서 논란이 끊이지 않았다.

연말	연말/NNG
가요	가요/NNG
시상식은	시상식/NNG+은/JX
KBS	KBS/SL
MBC	MBC/SL
등	등/NNB
지상파들이	지상파/NNG+들/XSN+이/JKS
한해	한/MMN+해/NNB
가요계를	가요/NNG+계/XSN+를/JKO
정리하는	정리/NNG+하/XSV+는/ETM
큰	크/VA+ㄴ/ETM
축제였지만	축제/NNG+이/VCP+었/EP+지만/EC
인기	인기/NNG
가수들의	가수/NNG+들/XSN+의/JKG
섭외를	섭외/NNG+를/JKO
위해	위하/VV+아/EC
상을	상/NNG+을/JKO
나눠주거나	나누/VV+어/EC+주/VX+거나/EC
기획사들이	기획사/NNG+들/XSN+이/JKS
출연을	출연/NNG+을/JKO
전제로	전제/NNG+로/JKB
요구하면서	요구/NNG+하/XSV+면서/EC
논란이	논란/NNG+이/JKS
끊이지	끊이/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.375.3.2
결국 2006년 KBS MBC에 이어 2007년 SBS가 가요 시상식을 폐지했다.

결국	결국/NNG
2006년	2006/SN+년/NNB
KBS	KBS/SL
MBC에	MBC/SL+에/JKB
이어	잇/VV+어/EC
2007년	2007/SN+년/NNB
SBS가	SBS/SL+가/JKS
가요	가요/NNG
시상식을	시상식/NNG+을/JKO
폐지했다.	폐지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.375.4.1
Mnet은 1999년부터 ‘MKMF(Mnet KM Music Festival)’ 시상식을 열어온 데 이어 11년째를 맞은 올해에 시상식을 ‘MAMA’로 바꿨다.

Mnet은	Mnet/SL+은/JX
1999년부터	1999/SN+년/NNB+부터/JX
‘MKMF(Mnet	‘/SS+MKMF/SL+(/SS+Mnet/SL
KM	KM/SL
Music	Music/SL
Festival)’	Festival/SL+)/SS+’/SS
시상식을	시상식/NNG+을/JKO
열어온	열/VV+어/EC+오/VX+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
11년째를	11/SN+년/NNB+째/XSN+를/JKO
맞은	맞/VV+은/ETM
올해에	올해/NNG+에/JKB
‘MAMA’로	‘/SS+MAMA/SL+’/SS+로/JKB
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.375.4.2
국내를 넘어 아시아를 아우르는 시상식을 만들겠다는 취지였다.

국내를	국내/NNG+를/JKO
넘어	넘/VV+어/EC
아시아를	아시아/NNP+를/JKO
아우르는	아우르/VV+는/ETM
시상식을	시상식/NNG+을/JKO
만들겠다는	만들/VV+겠/EP+다는/ETM
취지였다.	취지/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.375.5.1
하지만 이달 초 장윤정 박현빈 윙크가 소속된 인우기획에 이어 소녀시대 동방신기 슈퍼주니어 샤이니 등이 속한 SM 엔터테인먼트가 불참을 선언했다.

하지만	하지만/MAJ
이달	이달/NNG
초	초/NNB
장윤정	장윤정/NNP
박현빈	박현빈/NNP
윙크가	윙크/NNP+가/JKS
소속된	소속/NNG+되/XSV+ㄴ/ETM
인우기획에	인우기획/NNP+에/JKB
이어	잇/VV+어/EC
소녀시대	소녀시대/NNP
동방신기	동방신기/NNP
슈퍼주니어	슈퍼주니어/NNP
샤이니	샤이니/NNP
등이	등/NNB+이/JKS
속한	속하/VV+ㄴ/ETM
SM	SM/SL
엔터테인먼트가	엔터테인먼트/NNG+가/JKS
불참을	불참/NNG+을/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.375.5.2
후보 선정과 수상작 선정 과정이 공정하지 못하다는 것이다.

후보	후보/NNG
선정과	선정/NNG+과/JC
수상작	수상작/NNG
선정	선정/NNG
과정이	과정/NNG+이/JKS
공정하지	공정/NNG+하/XSA+지/EC
못하다는	못하/VX+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.375.5.3
SM 측은 “올해 빅히트를 기록한 소녀시대 ‘지(Gee)’가 다른 방송의 음악 순위 프로에서는 9주 연속 1위를 하는 동안 Mnet의 ‘엠카운트다운’에서는 한 번도 1위를 하지 못했다”고 불만을 털어놓기도 했다.

SM	SM/SL
측은	측/NNB+은/JX
“올해	“/SS+올해/NNG
빅히트를	빅히트/NNG+를/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
소녀시대	소녀시대/NNP
‘지(Gee)’가	‘/SS+지/NNP+(/SS+Gee/SL+)/SS+’/SS+가/JKS
다른	다른/MMD
방송의	방송/NNG+의/JKG
음악	음악/NNG
순위	순위/NNG
프로에서는	프로/NNG+에서/JKB+는/JX
9주	9/SN+주/NNB
연속	연속/NNG
1위를	1/SN+위/NNB+를/JKO
하는	하/VV+는/ETM
동안	동안/NNG
Mnet의	Mnet/SL+의/JKG
‘엠카운트다운’에서는	‘/SS+엠/NNP+카운트다운/NNG+’/SS+에서/JKB+는/JX
한	한/MMN
번도	번/NNB+도/JX
하지	하/VV+지/EC
못했다”고	못하/VX+았/EP+다/EF+”/SS+고/JKQ
불만을	불만/NNG+을/JKO
털어놓기도	털어놓/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.375.6.1
Mnet은 시상식에 불참을 통보한 가수들도 후보 심사를 통해 시상할 예정이다.

Mnet은	Mnet/SL+은/JX
시상식에	시상식/NNG+에/JKB
불참을	불참/NNG+을/JKO
통보한	통보/NNG+하/XSV+ㄴ/ETM
가수들도	가수/NNG+들/XSN+도/JX
후보	후보/NNG
심사를	심사/NNG+를/JKO
통해	통하/VV+아/EC
시상할	시상/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.375.6.2
박광원 엠넷미디어 대표는 18일 “시청자 투표, 심사위원, 외부 리서치, 음반판매 등 다면적인 평가를 해 최대한 공정성을 확보할 것”이라고 밝혔다.

박광원	박광원/NNP
엠넷미디어	엠넷미디어/NNP
대표는	대표/NNG+는/JX
18일	18/SN+일/NNB
“시청자	“/SS+시청자/NNG
투표,	투표/NNG+,/SP
심사위원,	심사/NNG+위원/NNG+,/SP
외부	외부/NNG
리서치,	리서치/NNG+,/SP
음반판매	음반/NNG+판매/NNG
등	등/NNB
다면적인	다면/NNG+적/XSN+이/VCP+ㄴ/ETM
평가를	평가/NNG+를/JKO
해	하/VV+아/EC
최대한	최대한/MAG
공정성을	공정/NNG+성/XSN+을/JKO
확보할	확보/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.375.7.1
==바로잡습니다.==

==바로잡습니다.==	=/SW+=/SW+바로잡/VV+습니다/EF+./SF+=/SW+=/SW


# id : NWRW1800000021.375.8.1
◇19일자 B9면 ‘Mnet 가요시상식 亞10개국 생중계’ 기사 중 엠넷미디어 대표는 박광수 씨가 아니라 박광원 씨입니다.

◇19일자	◇/SW+19/SN+일/NNB+자/NNG
B9면	B/SL+9/SN+면/NNG
‘Mnet	‘/SS+Mnet/SL
가요시상식	가요/NNG+시상식/NNG
亞10개국	亞/SH+10/SN+개국/NNB
생중계’	생/XPN+중계/NNG+’/SS
기사	기사/NNG
중	중/NNB
엠넷미디어	엠넷미디어/NNP
