# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.348
metadata : {}


# id : NWRW1800000046.348.1.1
[통일이 미래다] "통일되면 北과 中동북 3성이 경제·평화 허브될 것"

[통일이	[/SS+통일/NNG+이/JKS
미래다]	미래/NNG+이/VCP+다/EF+]/SS
"통일되면	"/SS+통일/NNG+되/XSV+면/EC
北과	北/SH+과/JC
中동북	中/SH+동북/NNG
3성이	3/SN+성/NNG+이/JKS
경제·평화	경제/NNG+·/SP+평화/NNG
허브될	허브/NNG+되/VV+ㄹ/ETM
것"	것/NNB+"/SS


# id : NWRW1800000046.348.2.1
2015 韓·中 평화통일포럼

2015	2015/SN
韓·中	韓/SH+·/SP+中/SH
평화통일포럼	평화/NNG+통일/NNG+포럼/NNG


# id : NWRW1800000046.348.3.1
중국 옌지에서 22일 열린 '한·중 평화통일 포럼'에서 가장 활발하게 논의된 주제는 남·북·중 간의 경제 협력 비전과 방안이었다.

중국	중국/NNP
옌지에서	옌지/NNP+에서/JKB
22일	22/SN+일/NNB
열린	열리/VV+ㄴ/ETM
'한·중	'/SS+한·중/NNP
평화통일	평화/NNG+통일/NNG
포럼'에서	포럼/NNG+'/SS+에서/JKB
가장	가장/MAG
활발하게	활발하/VA+게/EC
논의된	논의/NNG+되/XSV+ㄴ/ETM
주제는	주제/NNG+는/JX
남·북·중	남/NNP+·/SP+북/NNP+·/SP+중/NNP
간의	간/NNB+의/JKG
경제	경제/NNG
협력	협력/NNG
비전과	비전/NNG+과/JC
방안이었다.	방안/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.348.3.2
참석자들은 우선 통일을 주제로 한 국제 콘퍼런스가 북한 바로 앞에서 처음으로 열린 것을 높이 평가했다.

참석자들은	참석자/NNG+들/XSN+은/JX
우선	우선/MAG
통일을	통일/NNG+을/JKO
주제로	주제/NNG+로/JKB
한	하/VV+ㄴ/ETM
국제	국제/NNG
콘퍼런스가	콘퍼런스/NNG+가/JKS
북한	북한/NNP
바로	바로/MAG
앞에서	앞/NNG+에서/JKB
처음으로	처음/NNG+으로/JKB
열린	열리/VV+ㄴ/ETM
것을	것/NNB+을/JKO
높이	높이/MAG
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.348.3.3
김흥규 아주대 교수는 "옌지에서 통일 논의를 하다니 꿈만 같다"고 했고, 이희옥 성균관대 교수는 "북한을 향한 뜻깊은 메시지가 될 행사"라고 했다.

김흥규	김흥규/NNP
아주대	아주대/NNP
교수는	교수/NNG+는/JX
"옌지에서	"/SS+옌지/NNP+에서/JKB
통일	통일/NNG
논의를	논의/NNG+를/JKO
하다니	하/VV+다니/EC
꿈만	꿈/NNG+만/JX
같다"고	같/VA+다/EF+"/SS+고/JKQ
했고,	하/VV+았/EP+고/EC+,/SP
이희옥	이희옥/NNP
성균관대	성균관대/NNP
"북한을	"/SS+북한/NNP+을/JKO
향한	향하/VV+ㄴ/ETM
뜻깊은	뜻깊/VA+은/ETM
메시지가	메시지/NNG+가/JKC
될	되/VV+ㄹ/ETM
행사"라고	행사/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.348.3.4
우선 중국 측 참석자들은 북한의 고립이 깊어지면서 중국에 큰 비용 부담을 지우고 있다고 분석했다.

우선	우선/MAG
중국	중국/NNP
측	측/NNB
참석자들은	참석자/NNG+들/XSN+은/JX
북한의	북한/NNP+의/JKG
고립이	고립/NNG+이/JKS
깊어지면서	깊어지/VV+면서/EC
중국에	중국/NNP+에/JKB
큰	크/VA+ㄴ/ETM
비용	비용/NNG
부담을	부담/NNG+을/JKO
지우고	지우/VV+고/EC
있다고	있/VX+다고/EC
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.348.3.5
진저(金哲) 요령사회과학원 동북아연구소장은 "북·중 관계는 1992년 한·중 수교 이후 계속 악화돼 더 이상 특수 동맹이 아닌 정상(正常) 국가 관계로 돌아가는 중"이라며 "각자의 핵심 이익 고리가 있어야 발전한다는 뜻"이라고 말했다.

진저(金哲)	진저/NNP+(/SS+金哲/SH+)/SS
요령사회과학원	요령사회과학원/NNP
동북아연구소장은	동북아연구소장/NNG+은/JX
"북·중	"/SS+북·중/NNP
관계는	관계/NNG+는/JX
1992년	1992/SN+년/NNB
한·중	한·중/NNP
수교	수교/NNG
이후	이후/NNG
계속	계속/MAG
악화돼	악화/NNG+되/XSV+어/EC
더	더/MAG
이상	이상/NNG
특수	특수/NNG
동맹이	동맹/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
정상(正常)	정상/NNG+(/SS+正常/SH+)/SS
국가	국가/NNG
관계로	관계/NNG+로/JKB
돌아가는	돌아가/VV+는/ETM
중"이라며	중/NNB+"/SS+이/VCP+라며/EC
"각자의	"/SS+각자/NNG+의/JKG
핵심	핵심/NNG
이익	이익/NNG
고리가	고리/NNG+가/JKS
있어야	있/VA+어야/EC
발전한다는	발전/NNG+하/XSV+ㄴ다는/ETM
뜻"이라고	뜻/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.348.3.6
만하이펑(滿海峰) 요동학원 조선반도연구소장은 "김정은 시대 경제는 일부 개혁 조치와 장마당(시장) 확대 등으로 다소 호전됐지만, 중국 의존이 심화돼 전체적 경제 구조는 더 왜곡되고 있다"고 했다.

만하이펑(滿海峰)	만하이펑/NNP+(/SS+滿海峰/SH+)/SS
요동학원	요동학원/NNP
조선반도연구소장은	조선반도연구소장/NNG+은/JX
"김정은	"/SS+김정은/NNP
시대	시대/NNG
경제는	경제/NNG+는/JX
일부	일부/NNG
개혁	개혁/NNG
조치와	조치/NNG+와/JC
장마당(시장)	장마당/NNG+(/SS+시장/NNG+)/SS
확대	확대/NNG
등으로	등/NNB+으로/JKB
다소	다소/MAG
호전됐지만,	호전/NNG+되/XSV+었/EP+지만/EC+,/SP
중국	중국/NNP
의존이	의존/NNG+이/JKS
심화돼	심화/NNG+되/XSV+어/EC
전체적	전체/NNG+적/XSN
경제	경제/NNG
구조는	구조/NNG+는/JX
더	더/MAG
왜곡되고	왜곡/NNG+되/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.348.3.7
한국은 북한의 고립을 타개하기 위한 다양한 아이디어를 냈다.

한국은	한국/NNP+은/JX
북한의	북한/NNP+의/JKG
고립을	고립/NNG+을/JKO
타개하기	타개/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
아이디어를	아이디어/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.348.3.8
조봉현 IBK기업은행 수석경제위원은 'AIIB의 대북 투자 모델'을 제시하면서 북한 내부의 민생 인프라 투자, 복합 농촌 단지 개발, 관광·환경 사업 협력 등을 우선 시작하자고 했다.

조봉현	조봉현/NNP
IBK기업은행	IBK기업은행/NNP
수석경제위원은	수석/NNG+경제/NNG+위원/NNG+은/JX
'AIIB의	'/SS+AIIB/SL+의/JKG
대북	대북/NNG
투자	투자/NNG
모델'을	모델/NNG+'/SS+을/JKO
제시하면서	제시/NNG+하/XSV+면서/EC
북한	북한/NNP
내부의	내부/NNG+의/JKG
민생	민생/NNG
인프라	인프라/NNG
투자,	투자/NNG+,/SP
복합	복합/NNG
농촌	농촌/NNG
단지	단지/NNG
개발,	개발/NNG+,/SP
관광·환경	관광/NNG+·/SP+환경/NNG
사업	사업/NNG
협력	협력/NNG
등을	등/NNB+을/JKO
우선	우선/MAG
시작하자고	시작/NNG+하/XSV+자고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.348.3.9
이어 남·북·중 국경 등으로 투자 범위를 넓혀 철도 물류망 연결과 에너지망 구축, 초(超)국경 도시를 건설하자고 제안했다.

이어	이어/MAG
남·북·중	남/NNP+·/SP+북·중/NNP
국경	국경/NNG
등으로	등/NNB+으로/JKB
투자	투자/NNG
범위를	범위/NNG+를/JKO
넓혀	넓히/VV+어/EC
철도	철도/NNG
물류망	물류망/NNG
연결과	연결/NNG+과/JC
