# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.343
metadata : {}


# id : NWRW1800000048.343.1.1
전설을 기억합니다

전설을	전설/NNG+을/JKO
기억합니다	기억/NNG+하/XSV+ㅂ니다/EF


# id : NWRW1800000048.343.2.1
[한겨레] 올해의 스포츠 연말결산

[한겨레]	[/SS+한겨레/NNP+]/SS
올해의	올해/NNG+의/JKG
스포츠	스포츠/NNG
연말결산	연말/NNG+결산/NNG


# id : NWRW1800000048.343.3.1
한때 그라운드와 코트에서 빛났던 스타들이 2015년을 끝으로 무대를 떠났다.

한때	한때/MAG
그라운드와	그라운드/NNG+와/JC
코트에서	코트/NNG+에서/JKB
빛났던	빛나/VV+았/EP+던/ETM
스타들이	스타/NNG+들/XSN+이/JKS
2015년을	2015/SN+년/NNB+을/JKO
끝으로	끝/NNG+으로/JKB
무대를	무대/NNG+를/JKO
떠났다.	떠나/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.343.3.2
현역 선수생활은 접었지만, 이들 상당수는 지도자나 트레이너 또는 전력분석관 등 새 모습으로 팬들 앞에 돌아올 예정이다.

현역	현역/NNG
선수생활은	선수/NNG+생활/NNG+은/JX
접었지만,	접/VV+었/EP+지만/EC+,/SP
이들	이/NP+들/XSN
상당수는	상당수/NNG+는/JX
지도자나	지도자/NNG+나/JC
트레이너	트레이너/NNG
또는	또는/MAG
전력분석관	전력/NNG+분석관/NNG
등	등/NNB
새	새/MMA
모습으로	모습/NNG+으로/JKB
팬들	팬/NNG+들/XSN
앞에	앞/NNG+에/JKB
돌아올	돌아오/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.343.4.1
지난 2002년 한국을 뜨겁게 달궜던 한일월드컵 4강 주역 중 막내인 차두리(36)와 이천수(35)가 올해 은퇴했다.

지난	지나/VV+ㄴ/ETM
2002년	2002/SN+년/NNB
한국을	한국/NNP+을/JKO
뜨겁게	뜨겁/VA+게/EC
달궜던	달구/VV+었/EP+던/ETM
한일월드컵	한일/NNP+월드컵/NNG
4강	4/SN+강/NNB
주역	주역/NNG
중	중/NNB
막내인	막내/NNG+이/VCP+ㄴ/ETM
차두리(36)와	차두리/NNP+(/SS+36/SN+)/SS+와/JC
이천수(35)가	이천수/NNP+(/SS+35/SN+)/SS+가/JKS
올해	올해/NNG
은퇴했다.	은퇴/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.343.4.2
