# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.35
metadata : {}


# id : NWRW1800000021.35.1.1
[대구/경북]대구 찾는 외국인 점점 줄어든다

[대구/경북]대구	[/SS+대구/NNP+//SP+경북/NNP+]/SS+대구/NNP
찾는	찾/VV+는/ETM
외국인	외국인/NNG
점점	점점/MAG
줄어든다	줄어들/VV+ㄴ다/EF


# id : NWRW1800000021.35.2.1
대구를 찾는 외국인 관광객이 갈수록 줄고 있어 2011년 대구세계육상선수권 등 대규모 국제행사를 앞두고 대책 마련이 시급한 것으로 지적되고 있다.

대구를	대구/NNP+를/JKO
찾는	찾/VV+는/ETM
외국인	외국인/NNG
관광객이	관광객/NNG+이/JKS
갈수록	갈수록/MAG
줄고	줄/VV+고/EC
있어	있/VX+어/EC
2011년	2011/SN+년/NNB
대구세계육상선수권	대구/NNP+세계/NNG+육상/NNG+선수/NNG+권/XSN
등	등/NNB
대규모	대/XPN+규모/NNG
국제행사를	국제/NNG+행사/NNG+를/JKO
앞두고	앞두/VV+고/EC
대책	대책/NNG
마련이	마련/NNG+이/JKS
시급한	시급하/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
지적되고	지적/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.35.3.1
2일 대구시에 따르면 지난해 외국인 관광객(관광호텔 숙박인원 기준)은 7만3924명으로 2007년(7만5852명)보다 2.5% 감소한 것으로 나타났다.

2일	2/SN+일/NNB
대구시에	대구시/NNP+에/JKB
따르면	따르/VV+면/EC
지난해	지난해/NNG
외국인	외국인/NNG
관광객(관광호텔	관광객/NNG+(/SS+관광호텔/NNG
숙박인원	숙박/NNG+인원/NNG
기준)은	기준/NNG+)/SS+은/JX
7만3924명으로	7/SN+만/NR+3924/SN+명/NNB+으로/JKB
2007년(7만5852명)보다	2007/SN+년/NNB+(/SS+7/SN+만/NR+5852/SN+명/NNB+)/SS+보다/JKB
2.5%	2/SN+./SP+5/SN+%/SW
감소한	감소/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.35.4.1
외국인 관광객은 2004년에 11만3142명을 기록한 후 2005년(8만7069명), 2006년(8만1133명) 등으로 4년 연속 감소한 것이다.

외국인	외국인/NNG
관광객은	관광객/NNG+은/JX
2004년에	2004/SN+년/NNB+에/JKB
11만3142명을	11/SN+만/NR+3142/SN+명/NNB+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
후	후/NNG
2005년(8만7069명),	2005/SN+년/NNB+(/SS+8/SN+만/NR+7069/SN+명/NNB+)/SS+,/SP
2006년(8만1133명)	2006/SN+년/NNB+(/SS+8/SN+만/NR+1133/SN+명/NNB+)/SS
등으로	등/NNB+으로/JKB
4년	4/SN+년/NNB
연속	연속/NNG
감소한	감소/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.35.5.1
특히 지난해에는 엔고 현상 때문에 서울과 부산의 일본인 관광객은 크게 늘어난 반면 대구의 경우 일본인 관광객이 2만225명으로 2007년(2만972명)보다 오히려 줄었다.

특히	특히/MAG
지난해에는	지난해/NNG+에/JKB+는/JX
엔고	엔고/NNG
현상	현상/NNG
때문에	때문/NNB+에/JKB
서울과	서울/NNP+과/JC
부산의	부산/NNP+의/JKG
일본인	일본인/NNG
관광객은	관광객/NNG+은/JX
크게	크/VA+게/EC
늘어난	늘어나/VV+ㄴ/ETM
반면	반면/NNG
대구의	대구/NNP+의/JKG
경우	경우/NNG
관광객이	관광객/NNG+이/JKS
2만225명으로	2/SN+만/NR+225/SN+명/NNB+으로/JKB
2007년(2만972명)보다	2007/SN+년/NNB+(/SS+2/SN+만/NR+972/SN+명/NNB+)/SS+보다/JKB
오히려	오히려/MAG
줄었다.	줄/VV+었/EP+다/EF+./SF


