# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.219
metadata : {}


# id : NWRW1800000021.219.1.1
민노총, 2006년엔 “해고대란 온다” → 지금은 “대란 없다”

민노총,	민노총/NNP+,/SP
2006년엔	2006/SN+년/NNB+에/JKB+ㄴ/JX
“해고대란	“/SS+해고/NNG+대란/NNG
온다”	오/VV+ㄴ다/EF+”/SS
→	→/SW
지금은	지금/NNG+은/JX
“대란	“/SS+대란/NNG
없다”	없/VA+다/EF+”/SS


# id : NWRW1800000021.219.2.1
《 “벌써부터 (비정규직보호법 때문에) 대량해고 사태가 빚어지고 있다.”(전국민주노동조합총연맹, 2007년 1월 11일 성명)

《	《/SS
“벌써부터	“/SS+벌써/MAG+부터/JX
(비정규직보호법	(/SS+비/XPN+정규직/NNG+보호법/NNG
때문에)	때문/NNB+에/JKB+)/SS
대량해고	대량/NNG+해고/NNG
사태가	사태/NNG+가/JKS
빚어지고	빚어지/VV+고/EC
있다.”(전국민주노동조합총연맹,	있/VX+다/EF+./SF+”/SS+(/SS+전국민주노동조합총연맹/NNP+,/SP
2007년	2007/SN+년/NNB
1월	1/SN+월/NNB
11일	11/SN+일/NNB
성명)	성명/NNG+)/SS


# id : NWRW1800000021.219.3.1
1일 ‘기간제 및 단시간 근로자 보호 등에 관한 법률(비정규직보호법)’ 적용이 시작된 이후 “우려했던 해고 대란은 없었다”는 노동계와 야권의 주장이 2006년 11월 법 통과, 2007년 7월 법 시행 당시와 배치된다는 지적이 일고 있다.

1일	1/SN+일/NNB
‘기간제	‘/SS+기간/NNG+제/XSN
및	및/MAG
단시간	단시간/NNG
근로자	근로자/NNG
보호	보호/NNG
등에	등/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
법률(비정규직보호법)’	법률/NNG+(/SS+비/XPN+정규직/NNG+보호법/NNG+)/SS+’/SS
적용이	적용/NNG+이/JKS
시작된	시작/NNG+되/XSV+ㄴ/ETM
이후	이후/NNG
“우려했던	“/SS+우려/NNG+하/XSV+았/EP+던/ETM
해고	해고/NNG
대란은	대란/NNG+은/JX
없었다”는	없/VA+었/EP+다/EF+”/SS+는/ETM
노동계와	노동/NNG+계/XSN+와/JC
야권의	야권/NNG+의/JKG
주장이	주장/NNG+이/JKS
2006년	2006/SN+년/NNB
11월	11/SN+월/NNB
법	법/NNG
통과,	통과/NNG+,/SP
2007년	2007/SN+년/NNB
7월	7/SN+월/NNB
시행	시행/NNG
당시와	당시/NNG+와/JKB
배치된다는	배치/NNG+되/XSV+ㄴ다는/ETM
지적이	지적/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.219.3.2
이 법으로 인한 대량해고 우려는 당시 노동계와 야권이 먼저 제기했기 때문.

이	이/MMD
법으로	법/NNG+으로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
대량해고	대량/NNG+해고/NNG
우려는	우려/NNG+는/JX
당시	당시/NNG
노동계와	노동/NNG+계/XSN+와/JC
야권이	야권/NNG+이/JKS
먼저	먼저/MAG
제기했기	제기/NNG+하/XSV+았/EP+기/ETN
때문.	때문/NNB+./SF


# id : NWRW1800000021.219.3.3
당시 “비정규직 근로자 남용 문제 해결에 도움이 될 것”이라고 주장했던 노동부도 지금은 ‘고용 안정’을 이유로 법 개정의 필요성을 주장하고 있다.》

당시	당시/NNG
“비정규직	“/SS+비/XPN+정규직/NNG
근로자	근로자/NNG
남용	남용/NNG
문제	문제/NNG
해결에	해결/NNG+에/JKB
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
주장했던	주장/NNG+하/XSV+았/EP+던/ETM
노동부도	노동부/NNG+도/JX
지금은	지금/NNG+은/JX
‘고용	‘/SS+고용/NNG
안정’을	안정/NNG+’/SS+을/JKO
이유로	이유/NNG+로/JKB
법	법/NNG
개정의	개정/NNG+의/JKG
필요성을	필요/NNG+성/XSN+을/JKO
주장하고	주장/NNG+하/XSV+고/EC
있다.》	있/VX+다/EF+./SF+》/SS


# id : NWRW1800000021.219.4.1
○ “400만 명 해고 위협”

○	○/SW
“400만	“/SS+400/SN+만/NR
명	명/NNB
해고	해고/NNG
위협”	위협/NNG+”/SS


# id : NWRW1800000021.219.5.1
민주노총은 법 통과 한 달여 후인 2007년 1월 11일 성명을 통해 “법이 오히려 계약해지 확산을 낳고 있다”고 주장했다.

민주노총은	민주노총/NNP+은/JX
법	법/NNG
통과	통과/NNG
한	한/MMN
달여	달/NNB+여/XSN
후인	후/NNG+이/VCP+ㄴ/ETM
2007년	2007/SN+년/NNB
1월	1/SN+월/NNB
11일	11/SN+일/NNB
성명을	성명/NNG+을/JKO
통해	통하/VV+아/EC
“법이	“/SS+법/NNG+이/JKS
오히려	오히려/MAG
계약해지	계약/NNG+해지/NNG
확산을	확산/NNG+을/JKO
낳고	낳/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.219.5.2
민주노총은 당시 “비정규직보호법이 7월부터 시행되지만 어찌된 영문인지 벌써부터 대량해고 사태가 빚어지고 있다.

민주노총은	민주노총/NNP+은/JX
당시	당시/NNG
“비정규직보호법이	“/SS+비/XPN+정규직/NNG+보호법/NNG+이/JKS
7월부터	7/SN+월/NNB+부터/JX
시행되지만	시행/NNG+되/XSV+지만/EC
어찌된	어찌/MAG+되/XSV+ㄴ/ETM
영문인지	영문/NNG+이/VCP+ㄴ지/EC
벌써부터	벌써/MAG+부터/JX
대량해고	대량/NNG+해고/NNG
사태가	사태/NNG+가/JKS
빚어지고	빚어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.219.5.3
이미 경고했던 우려가 현실로 나타나는 대목”이라고 밝혔다.

이미	이미/MAG
경고했던	경고/NNG+하/XSV+았/EP+던/ETM
우려가	우려/NNG+가/JKS
현실로	현실/NNG+로/JKB
나타나는	나타나/VV+는/ETM
대목”이라고	대목/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.219.5.4
또 이상수 전 노동부 장관이 당시 인터뷰를 통해 ‘일부 언론이나 기업들이 금방 비정규직이 해고되고 양산될 것으로 생각하는데 그렇지 않다’고 언급한 데 대해 “판단이 너무 안이하다”고 공박했다.

또	또/MAG
이상수	이상수/NNP
전	전/MMD
노동부	노동부/NNG
장관이	장관/NNG+이/JKS
당시	당시/NNG
인터뷰를	인터뷰/NNG+를/JKO
통해	통하/VV+아/EC
