# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.91
metadata : {}


# id : NWRW1800000021.91.1.1
[횡설수설/홍찬식]줄기세포 전쟁

[횡설수설/홍찬식]줄기세포	[/SS+횡설수설/NNG+//SP+홍찬식/NNP+]/SS+줄기세포/NNG
전쟁	전쟁/NNG


# id : NWRW1800000021.91.2.1
미국이 ‘미래의 금맥(金脈)’인 줄기세포 연구에 다시 시동을 걸었다.

미국이	미국/NNP+이/JKS
‘미래의	‘/SS+미래/NNG+의/JKG
금맥(金脈)’인	금맥/NNG+(/SS+金脈/SH+)/SS+’/SS+이/VCP+ㄴ/ETM
줄기세포	줄기세포/NNG
연구에	연구/NNG+에/JKB
다시	다시/MAG
시동을	시동/NNG+을/JKO
걸었다.	걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.91.2.2
미국 연방정부가 지난주 줄기세포 연구에 대한 재정지원을 7년여 만에 허용한 것은 이 연구가 가져다줄 천문학적인 이익과 혜택을 포기할 수 없었기 때문이다.

미국	미국/NNP
연방정부가	연방/NNG+정부/NNG+가/JKS
지난주	지난주/NNG
줄기세포	줄기세포/NNG
연구에	연구/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
재정지원을	재정/NNG+지원/NNG+을/JKO
7년여	7/SN+년/NNB+여/XSN
만에	만/NNB+에/JKB
허용한	허용/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
이	이/MMD
연구가	연구/NNG+가/JKS
가져다줄	가져다주/VV+ㄹ/ETM
천문학적인	천문학/NNG+적/XSN+이/VCP+ㄴ/ETM
이익과	이익/NNG+과/JC
혜택을	혜택/NNG+을/JKO
포기할	포기/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없었기	없/VA+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.91.2.3
조지 W 부시 행정부가 보수적인 기독교계의 의견을 받아들여 2001년 이후 줄기세포 연구를 제한하는 동안 경쟁국들은 바짝 추격했다.

조지	조지/NNP
W	W/SL
부시	부시/NNP
행정부가	행정부/NNG+가/JKS
