# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.240
metadata : {}


# id : NWRW1800000037.240.1.1
F학점의 예비FA들

F학점의	F/SL+학점/NNG+의/JKG
예비FA들	예비/NNG+FA/SL+들/XSN


# id : NWRW1800000037.240.2.1
■ ‘빅4’ 중 오승환 빼고 최악의 성적

■	■/SW
‘빅4’	‘/SS+빅/NNG+4/SN+’/SS
중	중/NNB
오승환	오승환/NNP
빼고	빼/VV+고/EC
최악의	최악/NNG+의/JKG
성적	성적/NNG


# id : NWRW1800000037.240.3.1
자유계약선수(FA) 시장이 수상하다.

자유계약선수(FA)	자유/NNG+계약/NNG+선수/NNG+(/SS+FA/SL+)/SS
시장이	시장/NNG+이/JKS
수상하다.	수상하/VA+다/EF+./SF


# id : NWRW1800000037.240.4.1
‘최고의 시즌 성적→대박 계약’이라는 FA 공식이 흔들리고 있기 때문이다.

‘최고의	‘/SS+최고/NNG+의/JKG
시즌	시즌/NNG
성적→대박	성적/NNG+→/SW+대/XPN+박/NNG
계약’이라는	계약/NNG+’/SS+이/VCP+라는/ETM
FA	FA/SL
공식이	공식/NNG+이/JKS
흔들리고	흔들리/VV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.240.4.2
특히 올 시즌 오승환(삼성)과 함께 ‘FA 빅4’로 불리는 윤석민(KIA) 강민호(롯데) 정근우(SK)는 오히려 최악의 시즌 초반을 보내고 있다.

특히	특히/MAG
올	올/NNG
시즌	시즌/NNG
오승환(삼성)과	오승환/NNP+(/SS+삼성/NNP+)/SS+과/JKB
함께	함께/MAG
‘FA	‘/SS+FA/SL
빅4’로	빅/NNG+4/SN+’/SS+로/JKB
불리는	불리/VV+는/ETM
윤석민(KIA)	윤석민/NNP+(/SS+KIA/SL+)/SS
강민호(롯데)	강민호/NNP+(/SS+롯데/NNP+)/SS
정근우(SK)는	정근우/NNP+(/SS+SK/SL+)/SS+는/JX
오히려	오히려/MAG
최악의	최악/NNG+의/JKG
초반을	초반/NNG+을/JKO
보내고	보내/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.240.5.1
미국이나 일본 무대로의 진출이 유력시됐던 기아의 윤석민은 시즌 초반 갑작스러운 어깨 통증으로 대한민국 에이스다운 위력을 보여 주지 못하고 있다.

미국이나	미국/NNP+이나/JC
일본	일본/NNP
무대로의	무대/NNG+로/JKB+의/JKG
진출이	진출/NNG+이/JKS
유력시됐던	유력/NNG+시/XSN+되/XSV+었/EP+던/ETM
기아의	기아/NNP+의/JKG
윤석민은	윤석민/NNP+은/JX
시즌	시즌/NNG
초반	초반/NNG
갑작스러운	갑작스럽/VA+ㄴ/ETM
어깨	어깨/NNG
통증으로	통증/NNG+으로/JKB
대한민국	대한민국/NNP
에이스다운	에이스/NNG+답/XSA+ㄴ/ETM
위력을	위력/NNG+을/JKO
보여	보이/VV+어/EC
주지	주/VX+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.240.5.2
지난해 하반기 투구 밸런스가 무너지며 9승 8패에 머문 윤석민은 올 시즌에는 더욱 부진한 모습을 보이며 고작 1승에 머물고 있다.

지난해	지난해/NNG
하반기	하반기/NNG
투구	투구/NNG
밸런스가	밸런스/NNG+가/JKS
무너지며	무너지/VV+며/EC
9승	9/SN+승/NNB
8패에	8/SN+패/NNB+에/JKB
머문	머물/VV+ㄴ/ETM
윤석민은	윤석민/NNP+은/JX
올	올/NNG
시즌에는	시즌/NNG+에/JKB+는/JX
더욱	더욱/MAG
부진한	부진/NNG+하/XSA+ㄴ/ETM
모습을	모습/NNG+을/JKO
보이며	보이/VV+며/EC
고작	고작/MAG
1승에	1/SN+승/NNB+에/JKB
머물고	머물/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.240.5.3
