# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.127
metadata : {}


# id : NWRW1800000033.127.1.1
결국 응답받은 ‘1997’… 예능 출신 신원호 PD 드라마 첫 작품서 ‘홈런’

결국	결국/MAG
응답받은	응답/NNG+받/XSV+은/ETM
‘1997’…	‘/SS+1997/SN+’/SS+…/SE
예능	예능/NNG
출신	출신/NNG
신원호	신원호/NNP
PD	PD/SL
드라마	드라마/NNG
첫	첫/MMN
작품서	작품/NNG+서/JKB
‘홈런’	‘/SS+홈런/NNG+’/SS


# id : NWRW1800000033.127.2.1
‘들리는가, 1997 그리운 시절.

‘들리는가,	‘/SS+들리/VV+는가/EF+,/SP
1997	1997/SN
그리운	그립/VA+ㄴ/ETM
시절.	시절/NNG+./SF


# id : NWRW1800000033.127.2.2
들리는가, 들린다면 응답하라.’

들리는가,	들리/VV+는가/EF+,/SP
들린다면	들리/VV+ㄴ다면/EC
응답하라.’	응답/NNG+하/XSV+라/EF+./SF+’/SS


# id : NWRW1800000033.127.3.1
18일 종영한 케이블 채널 tvN 드라마 ‘응답하라 1997’ 기획 문서에 적힌 마지막 문구다.

18일	18/SN+일/NNB
종영한	종영/NNG+하/XSV+ㄴ/ETM
케이블	케이블/NNG
채널	채널/NNG
tvN	tvN/SL
드라마	드라마/NNG
‘응답하라	‘/SS+응답/NNG+하/XSV+라/EF
1997’	1997/SN+’/SS
기획	기획/NNG
문서에	문서/NNG+에/JKB
적힌	적히/VV+ㄴ/ETM
마지막	마지막/NNG
문구다.	문구/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.127.4.1
회신이 없을 수도 있었다.

회신이	회신/NNG+이/JKS
없을	없/VA+을/ETM
수도	수/NNB+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.127.4.2
그렇지만 팬들은 응답했다.

그렇지만	그렇지만/MAJ
팬들은	팬/NNG+들/XSN+은/JX
응답했다.	응답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.127.4.3
남성 아이돌 그룹 ‘H.O.T.’와 ‘젝스키스’ 팬으로 나뉜 당시 열혈 여성 팬들, 이른바 ‘빠순이’ 문화를 다룬 이 드라마는 케이블 사상 드라마 최고시청률을 달성했다(평균 7.5%·TNms리서치 케이블 가입가구 기준).

남성	남성/NNG
아이돌	아이돌/NNG
그룹	그룹/NNG
‘H.O.T.’와	‘/SS+H/SL+./SP+O/SL+./SP+T/SL+./SP+’/SS+와/JC
‘젝스키스’	‘/SS+젝스키스/NNP+’/SS
팬으로	팬/NNG+으로/JKB
나뉜	나뉘/VV+ㄴ/ETM
당시	당시/NNG
열혈	열혈/NNG
여성	여성/NNG
팬들,	팬/NNG+들/XSN+,/SP
이른바	이른바/MAG
‘빠순이’	‘/SS+빠순이/NNG+’/SS
문화를	문화/NNG+를/JKO
다룬	다루/VV+ㄴ/ETM
이	이/MMD
드라마는	드라마/NNG+는/JX
케이블	케이블/NNG
사상	사상/NNG
드라마	드라마/NNG
