# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.369
metadata : {}


# id : NWRW1800000049.369.1.1
넓어진 ‘사잇돌 대출門’… 최대 50% 더 빌릴수 있다

넓어진	넓어지/VV+ㄴ/ETM
‘사잇돌	‘/SS+사잇돌/NNP
대출門’…	대출/NNG+門/SH+’/SS+…/SE
최대	최대/NNG
50%	50/SN+%/SW
더	더/MAG
빌릴수	빌리/VV+ㄹ/ETM+수/NNB
있다	있/VA+다/EF


# id : NWRW1800000049.369.2.1
금융위, 내달부터 적용 ‘1인당 2000만원’ 한도는 유지 취급 저축은행도 점차 늘리기로

금융위,	금융위/NNG+,/SP
내달부터	내달/NNG+부터/JX
적용	적용/NNG
‘1인당	‘/SS+1/SN+인/NNG+당/XSN
2000만원’	2000/SN+만/NR+원/NNB+’/SS
한도는	한도/NNG+는/JX
유지	유지/NNG
취급	취급/NNG
저축은행도	저축/NNG+은행/NNG+도/JX
점차	점차/MAG
늘리기로	늘리/VV+기/ETN+로/JKB


# id : NWRW1800000049.369.3.1
다음 달부터 은행과 저축은행에서 ‘사잇돌 대출’로 최대 50% 더 돈을 빌릴 수 있게 된다.

다음	다음/NNG
달부터	달/NNG+부터/JX
은행과	은행/NNG+과/JC
저축은행에서	저축/NNG+은행/NNG+에서/JKB
‘사잇돌	‘/SS+사잇돌/NNP
대출’로	대출/NNG+’/SS+로/JKB
최대	최대/NNG
50%	50/SN+%/SW
더	더/MAG
돈을	돈/NNG+을/JKO
빌릴	빌리/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.369.3.2
사잇돌 대출 이용자들이 “대출액이 너무 적다”고 불만을 제기하자 금융당국이 대출 문을 좀 더 열어주기로 했다.

사잇돌	사잇돌/NNP
대출	대출/NNG
이용자들이	이용자/NNG+들/XSN+이/JKS
“대출액이	“/SS+대출액/NNG+이/JKS
너무	너무/MAG
적다”고	적/VA+다/EF+”/SS+고/JKQ
불만을	불만/NNG+을/JKO
제기하자	제기/NNG+하/XSV+자/EC
금융당국이	금융/NNG+당국/NNG+이/JKS
문을	문/NNG+을/JKO
좀	좀/MAG
더	더/MAG
열어주기로	열/VV+어/EC+주/VX+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.369.4.1
금융위원회는 차입자의 신용도에 따라 대출 한도를 늘려주는 내용이 담긴 사잇돌 대출 개선방안을 9일 내놨다.

금융위원회는	금융/NNG+위원회/NNG+는/JX
차입자의	차입자/NNG+의/JKG
신용도에	신용도/NNG+에/JKB
따라	따르/VV+아/EC
대출	대출/NNG
한도를	한도/NNG+를/JKO
늘려주는	늘리/VV+어/EC+주/VX+는/ETM
내용이	내용/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
사잇돌	사잇돌/NNP
개선방안을	개선/NNG+방안/NNG+을/JKO
9일	9/SN+일/NNB
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.369.4.2
사잇돌 대출은 은행과 저축은행에서 금리 6∼19%대에 통상 5년간 나눠 갚는 조건으로 1인당 2000만 원까지 빌릴 수 있는 중금리 대출 상품이다.

사잇돌	사잇돌/NNP
대출은	대출/NNG+은/JX
은행과	은행/NNG+과/JC
저축은행에서	저축/NNG+은행/NNG+에서/JKB
금리	금리/NNG
6∼19%대에	6/SN+∼/SO+19/SN+%/SW+대/XSN+에/JKB
통상	통상/MAG
5년간	5/SN+년/NNB+간/XSN
나눠	나누/VV+어/EC
갚는	갚/VV+는/ETM
조건으로	조건/NNG+으로/JKB
1인당	1/SN+인/NNG+당/XSN
2000만	2000/SN+만/NR
원까지	원/NNB+까지/JX
빌릴	빌리/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
중금리	중금리/NNG
대출	대출/NNG
상품이다.	상품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.369.5.1
금융위는 우선 차입자의 신용도에 따라 사잇돌 대출 금액을 늘려주기로 했다.

금융위는	금융위/NNG+는/JX
우선	우선/MAG
차입자의	차입자/NNG+의/JKG
신용도에	신용도/NNG+에/JKB
따라	따르/VV+아/EC
사잇돌	사잇돌/NNP
대출	대출/NNG
금액을	금액/NNG+을/JKO
늘려주기로	늘리/VV+어/EC+주/VX+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.369.5.2
현재 서울보증보험이 차입자에 대한 보증 한도를 결정하면 은행과 저축은행들이 이 보증한도 내에서 대출을 해준다.

현재	현재/MAG
서울보증보험이	서울보증보험/NNP+이/JKS
차입자에	차입자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
보증	보증/NNG
한도를	한도/NNG+를/JKO
결정하면	결정/NNG+하/XSV+면/EC
은행과	은행/NNG+과/JC
저축은행들이	저축/NNG+은행/NNG+들/XSN+이/JKS
이	이/MMD
보증한도	보증/NNG+한도/NNG
내에서	내/NNB+에서/JKB
대출을	대출/NNG+을/JKO
해준다.	하/VV+아/EC+주/VX+ㄴ다/EF+./SF


