# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.32
metadata : {}


# id : NWRW1800000054.32.1.1
[월드 톡톡] 다이애나가 털어놓은 사생활

[월드	[/SS+월드/NNG
톡톡]	톡톡/MAG+]/SS
다이애나가	다이애나/NNP+가/JKS
털어놓은	털어놓/VV+은/ETM
사생활	사생활/NNG


# id : NWRW1800000054.32.2.1
여왕 찾아가 '사랑없는 결혼' 하소연하자, 여왕 "나도 모르겠구나, 찰스는 희망이 없어"

여왕	여왕/NNG
찾아가	찾아가/VV+아/EC
'사랑없는	'/SS+사랑/NNG+없/VA+는/ETM
결혼'	결혼/NNG+'/SS
하소연하자,	하소연/NNG+하/XSV+자/EC+,/SP
"나도	"/SS+나/NP+도/JX
모르겠구나,	모르/VV+겠/EP+구나/EF+,/SP
찰스는	찰스/NNP+는/JX
희망이	희망/NNG+이/JKS
없어"	없/VA+어/EF+"/SS


# id : NWRW1800000054.32.3.1
고(故) 다이애나 영국 왕세자빈이 1997년 8월 31일 교통사고로 사망하기 4년 전, 찰스 왕세자와의 불행한 결혼 생활 등에 대해 직접 말하는 내용의 비디오테이프가 오는 6일(현지시각) 영국 공영방송인 '채널4'를 통해 방영된다고 BBC 등이 31일 보도했다.

고(故)	고/MMA+(/SS+故/SH+)/SS
다이애나	다이애나/NNP
영국	영국/NNP
왕세자빈이	왕세자빈/NNG+이/JKS
1997년	1997/SN+년/NNB
8월	8/SN+월/NNB
31일	31/SN+일/NNB
교통사고로	교통사고/NNG+로/JKB
사망하기	사망/NNG+하/XSV+기/ETN
4년	4/SN+년/NNB
전,	전/NNG+,/SP
찰스	찰스/NNP
왕세자와의	왕세자/NNG+와/JKB+의/JKG
불행한	불행/NNG+하/XSA+ㄴ/ETM
결혼	결혼/NNG
생활	생활/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
직접	직접/MAG
말하는	말/NNG+하/XSV+는/ETM
내용의	내용/NNG+의/JKG
비디오테이프가	비디오테이프/NNG+가/JKS
오는	오/VV+는/ETM
6일(현지시각)	6/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
공영방송인	공영/NNG+방송/NNG+이/VCP+ㄴ/ETM
'채널4'를	'/SS+채널4/NNP+'/SS+를/JKO
통해	통하/VV+아/EC
방영된다고	방영/NNG+되/XSV+ㄴ다고/EC
BBC	BBC/SL
등이	등/NNB+이/JKS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.32.4.1
이 테이프는 당시 다이애나의 연설 코치였던 피터 세틀런이 다이애나의 대중 연설 능력을 향상시키기 위해 실시한 개인 교습 때 촬영한 것이다.

이	이/MMD
테이프는	테이프/NNG+는/JX
당시	당시/NNG
다이애나의	다이애나/NNP+의/JKG
연설	연설/NNG
코치였던	코치/NNG+이/VCP+었/EP+던/ETM
피터	피터/NNP
세틀런이	세틀런/NNP+이/JKS
대중	대중/NNG
능력을	능력/NNG+을/JKO
향상시키기	향상/NNG+시키/XSV+기/ETN
위해	위하/VV+아/EC
실시한	실시/NNG+하/XSV+ㄴ/ETM
개인	개인/NNG
교습	교습/NNG
때	때/NNG
촬영한	촬영/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.32.4.2
교습은 1992~1993년 실시됐고, 세틀런은 총 16개의 비디오테이프를 녹화한 것으로 알려졌다.

교습은	교습/NNG+은/JX
1992~1993년	1992/SN+~/SO+1993/SN+년/NNB
실시됐고,	실시/NNG+되/XSV+었/EP+고/EC+,/SP
세틀런은	세틀런/NNP+은/JX
총	총/MMA
16개의	16/SN+개/NNB+의/JKG
비디오테이프를	비디오테이프/NNG+를/JKO
녹화한	녹화/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.32.5.1
19세 때인 1981년 찰스 왕세자와 결혼한 다이애나는 켄싱턴궁에서 촬영된 이 영상에서 사랑이 없는 결혼 생활이었다고 고백했다.

19세	19/SN+세/NNB
때인	때/NNG+이/VCP+ㄴ/ETM
1981년	1981/SN+년/NNB
찰스	찰스/NNP
왕세자와	왕세자/NNG+와/JKB
결혼한	결혼/NNG+하/XSV+ㄴ/ETM
다이애나는	다이애나/NNP+는/JX
켄싱턴궁에서	켄싱턴궁/NNP+에서/JKB
촬영된	촬영/NNG+되/XSV+ㄴ/ETM
이	이/MMD
영상에서	영상/NNG+에서/JKB
사랑이	사랑/NNG+이/JKS
없는	없/VA+는/ETM
결혼	결혼/NNG
생활이었다고	생활/NNG+이/VCP+었/EP+다고/EC
고백했다.	고백/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.32.5.2
그는 "찰스와는 3주에 한 번 정도 부부 관계를 가졌고, 6~7년 전부터는 이마저 시들해져버렸다"고 말했다.

그는	그/NP+는/JX
"찰스와는	"/SS+찰스/NNP+와/JKB+는/JX
3주에	3/SN+주/NNB+에/JKB
한	한/MMN
번	번/NNB
정도	정도/NNG
부부	부부/NNG
관계를	관계/NNG+를/JKO
가졌고,	가지/VV+었/EP+고/EC+,/SP
6~7년	6/SN+~/SO+7/SN+년/NNB
전부터는	전/NNG+부터/JX+는/JX
이마저	이/NP+마저/JX
시들해져버렸다"고	시들하/VA+아/EC+지/VX+어/EC+버리/VX+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.32.6.1
결혼 5년 후인 24세 때는 왕실에 근무하는 직원과 사랑에 빠지기도 했다고 했다.

결혼	결혼/NNG
5년	5/SN+년/NNB
후인	후/NNG+이/VCP+ㄴ/ETM
24세	24/SN+세/NNB
때는	때/NNG+는/JX
왕실에	왕실/NNG+에/JKB
근무하는	근무/NNG+하/XSV+는/ETM
직원과	직원/NNG+과/JKB
사랑에	사랑/NNG+에/JKB
빠지기도	빠지/VV+기/ETN+도/JX
했다고	하/VX+았/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.32.6.2
다이애나는 "누군가와 깊게 사랑에 빠졌다. 이 사실이 알려진 후 그는 쫓겨났고, 3주 뒤에 살해됐다"고 말했다.

다이애나는	다이애나/NNP+는/JX
"누군가와	"/SS+누구/NP+이/VCP+ㄴ가/EF+와/JKB
깊게	깊/VA+게/EC
사랑에	사랑/NNG+에/JKB
빠졌다.	빠지/VV+었/EP+다/EF+./SF
이	이/MMD
사실이	사실/NNG+이/JKS
알려진	알려지/VV+ㄴ/ETM
후	후/NNG
그는	그/NP+는/JX
쫓겨났고,	쫓겨나/VV+았/EP+고/EC+,/SP
3주	3/SN+주/NNB
뒤에	뒤/NNG+에/JKB
살해됐다"고	살해/NNG+되/XSV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.32.6.3
그러면서 "그와 함께 왕가(王家)를 떠나는 것도 생각했다"고 했다.

그러면서	그러/VV+면서/EC
"그와	"/SS+그/NP+와/JKB
함께	함께/MAG
왕가(王家)를	왕가/NNG+(/SS+王家/SH+)/SS+를/JKO
떠나는	떠나/VV+는/ETM
것도	것/NNB+도/JX
생각했다"고	생각/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.32.6.4
일간 가디언은 "다이애나가 말한 '그'는 경호원이었던 배리 매너키로, 왕실 근무를 그만둔 뒤 오토바이 사고로 숨졌다"고 했다.

일간	일간/NNG
가디언은	가디언/NNP+은/JX
"다이애나가	"/SS+다이애나/NNP+가/JKS
말한	말/NNG+하/XSV+ㄴ/ETM
'그'는	'/SS+그/NP+'/SS+는/JX
경호원이었던	경호원/NNG+이/VCP+었/EP+던/ETM
배리	배리/NNP
매너키로,	매너키/NNP+로/JKB+,/SP
왕실	왕실/NNG
근무를	근무/NNG+를/JKO
그만둔	그만두/VV+ㄴ/ETM
뒤	뒤/NNG
오토바이	오토바이/NNG
사고로	사고/NNG+로/JKB
숨졌다"고	숨지/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.32.7.1
다이애나는 찰스와의 관계를 놓고 시어머니인 엘리자베스 2세 여왕에게도 도움을 청하기도 했다.

다이애나는	다이애나/NNP+는/JX
찰스와의	찰스/NNP+와/JKB+의/JKG
관계를	관계/NNG+를/JKO
놓고	놓/VV+고/EC
시어머니인	시어머니/NNG+이/VCP+ㄴ/ETM
엘리자베스	엘리자베스/NNP
2세	2/SN+세/NNB
여왕에게도	여왕/NNG+에게/JKB+도/JX
도움을	도움/NNG+을/JKO
청하기도	청/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.32.7.2
다이애나는 "(여왕을 찾아가) '어머니, 제가 어떻게 해야 할지 모르겠어요'라고 말하자, 여왕께서는 '나도 네가 무엇을 해야 할지 모르겠구나. 찰스는 희망이 없어'라고 답했다. 그게 전부였다"고 말했다.

다이애나는	다이애나/NNP+는/JX
"(여왕을	"/SS+(/SS+여왕/NNG+을/JKO
찾아가)	찾아가/VV+아/EC+)/SS
'어머니,	'/SS+어머니/NNG+,/SP
제가	제/NP+가/JKS
어떻게	어떻/VA+게/EC
해야	하/VV+아야/EC
할지	하/VX+ㄹ지/EF
모르겠어요'라고	모르/VV+겠/EP+어요/EF+'/SS+라고/JKQ
말하자,	말/NNG+하/XSV+자/EC+,/SP
여왕께서는	여왕/NNG+께서/JKS+는/JX
'나도	'/SS+나/NP+도/JX
네가	네/NP+가/JKS
무엇을	무엇/NP+을/JKO
모르겠구나.	모르/VV+겠/EP+구나/EF+./SF
찰스는	찰스/NNP+는/JX
희망이	희망/NNG+이/JKS
없어'라고	없/VA+어/EC+'/SS+라고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF
그게	그거/NP+이/JKS
전부였다"고	전부/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.32.8.1
다이애나의 육성 테이프 공개를 둘러싸고 영국 내에서는 찬반 논란이 벌어지고 있다.

다이애나의	다이애나/NNP+의/JKG
육성	육성/NNG
테이프	테이프/NNG
공개를	공개/NNG+를/JKO
둘러싸고	둘러싸/VV+고/EC
영국	영국/NNP
내에서는	내/NNB+에서/JKB+는/JX
찬반	찬반/NNG
논란이	논란/NNG+이/JKS
벌어지고	벌어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.32.8.2
다이애나의 '절친'이었던 로사 몽크톤은 "이 비디오는 일종의 심리 치료를 위한 것으로 전적으로 사적인 영역에 속한다"며 "비디오 공개는 다이애나와 유족의 사생활에 대한 침해"라고 했다.

다이애나의	다이애나/NNP+의/JKG
'절친'이었던	'/SS+절친/NNG+'/SS+이/VCP+었/EP+던/ETM
로사	로사/NNP
몽크톤은	몽크톤/NNP+은/JX
"이	"/SS+이/MMD
비디오는	비디오/NNG+는/JX
일종의	일종/NNG+의/JKG
심리	심리/NNG
치료를	치료/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전적으로	전적/NNG+으로/JKB
사적인	사/NNG+적/XSN+이/VCP+ㄴ/ETM
영역에	영역/NNG+에/JKB
속한다"며	속하/VV+ㄴ다/EF+"/SS+며/EC
"비디오	"/SS+비디오/NNG
공개는	공개/NNG+는/JX
다이애나와	다이애나/NNP+와/JC
유족의	유족/NNG+의/JKG
사생활에	사생활/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
침해"라고	침해/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.32.8.3
다이애나의 남동생 얼 스펜서 경도 "이 다큐멘터리는 다이애나의 아들 윌리엄 왕세손과 해리 왕자의 마음을 다치게 할 수 있다"며 방영 취소를 요구했다.

다이애나의	다이애나/NNP+의/JKG
남동생	남동생/NNG
얼	얼/NNP
스펜서	스펜서/NNP
경도	경/NNG+도/JX
"이	"/SS+이/MMD
다큐멘터리는	다큐멘터리/NNG+는/JX
아들	아들/NNG
윌리엄	윌리엄/NNP
왕세손과	왕세손/NNG+과/JC
해리	해리/NNP
왕자의	왕자/NNG+의/JKG
마음을	마음/NNG+을/JKO
다치게	다치/VV+게/EC
할	하/VX+ㄹ/ETM
수	수/NNB
있다"며	있/VA+다/EF+"/SS+며/EC
방영	방영/NNG
취소를	취소/NNG+를/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.32.9.1
이에 대해 채널4 측은 "이 영상은 중요한 역사적 자료"라며 "예정대로 방영할 계획"이라고 밝혔다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
채널4	채널4/NNP
측은	측/NNB+은/JX
"이	"/SS+이/MMD
영상은	영상/NNG+은/JX
중요한	중요/NNG+하/XSA+ㄴ/ETM
역사적	역사/NNG+적/XSN
자료"라며	자료/NNG+"/SS+이/VCP+라며/EC
"예정대로	"/SS+예정/NNG+대로/JX
방영할	방영/NNG+하/XSV+ㄹ/ETM
계획"이라고	계획/NNG+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.32.9.2
방송사 측이 영상 소유자인 세틀런에게 얼마를 지불했는지는 밝혀지지 않았다.

방송사	방송사/NNG
측이	측/NNB+이/JKS
영상	영상/NNG
소유자인	소유자/NNG+이/VCP+ㄴ/ETM
세틀런에게	세틀런/NNP+에게/JKB
얼마를	얼마/NNG+를/JKO
지불했는지는	지불/NNG+하/XSV+았/EP+는지/EF+는/JX
밝혀지지	밝혀지/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.32.9.3
윌리엄 왕세손 등 영국 왕실은 입장을 밝히지 않고 있다.

윌리엄	윌리엄/NNP
왕세손	왕세손/NNG
등	등/NNB
영국	영국/NNP
왕실은	왕실/NNG+은/JX
입장을	입장/NNG+을/JKO
밝히지	밝히/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


