# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.343
metadata : {}


# id : NWRW1800000056.343.1.1
김종 “삼성, 2~3개월마다 정유라 지원 경과 보고해”

김종	김종/NNP
“삼성,	“/SS+삼성/NNP+,/SP
2~3개월마다	2/SN+~/SO+3/SN+개월/NNB+마다/JX
정유라	정유라/NNP
지원	지원/NNG
경과	경과/NNG
보고해”	보고/NNG+하/XSV+아/EF+”/SS


# id : NWRW1800000056.343.2.1
김 전 차관, 국정농단 재판서 증언

김	김/NNP
전	전/MMD
차관,	차관/NNG+,/SP
국정농단	국정/NNG+농단/NNG
재판서	재판/NNG+서/JKB
증언	증언/NNG


# id : NWRW1800000056.343.3.1
“박 전 대통령이 ‘왜 정유라 기죽이냐’ 질책 뒤

“박	“/SS+박/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
‘왜	‘/SS+왜/MAG
정유라	정유라/NNP
기죽이냐’	기죽이/VV+냐/EF+’/SS
질책	질책/NNG
뒤	뒤/NNG


# id : NWRW1800000056.343.4.1
김재열·박상진 등 최순실·정씨 지원 경과 알려”

김재열·박상진	김재열/NNP+·/SP+박상진/NNP
등	등/NNB
최순실·정씨	최순실/NNP+·/SP+정/NNP+씨/NNB
지원	지원/NNG
경과	경과/NNG
알려”	알리/VV+어/EF+”/SS


# id : NWRW1800000056.343.5.1
최씨 “내가 안고갈건 안고가지만 사실대로 말하라”

최씨	최/NNP+씨/NNB
“내가	“/SS+내/NP+가/JKS
안고갈건	안/VV+고/EC+가/VV+ㄹ/ETM+거/NNB+ㄴ/JX
안고가지만	안/VV+고/EC+가/VV+지만/EC
사실대로	사실/NNG+대로/JX
말하라”	말/NNG+하/XSV+라/EF+”/SS


# id : NWRW1800000056.343.6.1
삼성 쪽에서 김종(56) 전 문화체육관광부 2차관에게 2~3개월마다 최순실(61)씨의 딸 정유라(21)씨에 대한 지원 경과를 알렸다는 증언이 13일 ‘국정농단 사건’ 재판에서 나왔다.

삼성	삼성/NNP
쪽에서	쪽/NNB+에서/JKB
김종(56)	김종/NNP+(/SS+56/SN+)/SS
전	전/MMD
문화체육관광부	문화/NNG+체육/NNG+관광부/NNG
2차관에게	2/SN+차관/NNG+에게/JKB
2~3개월마다	2/SN+~/SO+3/SN+개월/NNB+마다/JX
최순실(61)씨의	최순실/NNP+(/SS+61/SN+)/SS+씨/NNB+의/JKG
딸	딸/NNG
정유라(21)씨에	정유라/NNP+(/SS+21/SN+)/SS+씨/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
지원	지원/NNG
경과를	경과/NNG+를/JKO
알렸다는	알리/VV+었/EP+다는/ETM
증언이	증언/NNG+이/JKS
13일	13/SN+일/NNB
‘국정농단	‘/SS+국정/NNG+농단/NNG
사건’	사건/NNG+’/SS
재판에서	재판/NNG+에서/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.343.7.1
이날 서울중앙지법 형사22부(재판장 김세윤) 심리로 열린 최씨와 안종범(58) 전 청와대 정책조정수석 등에 대한 재판에 증인으로 나온 김 전 차관은 “2015년 박 전 대통령의 지시로 박상진 삼성전자 사장을 만난 뒤, 박 사장이 2~3개월에 한번씩 연락해와 정씨에 대한 지원 상황을 설명했다”고 증언했다.

이날	이날/NNG
서울중앙지법	서울중앙지법/NNP
형사22부(재판장	형사/NNG+22/SN+부/NNG+(/SS+재판장/NNG
김세윤)	김세윤/NNP+)/SS
심리로	심리/NNG+로/JKB
열린	열리/VV+ㄴ/ETM
최씨와	최/NNP+씨/NNB+와/JC
안종범(58)	안종범/NNP+(/SS+58/SN+)/SS
전	전/MMD
청와대	청와대/NNP
정책조정수석	정책/NNG+조정/NNG+수석/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
재판에	재판/NNG+에/JKB
증인으로	증인/NNG+으로/JKB
나온	나오/VV+ㄴ/ETM
김	김/NNP
차관은	차관/NNG+은/JX
“2015년	“/SS+2015/SN+년/NNB
박	박/NNP
대통령의	대통령/NNG+의/JKG
지시로	지시/NNG+로/JKB
박상진	박상진/NNP
삼성전자	삼성전자/NNP
사장을	사장/NNG+을/JKO
만난	만나/VV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
사장이	사장/NNG+이/JKS
2~3개월에	2/SN+~/SO+3/SN+개월/NNB+에/JKB
한번씩	한/MMN+번/NNB+씩/XSN
연락해와	연락/NNG+하/XSV+아/EC+오/VX+아/EC
정씨에	정/NNP+씨/NNB+에/JKB
지원	지원/NNG
상황을	상황/NNG+을/JKO
설명했다”고	설명/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
증언했다.	증언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.343.7.2
김 전 차관은 또 “박 전 대통령이 직접 삼성에 ‘정씨를 지원하라’고 했다는 것도 삼성으로부터 들었다”고 했다.

김	김/NNP
전	전/MMD
차관은	차관/NNG+은/JX
또	또/MAG
“박	“/SS+박/NNP
대통령이	대통령/NNG+이/JKS
직접	직접/MAG
삼성에	삼성/NNP+에/JKB
‘정씨를	‘/SS+정/NNP+씨/NNB+를/JKO
지원하라’고	지원/NNG+하/XSV+라/EF+’/SS+고/JKQ
했다는	하/VV+았/EP+다는/ETM
것도	것/NNB+도/JX
삼성으로부터	삼성/NNP+으로부터/JKB
들었다”고	듣/VV+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.343.8.1
김 전 차관은 “2015년 1월 박 전 대통령이 ‘정유라 같이 운동을 열심히 하는 사람을 잘 키워야지, 왜 기를 죽이느냐.

김	김/NNP
전	전/MMD
차관은	차관/NNG+은/JX
“2015년	“/SS+2015/SN+년/NNB
1월	1/SN+월/NNB
박	박/NNP
대통령이	대통령/NNG+이/JKS
‘정유라	‘/SS+정유라/NNP
같이	같이/JKB
운동을	운동/NNG+을/JKO
열심히	열심히/MAG
하는	하/VV+는/ETM
사람을	사람/NNG+을/JKO
잘	잘/MAG
키워야지,	키우/VV+어야지/EC+,/SP
왜	왜/MAG
기를	기/NNG+를/JKO
죽이느냐.	죽이/VV+느냐/EF+./SF


# id : NWRW1800000056.343.8.2
정씨 같은 선수들을 잘 키울 수 있는 시스템을 만들라’고 지시했다”며 “김재열 제일기획 사장으로부터도 ‘(최씨 운영의) 동계스포츠센터영재센터에 지원한다’는 말을 들은 적 있다”고 증언했다.

정씨	정/NNP+씨/NNB
같은	같/VA+은/ETM
선수들을	선수/NNG+들/XSN+을/JKO
잘	잘/MAG
키울	키우/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
시스템을	시스템/NNG+을/JKO
만들라’고	만들/VV+라/EF+’/SS+고/JKQ
지시했다”며	지시/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“김재열	“/SS+김재열/NNP
제일기획	제일기획/NNP
사장으로부터도	사장/NNG+으로부터/JKB+도/JX
‘(최씨	‘/SS+(/SS+최/NNP+씨/NNB
운영의)	운영/NNG+의/JKG+)/SS
동계스포츠센터영재센터에	동계/NNG+스포츠/NNG+센터/NNG+영재/NNG+센터/NNG+에/JKB
지원한다’는	지원/NNG+하/XSV+ㄴ다/EF+’/SS+는/ETM
말을	말/NNG+을/JKO
들은	듣/VV+은/ETM
적	적/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
증언했다.	증언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.343.8.3
김 전 차관은 “최씨가 박 전 대통령에게 영향력을 미쳐 박 전 대통령이 삼성에 직접 영향을 미친 것으로 알고 있다”고 덧붙였다.

김	김/NNP
전	전/MMD
차관은	차관/NNG+은/JX
“최씨가	“/SS+최/NNP+씨/NNB+가/JKS
박	박/NNP
대통령에게	대통령/NNG+에게/JKB
영향력을	영향력/NNG+을/JKO
미쳐	미치/VV+어/EC
대통령이	대통령/NNG+이/JKS
삼성에	삼성/NNP+에/JKB
직접	직접/MAG
영향을	영향/NNG+을/JKO
미친	미치/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.343.9.1
김 전 차관은 또 최씨가 자신의 뜻대로 일이 진행되지 않자 문체부 산하 공기업 임원의 인사 조처를 요구했다고도 증언했다.

김	김/NNP
전	전/MMD
차관은	차관/NNG+은/JX
또	또/MAG
