# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.149
metadata : {}


# id : NWRW1800000037.149.1.1
[신나는 공부]경상대, 거점 국립대학 넘어 ‘연구중심대학’으로

[신나는	[/SS+신나/VV+는/ETM
공부]경상대,	공부/NNG+]/SS+경상대/NNP+,/SP
거점	거점/NNG
국립대학	국립/NNG+대학/NNG
넘어	넘/VV+어/EC
‘연구중심대학’으로	‘/SS+연구/NNG+중심/NNG+대학/NNG+’/SS+으로/JKB


# id : NWRW1800000037.149.2.1
경상대의 경쟁력과 2014학년도 정시모집

경상대의	경상대/NNP+의/JKG
경쟁력과	경쟁력/NNG+과/JC
2014학년도	2014/SN+학년도/NNG
정시모집	정시/NNG+모집/NNG


# id : NWRW1800000037.149.3.1
‘경남에서 세계와 당당히 경쟁하는 액티브 경상대(Active GNU)’, ‘개척정신이 살아 숨쉬는 대학’.

‘경남에서	‘/SS+경남/NNP+에서/JKB
세계와	세계/NNG+와/JKB
당당히	당당히/MAG
경쟁하는	경쟁/NNG+하/XSV+는/ETM
액티브	액티브/NNG
경상대(Active	경상대/NNP+(/SS+Active/SL
GNU)’,	GNU/SL+)/SS+’/SS+,/SP
‘개척정신이	‘/SS+개척/NNG+정신/NNG+이/JKS
살아	살/VV+아/EC
숨쉬는	숨/NNG+쉬/VV+는/ETM
대학’.	대학/NNG+’/SS+./SF


# id : NWRW1800000037.149.4.1
경상대의 비전을 담은 표어들이다.

경상대의	경상대/NNP+의/JKG
비전을	비전/NNG+을/JKO
담은	담/VV+은/ETM
표어들이다.	표어/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000037.149.4.2
경상대는 경남을 대표하는 거점 국립대 중 하나로 최근 주목받는 ‘연구중심대학’이기도 하다.

경상대는	경상대/NNP+는/JX
경남을	경남/NNP+을/JKO
대표하는	대표/NNG+하/XSV+는/ETM
거점	거점/NNG
국립대	국립대/NNG
중	중/NNB
하나로	하나/NR+로/JKB
최근	최근/NNG
주목받는	주목/NNG+받/XSV+는/ETM
‘연구중심대학’이기도	‘/SS+연구/NNG+중심/NNG+대학/NNG+’/SS+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000037.149.4.3
경상대는 교육부가 선정해 지원하는 ‘세계 수준의 연구중심대학(WCU) 육성사업’ 2010년 중간평가에서 우수사업단 선정비율이 가장 높은 대학으로 선정됐다.

경상대는	경상대/NNP+는/JX
교육부가	교육부/NNG+가/JKS
선정해	선정/NNG+하/XSV+아/EC
지원하는	지원/NNG+하/XSV+는/ETM
‘세계	‘/SS+세계/NNG
수준의	수준/NNG+의/JKG
연구중심대학(WCU)	연구/NNG+중심/NNG+대학/NNG+(/SS+WCU/SL+)/SS
육성사업’	육성/NNG+사업/NNG+’/SS
2010년	2010/SN+년/NNB
중간평가에서	중간/NNG+평가/NNG+에서/JKB
우수사업단	우수/NNG+사업단/NNG
선정비율이	선정/NNG+비율/NNG+이/JKS
가장	가장/MAG
높은	높/VA+은/ETM
대학으로	대학/NNG+으로/JKB
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.149.5.1
올해 경상대는 WCU 육성사업의 후속사업인 ‘BK21 플러스’ 미래기반창의인재양성형 사업에서 총 6개 사업단이 선정돼 34억6900만 원의 예산을 지원받게 된다.

올해	올해/NNG
경상대는	경상대/NNP+는/JX
WCU	WCU/SL
육성사업의	육성/NNG+사업/NNG+의/JKG
후속사업인	후속/NNG+사업/NNG+이/VCP+ㄴ/ETM
‘BK21	‘/SS+BK/SL+21/SN
플러스’	플러스/NNG+’/SS
미래기반창의인재양성형	미래/NNG+기반/NNG+창의/NNG+인재/NNG+양성/NNG+형/XSN
사업에서	사업/NNG+에서/JKB
총	총/MMA
6개	6/SN+개/NNB
사업단이	사업단/NNG+이/JKS
선정돼	선정/NNG+되/XSV+어/EC
34억6900만	34/SN+억/NR+6900/SN+만/NR
원의	원/NNB+의/JKG
예산을	예산/NNG+을/JKO
지원받게	지원/NNG+받/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.149.5.2
이는 부산 울산 경남 지역 대학 중 두 번째로 큰 지원금 규모라고 경상대는 밝혔다.

이는	이/NP+는/JX
부산	부산/NNP
울산	울산/NNP
경남	경남/NNP
지역	지역/NNG
대학	대학/NNG
중	중/NNB
두	두/MMN
번째로	번/NNB+째/XSN+로/JKB
큰	크/VA+ㄴ/ETM
지원금	지원금/NNG
규모라고	규모/NNG+이/VCP+라고/EC
경상대는	경상대/NNP+는/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.149.6.1
재학생 78% 장학금, 한 학기 동안 영어전용 강의동에서 외국어 실력 키워

재학생	재학/NNG+생/XSN
78%	78/SN+%/SW
장학금,	장학금/NNG+,/SP
한	한/MMN
학기	학기/NNG
동안	동안/NNG
영어전용	영어/NNP+전용/NNG
강의동에서	강의/NNG+동/NNG+에서/JKB
외국어	외국어/NNG
실력	실력/NNG
키워	키우/VV+어/EF


# id : NWRW1800000037.149.7.1
경상대는 재학생들이 학비 걱정 없이 학업에만 전념할 수 있도록 장학금을 대대적으로 지원한다.

경상대는	경상대/NNP+는/JX
재학생들이	재학/NNG+생/XSN+들/XSN+이/JKS
학비	학비/NNG
걱정	걱정/NNG
없이	없이/MAG
학업에만	학업/NNG+에/JKB+만/JX
전념할	전념/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
장학금을	장학금/NNG+을/JKO
대대적으로	대대적/NNG+으로/JKB
지원한다.	지원/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.149.7.2
재학생 10명 중 7명이 장학금 혜택을 받는 것.

재학생	재학/NNG+생/XSN
10명	10/SN+명/NNB
중	중/NNB
7명이	7/SN+명/NNB+이/JKS
장학금	장학금/NNG
혜택을	혜택/NNG+을/JKO
받는	받/VV+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000037.149.7.3
