# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.184
metadata : {}


# id : NWRW1800000022.184.1.1
[盧 前대통령 서거] 유가족 예우는;권양숙 여사에게 유족연금 경호 등 달라지는 건 없어

[盧	[/SS+盧/SH
前대통령	前/SH+대통령/NNG
서거]	서거/NNG+]/SS
유가족	유가족/NNG
예우는;권양숙	예우/NNG+는/JX+;/SW+권양숙/NNP
여사에게	여사/NNG+에게/JKB
유족연금	유족/NNG+연금/NNG
경호	경호/NNG
등	등/NNB
달라지는	달라지/VV+는/ETM
건	거/NNB+ㄴ/JX
없어	없/VA+어/EF


# id : NWRW1800000022.184.2.1
노무현 전 대통령 서거 이후 부인 권양숙 여사 등 유가족에 대한 예우는 어떻게 될까.

노무현	노무현/NNP
전	전/MMD
대통령	대통령/NNG
서거	서거/NNG
이후	이후/NNG
부인	부인/NNG
권양숙	권양숙/NNP
여사	여사/NNG
등	등/NNB
유가족에	유가족/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
예우는	예우/NNG+는/JX
어떻게	어떻/VA+게/EC
될까.	되/VV+ㄹ까/EF+./SF


# id : NWRW1800000022.184.2.2
'전직 대통령 예우에 관한 법률'은 전임 대통령에게는 현직 대통령 연봉의 95%를, 전직 대통령이 사망했을 때는 유가족 중 배우자에게 현직 대통령 연봉의 70%를 유족연금으로 주도록 규정하고 있다.

'전직	'/SS+전직/NNG
대통령	대통령/NNG
예우에	예우/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률'은	법률/NNG+'/SS+은/JX
전임	전임/NNG
대통령에게는	대통령/NNG+에게/JKB+는/JX
현직	현직/NNG
연봉의	연봉/NNG+의/JKG
95%를,	95/SN+%/SW+를/JKO+,/SP
전직	전직/NNG
대통령이	대통령/NNG+이/JKS
사망했을	사망/NNG+하/XSV+았/EP+을/ETM
때는	때/NNG+는/JX
유가족	유가족/NNG
중	중/NNB
배우자에게	배우자/NNG+에게/JKB
70%를	70/SN+%/SW+를/JKO
유족연금으로	유족/NNG+연금/NNG+으로/JKB
주도록	주/VV+도록/EC
규정하고	규정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.184.2.3
노 전 대통령의 경우 월평균 980여만원을 받은 것으로 알려져, 권 여사에게 지급되는 유족연금은 현재 기준으로 약 700만원 정도가 될 것으로 보인다.

노	노/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
경우	경우/NNG
월평균	월평균/NNG
980여만원을	980/SN+여/XSN+만/NR+원/NNB+을/JKO
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
알려져,	알려지/VV+어/EC+,/SP
권	권/NNP
여사에게	여사/NNG+에게/JKB
지급되는	지급/NNG+되/XSV+는/ETM
유족연금은	유족/NNG+연금/NNG+은/JX
현재	현재/MAG
기준으로	기준/NNG+으로/JKB
약	약/MMA
700만원	700/SN+만/NR+원/NNB
정도가	정도/NNG+가/JKC
될	되/VV+ㄹ/ETM
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.184.3.1
다른 지원은 노 전 대통령 서거 이전과 별로 다를 게 없다.

다른	다른/MMD
지원은	지원/NNG+은/JX
노	노/NNP
전	전/MMD
대통령	대통령/NNG
서거	서거/NNG
이전과	이전/NNG+과/JKB
별로	별로/MAG
다를	다르/VA+ㄹ/ETM
게	거/NNB+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000022.184.3.2
이 법률 제6조는 전직 대통령 유족에게 '필요한 기간의 경호·경비, 교통·통신 및 사무실 제공, 가료(加療·병원 치료)' 등의 지원을 할 수 있도록 규정하고 있다.

이	이/MMD
법률	법률/NNG
제6조는	제/XPN+6/SN+조/NNB+는/JX
전직	전직/NNG
대통령	대통령/NNG
유족에게	유족/NNG+에게/JKB
'필요한	'/SS+필요/NNG+하/XSA+ㄴ/ETM
기간의	기간/NNG+의/JKG
경호·경비,	경호/NNG+·/SP+경비/NNG+,/SP
교통·통신	교통/NNG+·/SP+통신/NNG
및	및/MAG
사무실	사무실/NNG
제공,	제공/NNG+,/SP
가료(加療·병원	가료/NNG+(/SS+加療/SH+·/SP+병원/NNG
치료)'	치료/NNG+)/SS+'/SS
등의	등/NNB+의/JKG
지원을	지원/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
규정하고	규정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.184.3.3
다만 3명까지 둘 수 있는 비서관은 전직 대통령에게만 해당하기 때문에 철수해야 할 것으로 보인다.

다만	다만/MAG
3명까지	3/SN+명/NNB+까지/JX
둘	두/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
비서관은	비서관/NNG+은/JX
전직	전직/NNG
대통령에게만	대통령/NNG+에게/JKB+만/JX
해당하기	해당/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
철수해야	철수/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


