# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.245
metadata : {}


# id : NWRW1800000045.245.1.1
中축구대표 장린펑, 레알에 무상임대… 왜?

中축구대표	中/SH+축구/NNG+대표/NNG
장린펑,	장린펑/NNP+,/SP
레알에	레알/NNP+에/JKB
무상임대…	무상/NNG+임대/NNG+…/SE
왜?	왜/MAG+?/SF


# id : NWRW1800000045.245.2.1
‘축구굴기’ 맞춰 선진기술 흡수… 레알은 대륙 거대한 시장 개척

‘축구굴기’	‘/SS+축구/NNG+굴기/NNG+’/SS
맞춰	맞추/VV+어/EC
선진기술	선진/NNG+기술/NNG
흡수…	흡수/NNG+…/SE
레알은	레알/NNP+은/JX
대륙	대륙/NNG
거대한	거대/NNG+하/XSA+ㄴ/ETM
시장	시장/NNG
개척	개척/NNG


# id : NWRW1800000045.245.3.1
중국 프로축구 광저우 에버그란데의 수비수 장린펑(26·사진)이 스페인 프로축구 명문 레알 마드리드로 무상 임대될 것으로 보인다.

중국	중국/NNP
프로축구	프로/NNG+축구/NNG
광저우	광저우/NNP
에버그란데의	에버그란데/NNP+의/JKG
수비수	수비수/NNG
장린펑(26·사진)이	장린펑/NNP+(/SS+26/SN+·/SP+사진/NNG+)/SS+이/JKS
스페인	스페인/NNP
명문	명문/NNG
레알	레알/NNP
마드리드로	마드리드/NNP+로/JKB
무상	무상/NNG
임대될	임대/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.245.4.1
22일 중국 언론들은 광저우와 레알이 상호 교류를 강화하는 내용의 합의를 했으며 광저우는 내년 1월 장린펑을 레알 1군에 무상 임대할 것이라고 보도했다.

22일	22/SN+일/NNB
중국	중국/NNP
언론들은	언론/NNG+들/XSN+은/JX
광저우와	광저우/NNP+와/JC
레알이	레알/NNP+이/JKS
상호	상호/NNG
교류를	교류/NNG+를/JKO
강화하는	강화/NNG+하/XSV+는/ETM
내용의	내용/NNG+의/JKG
합의를	합의/NNG+를/JKO
했으며	하/VV+았/EP+으며/EC
광저우는	광저우/NNP+는/JX
내년	내년/NNG
1월	1/SN+월/NNB
장린펑을	장린펑/NNP+을/JKO
레알	레알/NNP
1군에	1/SN+군/NNG+에/JKB
무상	무상/NNG
임대할	임대/NNG+하/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.245.4.2
양 구단은 합의와 관련한 세부 내용을 조율 중인 것으로 알려졌다.

양	양/MMN
구단은	구단/NNG+은/JX
합의와	합의/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
세부	세부/NNG
내용을	내용/NNG+을/JKO
조율	조율/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.245.4.3
중국 언론은 이번 합의를 계기로 매년 2, 3명의 광저우 선수가 레알로 임대되고, 레알 선수들도 광저우에서 뛸 수 있을 것으로 내다봤다.

중국	중국/NNP
언론은	언론/NNG+은/JX
이번	이번/NNG
합의를	합의/NNG+를/JKO
계기로	계기/NNG+로/JKB
매년	매년/MAG
2,	2/SN+,/SP
3명의	3/SN+명/NNB+의/JKG
광저우	광저우/NNP
선수가	선수/NNG+가/JKS
레알로	레알/NNP+로/JKB
임대되고,	임대/NNG+되/XSV+고/EC+,/SP
레알	레알/NNP
선수들도	선수/NNG+들/XSN+도/JX
광저우에서	광저우/NNP+에서/JKB
뛸	뛰/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.245.5.1
2011시즌부터 광저우에 몸담은 장린펑은 올 시즌 10경기에 출전해 3골을 넣었다.

2011시즌부터	2011/SN+시즌/NNG+부터/JX
광저우에	광저우/NNP+에/JKB
몸담은	몸담/VV+은/ETM
장린펑은	장린펑/NNP+은/JX
올	올/NNG
시즌	시즌/NNG
10경기에	10/SN+경기/NNG+에/JKB
출전해	출전/NNG+하/XSV+아/EC
3골을	3/SN+골/NNG+을/JKO
넣었다.	넣/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.245.5.2
국가대표팀에서도 46경기에 출전해 5골을 넣는 등 수비수지만 공격력도 갖췄다는 평가를 받는다.

국가대표팀에서도	국가/NNG+대표/NNG+팀/NNG+에서/JKB+도/JX
46경기에	46/SN+경기/NNG+에/JKB
출전해	출전/NNG+하/XSV+아/EC
5골을	5/SN+골/NNG+을/JKO
넣는	넣/VV+는/ETM
등	등/NNB
수비수지만	수비수/NNG+이/VCP+지만/EC
공격력도	공격력/NNG+도/JX
갖췄다는	갖추/VV+었/EP+다는/ETM
평가를	평가/NNG+를/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000045.245.5.3
올해 여름 이적시장에서는 잉글랜드 프리미어리그(EPL) 첼시 이적을 추진했지만 무산됐다.

올해	올해/NNG
여름	여름/NNG
이적시장에서는	이적/NNG+시장/NNG+에서/JKB+는/JX
잉글랜드	잉글랜드/NNP
프리미어리그(EPL)	프리미어리그/NNG+(/SS+EPL/SL+)/SS
첼시	첼시/NNP
이적을	이적/NNG+을/JKO
추진했지만	추진/NNG+하/XSV+았/EP+지만/EC
무산됐다.	무산/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.245.5.4
EPL 토트넘에서 활약한 광저우 미드필더 파울리뉴(브라질)는 “장린펑은 유럽에서도 좋은 활약을 할 수 있는 힘을 갖췄다”고 말했다.

EPL	EPL/SL
토트넘에서	토트넘/NNP+에서/JKB
활약한	활약/NNG+하/XSV+ㄴ/ETM
광저우	광저우/NNP
미드필더	미드필더/NNG
파울리뉴(브라질)는	파울리뉴/NNP+(/SS+브라질/NNP+)/SS+는/JX
“장린펑은	“/SS+장린펑/NNP+은/JX
유럽에서도	유럽/NNP+에서/JKB+도/JX
좋은	좋/VA+은/ETM
활약을	활약/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
힘을	힘/NNG+을/JKO
갖췄다”고	갖추/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.245.6.1
레알과 광저우 모두 ‘돈거래’ 없이 장린펑의 임대를 추진한 데는 그만한 이득이 있기 때문이다.

레알과	레알/NNP+과/JC
광저우	광저우/NNP
모두	모두/MAG
‘돈거래’	‘/SS+돈거래/NNG+’/SS
없이	없이/MAG
장린펑의	장린펑/NNP+의/JKG
임대를	임대/NNG+를/JKO
추진한	추진/NNG+하/XSV+ㄴ/ETM
데는	데/NNB+는/JX
그만한	그만하/VA+ㄴ/ETM
이득이	이득/NNG+이/JKS
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.245.6.2
광저우는 ‘축구 굴기(굴起·우뚝 일어섬)’를 내세운 시진핑 중국 국가주석의 정책에 호응할 수 있게 됐다.

광저우는	광저우/NNP+는/JX
‘축구	‘/SS+축구/NNG
굴기(굴起·우뚝	굴기/NNG+(/SS+굴/NA+起/SH+·/SP+우뚝/MAG
일어섬)’를	일어서/VV+ㅁ/ETN+)/SS+’/SS+를/JKO
내세운	내세우/VV+ㄴ/ETM
시진핑	시진핑/NNP
중국	중국/NNP
국가주석의	국가주석/NNG+의/JKG
정책에	정책/NNG+에/JKB
호응할	호응/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.245.6.3
장린펑이 레알의 선진 축구 시스템을 통해 한층 더 향상된 실력을 갖추면 광저우뿐만 아니라 중국 국가대표팀에도 긍정적 효과를 가져올 수 있다는 것이다.

장린펑이	장린펑/NNP+이/JKS
레알의	레알/NNP+의/JKG
선진	선진/NNG
축구	축구/NNG
시스템을	시스템/NNG+을/JKO
통해	통하/VV+아/EC
한층	한층/MAG
더	더/MAG
향상된	향상/NNG+되/XSV+ㄴ/ETM
실력을	실력/NNG+을/JKO
갖추면	갖추/VV+면/EC
광저우뿐만	광저우/NNP+뿐/JX+만/JX
아니라	아니/VCN+라/EC
중국	중국/NNP
국가대표팀에도	국가/NNG+대표/NNG+팀/NNG+에/JKB+도/JX
긍정적	긍정/NNG+적/XSN
효과를	효과/NNG+를/JKO
가져올	가져오/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.245.6.4
축구에 대한 애정이 남다른 시 주석은 “내 소원은 중국이 월드컵 본선에 나가고, 대회를 개최하고, 나아가 우승하는 것”이라고 말해 왔다.

축구에	축구/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
애정이	애정/NNG+이/JKS
남다른	남다르/VA+ㄴ/ETM
시	시/NNP
주석은	주석/NNG+은/JX
“내	“/SS+나/NP+의/JKG
소원은	소원/NNG+은/JX
중국이	중국/NNP+이/JKS
월드컵	월드컵/NNG
본선에	본선/NNG+에/JKB
나가고,	나가/VV+고/EC+,/SP
대회를	대회/NNG+를/JKO
