# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.246
metadata : {}


# id : NWRW1800000044.246.1.1
“언론인으로서 사실 확인않고 허위내용 게시”

“언론인으로서	“/SS+언론인/NNG+으로서/JKB
사실	사실/MAG
확인않고	확인/NNG+않/VV+고/EC
허위내용	허위/NNG+내용/NNG
게시”	게시/NNG+”/SS


# id : NWRW1800000044.246.2.1
[한겨레] 법원, 변희재씨에 ‘징역 6월 집유 1년’

[한겨레]	[/SS+한겨레/NNP+]/SS
법원,	법원/NNG+,/SP
변희재씨에	변희재/NNP+씨/NNB+에/JKB
‘징역	‘/SS+징역/NNG
6월	6/SN+월/NNB
집유	집유/NNG
1년’	1/SN+년/NNB+’/SS


# id : NWRW1800000044.246.3.1
명예훼손 사건 재판에 출석하지 않아 구속영장까지 발부됐던 변희재(40) <미디어워치> 대표에게 징역형이 선고됐다.

명예훼손	명예/NNG+훼손/NNG
사건	사건/NNG
재판에	재판/NNG+에/JKB
출석하지	출석/NNG+하/XSV+지/EC
않아	않/VX+아/EC
구속영장까지	구속/NNG+영장/NNG+까지/JX
발부됐던	발부/NNG+되/XSV+었/EP+던/ETM
변희재(40)	변희재/NNP+(/SS+40/SN+)/SS
<미디어워치>	</SS+미디어워치/NNP+>/SS
대표에게	대표/NNG+에게/JKB
징역형이	징역형/NNG+이/JKS
선고됐다.	선고/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.246.4.1
서울남부지법 형사3단독 서형주 판사는 4일 김광진 새정치민주연합 의원이 지위를 이용해 특혜를 받았다고 주장해 정보통신망법상 명예훼손 혐의로 기소된 변씨에게 징역 6월에 집행유예 1년을 선고했다.

서울남부지법	서울남부지법/NNP
형사3단독	형사/NNG+3/SN+단독/NNG
서형주	서형주/NNP
판사는	판사/NNG+는/JX
4일	4/SN+일/NNB
김광진	김광진/NNP
새정치민주연합	새정치민주연합/NNP
의원이	의원/NNG+이/JKS
지위를	지위/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
특혜를	특혜/NNG+를/JKO
받았다고	받/VV+았/EP+다고/EC
주장해	주장/NNG+하/XSV+아/EC
정보통신망법상	정보/NNG+통신망/NNG+법/NNG+상/XSN
명예훼손	명예/NNG+훼손/NNG
혐의로	혐의/NNG+로/JKB
기소된	기소/NNG+되/XSV+ㄴ/ETM
변씨에게	변/NNP+씨/NNB+에게/JKB
징역	징역/NNG
6월에	6/SN+월/NNB+에/JKB
집행유예	집행/NNG+유예/NNG
1년을	1/SN+년/NNB+을/JKO
선고했다.	선고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.246.5.1
변씨는 지난해 3월 “민족의 반역자 김광진이 국민세금 7억을 받아 갈대와인 만든다 해놓고 출시도 못했는데, 이걸 또 국회의원 지위를 통해 순천정원박람회 공식상품까지 지정해 놓았다”는 등의 글을 트위터에 올린 혐의로 기소됐다.

변씨는	변/NNP+씨/NNB+는/JX
지난해	지난해/NNG
3월	3/SN+월/NNB
“민족의	“/SS+민족/NNG+의/JKG
반역자	반역자/NNG
김광진이	김광진/NNP+이/JKS
국민세금	국민/NNG+세금/NNG
7억을	7/SN+억/NR+을/JKO
받아	받/VV+아/EC
갈대와인	갈대/NNG+와인/NNG
만든다	만들/VV+ㄴ다/EF
해놓고	하/VV+아/EC+놓/VX+고/EC
출시도	출시/NNG+도/JX
못했는데,	못/MAG+하/VV+았/EP+는데/EC+,/SP
이걸	이거/NP+ㄹ/JKO
또	또/MAG
국회의원	국회/NNG+의원/NNG
지위를	지위/NNG+를/JKO
통해	통하/VV+아/EC
순천정원박람회	순천/NNP+정원/NNG+박람회/NNG
공식상품까지	공식/NNG+상품/NNG+까지/JX
지정해	지정/NNG+하/XSV+아/EC
놓았다”는	놓/VX+았/EP+다/EF+”/SS+는/ETM
등의	등/NNB+의/JKG
글을	글/NNG+을/JKO
트위터에	트위터/NNP+에/JKB
올린	올리/VV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
기소됐다.	기소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.246.6.1
서 판사는 김 의원이 대표였던 업체가 만든 ‘갈대와인’이 순천만국제정원박람회의 공식상품으로 선정된 때는 김 의원이 국회에 들어오기 전이었다는 점 등을 근거로 변씨 글은 허위라고 판단했다.

서	서/NNP
판사는	판사/NNG+는/JX
김	김/NNP
의원이	의원/NNG+이/JKS
대표였던	대표/NNG+이/VCP+었/EP+던/ETM
업체가	업체/NNG+가/JKS
만든	만들/VV+ㄴ/ETM
‘갈대와인’이	‘/SS+갈대/NNG+와인/NNG+’/SS+이/JKS
순천만국제정원박람회의	순천만/NNP+국제/NNG+정원/NNG+박람회/NNG+의/JKG
공식상품으로	공식/NNG+상품/NNG+으로/JKB
선정된	선정/NNG+되/XSV+ㄴ/ETM
때는	때/NNG+는/JX
국회에	국회/NNG+에/JKB
들어오기	들어오/VV+기/ETN
전이었다는	전/NNG+이/VCP+었/EP+다는/ETM
점	점/NNG
등을	등/NNB+을/JKO
근거로	근거/NNG+로/JKB
변씨	변/NNP+씨/NNB
글은	글/NNG+은/JX
허위라고	허위/NNG+이/VCP+라고/EC
판단했다.	판단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.246.6.2
서 판사는 판결문에서 “언론인이자 시민운동가로 사회에 상당한 영향력을 갖고 있는 변씨가 기본적 사실관계조차 확인하지 않고 허위 내용을 게시했다”며 “그럼에도 비방 목적을 부인하며 잘못을 인정하지 않고 있다”고 했다.

서	서/NNP
판사는	판사/NNG+는/JX
판결문에서	판결문/NNG+에서/JKB
“언론인이자	“/SS+언론인/NNG+이/VCP+자/EC
시민운동가로	시민운동가/NNG+로/JKB
사회에	사회/NNG+에/JKB
상당한	상당/NNG+하/XSA+ㄴ/ETM
영향력을	영향력/NNG+을/JKO
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
변씨가	변/NNP+씨/NNB+가/JKS
기본적	기본/NNG+적/XSN
사실관계조차	사실/NNG+관계/NNG+조차/JX
확인하지	확인/NNG+하/XSV+지/EC
않고	않/VX+고/EC
허위	허위/NNG
내용을	내용/NNG+을/JKO
게시했다”며	게시/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“그럼에도	“/SS+그렇/VA+ㅁ/ETN+에/JKB+도/JX
비방	비방/NNG
목적을	목적/NNG+을/JKO
부인하며	부인/NNG+하/XSV+며/EC
잘못을	잘못/NNG+을/JKO
인정하지	인정/NNG+하/XSV+지/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.246.6.3
서 판사는 ‘사회적 영향력’의 근거로 변씨의 트위터 팔로어가 6만명에 달한다는 점을 들었다.

서	서/NNP
판사는	판사/NNG+는/JX
‘사회적	‘/SS+사회/NNG+적/XSN
영향력’의	영향력/NNG+’/SS+의/JKG
근거로	근거/NNG+로/JKB
변씨의	변/NNP+씨/NNB+의/JKG
트위터	트위터/NNP
팔로어가	팔로어/NNG+가/JKS
6만명에	6/SN+만/NR+명/NNB+에/JKB
달한다는	달하/VV+ㄴ다는/ETM
점을	점/NNG+을/JKO
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.246.7.1
앞서 서 판사는 예정된 선고일에 두 차례 연속 불출석한 변씨에게 “도망칠 우려가 있다”며 지난달 11일 직권으로 구속영장을 발부했다.

앞서	앞서/MAG
서	서/NNP
판사는	판사/NNG+는/JX
예정된	예정/NNG+되/XSV+ㄴ/ETM
선고일에	선고일/NNG+에/JKB
두	두/MMN
차례	차례/NNG
연속	연속/NNG
불출석한	불/XPN+출석/NNG+하/XSV+ㄴ/ETM
변씨에게	변/NNP+씨/NNB+에게/JKB
“도망칠	“/SS+도망치/VV+ㄹ/ETM
우려가	우려/NNG+가/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
지난달	지난달/NNG
11일	11/SN+일/NNB
직권으로	직권/NNG+으로/JKB
구속영장을	구속/NNG+영장/NNG+을/JKO
발부했다.	발부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.246.7.2
그러나 변씨가 “다음 선고기일에는 꼭 참석하겠다”는 확약서를 내자 구속영장을 거둬들인 바 있다.

그러나	그러나/MAJ
변씨가	변/NNP+씨/NNB+가/JKS
“다음	“/SS+다음/NNG
선고기일에는	선고/NNG+기일/NNG+에/JKB+는/JX
