# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.9
metadata : {}


# id : NWRW1800000029.9.1.1
롯데, 사상최대 ‘통큰 인사’ 나올까

롯데,	롯데/NNP+,/SP
사상최대	사상/NNG+최대/NNG
‘통큰	‘/SS+통/NNG+크/VA+ㄴ/ETM
인사’	인사/NNG+’/SS
나올까	나오/VV+ㄹ까/EF


# id : NWRW1800000029.9.2.1
신격호 회장 최고 실적 안고 일본행… 인사 초읽기

신격호	신격호/NNP
회장	회장/NNG
최고	최고/NNG
실적	실적/NNG
안고	안/VV+고/EC
일본행…	일본행/NNG+…/SE
인사	인사/NNG
초읽기	초읽기/NNG


# id : NWRW1800000029.9.3.1
롯데그룹 계열사 사장 및 임원 인사가 카운트다운에 들어갔다.

롯데그룹	롯데그룹/NNP
계열사	계열사/NNG
사장	사장/NNG
및	및/MAG
임원	임원/NNG
인사가	인사/NNG+가/JKS
카운트다운에	카운트다운/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.9.3.2
한국(홀수 달)과 일본(짝수 달)을 오가며 경영하는 신격호 롯데그룹 회장이 8일 일본으로 떠난 것으로 확인됐기 때문이다.

한국(홀수	한국/NNP+(/SS+홀수/NNG
달)과	달/NNG+)/SS+과/JC
일본(짝수	일본/NNP+(/SS+짝수/NNG
달)을	달/NNG+)/SS+을/JKO
오가며	오가/VV+며/EC
경영하는	경영/NNG+하/XSV+는/ETM
신격호	신격호/NNP
롯데그룹	롯데그룹/NNP
회장이	회장/NNG+이/JKS
8일	8/SN+일/NNB
일본으로	일본/NNP+으로/JKB
떠난	떠나/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐기	확인/NNG+되/XSV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.9.3.3
그간 롯데그룹 인사는 신 회장이 한국에서 설 연휴를 보내며 인사를 확정하고 일본으로 간 뒤 며칠 이내에 발표된 적이 많았다.

그간	그/NP+간/XSN
