# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.14
metadata : {}


# id : NWRW1800000045.14.1.1
[아파트 미리보기]신영 ‘천안 불당 지웰시티 푸르지오’

[아파트	[/SS+아파트/NNG
미리보기]신영	미리/MAG+보/VV+기/ETN+]/SS+신영/NNP
‘천안	‘/SS+천안/NNP
불당	불당/NNP
지웰시티	지웰시티/NNP
푸르지오’	푸르지오/NNP+’/SS


# id : NWRW1800000045.14.2.1
3번째 완판 꿈꾸는 ‘천안의 강남’ 아파트 775채, 오피스텔 983실 구성

3번째	3/SN+번/NNB+째/XSN
완판	완판/NNG
꿈꾸는	꿈꾸/VV+는/ETM
‘천안의	‘/SS+천안/NNP+의/JKG
강남’	강남/NNP+’/SS
아파트	아파트/NNG
775채,	775/SN+채/NNB+,/SP
오피스텔	오피스텔/NNG
983실	983/SN+실/NNB
구성	구성/NNG


# id : NWRW1800000045.14.3.1
KTX역 5분거리 서울까지 30분대… 단지內 스트리트몰도 함께 조성

KTX역	KTX/SL+역/NNG
5분거리	5/SN+분/XSN+거리/NNG
서울까지	서울/NNP+까지/JX
30분대…	30/SN+분/NNB+대/XSN+…/SE
단지內	단지/NNG+內/SH
스트리트몰도	스트리트/NNG+몰/NNG+도/JX
함께	함께/MAG
조성	조성/NNG


# id : NWRW1800000045.14.4.1
충남 천안·아산 지역 분양시장의 열기가 올해도 뜨겁다.

충남	충남/NNP
천안·아산	천안/NNP+·/SP+아산/NNP
지역	지역/NNG
분양시장의	분양/NNG+시장/NNG+의/JKG
열기가	열기/NNG+가/JKS
올해도	올해/NNG+도/JX
뜨겁다.	뜨겁/VA+다/EF+./SF


# id : NWRW1800000045.14.5.1
천안·아산은 세계 최대 규모의 삼성 액정표시장치(LCD) 공장이 있는 탕정산업단지 등 대기업 산업단지를 기반으로 전국에서 가장 빠르게 인구가 늘고 있는 곳이다.

천안·아산은	천안/NNP+·/SP+아산/NNP+은/JX
세계	세계/NNG
최대	최대/NNG
규모의	규모/NNG+의/JKG
삼성	삼성/NNP
액정표시장치(LCD)	액정/NNG+표시/NNG+장치/NNG+(/SS+LCD/SL+)/SS
공장이	공장/NNG+이/JKS
있는	있/VX+는/ETM
탕정산업단지	탕정산업단지/NNP
등	등/NNB
대기업	대/XPN+기업/NNG
산업단지를	산업/NNG+단지/NNG+를/JKO
기반으로	기반/NNG+으로/JKB
전국에서	전국/NNG+에서/JKB
가장	가장/MAG
빠르게	빠르/VA+게/EC
인구가	인구/NNG+가/JKS
늘고	늘/VV+고/EC
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.14.6.1
불당신도시는 이 같은 수요를 겨냥해 천안시 서북구 불당동, 백석동과 아산시 탕정면 일원에 512만 m²로 조성되는 아산탕정지구의 ‘2단계 천안지역’에 속한다.

불당신도시는	불당신도시/NNP+는/JX
이	이/NP
같은	같/VA+은/ETM
수요를	수요/NNG+를/JKO
겨냥해	겨냥/NNG+하/XSV+아/EC
천안시	천안시/NNP
서북구	서북구/NNP
불당동,	불당동/NNP+,/SP
백석동과	백석동/NNP+과/JC
아산시	아산시/NNP
탕정면	탕정면/NNP
일원에	일원/NNG+에/JKB
512만	512/SN+만/NR
m²로	m²/SW+로/JKB
조성되는	조성/NNG+되/XSV+는/ETM
아산탕정지구의	아산탕정지구/NNP+의/JKG
‘2단계	‘/SS+2/SN+단계/NNG
천안지역’에	천안지역/NNP+’/SS+에/JKB
속한다.	속하/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.14.6.2
30, 40대 인구가 많고 생활수준이 높아 ‘천안의 강남’으로 꼽히면서 2013년 10월 ‘천안 불당 지웰 푸르지오’를 시작으로 민간 분양 단지 7곳 모두 높은 경쟁률로 1순위에 청약을 마쳤다.

30,	30/SN+,/SP
40대	40/SN+대/NNB
인구가	인구/NNG+가/JKS
많고	많/VA+고/EC
생활수준이	생활/NNG+수준/NNG+이/JKS
높아	높/VA+아/EC
‘천안의	‘/SS+천안/NNP+의/JKG
강남’으로	강남/NNP+’/SS+으로/JKB
꼽히면서	꼽히/VV+면서/EC
2013년	2013/SN+년/NNB
10월	10/SN+월/NNB
‘천안	‘/SS+천안/NNP
불당	불당/NNP
지웰	지웰/NNP
푸르지오’를	푸르지오/NNP+’/SS+를/JKO
시작으로	시작/NNG+으로/JKB
민간	민간/NNG
분양	분양/NNG
단지	단지/NNG
7곳	7/SN+곳/NNG
모두	모두/MAG
높은	높/VA+은/ETM
경쟁률로	경쟁/NNG+률/XSN+로/JKB
1순위에	1/SN+순위/NNG+에/JKB
청약을	청약/NNG+을/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.14.6.3
㈜신영은 이달 불당신도시의 중심인 아산탕정지구 복합4·5블록에서 아파트와 주거용 오피스텔의 복합단지인 ‘천안 불당 지웰시티 푸르지오’를 분양한다.

㈜신영은	㈜/SW+신영/NNP+은/JX
이달	이달/NNG
불당신도시의	불당신도시/NNP+의/JKG
중심인	중심/NNG+이/VCP+ㄴ/ETM
아산탕정지구	아산탕정지구/NNP
복합4·5블록에서	복합/NNG+4/SN+·/SP+5/SN+블록/NNG+에서/JKB
아파트와	아파트/NNG+와/JC
주거용	주거/NNG+용/XSN
오피스텔의	오피스텔/NNG+의/JKG
복합단지인	복합/NNG+단지/NNG+이/VCP+ㄴ/ETM
‘천안	‘/SS+천안/NNP
불당	불당/NNP
지웰시티	지웰시티/NNP
푸르지오’를	푸르지오/NNP+’/SS+를/JKO
분양한다.	분양/NNG+하/XSV+ㄴ다/EF+./SF


