# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.8
metadata : {}


# id : NWRW1800000046.8.1.1
佛경찰, 15분 간격으로 형제 테러범과 식품점 인질극 진압

佛경찰,	佛/SH+경찰/NNG+,/SP
15분	15/SN+분/NNB
간격으로	간격/NNG+으로/JKB
형제	형제/NNG
테러범과	테러범/NNG+과/JC
식품점	식품점/NNG
인질극	인질극/NNG
진압	진압/NNG


# id : NWRW1800000046.8.2.1
형제테러범 "순교자로 죽겠다" 인질극 10시간 만에 밖으로

형제테러범	형제/NNG+테러범/NNG
"순교자로	"/SS+순교자/NNG+로/JKB
죽겠다"	죽/VV+겠/EP+다/EF+"/SS
인질극	인질극/NNG
10시간	10/SN+시간/NNB
만에	만/NNB+에/JKB
밖으로	밖/NNG+으로/JKB


# id : NWRW1800000046.8.3.1
프랑스 파리 시사 만평 주간지 '샤를리 에브도' 테러범 사이드(35)·셰리프(33) 쿠아치 형제가 인질극을 벌이다 최후를 맞았다.

프랑스	프랑스/NNP
파리	파리/NNP
시사	시사/NNG
만평	만평/NNG
주간지	주간지/NNG
'샤를리	'/SS+샤를리/NNP
에브도'	에브도/NNP+'/SS
테러범	테러범/NNG
사이드(35)·셰리프(33)	사이드/NNP+(/SS+35/SN+)/SS+·/SP+셰리프/NNP+(/SS+33/SN+)/SS
쿠아치	쿠아치/NNP
형제가	형제/NNG+가/JKS
인질극을	인질극/NNG+을/JKO
벌이다	벌이/VV+다/EC
최후를	최후/NNG+를/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.8.3.2
경찰과 총격전을 벌이며 도주하던 이들은 9일 오전 7시 파리 인근 다마르탱의 한 인쇄소에 침입해 직원 1명을 인질로 붙잡았다.

경찰과	경찰/NNG+과/JKB
총격전을	총격전/NNG+을/JKO
벌이며	벌이/VV+며/EC
도주하던	도주/NNG+하/XSV+던/ETM
이들은	이/NP+들/XSN+은/JX
9일	9/SN+일/NNB
오전	오전/NNG
7시	7/SN+시/NNB
파리	파리/NNP
인근	인근/NNG
다마르탱의	다마르탱/NNP+의/JKG
한	한/MMN
인쇄소에	인쇄소/NNG+에/JKB
침입해	침입/NNG+하/XSV+아/EC
직원	직원/NNG
1명을	1/SN+명/NNB+을/JKO
인질로	인질/NNG+로/JKB
붙잡았다.	붙잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.8.3.3
이들은 건물 밖을 포위한 수백명의 경찰을 향해 "순교자로 죽고 싶다"며 오전 9시 인질 1명을 풀어줬다.

이들은	이/NP+들/XSN+은/JX
건물	건물/NNG
밖을	밖/NNG+을/JKO
포위한	포위/NNG+하/XSV+ㄴ/ETM
수백명의	수백/NR+명/NNB+의/JKG
경찰을	경찰/NNG+을/JKO
향해	향하/VV+아/EC
"순교자로	"/SS+순교자/NNG+로/JKB
죽고	죽/VV+고/EC
싶다"며	싶/VX+다/EF+"/SS+며/EC
오전	오전/NNG
9시	9/SN+시/NNB
인질	인질/NNG
1명을	1/SN+명/NNB+을/JKO
풀어줬다.	풀/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.8.3.4
결국 쿠아치 형제는 오후 5시 건물 밖으로 나와 자동 소총을 난사했고, 경찰이 쏜 총에 맞아 그 자리에서 숨졌다.

결국	결국/MAG
쿠아치	쿠아치/NNP
형제는	형제/NNG+는/JX
오후	오후/NNG
5시	5/SN+시/NNB
건물	건물/NNG
밖으로	밖/NNG+으로/JKB
나와	나오/VV+아/EC
자동	자동/NNG
소총을	소총/NNG+을/JKO
난사했고,	난사/NNG+하/XSV+았/EP+고/EC+,/SP
경찰이	경찰/NNG+이/JKS
쏜	쏘/VV+ㄴ/ETM
총에	총/NNG+에/JKB
맞아	맞/VV+아/EC
그	그/MMD
자리에서	자리/NNG+에서/JKB
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.8.3.5
최후의 인질극을 벌인 지 10시간 만이었다.

최후의	최후/NNG+의/JKG
인질극을	인질극/NNG+을/JKO
벌인	벌이/VV+ㄴ/ETM
지	지/NNB
10시간	10/SN+시간/NNB
만이었다.	만/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.8.4.1
