# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.140
metadata : {}


# id : NWRW1800000049.140.1.1
[책의 향기]“미술품 수집의 가치?

[책의	[/SS+책/NNG+의/JKG
향기]“미술품	향기/NNG+]/SS+“/SS+미술품/NNG
수집의	수집/NNG+의/JKG
가치?	가치/NNG+?/SF


# id : NWRW1800000049.140.1.2
재테크 아닌 소장의 기쁨”

재테크	재테크/NNG
아닌	아니/VCN+ㄴ/ETM
소장의	소장/NNG+의/JKG
기쁨”	기쁨/NNG+”/SS


# id : NWRW1800000049.140.2.1
◇가난한 컬렉터가 훌륭한 작품을 사는 법/엘링 카게 지음·주은정 옮김/224쪽·1만8000원/디자인하우스

◇가난한	◇/SW+가난/NNG+하/XSA+ㄴ/ETM
컬렉터가	컬렉터/NNG+가/JKS
훌륭한	훌륭하/VA+ㄴ/ETM
작품을	작품/NNG+을/JKO
사는	사/VV+는/ETM
법/엘링	법/NNB+//SP+엘링/NNP
카게	카게/NNP
지음·주은정	짓/VV+음/ETN+·/SP+주은정/NNP
옮김/224쪽·1만8000원/디자인하우스	옮기/VV+ㅁ/ETN+//SP+224/SN+쪽/NNG+·/SP+1/SN+만/NR+8000/SN+원/NNB+//SP+디자인하우스/NNP


# id : NWRW1800000049.140.3.1
저자는 53세 노르웨이인.

저자는	저자/NNG+는/JX
53세	53/SN+세/NNB
노르웨이인.	노르웨이인/NNG+./SF


# id : NWRW1800000049.140.3.2
그의 직함은 탐험가, 출판인, 변호사, 롤렉스시계 광고 모델, 현대미술 컬렉터다.

그의	그/NP+의/JKG
직함은	직함/NNG+은/JX
탐험가,	탐험가/NNG+,/SP
출판인,	출판인/NNG+,/SP
변호사,	변호사/NNG+,/SP
롤렉스시계	롤렉스/NNP+시계/NNG
광고	광고/NNG
모델,	모델/NNG+,/SP
현대미술	현대/NNG+미술/NNG
컬렉터다.	컬렉터/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.140.3.3
사상 최초로 중간 물자 지원 없이 북극점에 도달한 기록(1990년), 사상 최초로 혼자 걸어서 남극점에 도달한 기록(1993년), 사상 최초로 북극점 남극점 에베레스트 ‘세 극점’에 모두 도달한 기록(1994년)을 갖고 있다.

사상	사상/NNG
최초로	최초/NNG+로/JKB
중간	중간/NNG
물자	물자/NNG
지원	지원/NNG
없이	없이/MAG
북극점에	북극점/NNG+에/JKB
도달한	도달/NNG+하/XSV+ㄴ/ETM
기록(1990년),	기록/NNG+(/SS+1990/SN+년/NNB+)/SS+,/SP
혼자	혼자/MAG
걸어서	걷/VV+어서/EC
남극점에	남극점/NNG+에/JKB
기록(1993년),	기록/NNG+(/SS+1993/SN+년/NNB+)/SS+,/SP
북극점	북극점/NNG
남극점	남극점/NNG
에베레스트	에베레스트/NNP
‘세	‘/SS+세/MMN
극점’에	극점/NNG+’/SS+에/JKB
모두	모두/MAG
기록(1994년)을	기록/NNG+(/SS+1994/SN+년/NNB+)/SS+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.140.4.1
그가 미술 작품을 처음 구입한 건 스물두 살 때다.

그가	그/NP+가/JKS
미술	미술/NNG
작품을	작품/NNG+을/JKO
처음	처음/NNG
구입한	구입/NNG+하/XSV+ㄴ/ETM
건	거/NNB+ㄴ/JX
스물두	스물두/MMN
살	살/NNB
때다.	때/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.140.4.2
우울해 보이는 짙은 색 머리의 여성을 묘사한 석판화를 보고 옛 여자 친구가 생각났다고 한다.

우울해	우울/NNG+하/XSA+아/EC
보이는	보이/VV+는/ETM
짙은	짙/VA+은/ETM
색	색/NNG
머리의	머리/NNG+의/JKG
여성을	여성/NNG+을/JKO
묘사한	묘사/NNG+하/XSV+ㄴ/ETM
석판화를	석판화/NNG+를/JKO
보고	보/VV+고/EC
옛	옛/MMA
여자	여자/NNG
친구가	친구/NNG+가/JKS
생각났다고	생각나/VV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.140.4.3
보르도 와인 두 병을 주고 그림을 얻은 뒤 작가와 마주 앉아 와인을 다 마셔 버렸다.

보르도	보르도/NNP
와인	와인/NNG
두	두/MMN
병을	병/NNG+을/JKO
주고	주/VV+고/EC
그림을	그림/NNG+을/JKO
얻은	얻/VV+은/ETM
뒤	뒤/NNG
작가와	작가/NNG+와/JKB
마주	마주/MAG
앉아	앉/VV+아/EC
와인을	와인/NNG+을/JKO
다	다/MAG
마셔	마시/VV+어/EC
버렸다.	버리/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.140.5.1
책은 단출한 글과 풍성한 작품 사진으로 엮었다.

책은	책/NNG+은/JX
단출한	단출하/VA+ㄴ/ETM
글과	글/NNG+과/JC
풍성한	풍성/NNG+하/XSA+ㄴ/ETM
작품	작품/NNG
사진으로	사진/NNG+으로/JKB
엮었다.	엮/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.140.5.2
저택을 한 바퀴 돌면서 방대한 컬렉션을 구경하는 기분이다.

저택을	저택/NNG+을/JKO
한	한/MMN
바퀴	바퀴/NNB
돌면서	돌/VV+면서/EC
방대한	방대하/VA+ㄴ/ETM
컬렉션을	컬렉션/NNG+을/JKO
구경하는	구경/NNG+하/XSV+는/ETM
기분이다.	기분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.140.5.3
쉬이 읽혀 넘어간다.

쉬이	쉬이/MAG
읽혀	읽히/VV+어/EC
넘어간다.	넘어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.140.5.4
그런데 여느 컬렉터나 미술계 전문가가 쓴 고상하고 도도한 글과는 많이 다르다.

그런데	그런데/MAJ
여느	여느/MMA
컬렉터나	컬렉터/NNG+나/JC
미술계	미술/NNG+계/XSN
전문가가	전문가/NNG+가/JKS
쓴	쓰/VV+ㄴ/ETM
고상하고	고상하/VA+고/EC
도도한	도도하/VA+ㄴ/ETM
글과는	글/NNG+과/JKB+는/JX
많이	많이/MAG
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000049.140.5.5
세상에 두려울 것 없는 사람이어서일까.

세상에	세상/NNG+에/JKB
두려울	두렵/VA+ㄹ/ETM
것	것/NNB
없는	없/VA+는/ETM
사람이어서일까.	사람/NNG+이/VCP+어서/EC+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000049.140.5.6
미술 분야 취재를 하면서 늘 생각했지만 감히 입 밖으로 내지 못한 생각을 거침없이 써 줬다.

미술	미술/NNG
분야	분야/NNG
취재를	취재/NNG+를/JKO
하면서	하/VV+면서/EC
늘	늘/MAG
생각했지만	생각/NNG+하/XSV+았/EP+지만/EC
감히	감히/MAG
입	입/NNG
밖으로	밖/NNG+으로/JKB
내지	내/VV+지/EC
못한	못하/VX+ㄴ/ETM
생각을	생각/NNG+을/JKO
거침없이	거침없이/MAG
써	쓰/VV+어/EC
줬다.	주/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.140.6.1
“미술 시장에서는 내부 거래, 가격 조작, 카르텔이 모두 일반적인 시장 원리다.

“미술	“/SS+미술/NNG
