# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.328
metadata : {}


# id : NWRW1800000030.328.1.1
李대통령 "업무 잘못하는 장관·수석 경질"

李대통령	李/SH+대통령/NNG
"업무	"/SS+업무/NNG
잘못하는	잘못/MAG+하/XSV+는/ETM
장관·수석	장관/NNG+·/SP+수석/NNG
경질"	경질/NNG+"/SS


# id : NWRW1800000030.328.2.1
•'신상필벌' 의지 처음으로 언급

•'신상필벌'	•/SW+'/SS+신상필벌/NNG+'/SS
의지	의지/NNG
처음으로	처음/NNG+으로/JKB
언급	언급/NNG


# id : NWRW1800000030.328.3.1
이명박 대통령이 최근 장관이나 청와대 수석들이 업무와 관련해 최선을 다하지 않거나 일을 제대로 하지 않을 경우 즉각 경질하겠다는 뜻을 밝힌 것으로 23일 전해졌다.

이명박	이명박/NNP
대통령이	대통령/NNG+이/JKS
최근	최근/MAG
장관이나	장관/NNG+이나/JC
청와대	청와대/NNP
수석들이	수석/NNG+들/XSN+이/JKS
업무와	업무/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
최선을	최선/NNG+을/JKO
다하지	다/MAG+하/XSV+지/EC
않거나	않/VX+거나/EC
일을	일/NNG+을/JKO
제대로	제대로/MAG
하지	하/VV+지/EC
않을	않/VX+을/ETM
경우	경우/NNG
즉각	즉각/MAG
경질하겠다는	경질/NNG+하/XSV+겠/EP+다는/ETM
뜻을	뜻/NNG+을/JKO
밝힌	밝히/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
23일	23/SN+일/NNB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.328.4.1
청와대 관계자들에 따르면 이 대통령은 지난 13일 신임 수석비서관들에게 임명장을 수여한 뒤 열린 수석비서관회의에서 "자신의 업무를 잘못하는 장관이 있으면 나에게 이야기하라"며 "그러면 그만두도록 하겠다"는 취지로 말한 것으로 알려졌다.

청와대	청와대/NNP
관계자들에	관계자/NNG+들/XSN+에/JKB
따르면	따르/VV+면/EC
이	이/NNP
대통령은	대통령/NNG+은/JX
지난	지나/VV+ㄴ/ETM
13일	13/SN+일/NNB
신임	신임/NNG
수석비서관들에게	수석/NNG+비서관/NNG+들/XSN+에게/JKB
임명장을	임명장/NNG+을/JKO
수여한	수여/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
열린	열리/VV+ㄴ/ETM
수석비서관회의에서	수석/NNG+비서관/NNG+회의/NNG+에서/JKB
"자신의	"/SS+자신/NNG+의/JKG
업무를	업무/NNG+를/JKO
잘못하는	잘못/MAG+하/XSV+는/ETM
장관이	장관/NNG+이/JKS
있으면	있/VA+으면/EC
나에게	나/NP+에게/JKB
이야기하라"며	이야기/NNG+하/XSV+라/EF+"/SS+며/EC
"그러면	"/SS+그러면/MAJ
그만두도록	그만두/VV+도록/EC
하겠다"는	하/VV+겠/EP+다/EF+"/SS+는/ETM
취지로	취지/NNG+로/JKB
말한	말/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.328.4.2
이 대통령은 이어 "당신들(수석들)도 잘못하면 책임을 져야 한다"며 "국장이 잘못한 것은 장관이 책임을 져야 하고, 장관들이 잘못하면 결국 청와대가 책임을 져야 한다"고 말했다고 청와대 관계자들이 전했다.

이	이/NNP
대통령은	대통령/NNG+은/JX
이어	이어/MAG
"당신들(수석들)도	"/SS+당신/NP+들/XSN+(/SS+수석/NNG+들/XSN+)/SS+도/JX
잘못하면	잘못/MAG+하/XSV+면/EC
책임을	책임/NNG+을/JKO
져야	지/VV+어야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"국장이	"/SS+국장/NNG+이/JKS
잘못한	잘못/MAG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
장관이	장관/NNG+이/JKS
하고,	하/VX+고/EC+,/SP
장관들이	장관/NNG+들/XSN+이/JKS
결국	결국/NNG
청와대가	청와대/NNP+가/JKS
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
청와대	청와대/NNP
관계자들이	관계자/NNG+들/XSN+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.328.4.3
한 관계자는 "일반의약품을 수퍼에서 판매하는 문제에 대한 보건복지부의 일 처리 자세를 비판적으로 거론하면서 이어진 말이었다"며 "구체적으로 누구를 꼭 '자르겠다'는 의미보다는 '열심히 일을 해야 한다'는 취지의 말 가운데 그런 대목이 포함됐던 것"이라고 말했다.

한	한/MMN
관계자는	관계자/NNG+는/JX
"일반의약품을	"/SS+일반/NNG+의약품/NNG+을/JKO
수퍼에서	수퍼/NNG+에서/JKB
