# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.276
metadata : {}


# id : NWRW1800000037.276.1.1
[오늘과 내일/박성원]인간의 얼굴을 한 민주당

[오늘과	[/SS+오늘/NNG+과/JC
내일/박성원]인간의	내일/NNG+//SP+박성원/NNP+]/SS+인간/NNG+의/JKG
얼굴을	얼굴/NNG+을/JKO
한	하/VV+ㄴ/ETM
민주당	민주당/NNP


# id : NWRW1800000037.276.2.1
민주통합당의 한 의원이 인간적으로 감내하기 어려운 일을 당했다는 소식이 전해진 지난달 중순.

민주통합당의	민주통합당/NNP+의/JKG
한	한/MMN
의원이	의원/NNG+이/JKS
인간적으로	인간/NNG+적/XSN+으로/JKB
감내하기	감내/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
일을	일/NNG+을/JKO
당했다는	당하/VV+았/EP+다는/ETM
소식이	소식/NNG+이/JKS
전해진	전하/VV+아/EC+지/VX+ㄴ/ETM
지난달	지난달/NNG
중순.	중순/NNG+./SF


# id : NWRW1800000037.276.2.2
같은 당의 한 중진의원은 트위터에 해당 의원의 실명을 거론해가며 확인도 되지 않은 가정사까지 거론했다가 누리꾼과 당원들의 항의를 받고 글을 삭제했다.

같은	같/VA+은/ETM
당의	당/NNG+의/JKG
한	한/MMN
중진의원은	중진/NNG+의원/NNG+은/JX
트위터에	트위터/NNP+에/JKB
해당	해당/NNG
의원의	의원/NNG+의/JKG
실명을	실명/NNG+을/JKO
거론해가며	거론/NNG+하/XSV+아/EC+가/VX+며/EC
확인도	확인/NNG+도/JX
되지	되/VV+지/EC
않은	않/VX+은/ETM
가정사까지	가정사/NNG+까지/JX
거론했다가	거론/NNG+하/XSV+았/EP+다가/EC
누리꾼과	누리/NNG+꾼/XSN+과/JC
당원들의	당원/NNG+들/XSN+의/JKG
항의를	항의/NNG+를/JKO
받고	받/VV+고/EC
글을	글/NNG+을/JKO
삭제했다.	삭제/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.276.2.3
설령 남모르는 이웃이라 해도, 누군가 그런 일을 당했을 때 조용히 다가가 손을 잡아주지는 못할망정 정치적 입방아거리로 삼는 것은 당을 같이하는 사람의 도리가 아니다.

설령	설령/MAG
남모르는	남모르/VA+는/ETM
이웃이라	이웃/NNG+이/VCP+라/EC
해도,	하/VV+아도/EC+,/SP
누군가	누구/NP+이/VCP+ㄴ가/EF
그런	그런/MMD
일을	일/NNG+을/JKO
당했을	당하/VV+았/EP+을/ETM
때	때/NNG
조용히	조용히/MAG
다가가	다가가/VV+아/EC
손을	손/NNG+을/JKO
잡아주지는	잡/VV+아/EC+주/VX+지/EC+는/JX
못할망정	못하/VX+ㄹ망정/EC
정치적	정치/NNG+적/XSN
입방아거리로	입방아/NNG+거리/NNB+로/JKB
삼는	삼/VV+는/ETM
것은	것/NNB+은/JX
당을	당/NNG+을/JKO
같이하는	같이/MAG+하/XSV+는/ETM
사람의	사람/NNG+의/JKG
도리가	도리/NNG+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000037.276.3.1
중진의원만이 아니다.

중진의원만이	중진/NNG+의원/NNG+만/JX+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000037.276.3.2
앞으로 2년간 당을 이끌 대표를 뽑는 민주당의 5·4전당대회는 같은 당 사람들이 맞나 싶을 정도로 ‘정 떼는’ 소리가 도를 넘고 있다.

앞으로	앞/NNG+으로/JKB
2년간	2/SN+년/NNB+간/XSN
당을	당/NNG+을/JKO
이끌	이끌/VV+ㄹ/ETM
대표를	대표/NNG+를/JKO
뽑는	뽑/VV+는/ETM
민주당의	민주당/NNP+의/JKG
5·4전당대회는	5/SN+·/SP+4/SN+전당/NNG+대회/NNG+는/JX
같은	같/VA+은/ETM
당	당/NNG
사람들이	사람/NNG+들/XSN+이/JKS
맞나	맞/VV+나/EF
싶을	싶/VX+을/ETM
정도로	정도/NNG+로/JKB
‘정	‘/SS+정/NNG
떼는’	떼/VV+는/ETM+’/SS
소리가	소리/NNG+가/JKS
도를	도/NNG+를/JKO
넘고	넘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.276.3.3
범주류 쪽 후보는 경쟁 후보의 과거를 거론하며 ‘당선되면 안철수 의원과 함께 새로운 세력을 도모할 분열적 리더십’이라는 식으로 공격한다.

범주류	범/XPN+주류/NNG
쪽	쪽/NNB
후보는	후보/NNG+는/JX
경쟁	경쟁/NNG
후보의	후보/NNG+의/JKG
과거를	과거/NNG+를/JKO
거론하며	거론/NNG+하/XSV+며/EC
‘당선되면	‘/SS+당선/NNG+되/XSV+면/EC
안철수	안철수/NNP
의원과	의원/NNG+과/JKB
함께	함께/MAG
새로운	새롭/VA+ㄴ/ETM
세력을	세력/NNG+을/JKO
도모할	도모/NNG+하/XSV+ㄹ/ETM
분열적	분열/NNG+적/XSN
리더십’이라는	리더십/NNG+’/SS+이/VCP+라는/ETM
식으로	식/NNB+으로/JKB
공격한다.	공격/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.276.3.4
비주류 후보 쪽에서는 “이야말로 당을 분열시키려는 친노 측의 패권주의적 네거티브”라며 발끈하고 있다.

비주류	비/XPN+주류/NNG
후보	후보/NNG
쪽에서는	쪽/NNB+에서/JKB+는/JX
“이야말로	“/SS+이야말로/MAG
당을	당/NNG+을/JKO
분열시키려는	분열/NNG+시키/XSV+려는/ETM
친노	친/XPN+노/NNP
측의	측/NNB+의/JKG
패권주의적	패권주의/NNG+적/XSN
네거티브”라며	네거티브/NNG+”/SS+이/VCP+라며/EC
발끈하고	발끈/MAG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.276.3.5
대량 문자메시지 발송을 둘러싼 불법선거운동 공방에 전직 대표 배후설까지, 총선 대선에 이어 재·보선까지 참패한 정당의 새 출발 무대가 맞나 싶다.

대량	대량/NNG
문자메시지	문자/NNG+메시지/NNG
발송을	발송/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
불법선거운동	불법/NNG+선거/NNG+운동/NNG
공방에	공방/NNG+에/JKB
전직	전직/NNG
대표	대표/NNG
배후설까지,	배후설/NNG+까지/JX+,/SP
총선	총선/NNG
대선에	대선/NNG+에/JKB
이어	잇/VV+어/EC
재·보선까지	재·보선/NNG+까지/JX
참패한	참패/NNG+하/XSV+ㄴ/ETM
정당의	정당/NNG+의/JKG
새	새/MMA
출발	출발/NNG
무대가	무대/NNG+가/JKS
맞나	맞/VV+나/EF
싶다.	싶/VX+다/EF+./SF


# id : NWRW1800000037.276.4.1
당 밖으로 눈을 돌려보면 상황은 더 심각하다.

당	당/NNG
밖으로	밖/NNG+으로/JKB
눈을	눈/NNG+을/JKO
돌려보면	돌리/VV+어/EC+보/VX+면/EC
상황은	상황/NNG+은/JX
더	더/MAG
심각하다.	심각하/VA+다/EF+./SF


# id : NWRW1800000037.276.4.2
지난달 26일 서울 영등포 민주당사 2층 회의실엔 평소 북적대던 기자들을 찾아보기 어려울 정도였다.

지난달	지난달/NNG
26일	26/SN+일/NNB
서울	서울/NNP
영등포	영등포/NNP
민주당사	민주당사/NNP
2층	2/SN+층/NNG
회의실엔	회의실/NNG+에/JKB+ㄴ/JX
평소	평소/NNG
북적대던	북적대/VV+던/ETM
기자들을	기자/NNG+들/XSN+을/JKO
찾아보기	찾아보/VV+기/ETN
어려울	어렵/VA+ㄹ/ETM
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.276.4.3
기자들 대다수가 무소속 안철수 의원이 국회에 처음 출근하는 현장을 취재하러 썰물처럼 빠져나갔기 때문이다.

기자들	기자/NNG+들/XSN
대다수가	대/XPN+다수/NNG+가/JKS
무소속	무/XPN+소속/NNG
안철수	안철수/NNP
의원이	의원/NNG+이/JKS
국회에	국회/NNG+에/JKB
처음	처음/NNG
출근하는	출근/NNG+하/XSV+는/ETM
현장을	현장/NNG+을/JKO
취재하러	취재/NNG+하/XSV+러/EC
썰물처럼	썰물/NNG+처럼/JKB
빠져나갔기	빠져나가/VV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.276.4.4
127석을 가진 제1야당이 무소속 2명(안철수+송호창)보다도 존재감을 못 보여주고 있는 ‘굴욕’은 언제 만들어질지 알 수도 없는 ‘안철수 신당’ 지지율의 반 토막, 심지어 3분의 1토막에 불과한 당지지율에서도 나타난다.

127석을	127/SN+석/NNB+을/JKO
가진	가지/VV+ㄴ/ETM
제1야당이	제/XPN+1/SN+야당/NNG+이/JKS
무소속	무/XPN+소속/NNG
2명(안철수+송호창)보다도	2/SN+명/NNB+(/SS+안철수/NNP++/SW+송호창/NNP+)/SS+보다/JKB+도/JX
존재감을	존재감/NNG+을/JKO
못	못/MAG
보여주고	보이/VV+어/EC+주/VX+고/EC
있는	있/VX+는/ETM
‘굴욕’은	‘/SS+굴욕/NNG+’/SS+은/JX
언제	언제/MAG
만들어질지	만들/VV+어/EC+지/VX+ㄹ지/EF
알	알/VV+ㄹ/ETM
수도	수/NNB+도/JX
없는	없/VA+는/ETM
‘안철수	‘/SS+안철수/NNP
신당’	신당/NNG+’/SS
지지율의	지지/NNG+율/XSN+의/JKG
반	반/NNG
토막,	토막/NNG+,/SP
심지어	심지어/MAG
3분의	3/SN+분/XSN+의/JKG
1토막에	1/SN+토막/NNG+에/JKB
불과한	불과/MAG+하/XSA+ㄴ/ETM
당지지율에서도	당/NNG+지지/NNG+율/XSN+에서/JKB+도/JX
나타난다.	나타나/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.276.4.5
문희상 비상대책위원장이 2일 퇴임기자회견에서 “안철수 의원이 당을 만들어 민주당을 뿌리째 가져가면 공멸하는 것”이라고 한 말이 절규처럼 들린다.

문희상	문희상/NNP
